"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FISV.O",20110103,NA,"End Of Day (from Real-Time)",59.19,59.94,59.13,59.5,1355087
"2","FISV.O",20110104,NA,"End Of Day (from Real-Time)",59.29,59.4699,57.75,58.44,1330640
"3","FISV.O",20110105,NA,"End Of Day (from Real-Time)",58.12,58.97,58.12,58.93,948591
"4","FISV.O",20110106,NA,"End Of Day (from Real-Time)",58.85,59.19,58.76,59.01,683127
"5","FISV.O",20110107,NA,"End Of Day (from Real-Time)",59.62,60,59.1,59.44,1383940
"6","FISV.O",20110110,NA,"End Of Day (from Real-Time)",59.08,59.65,58.77,59.175,912514
"7","FISV.O",20110111,NA,"End Of Day (from Real-Time)",59.27,60.2,59.24,60.18,872488
"8","FISV.O",20110112,NA,"End Of Day (from Real-Time)",60.72,60.83,60.23,60.82,815952
"9","FISV.O",20110113,NA,"End Of Day (from Real-Time)",60.84,61.12,60.68,60.76,661143
"10","FISV.O",20110114,NA,"End Of Day (from Real-Time)",60.7,62,60.52,61.92,878584
"11","FISV.O",20110118,NA,"End Of Day (from Real-Time)",61.94,62.73,61.92,62.5,1020542
"12","FISV.O",20110119,NA,"End Of Day (from Real-Time)",62.21,62.379,61.67,62,702687
"13","FISV.O",20110120,NA,"End Of Day (from Real-Time)",61.75,62.31,61.47,61.9,629437
"14","FISV.O",20110121,NA,"End Of Day (from Real-Time)",62.2,62.2,61.44,61.98,883349
"15","FISV.O",20110124,NA,"End Of Day (from Real-Time)",61.94,63.27,61.92,62.91,733104
"16","FISV.O",20110125,NA,"End Of Day (from Real-Time)",62.66,62.89,61.87,62.89,741017
"17","FISV.O",20110126,NA,"End Of Day (from Real-Time)",62.91,63.2,62.558,62.89,568363
"18","FISV.O",20110127,NA,"End Of Day (from Real-Time)",62.89,62.97,62.39,62.87,1037487
"19","FISV.O",20110128,NA,"End Of Day (from Real-Time)",62.97,63.2599,61.02,61.33,746399
"20","FISV.O",20110131,NA,"End Of Day (from Real-Time)",61.43,61.96,61.06,61.77,706715
"21","FISV.O",20110201,NA,"End Of Day (from Real-Time)",62.16,63.67,62.16,63.03,1263457
"22","FISV.O",20110202,NA,"End Of Day (from Real-Time)",62.94,63.2,62.38,62.51,732070
"23","FISV.O",20110203,NA,"End Of Day (from Real-Time)",62.31,62.69,61.35,62.31,1364929
"24","FISV.O",20110204,NA,"End Of Day (from Real-Time)",60.22,61.35,59.96,60.27,1796516
"25","FISV.O",20110207,NA,"End Of Day (from Real-Time)",60.25,60.8,59.85,60.47,1718248
"26","FISV.O",20110208,NA,"End Of Day (from Real-Time)",60.43,61.32,60.28,61.23,1111441
"27","FISV.O",20110209,NA,"End Of Day (from Real-Time)",61.17,61.42,60.79,60.94,703886
"28","FISV.O",20110210,NA,"End Of Day (from Real-Time)",60.8,62,60.8,61.94,1148943
"29","FISV.O",20110211,NA,"End Of Day (from Real-Time)",61.68,62.37,61.64,62.34,897664
"30","FISV.O",20110214,NA,"End Of Day (from Real-Time)",62.3,62.56,61.91,62.5,599976
"31","FISV.O",20110215,NA,"End Of Day (from Real-Time)",62.12,62.5,61.86,62.4,718571
"32","FISV.O",20110216,NA,"End Of Day (from Real-Time)",62.45,62.94,62.13,62.59,708181
"33","FISV.O",20110217,NA,"End Of Day (from Real-Time)",62.29,63.57,62.27,63.56,560369
"34","FISV.O",20110218,NA,"End Of Day (from Real-Time)",63.52,63.88,63.05,63.52,784511
"35","FISV.O",20110222,NA,"End Of Day (from Real-Time)",63.01,63.74,62.08,62.68,890085
"36","FISV.O",20110223,NA,"End Of Day (from Real-Time)",62.61,62.62,61.51,61.71,929550
"37","FISV.O",20110224,NA,"End Of Day (from Real-Time)",61.77,62.3,61.21,62.01,880209
"38","FISV.O",20110225,NA,"End Of Day (from Real-Time)",62.16,63.21,62.16,63,937816
"39","FISV.O",20110228,NA,"End Of Day (from Real-Time)",62.95,63.31,62.76,63.27,913686
"40","FISV.O",20110301,NA,"End Of Day (from Real-Time)",63.06,63.4,61.8,62.03,971627
"41","FISV.O",20110302,NA,"End Of Day (from Real-Time)",61.84,62,61.53,61.75,863889
"42","FISV.O",20110303,NA,"End Of Day (from Real-Time)",62.14,62.57,61.97,62.1,1304310
"43","FISV.O",20110304,NA,"End Of Day (from Real-Time)",62.14,62.16,61.13,61.47,1289910
"44","FISV.O",20110307,NA,"End Of Day (from Real-Time)",61.87,61.96,60.06,60.17,1229325
"45","FISV.O",20110308,NA,"End Of Day (from Real-Time)",60.33,61.48,60.12,61.1,1233131
"46","FISV.O",20110309,NA,"End Of Day (from Real-Time)",60.82,61.36,60.2115,61.17,1007681
"47","FISV.O",20110310,NA,"End Of Day (from Real-Time)",60.41,60.41,59.37,59.52,1592534
"48","FISV.O",20110311,NA,"End Of Day (from Real-Time)",59.65,60.6472,59.29,60.54,801581
"49","FISV.O",20110314,NA,"End Of Day (from Real-Time)",59.93,60.3,59.43,59.89,672294
"50","FISV.O",20110315,NA,"End Of Day (from Real-Time)",58.5,59,58.26,58.55,1449920
"51","FISV.O",20110316,NA,"End Of Day (from Real-Time)",58.4,59.05,57.94,58.33,1447502
"52","FISV.O",20110317,NA,"End Of Day (from Real-Time)",59.01,59.53,58.56,59.08,816154
"53","FISV.O",20110318,NA,"End Of Day (from Real-Time)",59.46,60.0221,59.09,60.02,2262185
"54","FISV.O",20110321,NA,"End Of Day (from Real-Time)",60.41,61.24,60.16,60.6,816425
"55","FISV.O",20110322,NA,"End Of Day (from Real-Time)",60.67,60.83,60.38,60.53,550029
"56","FISV.O",20110323,NA,"End Of Day (from Real-Time)",60.53,60.79,60.01,60.51,753767
"57","FISV.O",20110324,NA,"End Of Day (from Real-Time)",60.73,61.33,60.37,61.18,985710
"58","FISV.O",20110325,NA,"End Of Day (from Real-Time)",61.38,62.0436,61.21,61.54,448210
"59","FISV.O",20110328,NA,"End Of Day (from Real-Time)",61.61,61.89,61.2,61.28,605092
"60","FISV.O",20110329,NA,"End Of Day (from Real-Time)",61.14,62.22,61,62.14,640939
"61","FISV.O",20110330,NA,"End Of Day (from Real-Time)",62.44,62.94,62.24,62.57,794258
"62","FISV.O",20110331,NA,"End Of Day (from Real-Time)",62.62,63,62.51,62.72,723771
"63","FISV.O",20110401,NA,"End Of Day (from Real-Time)",62.95,62.99,62.65,62.88,1414215
"64","FISV.O",20110404,NA,"End Of Day (from Real-Time)",62.99,62.99,62.18,62.82,613814
"65","FISV.O",20110405,NA,"End Of Day (from Real-Time)",62.49,62.78,61.38,61.63,1033643
"66","FISV.O",20110406,NA,"End Of Day (from Real-Time)",62,62.67,61.84,62.39,538752
"67","FISV.O",20110407,NA,"End Of Day (from Real-Time)",62.13,63,61.91,62.64,1007058
"68","FISV.O",20110408,NA,"End Of Day (from Real-Time)",62.75,62.82,61.97,62.36,543919
"69","FISV.O",20110411,NA,"End Of Day (from Real-Time)",62.47,62.84,62.22,62.67,914773
"70","FISV.O",20110412,NA,"End Of Day (from Real-Time)",62.42,62.95,61.93,61.97,879032
"71","FISV.O",20110413,NA,"End Of Day (from Real-Time)",62.37,62.7,61.89,62.46,816399
"72","FISV.O",20110414,NA,"End Of Day (from Real-Time)",61.96,62.65,61.82,62.48,736790
"73","FISV.O",20110415,NA,"End Of Day (from Real-Time)",62.5,63.38,62.37,63.13,901486
"74","FISV.O",20110418,NA,"End Of Day (from Real-Time)",62.45,62.59,61.86,62.1,926283
"75","FISV.O",20110419,NA,"End Of Day (from Real-Time)",62.16,62.62,62.06,62.6,951209
"76","FISV.O",20110420,NA,"End Of Day (from Real-Time)",63.34,64.13,63.33,63.53,864147
"77","FISV.O",20110421,NA,"End Of Day (from Real-Time)",63.41,63.75,63.181,63.75,961716
