"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FLS.N",20110103,NA,"End Of Day (from Real-Time)",120,121.92,120,120.29,143157
"2","FLS.N",20110104,NA,"End Of Day (from Real-Time)",120.4,121.12,117.1,118.02,208774
"3","FLS.N",20110105,NA,"End Of Day (from Real-Time)",117.56,117.64,116.21,117,158595
"4","FLS.N",20110106,NA,"End Of Day (from Real-Time)",117.21,117.34,114.72,115.63,248608
"5","FLS.N",20110107,NA,"End Of Day (from Real-Time)",115.66,117.28,115.11,116.1,153049
"6","FLS.N",20110110,NA,"End Of Day (from Real-Time)",115.41,117.33,114.8,117.19,127232
"7","FLS.N",20110111,NA,"End Of Day (from Real-Time)",117.51,120.06,117.51,119.01,223758
"8","FLS.N",20110112,NA,"End Of Day (from Real-Time)",120.4,121.06,119.48,120.12,153282
"9","FLS.N",20110113,NA,"End Of Day (from Real-Time)",120.98,120.98,116.13,116.53,263056
"10","FLS.N",20110114,NA,"End Of Day (from Real-Time)",116.29,117.88,115.62,117.6,249443
"11","FLS.N",20110118,NA,"End Of Day (from Real-Time)",116.85,117.59,116.64,117.19,149659
"12","FLS.N",20110119,NA,"End Of Day (from Real-Time)",117.2,117.35,114.44,114.97,178723
"13","FLS.N",20110120,NA,"End Of Day (from Real-Time)",114.19,115.35,112.32,114.15,195150
"14","FLS.N",20110121,NA,"End Of Day (from Real-Time)",115.51,116.57,114.92,115.42,211230
"15","FLS.N",20110124,NA,"End Of Day (from Real-Time)",113.3,119.46,113,117.98,397804
"16","FLS.N",20110125,NA,"End Of Day (from Real-Time)",117.52,117.93,115.71,117.52,186686
"17","FLS.N",20110126,NA,"End Of Day (from Real-Time)",118,121.43,117.94,121.19,198763
"18","FLS.N",20110127,NA,"End Of Day (from Real-Time)",121.18,123.6,120.69,122.61,231290
"19","FLS.N",20110128,NA,"End Of Day (from Real-Time)",122.96,123.58,122.21,122.97,326563
"20","FLS.N",20110131,NA,"End Of Day (from Real-Time)",122.94,125.83,122.94,124.99,216798
"21","FLS.N",20110201,NA,"End Of Day (from Real-Time)",125.78,129.43,125.63,128.34,230590
"22","FLS.N",20110202,NA,"End Of Day (from Real-Time)",128.21,128.68,127.23,127.4,129260
"23","FLS.N",20110203,NA,"End Of Day (from Real-Time)",127.25,128.63,126.92,127.16,107921
"24","FLS.N",20110204,NA,"End Of Day (from Real-Time)",127.53,130.51,127.36,130.48,130008
"25","FLS.N",20110207,NA,"End Of Day (from Real-Time)",130.62,132.51,130.62,132.13,110804
"26","FLS.N",20110208,NA,"End Of Day (from Real-Time)",132,132,130.29,131.59,103364
"27","FLS.N",20110209,NA,"End Of Day (from Real-Time)",130.93,131.51,129.12,129.96,125116
"28","FLS.N",20110210,NA,"End Of Day (from Real-Time)",129.2,131.22,129.12,130.87,128806
"29","FLS.N",20110211,NA,"End Of Day (from Real-Time)",130.17,132.49,130.17,132.03,81981
"30","FLS.N",20110214,NA,"End Of Day (from Real-Time)",132.21,133.94,130.97,131.77,116985
"31","FLS.N",20110215,NA,"End Of Day (from Real-Time)",131.25,131.25,129.04,129.33,116877
"32","FLS.N",20110216,NA,"End Of Day (from Real-Time)",129.83,131.49,129.08,130.82,110402
"33","FLS.N",20110217,NA,"End Of Day (from Real-Time)",130.42,131.44,129.91,130.74,68579
"34","FLS.N",20110218,NA,"End Of Day (from Real-Time)",130.74,130.88,129.14,130.33,175409
"35","FLS.N",20110222,NA,"End Of Day (from Real-Time)",128.92,130.43,125.5,125.72,166087
"36","FLS.N",20110223,NA,"End Of Day (from Real-Time)",125.05,125.95,120.66,122.66,249348
"37","FLS.N",20110224,NA,"End Of Day (from Real-Time)",122.1,129.2,120.37,125.43,302858
"38","FLS.N",20110225,NA,"End Of Day (from Real-Time)",126.05,128.24,124.96,125.3,184620
"39","FLS.N",20110228,NA,"End Of Day (from Real-Time)",125.99,126.7,123.85,124.97,170557
"40","FLS.N",20110301,NA,"End Of Day (from Real-Time)",125.35,125.81,122.14,122.85,159972
"41","FLS.N",20110302,NA,"End Of Day (from Real-Time)",122.87,127.17,122.72,126,177287
"42","FLS.N",20110303,NA,"End Of Day (from Real-Time)",127.5,130.39,127,129.79,146333
"43","FLS.N",20110304,NA,"End Of Day (from Real-Time)",129.74,129.86,127.11,128.4,149302
"44","FLS.N",20110307,NA,"End Of Day (from Real-Time)",128.89,129.38,124.86,126.04,150021
"45","FLS.N",20110308,NA,"End Of Day (from Real-Time)",126.03,127.5,124.41,125.83,120176
"46","FLS.N",20110309,NA,"End Of Day (from Real-Time)",125.57,125.69,123.18,124.33,120410
"47","FLS.N",20110310,NA,"End Of Day (from Real-Time)",122.62,122.98,119.84,120.41,103654
"48","FLS.N",20110311,NA,"End Of Day (from Real-Time)",120,122.95,119.49,122.82,142545
"49","FLS.N",20110314,NA,"End Of Day (from Real-Time)",122.13,125.39,121.51,125.15,185743
"50","FLS.N",20110315,NA,"End Of Day (from Real-Time)",121.23,123.63,120.27,122.38,238022
"51","FLS.N",20110316,NA,"End Of Day (from Real-Time)",122.07,122.74,117.5,118.85,214656
"52","FLS.N",20110317,NA,"End Of Day (from Real-Time)",121.05,121.72,120.16,120.96,95061
"53","FLS.N",20110318,NA,"End Of Day (from Real-Time)",123.27,123.89,121.6,122.31,149247
"54","FLS.N",20110321,NA,"End Of Day (from Real-Time)",123.75,125.43,122.88,124.87,94967
"55","FLS.N",20110322,NA,"End Of Day (from Real-Time)",125.1,125.14,123.46,124.65,94183
"56","FLS.N",20110323,NA,"End Of Day (from Real-Time)",124.5,126.28,123.29,125.32,88852
"57","FLS.N",20110324,NA,"End Of Day (from Real-Time)",126.1,126.4,124.72,125.37,100940
"58","FLS.N",20110325,NA,"End Of Day (from Real-Time)",125.63,126.61,124.91,125.51,103710
"59","FLS.N",20110328,NA,"End Of Day (from Real-Time)",126.01,126.74,125.2,125.35,80822
"60","FLS.N",20110329,NA,"End Of Day (from Real-Time)",124.68,126.81,122.98,126.76,116561
"61","FLS.N",20110330,NA,"End Of Day (from Real-Time)",127.15,129.36,127.15,128.05,166013
"62","FLS.N",20110331,NA,"End Of Day (from Real-Time)",127.87,129.19,127.87,128.8,159509
"63","FLS.N",20110401,NA,"End Of Day (from Real-Time)",129.54,132.23,129.35,132.04,139767
"64","FLS.N",20110404,NA,"End Of Day (from Real-Time)",132.13,133.27,131.27,133.08,121825
