"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","GGP.N",20110103,NA,"End Of Day (from Real-Time)",15.58,15.83,15.47,15.73,985447
"2","GGP.N",20110104,NA,"End Of Day (from Real-Time)",15.71,15.75,15.29,15.33,909826
"3","GGP.N",20110105,NA,"End Of Day (from Real-Time)",15.11,15.44,15.05,15.41,1251193
"4","GGP.N",20110106,NA,"End Of Day (from Real-Time)",15.34,15.36,14.89,14.93,646496
"5","GGP.N",20110107,NA,"End Of Day (from Real-Time)",14.97,15.05,14.64,15.02,746697
"6","GGP.N",20110110,NA,"End Of Day (from Real-Time)",14.65,15.01,14.63,14.99,854818
"7","GGP.N",20110111,NA,"End Of Day (from Real-Time)",15.05,15.05,14.55,14.74,1367025
"8","GGP.N",20110112,NA,"End Of Day (from Real-Time)",14.75,15,14.69,14.8,805987
"9","GGP.N",20110113,NA,"End Of Day (from Real-Time)",14.77,14.94,14.61,14.81,832256
"10","GGP.N",20110114,NA,"End Of Day (from Real-Time)",14.79,15.14,14.67,15.1,828275
"11","GGP.N",20110118,NA,"End Of Day (from Real-Time)",15.1,15.12,14.72,14.84,1007406
"12","GGP.N",20110119,NA,"End Of Day (from Real-Time)",14.8,14.82,14.43,14.5,925466
"13","GGP.N",20110120,NA,"End Of Day (from Real-Time)",14.43,14.69,14.31,14.43,901253
"14","GGP.N",20110121,NA,"End Of Day (from Real-Time)",14.47,14.49,14.27,14.35,898645
"15","GGP.N",20110124,NA,"End Of Day (from Real-Time)",14.47,14.67,14.4,14.67,1139225
"16","GGP.N",20110125,NA,"End Of Day (from Real-Time)",14.63,14.85,14.54,14.85,1239659
"17","GGP.N",20110126,NA,"End Of Day (from Real-Time)",14.86,14.9,14.66,14.88,1024659
"18","GGP.N",20110127,NA,"End Of Day (from Real-Time)",14.83,15.25,14.75,15,1459007
"19","GGP.N",20110128,NA,"End Of Day (from Real-Time)",15,15.04,14.41,14.57,1250287
"20","GGP.N",20110131,NA,"End Of Day (from Real-Time)",14.59,14.87,14.59,14.81,1278337
"21","GGP.N",20110201,NA,"End Of Day (from Real-Time)",14.9,14.98,14.55,14.93,1325613
"22","GGP.N",20110202,NA,"End Of Day (from Real-Time)",14.86,14.98,14.76,14.84,742605
