"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","GME.N",20110103,NA,"End Of Day (from Real-Time)",23,23.23,22.9,22.91,638367
"2","GME.N",20110104,NA,"End Of Day (from Real-Time)",22.97,22.98,22.47,22.5,752464
"3","GME.N",20110105,NA,"End Of Day (from Real-Time)",22.48,22.64,21.89,21.89,1440306
"4","GME.N",20110106,NA,"End Of Day (from Real-Time)",21.29,21.32,20.55,20.63,2208961
"5","GME.N",20110107,NA,"End Of Day (from Real-Time)",20.64,20.96,20.19,20.77,1389431
"6","GME.N",20110110,NA,"End Of Day (from Real-Time)",20.68,20.75,20.3,20.7,800586
"7","GME.N",20110111,NA,"End Of Day (from Real-Time)",20.69,20.7,20.11,20.19,1049240
"8","GME.N",20110112,NA,"End Of Day (from Real-Time)",20.25,20.76,20.22,20.67,1241026
"9","GME.N",20110113,NA,"End Of Day (from Real-Time)",20.67,21,20.59,20.6,953914
"10","GME.N",20110114,NA,"End Of Day (from Real-Time)",20.55,20.63,20.32,20.37,876884
"11","GME.N",20110118,NA,"End Of Day (from Real-Time)",20.42,20.58,20.12,20.37,849915
"12","GME.N",20110119,NA,"End Of Day (from Real-Time)",20.33,20.51,20.12,20.46,900168
"13","GME.N",20110120,NA,"End Of Day (from Real-Time)",20.43,21.01,20.43,21.01,1351458
"14","GME.N",20110121,NA,"End Of Day (from Real-Time)",21.18,21.2,20.81,20.9,1197073
"15","GME.N",20110124,NA,"End Of Day (from Real-Time)",20.77,21.09,20.49,21.09,781544
"16","GME.N",20110125,NA,"End Of Day (from Real-Time)",20.96,21.08,20.81,21.06,805801
"17","GME.N",20110126,NA,"End Of Day (from Real-Time)",21.12,21.25,20.93,21.04,554571
"18","GME.N",20110127,NA,"End Of Day (from Real-Time)",21.08,21.25,20.96,21.07,682361
"19","GME.N",20110128,NA,"End Of Day (from Real-Time)",21.07,21.16,20.67,20.98,909045
"20","GME.N",20110131,NA,"End Of Day (from Real-Time)",21.09,21.15,20.83,21.07,720508
"21","GME.N",20110201,NA,"End Of Day (from Real-Time)",21.18,21.18,20.52,20.55,1135592
"22","GME.N",20110202,NA,"End Of Day (from Real-Time)",20.4,20.4,19.73,19.82,1615169
"23","GME.N",20110203,NA,"End Of Day (from Real-Time)",19.79,20.18,19.19,19.5,1490828
"24","GME.N",20110204,NA,"End Of Day (from Real-Time)",19.8,20.32,19.8,20.05,1327975
"25","GME.N",20110207,NA,"End Of Day (from Real-Time)",20.14,20.27,20.07,20.14,880169
"26","GME.N",20110208,NA,"End Of Day (from Real-Time)",20.1,20.16,19.84,20.02,1486311
"27","GME.N",20110209,NA,"End Of Day (from Real-Time)",20.05,20.09,19.64,19.7,1245427
"28","GME.N",20110210,NA,"End Of Day (from Real-Time)",19.54,20.65,19.51,20.37,1310215
"29","GME.N",20110211,NA,"End Of Day (from Real-Time)",20.34,20.41,20.07,20.28,1036532
"30","GME.N",20110214,NA,"End Of Day (from Real-Time)",19.7,20,19.56,19.87,1311763
"31","GME.N",20110215,NA,"End Of Day (from Real-Time)",19.81,20.15,19.79,20.04,1045258
"32","GME.N",20110216,NA,"End Of Day (from Real-Time)",20.06,20.3,19.98,20.27,950188
"33","GME.N",20110217,NA,"End Of Day (from Real-Time)",20.22,20.58,20.06,20.11,846470
"34","GME.N",20110218,NA,"End Of Day (from Real-Time)",20.17,20.35,19.86,19.95,1043320
