"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","GNW.N",20110103,NA,"End Of Day (from Real-Time)",13.31,13.58,13.28,13.5,1446854
"2","GNW.N",20110104,NA,"End Of Day (from Real-Time)",13.57,13.73,13.35,13.49,1477634
"3","GNW.N",20110105,NA,"End Of Day (from Real-Time)",13.38,13.58,13.33,13.54,1073678
"4","GNW.N",20110106,NA,"End Of Day (from Real-Time)",13.53,14.31,13.46,14.21,1792384
"5","GNW.N",20110107,NA,"End Of Day (from Real-Time)",14.44,14.75,14,14.12,2943905
"6","GNW.N",20110110,NA,"End Of Day (from Real-Time)",13.99,14.09,13.81,13.88,1794906
"7","GNW.N",20110111,NA,"End Of Day (from Real-Time)",13.96,14.77,13.89,14.23,2881347
"8","GNW.N",20110112,NA,"End Of Day (from Real-Time)",14.24,14.42,14.11,14.31,1491699
"9","GNW.N",20110113,NA,"End Of Day (from Real-Time)",14.27,14.53,14.14,14.24,1197106
"10","GNW.N",20110114,NA,"End Of Day (from Real-Time)",14.16,14.32,14.01,14.31,1117738
"11","GNW.N",20110118,NA,"End Of Day (from Real-Time)",14.3,14.3,14.08,14.14,1094148
"12","GNW.N",20110119,NA,"End Of Day (from Real-Time)",13.95,14,13.4,13.44,2950163
"13","GNW.N",20110120,NA,"End Of Day (from Real-Time)",13.4,13.59,13.12,13.31,2377746
"14","GNW.N",20110121,NA,"End Of Day (from Real-Time)",13.41,13.62,13.28,13.61,2346928
"15","GNW.N",20110124,NA,"End Of Day (from Real-Time)",13.6,13.73,13.52,13.65,1381148
"16","GNW.N",20110125,NA,"End Of Day (from Real-Time)",13.62,13.8,13.46,13.8,1923666
"17","GNW.N",20110126,NA,"End Of Day (from Real-Time)",13.84,14.01,13.76,13.77,1522232
"18","GNW.N",20110127,NA,"End Of Day (from Real-Time)",13.8,14.13,13.72,14.12,1128284
"19","GNW.N",20110128,NA,"End Of Day (from Real-Time)",14.15,14.18,13.81,13.85,3683338
"20","GNW.N",20110131,NA,"End Of Day (from Real-Time)",13.87,14.09,13.53,13.57,1914996
"21","GNW.N",20110201,NA,"End Of Day (from Real-Time)",13.67,14.01,13.64,13.94,2436170
"22","GNW.N",20110202,NA,"End Of Day (from Real-Time)",12.81,13.27,12.3,12.79,5936795
"23","GNW.N",20110203,NA,"End Of Day (from Real-Time)",12.65,12.86,12.65,12.82,2890248
"24","GNW.N",20110204,NA,"End Of Day (from Real-Time)",12.76,12.96,12.65,12.91,2117751
