"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","GPC.N",20110103,NA,"End Of Day (from Real-Time)",51.83,52.38,51.77,52.29,321923
"2","GPC.N",20110104,NA,"End Of Day (from Real-Time)",52.4,52.4,51.29,51.6,401817
"3","GPC.N",20110105,NA,"End Of Day (from Real-Time)",51.37,51.74,51.14,51.48,209123
"4","GPC.N",20110106,NA,"End Of Day (from Real-Time)",51.4,51.52,50.86,50.89,192789
"5","GPC.N",20110107,NA,"End Of Day (from Real-Time)",51,51.48,50.73,50.98,187368
"6","GPC.N",20110110,NA,"End Of Day (from Real-Time)",50.72,51.92,50.63,51.76,275433
"7","GPC.N",20110111,NA,"End Of Day (from Real-Time)",51.95,51.99,51.24,51.52,301450
"8","GPC.N",20110112,NA,"End Of Day (from Real-Time)",51.86,52.03,51.36,51.52,180086
"9","GPC.N",20110113,NA,"End Of Day (from Real-Time)",51.52,51.61,50.91,51.05,233060
"10","GPC.N",20110114,NA,"End Of Day (from Real-Time)",51.05,51.29,50.94,51.15,227867
"11","GPC.N",20110118,NA,"End Of Day (from Real-Time)",51.11,51.21,50.66,51.04,306712
"12","GPC.N",20110119,NA,"End Of Day (from Real-Time)",50.85,51.11,50.62,50.91,242956
"13","GPC.N",20110120,NA,"End Of Day (from Real-Time)",50.74,51.31,50.46,50.52,231823
"14","GPC.N",20110121,NA,"End Of Day (from Real-Time)",50.72,50.73,50.28,50.49,235341
"15","GPC.N",20110124,NA,"End Of Day (from Real-Time)",50.52,51.31,50.5,51.17,186709
"16","GPC.N",20110125,NA,"End Of Day (from Real-Time)",51.19,51.35,50.78,51.15,141176
"17","GPC.N",20110126,NA,"End Of Day (from Real-Time)",51.24,51.8,51.08,51.42,144534
"18","GPC.N",20110127,NA,"End Of Day (from Real-Time)",51.44,52.13,51.3,51.88,304785
"19","GPC.N",20110128,NA,"End Of Day (from Real-Time)",52.14,52.58,51.26,51.43,483512
"20","GPC.N",20110131,NA,"End Of Day (from Real-Time)",51.57,52.24,51.45,51.75,761920
"21","GPC.N",20110201,NA,"End Of Day (from Real-Time)",52.1,53.2,52.01,52.83,234270
"22","GPC.N",20110202,NA,"End Of Day (from Real-Time)",52.72,52.8,51.86,51.88,159678
"23","GPC.N",20110203,NA,"End Of Day (from Real-Time)",51.75,52.02,51.5,51.94,180795
"24","GPC.N",20110204,NA,"End Of Day (from Real-Time)",51.9,52.61,51.86,52.57,147900
"25","GPC.N",20110207,NA,"End Of Day (from Real-Time)",52.59,53.11,52.59,53.11,198552
"26","GPC.N",20110208,NA,"End Of Day (from Real-Time)",53.2,53.71,53.11,53.71,222806
"27","GPC.N",20110209,NA,"End Of Day (from Real-Time)",53.49,53.74,53.2,53.42,224064
"28","GPC.N",20110210,NA,"End Of Day (from Real-Time)",53.23,53.72,52.95,53.72,226418
"29","GPC.N",20110211,NA,"End Of Day (from Real-Time)",53.5,54.07,53.28,54.04,221130
"30","GPC.N",20110214,NA,"End Of Day (from Real-Time)",54.1,54.1,53.2,53.84,186192
"31","GPC.N",20110215,NA,"End Of Day (from Real-Time)",53.64,53.81,53.17,53.81,257523
"32","GPC.N",20110216,NA,"End Of Day (from Real-Time)",53.97,54.23,53.76,53.99,154104
"33","GPC.N",20110217,NA,"End Of Day (from Real-Time)",53.82,54.32,53.69,54.13,145418
"34","GPC.N",20110218,NA,"End Of Day (from Real-Time)",54.34,55.28,54.33,55.25,443459
"35","GPC.N",20110222,NA,"End Of Day (from Real-Time)",55.7,55.7,51.7,52.58,738456
"36","GPC.N",20110223,NA,"End Of Day (from Real-Time)",52.67,52.91,51.42,51.83,281739
"37","GPC.N",20110224,NA,"End Of Day (from Real-Time)",51.61,52.22,51.24,51.78,422813
"38","GPC.N",20110225,NA,"End Of Day (from Real-Time)",52,52.58,51.88,52.33,331913
"39","GPC.N",20110228,NA,"End Of Day (from Real-Time)",52.61,53.19,52.53,52.69,322935
