"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HAR.N",20110103,NA,"End Of Day (from Real-Time)",47.3,47.83,47.12,47.68,163706
"2","HAR.N",20110104,NA,"End Of Day (from Real-Time)",47.69,47.76,45.73,45.96,147169
"3","HAR.N",20110105,NA,"End Of Day (from Real-Time)",45.85,46.58,45.67,46.29,185804
"4","HAR.N",20110106,NA,"End Of Day (from Real-Time)",46.35,46.35,44.84,44.94,176882
"5","HAR.N",20110107,NA,"End Of Day (from Real-Time)",45.08,45.27,43.43,43.92,264662
"6","HAR.N",20110110,NA,"End Of Day (from Real-Time)",43.88,45.73,43.8,45.57,400537
"7","HAR.N",20110111,NA,"End Of Day (from Real-Time)",45.91,46.39,45.17,45.55,267243
"8","HAR.N",20110112,NA,"End Of Day (from Real-Time)",46.05,46.89,45.73,46.88,183524
"9","HAR.N",20110113,NA,"End Of Day (from Real-Time)",46.65,46.72,45.64,45.93,166898
"10","HAR.N",20110114,NA,"End Of Day (from Real-Time)",45.84,46.15,45.71,46,143281
"11","HAR.N",20110118,NA,"End Of Day (from Real-Time)",45.97,46.04,45.53,45.98,174091
"12","HAR.N",20110119,NA,"End Of Day (from Real-Time)",45.97,46.05,44.97,45.12,122904
"13","HAR.N",20110120,NA,"End Of Day (from Real-Time)",45,45.07,44.39,44.78,117031
"14","HAR.N",20110121,NA,"End Of Day (from Real-Time)",45.18,45.18,44.08,44.24,204307
"15","HAR.N",20110124,NA,"End Of Day (from Real-Time)",44.29,45.66,44.29,45.1,170082
"16","HAR.N",20110125,NA,"End Of Day (from Real-Time)",44.88,45.33,43.65,44.41,174600
"17","HAR.N",20110126,NA,"End Of Day (from Real-Time)",44.57,45.07,44.17,44.36,139527
"18","HAR.N",20110127,NA,"End Of Day (from Real-Time)",44.31,44.52,43.75,44.12,144320
"19","HAR.N",20110128,NA,"End Of Day (from Real-Time)",44.17,44.63,42.67,42.74,137698
"20","HAR.N",20110131,NA,"End Of Day (from Real-Time)",42.89,43.93,42.89,43.32,158442
"21","HAR.N",20110201,NA,"End Of Day (from Real-Time)",43.78,44.3,43.67,43.89,104882
"22","HAR.N",20110202,NA,"End Of Day (from Real-Time)",43.6,43.7,43.05,43.5,170816
"23","HAR.N",20110203,NA,"End Of Day (from Real-Time)",47.97,50.29,47.4,48.79,512330
"24","HAR.N",20110204,NA,"End Of Day (from Real-Time)",48.99,49.5,48.28,49.26,250907
"25","HAR.N",20110207,NA,"End Of Day (from Real-Time)",49.42,49.78,49.04,49.12,166824
"26","HAR.N",20110208,NA,"End Of Day (from Real-Time)",49.09,51.3,49.09,51.29,143990
"27","HAR.N",20110209,NA,"End Of Day (from Real-Time)",50.93,51.37,50.34,51.17,124449
"28","HAR.N",20110210,NA,"End Of Day (from Real-Time)",50.7,51.16,50.06,51.09,105717
"29","HAR.N",20110211,NA,"End Of Day (from Real-Time)",50.96,51.77,50.07,51.58,115176
"30","HAR.N",20110214,NA,"End Of Day (from Real-Time)",51.04,51.71,51.04,51.43,118783
"31","HAR.N",20110215,NA,"End Of Day (from Real-Time)",51.1,51.31,50.44,50.66,84737
"32","HAR.N",20110216,NA,"End Of Day (from Real-Time)",50.91,51.12,50.18,50.64,118117
"33","HAR.N",20110217,NA,"End Of Day (from Real-Time)",50.54,51.71,50.18,51.46,138116
"34","HAR.N",20110218,NA,"End Of Day (from Real-Time)",51.39,52.53,50.98,51.56,181451
"35","HAR.N",20110222,NA,"End Of Day (from Real-Time)",50.63,50.75,48.6,48.77,175458
"36","HAR.N",20110223,NA,"End Of Day (from Real-Time)",48.8,49.1,46.39,46.87,199174
"37","HAR.N",20110224,NA,"End Of Day (from Real-Time)",46.85,47.93,46.28,47.51,188453
