"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HCN.N",20110103,NA,"End Of Day (from Real-Time)",48.03,48.48,47.88,48.43,618286
"2","HCN.N",20110104,NA,"End Of Day (from Real-Time)",48.5,48.55,47.25,47.75,584815
"3","HCN.N",20110105,NA,"End Of Day (from Real-Time)",47.7,48.03,47.54,47.84,437679
"4","HCN.N",20110106,NA,"End Of Day (from Real-Time)",47.93,47.97,47.43,47.7,401905
"5","HCN.N",20110107,NA,"End Of Day (from Real-Time)",47.87,47.96,47.11,47.4,511662
"6","HCN.N",20110110,NA,"End Of Day (from Real-Time)",47.34,47.54,46.95,47.35,477098
"7","HCN.N",20110111,NA,"End Of Day (from Real-Time)",47.56,47.69,47.04,47.27,511198
"8","HCN.N",20110112,NA,"End Of Day (from Real-Time)",47.48,47.54,46.75,47,479449
"9","HCN.N",20110113,NA,"End Of Day (from Real-Time)",47,47.13,46.77,47.09,629053
"10","HCN.N",20110114,NA,"End Of Day (from Real-Time)",47.26,47.43,46.95,47.05,485898
"11","HCN.N",20110118,NA,"End Of Day (from Real-Time)",47.08,47.56,46.89,47.55,368443
"12","HCN.N",20110119,NA,"End Of Day (from Real-Time)",47.45,47.8,47.27,47.75,514208
"13","HCN.N",20110120,NA,"End Of Day (from Real-Time)",47.75,48.23,47.66,47.84,430613
"14","HCN.N",20110121,NA,"End Of Day (from Real-Time)",48.16,48.16,47.38,47.58,524483
"15","HCN.N",20110124,NA,"End Of Day (from Real-Time)",47.69,48.05,47.6,47.85,443555
"16","HCN.N",20110125,NA,"End Of Day (from Real-Time)",47.84,48.5,47.48,48.5,475826
"17","HCN.N",20110126,NA,"End Of Day (from Real-Time)",48.67,48.75,48.38,48.57,410265
"18","HCN.N",20110127,NA,"End Of Day (from Real-Time)",48.78,49.28,48.65,49.17,534127
"19","HCN.N",20110128,NA,"End Of Day (from Real-Time)",49.15,49.27,48.42,48.5,512977
"20","HCN.N",20110131,NA,"End Of Day (from Real-Time)",48.74,49.16,48.64,49.08,517988
"21","HCN.N",20110201,NA,"End Of Day (from Real-Time)",49.4,49.67,48.8,49.59,519734
