"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HIG.N",20110103,NA,"End Of Day (from Real-Time)",26.92,27.9,26.92,27.77,1568787
"2","HIG.N",20110104,NA,"End Of Day (from Real-Time)",27.92,28.1,27.56,27.94,1626748
"3","HIG.N",20110105,NA,"End Of Day (from Real-Time)",27.8,28.46,27.69,28.34,1431381
"4","HIG.N",20110106,NA,"End Of Day (from Real-Time)",28.45,28.54,27.83,27.83,1873279
"5","HIG.N",20110107,NA,"End Of Day (from Real-Time)",27.92,28.15,27.4,27.76,1739537
"6","HIG.N",20110110,NA,"End Of Day (from Real-Time)",27.61,27.73,27.15,27.58,1597086
"7","HIG.N",20110111,NA,"End Of Day (from Real-Time)",27.82,28.34,27.75,27.93,1261511
"8","HIG.N",20110112,NA,"End Of Day (from Real-Time)",28.28,28.44,28.06,28.16,975260
"9","HIG.N",20110113,NA,"End Of Day (from Real-Time)",28.09,28.42,27.89,28.28,1414062
"10","HIG.N",20110114,NA,"End Of Day (from Real-Time)",28.13,28.51,28,28.48,1086360
"11","HIG.N",20110118,NA,"End Of Day (from Real-Time)",28.5,28.64,28.31,28.46,882166
"12","HIG.N",20110119,NA,"End Of Day (from Real-Time)",28.35,28.51,27.27,27.5,1265254
"13","HIG.N",20110120,NA,"End Of Day (from Real-Time)",27.52,27.75,27.02,27.4,1633652
"14","HIG.N",20110121,NA,"End Of Day (from Real-Time)",27.73,28.05,27.44,27.87,1691063
"15","HIG.N",20110124,NA,"End Of Day (from Real-Time)",27.94,27.94,27.48,27.71,1396011
"16","HIG.N",20110125,NA,"End Of Day (from Real-Time)",27.57,27.99,27.41,27.85,1120956
"17","HIG.N",20110126,NA,"End Of Day (from Real-Time)",27.95,28.3,27.91,28.08,1229646
"18","HIG.N",20110127,NA,"End Of Day (from Real-Time)",28.12,28.71,27.95,28.67,1010160
"19","HIG.N",20110128,NA,"End Of Day (from Real-Time)",28.7,28.82,27.67,27.69,1630617
"20","HIG.N",20110131,NA,"End Of Day (from Real-Time)",27.82,28.07,27.68,27.78,1652813
"21","HIG.N",20110201,NA,"End Of Day (from Real-Time)",28.26,28.92,28.17,28.75,1520677
"22","HIG.N",20110202,NA,"End Of Day (from Real-Time)",28.67,28.78,27.9,27.93,1495709
"23","HIG.N",20110203,NA,"End Of Day (from Real-Time)",28.6,28.9,27.85,28.71,2175483
"24","HIG.N",20110204,NA,"End Of Day (from Real-Time)",28.7,29.39,28.51,29.23,1620471
"25","HIG.N",20110207,NA,"End Of Day (from Real-Time)",29.42,29.93,29.36,29.76,1323197
"26","HIG.N",20110208,NA,"End Of Day (from Real-Time)",30,30.18,29.65,30.14,1543076
"27","HIG.N",20110209,NA,"End Of Day (from Real-Time)",29.91,29.91,29.43,29.44,1385303
"28","HIG.N",20110210,NA,"End Of Day (from Real-Time)",29.35,29.35,28.94,29.25,1364707
"29","HIG.N",20110211,NA,"End Of Day (from Real-Time)",29.17,29.89,28.95,29.75,1255864
"30","HIG.N",20110214,NA,"End Of Day (from Real-Time)",29.76,29.84,29.17,29.22,1412847
"31","HIG.N",20110215,NA,"End Of Day (from Real-Time)",29.21,29.6,29.08,29.29,1386740
"32","HIG.N",20110216,NA,"End Of Day (from Real-Time)",29.44,30.24,29.41,30.2,1457670
"33","HIG.N",20110217,NA,"End Of Day (from Real-Time)",30.01,30.85,29.97,30.79,1432879
"34","HIG.N",20110218,NA,"End Of Day (from Real-Time)",30.86,31.08,30.56,30.8,1744582
"35","HIG.N",20110222,NA,"End Of Day (from Real-Time)",30.32,30.49,29.4,29.48,1739510
