"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HON.N",20110103,NA,"End Of Day (from Real-Time)",53.48,54.42,53.45,54.21,1156456
"2","HON.N",20110104,NA,"End Of Day (from Real-Time)",54.23,54.24,52.98,53.48,1166746
"3","HON.N",20110105,NA,"End Of Day (from Real-Time)",53.15,54.65,53.15,54.37,1093032
"4","HON.N",20110106,NA,"End Of Day (from Real-Time)",54.53,54.54,53.71,54.36,967691
"5","HON.N",20110107,NA,"End Of Day (from Real-Time)",54.59,54.68,53.82,54.3,815993
"6","HON.N",20110110,NA,"End Of Day (from Real-Time)",53.9,54.12,53.4,53.9,1269924
"7","HON.N",20110111,NA,"End Of Day (from Real-Time)",54.23,54.36,53.7,54,772563
"8","HON.N",20110112,NA,"End Of Day (from Real-Time)",54.41,54.79,54.16,54.72,1011310
"9","HON.N",20110113,NA,"End Of Day (from Real-Time)",54.72,54.84,54.41,54.59,1158148
"10","HON.N",20110114,NA,"End Of Day (from Real-Time)",54.37,55.03,54.37,55.02,993128
"11","HON.N",20110118,NA,"End Of Day (from Real-Time)",55.11,55.25,54.58,54.76,1013598
"12","HON.N",20110119,NA,"End Of Day (from Real-Time)",54.77,54.93,54.07,54.34,898609
"13","HON.N",20110120,NA,"End Of Day (from Real-Time)",54.37,55.84,53.96,54.58,1936224
"14","HON.N",20110121,NA,"End Of Day (from Real-Time)",55.07,55.19,54.43,54.49,1757004
"15","HON.N",20110124,NA,"End Of Day (from Real-Time)",54.53,55.63,54.47,55.37,963858
"16","HON.N",20110125,NA,"End Of Day (from Real-Time)",55.26,55.44,54.69,55.38,701316
"17","HON.N",20110126,NA,"End Of Day (from Real-Time)",55.38,56.09,55.15,55.77,1303084
"18","HON.N",20110127,NA,"End Of Day (from Real-Time)",55.9,56.03,55.36,55.92,958148
"19","HON.N",20110128,NA,"End Of Day (from Real-Time)",55.79,56.99,54.59,55.32,2135867
"20","HON.N",20110131,NA,"End Of Day (from Real-Time)",55.23,56.01,54.75,56.01,1621141
"21","HON.N",20110201,NA,"End Of Day (from Real-Time)",56.28,57,56.1,56.94,1253868
"22","HON.N",20110202,NA,"End Of Day (from Real-Time)",56.77,57.83,56.75,57.41,1409896
"23","HON.N",20110203,NA,"End Of Day (from Real-Time)",57.18,57.7,57.03,57.17,1457028
"24","HON.N",20110204,NA,"End Of Day (from Real-Time)",57.25,57.25,56.52,57.12,955086
"25","HON.N",20110207,NA,"End Of Day (from Real-Time)",57.05,57.42,56.97,57.13,811158
"26","HON.N",20110208,NA,"End Of Day (from Real-Time)",57.29,57.48,57.13,57.39,957350
"27","HON.N",20110209,NA,"End Of Day (from Real-Time)",57.04,57.54,56.95,57.34,1120872
"28","HON.N",20110210,NA,"End Of Day (from Real-Time)",57.21,57.63,57.09,57.47,1403584
"29","HON.N",20110211,NA,"End Of Day (from Real-Time)",57.33,58.07,57.09,57.98,811590
"30","HON.N",20110214,NA,"End Of Day (from Real-Time)",57.81,57.85,57.2,57.6,865028
"31","HON.N",20110215,NA,"End Of Day (from Real-Time)",57.32,57.45,56.94,57.37,655213
