"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HOT.N",20110103,NA,"End Of Day (from Real-Time)",61.4,62.37,61.4,62,684394
"2","HOT.N",20110104,NA,"End Of Day (from Real-Time)",62.02,62.1,60.55,61.28,476442
"3","HOT.N",20110105,NA,"End Of Day (from Real-Time)",60.91,62.48,60.91,62.22,511378
"4","HOT.N",20110106,NA,"End Of Day (from Real-Time)",62.24,62.38,60.95,61.2,391357
"5","HOT.N",20110107,NA,"End Of Day (from Real-Time)",61.44,61.98,60.17,61.29,467336
"6","HOT.N",20110110,NA,"End Of Day (from Real-Time)",60.8,61.22,59.93,61.02,460981
"7","HOT.N",20110111,NA,"End Of Day (from Real-Time)",61.39,61.54,60.38,60.55,416423
"8","HOT.N",20110112,NA,"End Of Day (from Real-Time)",60.87,61.13,59.51,60.09,586993
"9","HOT.N",20110113,NA,"End Of Day (from Real-Time)",60.26,61.34,60.21,61.31,506360
"10","HOT.N",20110114,NA,"End Of Day (from Real-Time)",61.38,62.98,61.33,62.89,658518
"11","HOT.N",20110118,NA,"End Of Day (from Real-Time)",62.94,63.5,62.39,62.69,600917
"12","HOT.N",20110119,NA,"End Of Day (from Real-Time)",62.59,62.65,61.63,61.98,584505
"13","HOT.N",20110120,NA,"End Of Day (from Real-Time)",61.44,61.53,59.97,61.12,955159
"14","HOT.N",20110121,NA,"End Of Day (from Real-Time)",61.78,62.61,61.26,62,722085
"15","HOT.N",20110124,NA,"End Of Day (from Real-Time)",61.9,63.14,61.56,62.7,634919
"16","HOT.N",20110125,NA,"End Of Day (from Real-Time)",62.36,62.43,60.86,61.44,704657
"17","HOT.N",20110126,NA,"End Of Day (from Real-Time)",61.49,62.21,61.32,61.78,742313
"18","HOT.N",20110127,NA,"End Of Day (from Real-Time)",61.57,62.2,60.83,61.33,445282
"19","HOT.N",20110128,NA,"End Of Day (from Real-Time)",61.47,61.86,58.3,58.44,861225
"20","HOT.N",20110131,NA,"End Of Day (from Real-Time)",58.65,59.91,58.44,58.97,800583
"21","HOT.N",20110201,NA,"End Of Day (from Real-Time)",59.75,60.71,59.5,60.42,665930
"22","HOT.N",20110202,NA,"End Of Day (from Real-Time)",60.1,61.08,59.58,60.81,521209
"23","HOT.N",20110203,NA,"End Of Day (from Real-Time)",62,63.99,59.76,60.33,1334096
"24","HOT.N",20110204,NA,"End Of Day (from Real-Time)",60.96,61.97,60.38,61.71,514247
"25","HOT.N",20110207,NA,"End Of Day (from Real-Time)",62.47,63.3,62.22,62.84,478095
"26","HOT.N",20110208,NA,"End Of Day (from Real-Time)",62.27,63.19,62.11,63.05,679523
"27","HOT.N",20110209,NA,"End Of Day (from Real-Time)",62.74,63.24,62.26,62.88,584775
"28","HOT.N",20110210,NA,"End Of Day (from Real-Time)",62.41,63.52,62.33,63.39,453413
"29","HOT.N",20110211,NA,"End Of Day (from Real-Time)",63,65.13,62.81,65.01,711402
"30","HOT.N",20110214,NA,"End Of Day (from Real-Time)",65.08,65.41,64.27,65,467579
"31","HOT.N",20110215,NA,"End Of Day (from Real-Time)",64.96,65.28,64.3,64.91,488324
"32","HOT.N",20110216,NA,"End Of Day (from Real-Time)",65.1,65.51,64.46,64.82,519733
"33","HOT.N",20110217,NA,"End Of Day (from Real-Time)",64.86,65,64.36,64.58,311298
"34","HOT.N",20110218,NA,"End Of Day (from Real-Time)",64.58,65.15,64.3,65.09,616141
"35","HOT.N",20110222,NA,"End Of Day (from Real-Time)",63.76,63.76,61.72,61.93,964584
"36","HOT.N",20110223,NA,"End Of Day (from Real-Time)",61.68,62.23,59.67,60.45,824903
"37","HOT.N",20110224,NA,"End Of Day (from Real-Time)",60.35,61.12,59.04,60.03,1006886
"38","HOT.N",20110225,NA,"End Of Day (from Real-Time)",60.26,61.73,60.07,61.55,464712
