"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HRS.N",20110103,NA,"End Of Day (from Real-Time)",45.66,45.8,45.14,45.15,319629
"2","HRS.N",20110104,NA,"End Of Day (from Real-Time)",45.23,45.44,44.96,45.44,257883
"3","HRS.N",20110105,NA,"End Of Day (from Real-Time)",45.32,45.88,45.17,45.85,390510
"4","HRS.N",20110106,NA,"End Of Day (from Real-Time)",45.87,46.56,44.26,46.33,360455
"5","HRS.N",20110107,NA,"End Of Day (from Real-Time)",46.51,46.72,46.03,46.36,311934
"6","HRS.N",20110110,NA,"End Of Day (from Real-Time)",46.27,47.4,46.27,47.34,345788
"7","HRS.N",20110111,NA,"End Of Day (from Real-Time)",47.68,47.94,47.45,47.6,270837
"8","HRS.N",20110112,NA,"End Of Day (from Real-Time)",47.91,48.29,47.73,48.04,229380
"9","HRS.N",20110113,NA,"End Of Day (from Real-Time)",48.25,48.44,47.71,47.9,267254
"10","HRS.N",20110114,NA,"End Of Day (from Real-Time)",47.81,48.37,47.78,48.33,203007
"11","HRS.N",20110118,NA,"End Of Day (from Real-Time)",48.66,48.8,48.22,48.64,198036
"12","HRS.N",20110119,NA,"End Of Day (from Real-Time)",48.58,48.63,47.64,47.88,236690
"13","HRS.N",20110120,NA,"End Of Day (from Real-Time)",47.89,47.89,47.15,47.47,325100
"14","HRS.N",20110121,NA,"End Of Day (from Real-Time)",47.86,47.92,47.34,47.56,340039
"15","HRS.N",20110124,NA,"End Of Day (from Real-Time)",47.59,47.97,47.59,47.94,217807
"16","HRS.N",20110125,NA,"End Of Day (from Real-Time)",47.88,48.68,47.8,48.61,299380
"17","HRS.N",20110126,NA,"End Of Day (from Real-Time)",49.02,49.3,48.55,48.78,332673
"18","HRS.N",20110127,NA,"End Of Day (from Real-Time)",49.97,49.97,47.8,48.19,473415
"19","HRS.N",20110128,NA,"End Of Day (from Real-Time)",48.21,48.52,45.96,46.36,543864
"20","HRS.N",20110131,NA,"End Of Day (from Real-Time)",46.56,46.7,46.15,46.54,604091
"21","HRS.N",20110201,NA,"End Of Day (from Real-Time)",46.85,47.19,46.37,46.52,475962
"22","HRS.N",20110202,NA,"End Of Day (from Real-Time)",46.43,46.86,46.26,46.49,318080
"23","HRS.N",20110203,NA,"End Of Day (from Real-Time)",46.53,46.57,45.95,46.45,334362
"24","HRS.N",20110204,NA,"End Of Day (from Real-Time)",46.58,47.36,46.34,47.36,287459
"25","HRS.N",20110207,NA,"End Of Day (from Real-Time)",47.39,48.43,47.39,48.29,457447
"26","HRS.N",20110208,NA,"End Of Day (from Real-Time)",48.23,48.81,48.23,48.78,404800
"27","HRS.N",20110209,NA,"End Of Day (from Real-Time)",48.7,49.24,48.63,49.21,473733
"28","HRS.N",20110210,NA,"End Of Day (from Real-Time)",49.03,49.64,48.73,49.35,348173
"29","HRS.N",20110211,NA,"End Of Day (from Real-Time)",49.27,49.71,48.94,49.21,242033
"30","HRS.N",20110214,NA,"End Of Day (from Real-Time)",49.19,49.61,49.19,49.3,214321
"31","HRS.N",20110215,NA,"End Of Day (from Real-Time)",49.24,49.32,48.68,48.82,215602
"32","HRS.N",20110216,NA,"End Of Day (from Real-Time)",48.94,48.98,48.41,48.58,204885
"33","HRS.N",20110217,NA,"End Of Day (from Real-Time)",48.45,48.64,48.19,48.46,276346
"34","HRS.N",20110218,NA,"End Of Day (from Real-Time)",48.55,48.77,48.09,48.65,399279
"35","HRS.N",20110222,NA,"End Of Day (from Real-Time)",48.26,48.3,47.25,47.47,522470
"36","HRS.N",20110223,NA,"End Of Day (from Real-Time)",47.75,47.75,45.57,46,454119
"37","HRS.N",20110224,NA,"End Of Day (from Real-Time)",45.93,46.35,45.58,46.02,280501
"38","HRS.N",20110225,NA,"End Of Day (from Real-Time)",46.31,46.51,46.08,46.45,192473
"39","HRS.N",20110228,NA,"End Of Day (from Real-Time)",46.7,46.8,46.43,46.66,343782
"40","HRS.N",20110301,NA,"End Of Day (from Real-Time)",46.87,46.95,45.93,45.95,210574
"41","HRS.N",20110302,NA,"End Of Day (from Real-Time)",45.96,46.25,45.75,45.88,255436
"42","HRS.N",20110303,NA,"End Of Day (from Real-Time)",46.13,46.75,46.11,46.75,330242
"43","HRS.N",20110304,NA,"End Of Day (from Real-Time)",46.74,46.74,45.75,46.18,336749
"44","HRS.N",20110307,NA,"End Of Day (from Real-Time)",46.48,46.48,45.26,45.59,245961
"45","HRS.N",20110308,NA,"End Of Day (from Real-Time)",45.71,46.23,45.55,46.06,230628
"46","HRS.N",20110309,NA,"End Of Day (from Real-Time)",46,46,45.07,45.38,234035
"47","HRS.N",20110310,NA,"End Of Day (from Real-Time)",45,45.24,44.66,44.71,217681
"48","HRS.N",20110311,NA,"End Of Day (from Real-Time)",44.65,45.71,44.6,45.58,259625
"49","HRS.N",20110314,NA,"End Of Day (from Real-Time)",45.11,45.39,44.47,44.69,223604
"50","HRS.N",20110315,NA,"End Of Day (from Real-Time)",43.53,44.43,43.15,44.25,174946
"51","HRS.N",20110316,NA,"End Of Day (from Real-Time)",44.04,44.56,43.26,43.55,524102
"52","HRS.N",20110317,NA,"End Of Day (from Real-Time)",45.37,46.12,44.86,45.25,544992
"53","HRS.N",20110318,NA,"End Of Day (from Real-Time)",46.04,46.91,46.02,46.52,895038
"54","HRS.N",20110321,NA,"End Of Day (from Real-Time)",47.86,48.2,47.46,47.98,520455
"55","HRS.N",20110322,NA,"End Of Day (from Real-Time)",48.08,48.73,47.98,48.29,516541
"56","HRS.N",20110323,NA,"End Of Day (from Real-Time)",49.05,49.24,48.57,48.72,294570
"57","HRS.N",20110324,NA,"End Of Day (from Real-Time)",48.92,49,48.13,48.17,309106
"58","HRS.N",20110325,NA,"End Of Day (from Real-Time)",48.23,48.4,47.88,48.06,315333
