"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","HST.N",20110103,NA,"End Of Day (from Real-Time)",17.99,18.37,17.96,18.35,1855612
"2","HST.N",20110104,NA,"End Of Day (from Real-Time)",18.37,18.49,17.69,18.08,1776778
"3","HST.N",20110105,NA,"End Of Day (from Real-Time)",17.93,18.51,17.93,18.45,1930765
"4","HST.N",20110106,NA,"End Of Day (from Real-Time)",18.44,18.52,18.25,18.32,1446094
"5","HST.N",20110107,NA,"End Of Day (from Real-Time)",18.41,18.52,18.01,18.24,1739566
"6","HST.N",20110110,NA,"End Of Day (from Real-Time)",18.13,18.36,17.95,18.32,1651470
"7","HST.N",20110111,NA,"End Of Day (from Real-Time)",18.49,18.5,18.2,18.36,1646343
"8","HST.N",20110112,NA,"End Of Day (from Real-Time)",18.53,18.6,18.33,18.45,2031341
"9","HST.N",20110113,NA,"End Of Day (from Real-Time)",18.39,18.54,18.28,18.4,1428253
"10","HST.N",20110114,NA,"End Of Day (from Real-Time)",18.39,18.55,18.35,18.49,1923053
"11","HST.N",20110118,NA,"End Of Day (from Real-Time)",18.52,18.6,18.3,18.56,1686719
"12","HST.N",20110119,NA,"End Of Day (from Real-Time)",18.56,18.75,18.04,18.14,1744234
"13","HST.N",20110120,NA,"End Of Day (from Real-Time)",18.2,18.35,17.92,17.98,2496261
"14","HST.N",20110121,NA,"End Of Day (from Real-Time)",18.05,18.21,18.03,18.14,1901370
"15","HST.N",20110124,NA,"End Of Day (from Real-Time)",18.23,18.29,17.95,18.07,2583391
"16","HST.N",20110125,NA,"End Of Day (from Real-Time)",18.02,18.13,17.88,18.13,1745727
"17","HST.N",20110126,NA,"End Of Day (from Real-Time)",18.21,18.22,18.04,18.11,1728462
"18","HST.N",20110127,NA,"End Of Day (from Real-Time)",18.11,18.53,18.06,18.52,2095116
"19","HST.N",20110128,NA,"End Of Day (from Real-Time)",18.57,18.64,17.84,17.88,2115912
"20","HST.N",20110131,NA,"End Of Day (from Real-Time)",17.97,18.54,17.93,18.51,2728556
"21","HST.N",20110201,NA,"End Of Day (from Real-Time)",18.67,19.01,18.54,19.01,2163232
"22","HST.N",20110202,NA,"End Of Day (from Real-Time)",18.94,18.98,18.76,18.94,1428780
"23","HST.N",20110203,NA,"End Of Day (from Real-Time)",18.97,19.13,18.79,18.96,1766784
"24","HST.N",20110204,NA,"End Of Day (from Real-Time)",18.98,19.16,18.85,19.05,1790527
"25","HST.N",20110207,NA,"End Of Day (from Real-Time)",19.15,19.45,19.02,19.44,1478798
"26","HST.N",20110208,NA,"End Of Day (from Real-Time)",19.52,19.61,19.26,19.61,1491789
"27","HST.N",20110209,NA,"End Of Day (from Real-Time)",19.55,19.55,19.26,19.49,1405232
"28","HST.N",20110210,NA,"End Of Day (from Real-Time)",19.39,19.6,19.29,19.45,1944781
"29","HST.N",20110211,NA,"End Of Day (from Real-Time)",19.42,19.86,19.25,19.77,1907655
"30","HST.N",20110214,NA,"End Of Day (from Real-Time)",19.8,19.88,19.52,19.66,1314239
"31","HST.N",20110215,NA,"End Of Day (from Real-Time)",19.1,19.37,18.75,18.87,2558192
"32","HST.N",20110216,NA,"End Of Day (from Real-Time)",19.01,19.3,18.83,18.93,2111266
"33","HST.N",20110217,NA,"End Of Day (from Real-Time)",18.88,19.1,18.84,18.95,1190858
"34","HST.N",20110218,NA,"End Of Day (from Real-Time)",18.96,18.99,18.86,18.9,2053485
"35","HST.N",20110222,NA,"End Of Day (from Real-Time)",18.67,18.81,18.18,18.21,2169545
"36","HST.N",20110223,NA,"End Of Day (from Real-Time)",18.23,18.33,17.71,18.05,2057144
"37","HST.N",20110224,NA,"End Of Day (from Real-Time)",18.01,18.14,17.61,17.94,2078980
"38","HST.N",20110225,NA,"End Of Day (from Real-Time)",18.02,18.42,18.02,18.38,1560017
"39","HST.N",20110228,NA,"End Of Day (from Real-Time)",18.5,18.53,18.18,18.4,2501942
"40","HST.N",20110301,NA,"End Of Day (from Real-Time)",18.45,18.45,17.52,17.55,3293286
"41","HST.N",20110302,NA,"End Of Day (from Real-Time)",17.55,17.9,17.51,17.64,2294057
"42","HST.N",20110303,NA,"End Of Day (from Real-Time)",17.89,18.07,17.8,17.96,1488153
"43","HST.N",20110304,NA,"End Of Day (from Real-Time)",17.92,18,17.52,17.67,1699925
"44","HST.N",20110307,NA,"End Of Day (from Real-Time)",17.74,17.85,17.29,17.46,1577279
"45","HST.N",20110308,NA,"End Of Day (from Real-Time)",17.52,17.92,17.5,17.71,1603531
"46","HST.N",20110309,NA,"End Of Day (from Real-Time)",17.65,18.01,17.46,17.91,1913659
"47","HST.N",20110310,NA,"End Of Day (from Real-Time)",17.68,17.93,17.47,17.52,1919062
"48","HST.N",20110311,NA,"End Of Day (from Real-Time)",17.5,17.65,17.38,17.52,2247102
"49","HST.N",20110314,NA,"End Of Day (from Real-Time)",17.39,17.55,17.2,17.34,1234529
"50","HST.N",20110315,NA,"End Of Day (from Real-Time)",16.77,17.23,16.77,17.08,2713291
"51","HST.N",20110316,NA,"End Of Day (from Real-Time)",17,17.16,16.62,16.89,2787232
"52","HST.N",20110317,NA,"End Of Day (from Real-Time)",17.19,17.27,16.98,17.27,2707325
"53","HST.N",20110318,NA,"End Of Day (from Real-Time)",17.47,17.69,17.37,17.48,3415708
"54","HST.N",20110321,NA,"End Of Day (from Real-Time)",17.75,18,17.56,17.84,1736756
"55","HST.N",20110322,NA,"End Of Day (from Real-Time)",17.85,17.91,17.58,17.63,1903027
"56","HST.N",20110323,NA,"End Of Day (from Real-Time)",17.59,17.59,17.19,17.46,1549944
"57","HST.N",20110324,NA,"End Of Day (from Real-Time)",17.54,17.78,17.41,17.71,1388868
"58","HST.N",20110325,NA,"End Of Day (from Real-Time)",17.75,18.02,17.68,17.71,957655
"59","HST.N",20110328,NA,"End Of Day (from Real-Time)",17.73,17.77,16.9,17.2,2597731
"60","HST.N",20110329,NA,"End Of Day (from Real-Time)",17.17,17.6,17.08,17.5,1292561
"61","HST.N",20110330,NA,"End Of Day (from Real-Time)",17.64,17.73,17.4,17.53,1378521
"62","HST.N",20110331,NA,"End Of Day (from Real-Time)",17.47,17.63,17.3,17.61,1500771
"63","HST.N",20110401,NA,"End Of Day (from Real-Time)",17.73,17.77,17.31,17.42,1286647
"64","HST.N",20110404,NA,"End Of Day (from Real-Time)",17.44,17.51,17.08,17.1,1282084
"65","HST.N",20110405,NA,"End Of Day (from Real-Time)",17.06,17.11,16.85,16.91,1679859
"66","HST.N",20110406,NA,"End Of Day (from Real-Time)",17.06,17.11,16.91,17,1263677
"67","HST.N",20110407,NA,"End Of Day (from Real-Time)",16.95,16.98,16.76,16.9,1499487
"68","HST.N",20110408,NA,"End Of Day (from Real-Time)",17.02,17.12,16.7,16.7,1572486
"69","HST.N",20110411,NA,"End Of Day (from Real-Time)",16.71,16.8,16.45,16.5,1601620
"70","HST.N",20110412,NA,"End Of Day (from Real-Time)",16.5,16.82,16.43,16.78,1804756
"71","HST.N",20110413,NA,"End Of Day (from Real-Time)",16.85,16.93,16.65,16.76,1493511
"72","HST.N",20110414,NA,"End Of Day (from Real-Time)",16.61,16.94,16.61,16.79,1651794
"73","HST.N",20110415,NA,"End Of Day (from Real-Time)",16.84,17.05,16.77,17.02,1633367
"74","HST.N",20110418,NA,"End Of Day (from Real-Time)",16.74,16.95,16.68,16.89,1635079
"75","HST.N",20110419,NA,"End Of Day (from Real-Time)",16.89,17.38,16.87,17.31,1389852
"76","HST.N",20110420,NA,"End Of Day (from Real-Time)",17.57,17.65,17.36,17.64,1584592
"77","HST.N",20110421,NA,"End Of Day (from Real-Time)",17.69,17.94,17.5,17.91,1625929
"78","HST.N",20110425,NA,"End Of Day (from Real-Time)",17.84,17.87,17.69,17.81,1118248
"79","HST.N",20110426,NA,"End Of Day (from Real-Time)",17.89,17.89,17.68,17.84,959122
"80","HST.N",20110427,NA,"End Of Day (from Real-Time)",17.9,18.19,17.84,18.11,1318764
"81","HST.N",20110428,NA,"End Of Day (from Real-Time)",18.13,18.29,17.88,17.91,1332681
"82","HST.N",20110429,NA,"End Of Day (from Real-Time)",17.92,17.97,17.32,17.79,1895525
"83","HST.N",20110502,NA,"End Of Day (from Real-Time)",17.71,17.88,17.34,17.52,1737507
"84","HST.N",20110503,NA,"End Of Day (from Real-Time)",17.49,17.56,16.87,17.06,2242002
"85","HST.N",20110504,NA,"End Of Day (from Real-Time)",17.07,17.33,16.9,16.99,1434089
"86","HST.N",20110505,NA,"End Of Day (from Real-Time)",16.91,17.39,16.85,17.24,1416917
"87","HST.N",20110506,NA,"End Of Day (from Real-Time)",17.46,17.5,17.23,17.36,2049204
"88","HST.N",20110509,NA,"End Of Day (from Real-Time)",17.31,17.43,17.18,17.35,1120745
"89","HST.N",20110510,NA,"End Of Day (from Real-Time)",17.39,17.52,17.27,17.48,1743050
"90","HST.N",20110511,NA,"End Of Day (from Real-Time)",17.39,17.43,16.92,17.01,1796541
"91","HST.N",20110512,NA,"End Of Day (from Real-Time)",16.98,17.32,16.89,17.15,1512836
"92","HST.N",20110513,NA,"End Of Day (from Real-Time)",17.2,17.24,16.92,16.97,1573406
"93","HST.N",20110516,NA,"End Of Day (from Real-Time)",16.92,17.11,16.89,16.97,1727166
"94","HST.N",20110517,NA,"End Of Day (from Real-Time)",16.91,17,16.73,16.82,1577546
"95","HST.N",20110518,NA,"End Of Day (from Real-Time)",16.86,17,16.74,16.97,1416494
"96","HST.N",20110519,NA,"End Of Day (from Real-Time)",17.05,17.26,16.97,17.17,1211659
"97","HST.N",20110520,NA,"End Of Day (from Real-Time)",17.14,17.22,16.98,16.99,2196902
"98","HST.N",20110523,NA,"End Of Day (from Real-Time)",16.79,17.01,16.75,16.9,1451224
"99","HST.N",20110524,NA,"End Of Day (from Real-Time)",16.94,17.04,16.74,16.81,1288419
"100","HST.N",20110525,NA,"End Of Day (from Real-Time)",16.72,17.02,16.68,16.88,1240491
