"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ICE.N",20110103,NA,"End Of Day (from Real-Time)",119.8,120.99,118.82,119.15,123349
"2","ICE.N",20110104,NA,"End Of Day (from Real-Time)",119.19,120.18,117.47,117.97,137467
"3","ICE.N",20110105,NA,"End Of Day (from Real-Time)",117.63,119.11,117.21,117.65,132999
"4","ICE.N",20110106,NA,"End Of Day (from Real-Time)",117.6,117.7,113.81,114.48,216237
"5","ICE.N",20110107,NA,"End Of Day (from Real-Time)",114.65,115,112.13,114.02,180892
"6","ICE.N",20110110,NA,"End Of Day (from Real-Time)",112.66,115.46,112.66,114.09,181487
"7","ICE.N",20110111,NA,"End Of Day (from Real-Time)",114.74,115.5,112.48,112.48,184037
"8","ICE.N",20110112,NA,"End Of Day (from Real-Time)",112.97,116.66,112.77,115.4,255481
"9","ICE.N",20110113,NA,"End Of Day (from Real-Time)",115.34,116.67,114.6,116.35,144654
"10","ICE.N",20110114,NA,"End Of Day (from Real-Time)",116.38,117.17,115.4,116.27,173020
"11","ICE.N",20110118,NA,"End Of Day (from Real-Time)",116.5,117.35,116.25,116.76,114363
"12","ICE.N",20110119,NA,"End Of Day (from Real-Time)",116.5,116.91,115.23,115.56,150177
"13","ICE.N",20110120,NA,"End Of Day (from Real-Time)",114.36,116.14,113.26,115.55,202332
"14","ICE.N",20110121,NA,"End Of Day (from Real-Time)",116.57,118.15,115.98,116.59,195081
"15","ICE.N",20110124,NA,"End Of Day (from Real-Time)",116.57,117.77,116.26,116.81,107847
"16","ICE.N",20110125,NA,"End Of Day (from Real-Time)",116.29,117.28,113.42,115.4,288692
"17","ICE.N",20110126,NA,"End Of Day (from Real-Time)",115.72,115.76,114.54,114.97,129869
"18","ICE.N",20110127,NA,"End Of Day (from Real-Time)",115.1,118.13,114.72,117.85,144103
"19","ICE.N",20110128,NA,"End Of Day (from Real-Time)",117.97,118.41,115.71,116.91,143552
"20","ICE.N",20110131,NA,"End Of Day (from Real-Time)",117.09,120.53,117.09,120.49,296744
"21","ICE.N",20110201,NA,"End Of Day (from Real-Time)",120.55,122.5,120.43,121.38,144620
"22","ICE.N",20110202,NA,"End Of Day (from Real-Time)",121.07,121.84,119.87,120.29,147584
"23","ICE.N",20110203,NA,"End Of Day (from Real-Time)",119.72,120,117.82,119.26,192537
"24","ICE.N",20110204,NA,"End Of Day (from Real-Time)",119.18,120.38,118.46,120.38,188631
"25","ICE.N",20110207,NA,"End Of Day (from Real-Time)",120.42,121.74,120.13,120.32,77625
"26","ICE.N",20110208,NA,"End Of Day (from Real-Time)",120,120.71,117.55,118.22,207376
"27","ICE.N",20110209,NA,"End Of Day (from Real-Time)",120.1,123.47,119.5,123.13,520432
"28","ICE.N",20110210,NA,"End Of Day (from Real-Time)",122.63,129.11,122.52,128.45,303913
"29","ICE.N",20110211,NA,"End Of Day (from Real-Time)",126.96,129.5,126.95,128.78,138658
"30","ICE.N",20110214,NA,"End Of Day (from Real-Time)",128.55,131.51,127.75,130.46,141226
"31","ICE.N",20110215,NA,"End Of Day (from Real-Time)",130,130.21,125.88,126.74,171543
"32","ICE.N",20110216,NA,"End Of Day (from Real-Time)",126.99,129.25,126.5,127.88,161080
"33","ICE.N",20110217,NA,"End Of Day (from Real-Time)",127.01,129.51,127.01,128.9,139678
"34","ICE.N",20110218,NA,"End Of Day (from Real-Time)",129.11,129.11,125.64,127.18,245030
"35","ICE.N",20110222,NA,"End Of Day (from Real-Time)",125.25,126.08,121.29,122.29,244220
"36","ICE.N",20110223,NA,"End Of Day (from Real-Time)",122.22,123.18,120.8,122.73,192193
"37","ICE.N",20110224,NA,"End Of Day (from Real-Time)",122.02,124.79,121.63,123.64,210365
"38","ICE.N",20110225,NA,"End Of Day (from Real-Time)",124.22,126.98,123.98,126.91,109132
"39","ICE.N",20110228,NA,"End Of Day (from Real-Time)",128.11,130.24,127.36,128.2,216192
"40","ICE.N",20110301,NA,"End Of Day (from Real-Time)",128.83,129.06,126.65,127.1,145416
"41","ICE.N",20110302,NA,"End Of Day (from Real-Time)",126.57,128.73,126.23,127.51,135104
"42","ICE.N",20110303,NA,"End Of Day (from Real-Time)",128.47,130.21,128.1,129.48,134081
"43","ICE.N",20110304,NA,"End Of Day (from Real-Time)",129.8,130.37,128.77,130.25,127284
"44","ICE.N",20110307,NA,"End Of Day (from Real-Time)",130.91,135.36,130.39,134.72,268289
"45","ICE.N",20110308,NA,"End Of Day (from Real-Time)",133.11,133.25,130.47,131.91,226892
"46","ICE.N",20110309,NA,"End Of Day (from Real-Time)",131.87,131.87,130.4,130.93,124181
