"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","INTU.O",20110103,NA,"End Of Day (from Real-Time)",49.68,50.54,49.68,49.83,3190243
"2","INTU.O",20110104,NA,"End Of Day (from Real-Time)",49.79,50.2,48.84,49.29,2220527
"3","INTU.O",20110105,NA,"End Of Day (from Real-Time)",49.03,49.52,48.242,48.74,3441479
"4","INTU.O",20110106,NA,"End Of Day (from Real-Time)",48.87,48.9,48.171,48.3,3327661
"5","INTU.O",20110107,NA,"End Of Day (from Real-Time)",48.41,48.745,47.96,48.39,2298671
"6","INTU.O",20110110,NA,"End Of Day (from Real-Time)",48.1,48.18,47.66,47.75,2698305
"7","INTU.O",20110111,NA,"End Of Day (from Real-Time)",47.81,47.84,46.96,47.05,4317680
"8","INTU.O",20110112,NA,"End Of Day (from Real-Time)",47.16,47.28,46.42,46.58,4392539
"9","INTU.O",20110113,NA,"End Of Day (from Real-Time)",46.51,47.04,46.15,46.36,3267424
"10","INTU.O",20110114,NA,"End Of Day (from Real-Time)",46.1819,47,45.9,46.98,2512563
"11","INTU.O",20110118,NA,"End Of Day (from Real-Time)",46.82,47.5,46.5,47.35,4457135
"12","INTU.O",20110119,NA,"End Of Day (from Real-Time)",47.25,47.76,47.07,47.4,3161633
"13","INTU.O",20110120,NA,"End Of Day (from Real-Time)",47.48,47.54,46.85,47.18,3188472
"14","INTU.O",20110121,NA,"End Of Day (from Real-Time)",47.21,47.47,46.815,46.86,2523468
"15","INTU.O",20110124,NA,"End Of Day (from Real-Time)",47,47.36,46.65,47.12,1777787
"16","INTU.O",20110125,NA,"End Of Day (from Real-Time)",46.9,46.9,46.17,46.5,2805645
"17","INTU.O",20110126,NA,"End Of Day (from Real-Time)",46.42,47.33,46.17,47.12,3463746
"18","INTU.O",20110127,NA,"End Of Day (from Real-Time)",47.19,47.53,47.08,47.31,1995520
"19","INTU.O",20110128,NA,"End Of Day (from Real-Time)",47.54,47.67,46.0159,46.77,2800755
"20","INTU.O",20110131,NA,"End Of Day (from Real-Time)",46.63,46.94,46.06,46.93,2263940
"21","INTU.O",20110201,NA,"End Of Day (from Real-Time)",47.15,47.67,46.98,47.57,2151650
"22","INTU.O",20110202,NA,"End Of Day (from Real-Time)",47.5,48,47.44,47.81,1906726
"23","INTU.O",20110203,NA,"End Of Day (from Real-Time)",47.57,48.3,47.49,48.2,1826911
"24","INTU.O",20110204,NA,"End Of Day (from Real-Time)",47.92,48.544,47.63,48.4,1988236
"25","INTU.O",20110207,NA,"End Of Day (from Real-Time)",48.34,48.895,48.13,48.79,1672668
"26","INTU.O",20110208,NA,"End Of Day (from Real-Time)",48.95,49.19,48.6,49.03,1863274
"27","INTU.O",20110209,NA,"End Of Day (from Real-Time)",49.28,49.39,48.58,48.865,2001493
"28","INTU.O",20110210,NA,"End Of Day (from Real-Time)",48.66,50.72,48.66,50.54,3493693
"29","INTU.O",20110211,NA,"End Of Day (from Real-Time)",50.33,50.7,50.07,50.62,2010757
"30","INTU.O",20110214,NA,"End Of Day (from Real-Time)",50.46,51.0998,50.19,50.79,2391095
"31","INTU.O",20110215,NA,"End Of Day (from Real-Time)",50.4401,50.93,49.72,49.78,3514810
"32","INTU.O",20110216,NA,"End Of Day (from Real-Time)",49.9,50.55,49.42,50.12,3215424
"33","INTU.O",20110217,NA,"End Of Day (from Real-Time)",50.24,50.66,49.725,50.44,3208570
"34","INTU.O",20110218,NA,"End Of Day (from Real-Time)",51.55,54.68,51.55,54.11,8127474
"35","INTU.O",20110222,NA,"End Of Day (from Real-Time)",53.36,53.68,52.4,52.84,4715217
"36","INTU.O",20110223,NA,"End Of Day (from Real-Time)",52.67,52.89,51.32,52,3148596
"37","INTU.O",20110224,NA,"End Of Day (from Real-Time)",51.87,52.25,50.6699,51.68,4265583
