"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","JCI.N",20110103,NA,"End Of Day (from Real-Time)",38.62,39.98,38.61,39.56,1680610
"2","JCI.N",20110104,NA,"End Of Day (from Real-Time)",39.56,39.89,39.08,39.68,1586288
"3","JCI.N",20110105,NA,"End Of Day (from Real-Time)",39.65,40.9,39.61,40.6,1855782
"4","JCI.N",20110106,NA,"End Of Day (from Real-Time)",40.67,40.72,40.01,40.34,1512837
"5","JCI.N",20110107,NA,"End Of Day (from Real-Time)",40.5,40.65,39.95,40.36,1569562
"6","JCI.N",20110110,NA,"End Of Day (from Real-Time)",40.35,41,40.08,40.9,1457003
"7","JCI.N",20110111,NA,"End Of Day (from Real-Time)",41,41.45,40.32,40.39,1160862
"8","JCI.N",20110112,NA,"End Of Day (from Real-Time)",40.78,41.01,40.46,40.74,958248
"9","JCI.N",20110113,NA,"End Of Day (from Real-Time)",40.69,40.69,40,40.21,1054087
"10","JCI.N",20110114,NA,"End Of Day (from Real-Time)",40.16,40.54,40.14,40.45,1170271
"11","JCI.N",20110118,NA,"End Of Day (from Real-Time)",40.49,40.67,40.24,40.64,1223627
"12","JCI.N",20110119,NA,"End Of Day (from Real-Time)",40.57,40.69,40,40.13,1397397
"13","JCI.N",20110120,NA,"End Of Day (from Real-Time)",39.4,39.41,38.3,38.8,3156101
"14","JCI.N",20110121,NA,"End Of Day (from Real-Time)",39.21,39.34,38.44,38.52,1962489
"15","JCI.N",20110124,NA,"End Of Day (from Real-Time)",38.55,39.01,38.14,38.97,1210897
"16","JCI.N",20110125,NA,"End Of Day (from Real-Time)",38.85,38.9,38.25,38.61,1273050
"17","JCI.N",20110126,NA,"End Of Day (from Real-Time)",38.85,39.11,38.62,38.84,1283215
"18","JCI.N",20110127,NA,"End Of Day (from Real-Time)",38.93,39.56,38.73,39.39,1254299
"19","JCI.N",20110128,NA,"End Of Day (from Real-Time)",39.32,39.48,37.55,37.69,1763264
"20","JCI.N",20110131,NA,"End Of Day (from Real-Time)",37.69,38.41,37.5,38.39,2083914
"21","JCI.N",20110201,NA,"End Of Day (from Real-Time)",38.62,38.73,38.1,38.44,1445999
"22","JCI.N",20110202,NA,"End Of Day (from Real-Time)",38.29,38.3,37.25,37.37,1404873
"23","JCI.N",20110203,NA,"End Of Day (from Real-Time)",37.53,37.7,36.95,37.49,1802737
"24","JCI.N",20110204,NA,"End Of Day (from Real-Time)",37.69,38.22,37.36,38.19,1316619
"25","JCI.N",20110207,NA,"End Of Day (from Real-Time)",38.22,39.18,38.19,39.1,1176233
"26","JCI.N",20110208,NA,"End Of Day (from Real-Time)",39.33,40.15,39.29,39.95,1205389
"27","JCI.N",20110209,NA,"End Of Day (from Real-Time)",39.88,40.23,39.78,40.18,1348706
"28","JCI.N",20110210,NA,"End Of Day (from Real-Time)",40.03,40.7,39.86,40.64,1518963
"29","JCI.N",20110211,NA,"End Of Day (from Real-Time)",40.48,41.55,40.44,41.41,1338146
"30","JCI.N",20110214,NA,"End Of Day (from Real-Time)",41.39,41.57,41.15,41.4,877886
"31","JCI.N",20110215,NA,"End Of Day (from Real-Time)",41.21,41.74,40.87,41.58,1142790
