"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","JEC.N",20110103,NA,"End Of Day (from Real-Time)",45.92,47.38,45.92,46.98,414119
"2","JEC.N",20110104,NA,"End Of Day (from Real-Time)",47,47,45.97,46.04,412575
"3","JEC.N",20110105,NA,"End Of Day (from Real-Time)",45.87,46.04,45.3,45.49,367728
"4","JEC.N",20110106,NA,"End Of Day (from Real-Time)",45.48,45.99,45.42,45.67,353830
"5","JEC.N",20110107,NA,"End Of Day (from Real-Time)",45.75,46.1,44.93,45.27,309852
"6","JEC.N",20110110,NA,"End Of Day (from Real-Time)",45.75,45.95,45.32,45.88,566146
"7","JEC.N",20110111,NA,"End Of Day (from Real-Time)",46.13,47.16,45.89,47.1,534127
"8","JEC.N",20110112,NA,"End Of Day (from Real-Time)",47.45,48.79,47.44,48.68,536496
"9","JEC.N",20110113,NA,"End Of Day (from Real-Time)",48.62,49,48.22,48.75,445611
"10","JEC.N",20110114,NA,"End Of Day (from Real-Time)",48.77,51.28,48.77,51.02,656299
"11","JEC.N",20110118,NA,"End Of Day (from Real-Time)",50.71,51.2,50.29,51.16,392018
"12","JEC.N",20110119,NA,"End Of Day (from Real-Time)",50.9,51.4,49.56,50.09,425105
"13","JEC.N",20110120,NA,"End Of Day (from Real-Time)",50.1,50.2,48.87,49.32,681626
"14","JEC.N",20110121,NA,"End Of Day (from Real-Time)",49.95,50.34,49.24,49.72,506576
"15","JEC.N",20110124,NA,"End Of Day (from Real-Time)",49.76,50.96,49.65,50.32,374179
"16","JEC.N",20110125,NA,"End Of Day (from Real-Time)",48.5,49.53,48.08,49.49,736252
"17","JEC.N",20110126,NA,"End Of Day (from Real-Time)",51.39,53.11,51.23,53.01,885132
"18","JEC.N",20110127,NA,"End Of Day (from Real-Time)",52.86,52.86,51.25,52.1,364379
"19","JEC.N",20110128,NA,"End Of Day (from Real-Time)",52.13,52.5,49.91,49.95,492003
"20","JEC.N",20110131,NA,"End Of Day (from Real-Time)",50.03,51.68,50.03,51.37,430683
"21","JEC.N",20110201,NA,"End Of Day (from Real-Time)",52.26,52.67,51.98,52.53,299666
"22","JEC.N",20110202,NA,"End Of Day (from Real-Time)",52.24,52.59,51.8,52.13,251513
"23","JEC.N",20110203,NA,"End Of Day (from Real-Time)",51.74,52.08,50.94,51.85,237242
"24","JEC.N",20110204,NA,"End Of Day (from Real-Time)",51.99,52.2,51.52,52.1,540663
"25","JEC.N",20110207,NA,"End Of Day (from Real-Time)",52.17,53.18,52.15,52.94,246517
"26","JEC.N",20110208,NA,"End Of Day (from Real-Time)",52.99,53,52.17,52.8,289463
"27","JEC.N",20110209,NA,"End Of Day (from Real-Time)",52.32,52.55,50.97,51.48,469247
"28","JEC.N",20110210,NA,"End Of Day (from Real-Time)",51.08,51.96,51.03,51.85,310012
"29","JEC.N",20110211,NA,"End Of Day (from Real-Time)",51.45,52.2,51.38,52.14,279475
"30","JEC.N",20110214,NA,"End Of Day (from Real-Time)",52.15,52.4,51.82,51.86,384178
"31","JEC.N",20110215,NA,"End Of Day (from Real-Time)",51.56,51.63,50.73,50.74,344499
"32","JEC.N",20110216,NA,"End Of Day (from Real-Time)",50.98,51.82,50.98,51.71,329726
"33","JEC.N",20110217,NA,"End Of Day (from Real-Time)",51.51,52.09,51.21,52.01,252442
"34","JEC.N",20110218,NA,"End Of Day (from Real-Time)",51.98,51.98,51.09,51.55,348981
"35","JEC.N",20110222,NA,"End Of Day (from Real-Time)",50.69,50.79,48.96,49.09,522110
"36","JEC.N",20110223,NA,"End Of Day (from Real-Time)",48.82,49.42,47.17,48.47,706411
"37","JEC.N",20110224,NA,"End Of Day (from Real-Time)",48.3,49.49,48.05,48.83,385210
"38","JEC.N",20110225,NA,"End Of Day (from Real-Time)",49.06,49.8,49.03,49.67,296242
"39","JEC.N",20110228,NA,"End Of Day (from Real-Time)",49.92,50.13,49.34,50.06,380225
"40","JEC.N",20110301,NA,"End Of Day (from Real-Time)",50.19,50.25,49.21,49.53,767170
"41","JEC.N",20110302,NA,"End Of Day (from Real-Time)",49.53,50.63,49.51,49.85,571455
"42","JEC.N",20110303,NA,"End Of Day (from Real-Time)",50.59,50.85,50.26,50.81,565269
"43","JEC.N",20110304,NA,"End Of Day (from Real-Time)",50.73,50.8,49.28,49.6,617186
"44","JEC.N",20110307,NA,"End Of Day (from Real-Time)",49.76,49.82,47.92,48.14,689394
"45","JEC.N",20110308,NA,"End Of Day (from Real-Time)",48.59,49.12,48.01,48.64,291834
"46","JEC.N",20110309,NA,"End Of Day (from Real-Time)",48.36,48.98,48,48.56,368634
"47","JEC.N",20110310,NA,"End Of Day (from Real-Time)",47.76,47.96,47.05,47.11,495847
"48","JEC.N",20110311,NA,"End Of Day (from Real-Time)",47.1,49.15,47.1,49.08,650220
"49","JEC.N",20110314,NA,"End Of Day (from Real-Time)",48.4,49.39,47.99,48.8,540111
"50","JEC.N",20110315,NA,"End Of Day (from Real-Time)",47.25,48.98,47.25,48.58,465917
"51","JEC.N",20110316,NA,"End Of Day (from Real-Time)",48.34,48.7,46.89,47.49,533728
"52","JEC.N",20110317,NA,"End Of Day (from Real-Time)",48.62,48.92,47.77,48.03,494568
"53","JEC.N",20110318,NA,"End Of Day (from Real-Time)",49.08,49.26,48.49,48.66,446327
"54","JEC.N",20110321,NA,"End Of Day (from Real-Time)",49.37,49.52,49.05,49.4,367121
"55","JEC.N",20110322,NA,"End Of Day (from Real-Time)",49.37,49.37,47.86,48.12,386152
"56","JEC.N",20110323,NA,"End Of Day (from Real-Time)",47.94,48.34,47.33,48.05,267047
"57","JEC.N",20110324,NA,"End Of Day (from Real-Time)",48.37,48.76,47.86,48.56,201303
"58","JEC.N",20110325,NA,"End Of Day (from Real-Time)",48.68,49.14,48.44,48.73,165991
"59","JEC.N",20110328,NA,"End Of Day (from Real-Time)",48.8,48.89,48.23,48.24,262395
"60","JEC.N",20110329,NA,"End Of Day (from Real-Time)",49.29,49.5,48.78,49.34,357983
"61","JEC.N",20110330,NA,"End Of Day (from Real-Time)",49.56,51.26,49.45,51.08,450827
"62","JEC.N",20110331,NA,"End Of Day (from Real-Time)",51,51.48,50.75,51.43,433012
"63","JEC.N",20110401,NA,"End Of Day (from Real-Time)",51.84,52.44,51.27,51.54,290506
"64","JEC.N",20110404,NA,"End Of Day (from Real-Time)",51.61,51.83,51.18,51.81,292258
"65","JEC.N",20110405,NA,"End Of Day (from Real-Time)",51.72,52.3,51.37,51.94,247939
"66","JEC.N",20110406,NA,"End Of Day (from Real-Time)",52.18,52.45,51.52,51.97,330843
"67","JEC.N",20110407,NA,"End Of Day (from Real-Time)",51.85,52.09,51.47,51.54,352241
"68","JEC.N",20110408,NA,"End Of Day (from Real-Time)",51.97,51.97,50.31,50.59,256738
"69","JEC.N",20110411,NA,"End Of Day (from Real-Time)",50.52,50.52,49.47,49.68,439443
"70","JEC.N",20110412,NA,"End Of Day (from Real-Time)",49.2,49.49,48.2,48.32,506933
"71","JEC.N",20110413,NA,"End Of Day (from Real-Time)",48.68,48.85,47.79,47.97,391213
"72","JEC.N",20110414,NA,"End Of Day (from Real-Time)",47.64,48.25,47.52,48.13,296622
"73","JEC.N",20110415,NA,"End Of Day (from Real-Time)",48.36,49.75,48.23,49.59,472793
"74","JEC.N",20110418,NA,"End Of Day (from Real-Time)",48.78,48.78,47.88,48.39,472865
"75","JEC.N",20110419,NA,"End Of Day (from Real-Time)",49.07,49.72,48.71,49.25,292849
"76","JEC.N",20110420,NA,"End Of Day (from Real-Time)",50.19,50.34,49.71,50.26,446693
"77","JEC.N",20110421,NA,"End Of Day (from Real-Time)",50.65,51.37,50.43,51.35,431935
"78","JEC.N",20110425,NA,"End Of Day (from Real-Time)",51.35,51.54,50.74,51.34,410302
"79","JEC.N",20110426,NA,"End Of Day (from Real-Time)",51.24,51.79,49.23,49.53,912912
"80","JEC.N",20110427,NA,"End Of Day (from Real-Time)",50,50.07,48.59,49.35,422097
"81","JEC.N",20110428,NA,"End Of Day (from Real-Time)",49.06,49.23,48.55,48.84,459796
"82","JEC.N",20110429,NA,"End Of Day (from Real-Time)",48.83,49.79,48.77,49.61,373760
"83","JEC.N",20110502,NA,"End Of Day (from Real-Time)",49.98,50.18,48.55,48.67,381089
"84","JEC.N",20110503,NA,"End Of Day (from Real-Time)",48.41,48.51,47.94,48.23,422515
"85","JEC.N",20110504,NA,"End Of Day (from Real-Time)",48.23,48.26,46.93,47.2,455418
"86","JEC.N",20110505,NA,"End Of Day (from Real-Time)",46.65,47.42,46.11,46.81,642537
"87","JEC.N",20110506,NA,"End Of Day (from Real-Time)",47.59,48.23,46.78,47.04,530413
"88","JEC.N",20110509,NA,"End Of Day (from Real-Time)",47.04,48.12,46.98,47.79,335778
"89","JEC.N",20110510,NA,"End Of Day (from Real-Time)",48.08,48.67,47.79,48.61,477265
"90","JEC.N",20110511,NA,"End Of Day (from Real-Time)",48.43,48.54,47.6,47.89,354798
"91","JEC.N",20110512,NA,"End Of Day (from Real-Time)",47.61,47.92,46.76,47.36,420412
"92","JEC.N",20110513,NA,"End Of Day (from Real-Time)",47.34,47.49,46.33,46.59,445543
"93","JEC.N",20110516,NA,"End Of Day (from Real-Time)",46.95,46.95,46.14,46.25,554073
"94","JEC.N",20110517,NA,"End Of Day (from Real-Time)",45.63,45.99,45.14,45.7,639331
"95","JEC.N",20110518,NA,"End Of Day (from Real-Time)",46.02,46.52,45.67,46.37,411233
"96","JEC.N",20110519,NA,"End Of Day (from Real-Time)",46.71,47.24,46.42,47.13,578817
"97","JEC.N",20110520,NA,"End Of Day (from Real-Time)",47.14,47.14,46.16,46.25,486851
"98","JEC.N",20110523,NA,"End Of Day (from Real-Time)",45.45,45.5,44.3,44.53,539495
"99","JEC.N",20110524,NA,"End Of Day (from Real-Time)",44.9,44.97,44,44.14,424959
"100","JEC.N",20110525,NA,"End Of Day (from Real-Time)",43.89,45.05,43.89,44.61,474243
"101","JEC.N",20110526,NA,"End Of Day (from Real-Time)",44.41,45.13,44.22,44.91,454644
"102","JEC.N",20110527,NA,"End Of Day (from Real-Time)",45.13,45.77,45.1,45.38,322795
"103","JEC.N",20110531,NA,"End Of Day (from Real-Time)",45.87,46.06,45.48,46.06,457971
"104","JEC.N",20110601,NA,"End Of Day (from Real-Time)",45.85,45.92,43.99,44.04,535893
"105","JEC.N",20110602,NA,"End Of Day (from Real-Time)",44.06,44.89,43.82,44.1,521037
"106","JEC.N",20110603,NA,"End Of Day (from Real-Time)",43.25,43.99,43.17,43.46,465074
"107","JEC.N",20110606,NA,"End Of Day (from Real-Time)",43.29,43.44,42.48,42.65,396505
"108","JEC.N",20110607,NA,"End Of Day (from Real-Time)",42.98,42.98,42.43,42.44,428388
"109","JEC.N",20110608,NA,"End Of Day (from Real-Time)",42.26,42.4,41.9,42.05,304620
"110","JEC.N",20110609,NA,"End Of Day (from Real-Time)",42.15,42.49,41.9,42.19,230560
"111","JEC.N",20110610,NA,"End Of Day (from Real-Time)",41.89,42.09,41.25,41.51,285368
"112","JEC.N",20110613,NA,"End Of Day (from Real-Time)",41.55,41.66,40.87,41.36,268439
"113","JEC.N",20110614,NA,"End Of Day (from Real-Time)",41.86,42.77,41.77,42.61,460181
"114","JEC.N",20110615,NA,"End Of Day (from Real-Time)",42.01,42.29,41.15,41.18,375576
"115","JEC.N",20110616,NA,"End Of Day (from Real-Time)",41.19,41.55,40.84,41.14,360900
"116","JEC.N",20110617,NA,"End Of Day (from Real-Time)",41.69,41.86,40.77,40.96,502345
"117","JEC.N",20110620,NA,"End Of Day (from Real-Time)",40.67,41.51,40.62,41.27,290089
"118","JEC.N",20110621,NA,"End Of Day (from Real-Time)",41.53,42.06,41.5,41.93,336091
"119","JEC.N",20110622,NA,"End Of Day (from Real-Time)",41.78,42.33,41.71,41.76,292717
"120","JEC.N",20110623,NA,"End Of Day (from Real-Time)",41.01,41.98,40.64,41.92,419231
"121","JEC.N",20110624,NA,"End Of Day (from Real-Time)",41.91,42.22,40.83,40.88,441561
"122","JEC.N",20110627,NA,"End Of Day (from Real-Time)",40.79,41.2,40.71,40.99,194732
"123","JEC.N",20110628,NA,"End Of Day (from Real-Time)",41.16,42.08,41.05,42.01,278863
"124","JEC.N",20110629,NA,"End Of Day (from Real-Time)",42.1,42.58,41.85,42.35,277107
"125","JEC.N",20110630,NA,"End Of Day (from Real-Time)",42.54,43.46,42.43,43.25,272590
"126","JEC.N",20110701,NA,"End Of Day (from Real-Time)",43.25,43.53,42.9,43.35,206226
"127","JEC.N",20110705,NA,"End Of Day (from Real-Time)",43.35,43.37,42.81,43.05,183321
"128","JEC.N",20110706,NA,"End Of Day (from Real-Time)",42.95,43.34,42.38,43.12,231425
"129","JEC.N",20110707,NA,"End Of Day (from Real-Time)",43.63,43.95,43.48,43.67,189975
"130","JEC.N",20110708,NA,"End Of Day (from Real-Time)",42.94,43.56,42.74,43.48,226841
"131","JEC.N",20110711,NA,"End Of Day (from Real-Time)",42.73,42.79,41.61,41.64,291852
"132","JEC.N",20110712,NA,"End Of Day (from Real-Time)",41.6,42.33,41.33,41.4,456013
"133","JEC.N",20110713,NA,"End Of Day (from Real-Time)",41.67,42.34,41.46,41.58,359618
"134","JEC.N",20110714,NA,"End Of Day (from Real-Time)",41.69,42.08,41.14,41.24,387331
"135","JEC.N",20110715,NA,"End Of Day (from Real-Time)",41.39,41.56,40.86,41.56,397657
"136","JEC.N",20110718,NA,"End Of Day (from Real-Time)",41.28,41.38,40.59,40.93,280384
"137","JEC.N",20110719,NA,"End Of Day (from Real-Time)",41.22,41.47,40.75,41.46,294975
"138","JEC.N",20110720,NA,"End Of Day (from Real-Time)",41.63,41.9,41.33,41.64,239561
"139","JEC.N",20110721,NA,"End Of Day (from Real-Time)",41.95,43.01,41.78,42.95,331544
"140","JEC.N",20110722,NA,"End Of Day (from Real-Time)",42.78,42.94,42.31,42.81,246281
"141","JEC.N",20110725,NA,"End Of Day (from Real-Time)",42.11,43.4,42.11,43,288022
"142","JEC.N",20110726,NA,"End Of Day (from Real-Time)",42.83,43.17,40.84,41.23,441297
"143","JEC.N",20110727,NA,"End Of Day (from Real-Time)",40.92,40.92,39.55,39.84,413112
"144","JEC.N",20110728,NA,"End Of Day (from Real-Time)",39.91,40.12,38.99,39.16,338209
"145","JEC.N",20110729,NA,"End Of Day (from Real-Time)",38.7,39.6,38.5,39.14,417862
"146","JEC.N",20110801,NA,"End Of Day (from Real-Time)",39.71,39.79,38.27,38.86,379490
"147","JEC.N",20110802,NA,"End Of Day (from Real-Time)",38.56,39.17,37.72,37.72,560443
