"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","JWN.N",20110103,NA,"End Of Day (from Real-Time)",42.63,43.89,42.45,43.4,705409
"2","JWN.N",20110104,NA,"End Of Day (from Real-Time)",43.38,43.45,42.47,42.57,633006
"3","JWN.N",20110105,NA,"End Of Day (from Real-Time)",42.29,43.03,42.2,42.86,752923
"4","JWN.N",20110106,NA,"End Of Day (from Real-Time)",42.86,43.69,42.13,42.94,969284
"5","JWN.N",20110107,NA,"End Of Day (from Real-Time)",43.49,43.59,41.77,42.35,852997
"6","JWN.N",20110110,NA,"End Of Day (from Real-Time)",41.97,42.31,41.35,42.15,774856
"7","JWN.N",20110111,NA,"End Of Day (from Real-Time)",42.38,42.43,41.4,41.62,630259
"8","JWN.N",20110112,NA,"End Of Day (from Real-Time)",41.94,41.99,41.58,41.75,489999
"9","JWN.N",20110113,NA,"End Of Day (from Real-Time)",41.75,41.92,41.44,41.63,461825
"10","JWN.N",20110114,NA,"End Of Day (from Real-Time)",41.54,42.18,41.4,42.09,530460
"11","JWN.N",20110118,NA,"End Of Day (from Real-Time)",41.99,42.46,41.92,42.19,517864
"12","JWN.N",20110119,NA,"End Of Day (from Real-Time)",42.12,42.36,40.85,40.91,795278
"13","JWN.N",20110120,NA,"End Of Day (from Real-Time)",40.83,41.77,40.83,41.24,725481
"14","JWN.N",20110121,NA,"End Of Day (from Real-Time)",41.64,41.99,41.3,41.37,735675
"15","JWN.N",20110124,NA,"End Of Day (from Real-Time)",41.43,42.21,41.32,42.18,481244
"16","JWN.N",20110125,NA,"End Of Day (from Real-Time)",42.09,42.36,41.25,41.56,792296
"17","JWN.N",20110126,NA,"End Of Day (from Real-Time)",41.75,41.76,41.1,41.53,508039
"18","JWN.N",20110127,NA,"End Of Day (from Real-Time)",41.56,42.2,41.48,41.96,458230
"19","JWN.N",20110128,NA,"End Of Day (from Real-Time)",41.94,41.98,40.64,40.91,969433
"20","JWN.N",20110131,NA,"End Of Day (from Real-Time)",41.27,41.52,40.85,41.18,614852
"21","JWN.N",20110201,NA,"End Of Day (from Real-Time)",41.63,41.69,40.94,40.94,801636
"22","JWN.N",20110202,NA,"End Of Day (from Real-Time)",40.85,40.93,40.03,40.09,1150156
"23","JWN.N",20110203,NA,"End Of Day (from Real-Time)",41.55,42.6,41.52,42.05,1276760
"24","JWN.N",20110204,NA,"End Of Day (from Real-Time)",42.02,44.21,42,43.71,914396
"25","JWN.N",20110207,NA,"End Of Day (from Real-Time)",43.8,44.89,43.72,44.59,604163
"26","JWN.N",20110208,NA,"End Of Day (from Real-Time)",44.56,45,44.36,44.92,802752
"27","JWN.N",20110209,NA,"End Of Day (from Real-Time)",44.81,45.63,44.76,44.96,694085
"28","JWN.N",20110210,NA,"End Of Day (from Real-Time)",44.64,45.63,44.49,45.57,626763
"29","JWN.N",20110211,NA,"End Of Day (from Real-Time)",45.3,46.2,45.15,46.15,451934
"30","JWN.N",20110214,NA,"End Of Day (from Real-Time)",46.13,46.3,45.56,45.72,506226
"31","JWN.N",20110215,NA,"End Of Day (from Real-Time)",45.5,46.17,45.45,45.87,491530
"32","JWN.N",20110216,NA,"End Of Day (from Real-Time)",46.12,46.96,46.12,46.7,617039
"33","JWN.N",20110217,NA,"End Of Day (from Real-Time)",46.65,47.45,46.12,46.48,860641
"34","JWN.N",20110218,NA,"End Of Day (from Real-Time)",45.67,47.51,45.66,46.91,1226041
"35","JWN.N",20110222,NA,"End Of Day (from Real-Time)",46.2,46.86,45.33,45.65,920932
"36","JWN.N",20110223,NA,"End Of Day (from Real-Time)",45.69,46.06,44.17,44.59,910178
"37","JWN.N",20110224,NA,"End Of Day (from Real-Time)",44.52,45.29,44.11,45,967619
"38","JWN.N",20110225,NA,"End Of Day (from Real-Time)",45.2,45.85,44.96,45.49,1087613
"39","JWN.N",20110228,NA,"End Of Day (from Real-Time)",45.25,45.63,44.59,45.26,904406
"40","JWN.N",20110301,NA,"End Of Day (from Real-Time)",45.38,45.6,43.92,44.22,1056159
"41","JWN.N",20110302,NA,"End Of Day (from Real-Time)",44.01,44.39,43.46,44.21,920923
"42","JWN.N",20110303,NA,"End Of Day (from Real-Time)",45.24,45.28,44.25,44.62,1254832
"43","JWN.N",20110304,NA,"End Of Day (from Real-Time)",44.56,44.78,43.6,44.08,848096
"44","JWN.N",20110307,NA,"End Of Day (from Real-Time)",44.23,44.4,43.21,43.26,778552
"45","JWN.N",20110308,NA,"End Of Day (from Real-Time)",43.3,44,42.65,43.77,652190
"46","JWN.N",20110309,NA,"End Of Day (from Real-Time)",43.7,44.71,43.25,44.3,617413
"47","JWN.N",20110310,NA,"End Of Day (from Real-Time)",43.74,44.68,43.55,44.37,832103
"48","JWN.N",20110311,NA,"End Of Day (from Real-Time)",44.35,44.79,44.01,44.46,657161
"49","JWN.N",20110314,NA,"End Of Day (from Real-Time)",44.02,44.47,42.76,42.99,931094
"50","JWN.N",20110315,NA,"End Of Day (from Real-Time)",42.1,43.19,41.8,42.86,835148
"51","JWN.N",20110316,NA,"End Of Day (from Real-Time)",42.76,42.92,41.27,41.5,1375156
"52","JWN.N",20110317,NA,"End Of Day (from Real-Time)",42.4,42.92,41.65,41.69,1041388
"53","JWN.N",20110318,NA,"End Of Day (from Real-Time)",42.31,42.31,40.96,41.33,1886989
"54","JWN.N",20110321,NA,"End Of Day (from Real-Time)",41.85,42.48,41.85,42.3,556781
"55","JWN.N",20110322,NA,"End Of Day (from Real-Time)",43.2,43.29,42.6,42.64,723522
"56","JWN.N",20110323,NA,"End Of Day (from Real-Time)",42.42,42.47,41.95,42.26,912242
"57","JWN.N",20110324,NA,"End Of Day (from Real-Time)",42.46,43.72,42.07,43.62,802764
"58","JWN.N",20110325,NA,"End Of Day (from Real-Time)",43.75,44.44,43.53,43.6,655092
"59","JWN.N",20110328,NA,"End Of Day (from Real-Time)",43.75,44.21,42.92,42.95,592471
"60","JWN.N",20110329,NA,"End Of Day (from Real-Time)",42.99,44.06,42.98,44,574508
"61","JWN.N",20110330,NA,"End Of Day (from Real-Time)",44.15,44.98,44.01,44.9,613541
"62","JWN.N",20110331,NA,"End Of Day (from Real-Time)",44.83,44.99,43.99,44.88,837510
"63","JWN.N",20110401,NA,"End Of Day (from Real-Time)",45,45.62,44.91,45.11,760819
"64","JWN.N",20110404,NA,"End Of Day (from Real-Time)",45.24,45.47,44.82,45.17,559181
"65","JWN.N",20110405,NA,"End Of Day (from Real-Time)",44.95,46.09,44.79,45.66,464719
"66","JWN.N",20110406,NA,"End Of Day (from Real-Time)",45.88,46.2,45.26,45.9,773412
"67","JWN.N",20110407,NA,"End Of Day (from Real-Time)",46,47.28,45.98,46.61,1079714
"68","JWN.N",20110408,NA,"End Of Day (from Real-Time)",46.81,47.22,45.92,46.22,738227
"69","JWN.N",20110411,NA,"End Of Day (from Real-Time)",46.17,46.62,45.88,45.96,584281
"70","JWN.N",20110412,NA,"End Of Day (from Real-Time)",45.6,46.66,45.6,45.84,679206
"71","JWN.N",20110413,NA,"End Of Day (from Real-Time)",46.31,46.5,45.3,45.95,735652
"72","JWN.N",20110414,NA,"End Of Day (from Real-Time)",45.66,46.14,45.45,46.07,506089
"73","JWN.N",20110415,NA,"End Of Day (from Real-Time)",46.24,46.45,45.95,46.18,637809
"74","JWN.N",20110418,NA,"End Of Day (from Real-Time)",45.46,45.69,44.74,45.38,714930
"75","JWN.N",20110419,NA,"End Of Day (from Real-Time)",45.53,45.95,45.34,45.79,570051
"76","JWN.N",20110420,NA,"End Of Day (from Real-Time)",46.41,47.22,46.4,47.01,703322
"77","JWN.N",20110421,NA,"End Of Day (from Real-Time)",47.2,47.32,46.98,47.31,737472
"78","JWN.N",20110425,NA,"End Of Day (from Real-Time)",47.31,47.59,46.96,47.48,492018
"79","JWN.N",20110426,NA,"End Of Day (from Real-Time)",47.64,48.69,47.59,48.54,644443
"80","JWN.N",20110427,NA,"End Of Day (from Real-Time)",48.47,48.5,47.57,48.14,907686
"81","JWN.N",20110428,NA,"End Of Day (from Real-Time)",47.91,48.06,47.49,47.93,566232
"82","JWN.N",20110429,NA,"End Of Day (from Real-Time)",48,48.16,47.52,47.55,568838
"83","JWN.N",20110502,NA,"End Of Day (from Real-Time)",47.88,48.1,47.28,47.74,608011
"84","JWN.N",20110503,NA,"End Of Day (from Real-Time)",47.71,48.47,47.66,48.1,737459
"85","JWN.N",20110504,NA,"End Of Day (from Real-Time)",48.2,48.61,47.73,48,811329
"86","JWN.N",20110505,NA,"End Of Day (from Real-Time)",46.46,48.16,46.33,47.5,1122301
"87","JWN.N",20110506,NA,"End Of Day (from Real-Time)",48,48.27,47.06,47.39,666459
