"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","K.N",20110103,NA,"End Of Day (from Real-Time)",51.15,51.2,50.75,50.88,1139931
"2","K.N",20110104,NA,"End Of Day (from Real-Time)",50.94,51.46,50.58,51.29,988885
"3","K.N",20110105,NA,"End Of Day (from Real-Time)",51.17,51.5,50.99,51.07,1031889
"4","K.N",20110106,NA,"End Of Day (from Real-Time)",51.02,51.07,50.75,50.92,632060
"5","K.N",20110107,NA,"End Of Day (from Real-Time)",50.93,51.21,50.8,51,464431
"6","K.N",20110110,NA,"End Of Day (from Real-Time)",50.89,51.21,50.89,51.05,403425
"7","K.N",20110111,NA,"End Of Day (from Real-Time)",51.04,51.25,50.89,50.92,715564
"8","K.N",20110112,NA,"End Of Day (from Real-Time)",51,51.44,50.94,51.11,624370
"9","K.N",20110113,NA,"End Of Day (from Real-Time)",51.11,51.64,51.08,51.5,732340
"10","K.N",20110114,NA,"End Of Day (from Real-Time)",51.5,51.67,50.97,51,869668
"11","K.N",20110118,NA,"End Of Day (from Real-Time)",51.11,51.22,50.95,51.14,992007
"12","K.N",20110119,NA,"End Of Day (from Real-Time)",51.2,51.49,50.94,51.05,756525
"13","K.N",20110120,NA,"End Of Day (from Real-Time)",51.02,51.82,51,51.68,1489501
"14","K.N",20110121,NA,"End Of Day (from Real-Time)",51.82,52.03,51.71,51.95,964224
"15","K.N",20110124,NA,"End Of Day (from Real-Time)",51.99,52.2,51.81,51.85,454027
"16","K.N",20110125,NA,"End Of Day (from Real-Time)",51.83,51.99,51.68,51.73,768754
"17","K.N",20110126,NA,"End Of Day (from Real-Time)",51.91,51.96,51.3,51.5,598753
"18","K.N",20110127,NA,"End Of Day (from Real-Time)",51.51,51.57,50.54,50.85,690758
"19","K.N",20110128,NA,"End Of Day (from Real-Time)",50.93,51.32,50.45,50.49,561503
"20","K.N",20110131,NA,"End Of Day (from Real-Time)",50.55,50.61,50.03,50.3,644136
"21","K.N",20110201,NA,"End Of Day (from Real-Time)",50.32,50.63,49.99,50.2,745071
"22","K.N",20110202,NA,"End Of Day (from Real-Time)",50.15,50.75,50.14,50.36,828727
"23","K.N",20110203,NA,"End Of Day (from Real-Time)",51.25,52.65,50.75,52.52,1701003
"24","K.N",20110204,NA,"End Of Day (from Real-Time)",53,53.7,52.71,53.42,1652187
"25","K.N",20110207,NA,"End Of Day (from Real-Time)",53.5,53.75,53.22,53.25,1172881
"26","K.N",20110208,NA,"End Of Day (from Real-Time)",53.2,53.62,53.15,53.29,703834
"27","K.N",20110209,NA,"End Of Day (from Real-Time)",53.12,53.27,52.91,53.1,683305
"28","K.N",20110210,NA,"End Of Day (from Real-Time)",53.03,53.21,52.63,52.81,802793
"29","K.N",20110211,NA,"End Of Day (from Real-Time)",52.4,53.2,52.25,53.09,780973
"30","K.N",20110214,NA,"End Of Day (from Real-Time)",53.2,54.79,52.95,53.48,1451561
"31","K.N",20110215,NA,"End Of Day (from Real-Time)",53.3,53.48,52.92,53,755175
"32","K.N",20110216,NA,"End Of Day (from Real-Time)",53.14,53.18,52.74,52.93,592962
"33","K.N",20110217,NA,"End Of Day (from Real-Time)",52.85,53.16,52.7,53,752830
"34","K.N",20110218,NA,"End Of Day (from Real-Time)",53.06,53.06,52.6,53.01,806987
"35","K.N",20110222,NA,"End Of Day (from Real-Time)",52.9,53.57,52.9,53.19,894333
"36","K.N",20110223,NA,"End Of Day (from Real-Time)",53.26,54,53.21,53.46,1106186
"37","K.N",20110224,NA,"End Of Day (from Real-Time)",53.43,53.68,53.08,53.1,901152
"38","K.N",20110225,NA,"End Of Day (from Real-Time)",52.93,53.45,52.71,53.15,751585
"39","K.N",20110228,NA,"End Of Day (from Real-Time)",53.2,53.75,53.15,53.56,956298
"40","K.N",20110301,NA,"End Of Day (from Real-Time)",53.68,53.81,52.98,52.99,528166
"41","K.N",20110302,NA,"End Of Day (from Real-Time)",52.91,53.27,52.72,53.17,1159035
"42","K.N",20110303,NA,"End Of Day (from Real-Time)",53.5,54.04,53.47,53.97,1205163
"43","K.N",20110304,NA,"End Of Day (from Real-Time)",53.93,54.5,53.93,54.33,1281990
"44","K.N",20110307,NA,"End Of Day (from Real-Time)",54.42,54.49,53.9,54.17,880304
"45","K.N",20110308,NA,"End Of Day (from Real-Time)",54.25,54.59,54.07,54.54,573746
"46","K.N",20110309,NA,"End Of Day (from Real-Time)",54.52,54.95,54.45,54.9,560613
"47","K.N",20110310,NA,"End Of Day (from Real-Time)",54.45,54.99,54.35,54.9,975768
"48","K.N",20110311,NA,"End Of Day (from Real-Time)",54.89,55.4,54.84,55.04,944532
"49","K.N",20110314,NA,"End Of Day (from Real-Time)",54.86,54.89,54.41,54.54,640370
"50","K.N",20110315,NA,"End Of Day (from Real-Time)",53.99,54.37,53.82,54.07,852566
"51","K.N",20110316,NA,"End Of Day (from Real-Time)",54.1,54.23,53.46,53.65,846734
"52","K.N",20110317,NA,"End Of Day (from Real-Time)",53.94,54,53.11,53.45,949934
"53","K.N",20110318,NA,"End Of Day (from Real-Time)",53.81,54.31,53.81,54.17,942554
"54","K.N",20110321,NA,"End Of Day (from Real-Time)",54.43,54.5,54.01,54.1,525607
"55","K.N",20110322,NA,"End Of Day (from Real-Time)",54.09,54.31,53.88,53.97,1202703
"56","K.N",20110323,NA,"End Of Day (from Real-Time)",53.85,54.03,53.57,53.66,789502
"57","K.N",20110324,NA,"End Of Day (from Real-Time)",53.67,53.83,53.49,53.59,507846
"58","K.N",20110325,NA,"End Of Day (from Real-Time)",53.74,53.77,53.3,53.39,659847
"59","K.N",20110328,NA,"End Of Day (from Real-Time)",53.28,53.99,53.28,53.74,379415
"60","K.N",20110329,NA,"End Of Day (from Real-Time)",53.59,53.97,53.58,53.88,404098
"61","K.N",20110330,NA,"End Of Day (from Real-Time)",53.93,54.18,53.69,53.9,726032
"62","K.N",20110331,NA,"End Of Day (from Real-Time)",53.79,54.45,53.79,53.98,533338
