"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","KLAC.O",20110103,NA,"End Of Day (from Real-Time)",38.58,39.398,38.06,38.75,2017429
"2","KLAC.O",20110104,NA,"End Of Day (from Real-Time)",38.7,39,38.26,38.48,1713077
"3","KLAC.O",20110105,NA,"End Of Day (from Real-Time)",38.14,38.2,37.46,37.9,3176953
"4","KLAC.O",20110106,NA,"End Of Day (from Real-Time)",37.92,38.55,37.83,38.2,1724967
"5","KLAC.O",20110107,NA,"End Of Day (from Real-Time)",38.05,38.09,36.9,37.69,1972799
"6","KLAC.O",20110110,NA,"End Of Day (from Real-Time)",37.49,38.69,37.3401,38.65,2372486
"7","KLAC.O",20110111,NA,"End Of Day (from Real-Time)",38.73,38.95,38.46,38.56,1694656
"8","KLAC.O",20110112,NA,"End Of Day (from Real-Time)",38.89,39.07,38.63,38.99,1519098
"9","KLAC.O",20110113,NA,"End Of Day (from Real-Time)",39.58,40.12,39.26,39.75,3511048
"10","KLAC.O",20110114,NA,"End Of Day (from Real-Time)",41.87,42.75,41.28,42.11,7351942
"11","KLAC.O",20110118,NA,"End Of Day (from Real-Time)",42.3,42.95,41.98,42.37,3104533
"12","KLAC.O",20110119,NA,"End Of Day (from Real-Time)",42.34,42.34,41.48,41.61,2266499
"13","KLAC.O",20110120,NA,"End Of Day (from Real-Time)",41.66,42.88,40.88,42.13,3222613
"14","KLAC.O",20110121,NA,"End Of Day (from Real-Time)",42.23,42.45,41.72,41.83,1861210
"15","KLAC.O",20110124,NA,"End Of Day (from Real-Time)",42.16,43.38,41.97,43.11,4527532
"16","KLAC.O",20110125,NA,"End Of Day (from Real-Time)",42.96,43.75,42.72,43.67,4499156
"17","KLAC.O",20110126,NA,"End Of Day (from Real-Time)",43.66,44.62,43.25,44.53,3799818
"18","KLAC.O",20110127,NA,"End Of Day (from Real-Time)",44.45,45,44.36,44.68,2626717
"19","KLAC.O",20110128,NA,"End Of Day (from Real-Time)",45.26,45.99,43.02,43.69,4161526
"20","KLAC.O",20110131,NA,"End Of Day (from Real-Time)",43.55,44.36,43.01,44.08,2803941
"21","KLAC.O",20110201,NA,"End Of Day (from Real-Time)",44.29,45.28,44.29,45.09,2980043
"22","KLAC.O",20110202,NA,"End Of Day (from Real-Time)",44.73,45.43,44.63,45.16,2119199
"23","KLAC.O",20110203,NA,"End Of Day (from Real-Time)",44.98,45.16,44.26,44.89,1234363
"24","KLAC.O",20110204,NA,"End Of Day (from Real-Time)",44.9,45.93,44.71,45.63,1956458
"25","KLAC.O",20110207,NA,"End Of Day (from Real-Time)",45.66,46.48,45.61,46.16,3432154
"26","KLAC.O",20110208,NA,"End Of Day (from Real-Time)",46.1,46.2,45.37,46.2,2397689
"27","KLAC.O",20110209,NA,"End Of Day (from Real-Time)",46.05,46.2279,45.61,46.18,2187757
"28","KLAC.O",20110210,NA,"End Of Day (from Real-Time)",45.76,46.25,45.09,46.17,2932378
"29","KLAC.O",20110211,NA,"End Of Day (from Real-Time)",46.07,46.96,45.94,46.93,2614552
"30","KLAC.O",20110214,NA,"End Of Day (from Real-Time)",47.13,48.431,47.06,48.18,2833035
"31","KLAC.O",20110215,NA,"End Of Day (from Real-Time)",48,48.39,47.75,48.24,2472889
"32","KLAC.O",20110216,NA,"End Of Day (from Real-Time)",48.78,48.95,48.33,48.82,2266458
"33","KLAC.O",20110217,NA,"End Of Day (from Real-Time)",48.68,49.8,48.5,49.53,3010145
"34","KLAC.O",20110218,NA,"End Of Day (from Real-Time)",49.73,49.98,49.04,49.89,2650230
"35","KLAC.O",20110222,NA,"End Of Day (from Real-Time)",49,49.1,47.39,47.57,2397178
"36","KLAC.O",20110223,NA,"End Of Day (from Real-Time)",47.37,47.94,46.37,47.11,2168163
"37","KLAC.O",20110224,NA,"End Of Day (from Real-Time)",47.18,48,46.8,47.78,1531021
"38","KLAC.O",20110225,NA,"End Of Day (from Real-Time)",48.05,49.04,47.78,48.96,1992529
"39","KLAC.O",20110228,NA,"End Of Day (from Real-Time)",49.1,49.47,48.06,48.82,1983279
"40","KLAC.O",20110301,NA,"End Of Day (from Real-Time)",49,49.26,47.815,47.95,2614684
"41","KLAC.O",20110302,NA,"End Of Day (from Real-Time)",47.98,49.9295,47.92,49.68,3001812
"42","KLAC.O",20110303,NA,"End Of Day (from Real-Time)",50.2099,51.83,49.96,51.15,4605136
"43","KLAC.O",20110304,NA,"End Of Day (from Real-Time)",50.94,51.35,50.35,51.21,2345710
"44","KLAC.O",20110307,NA,"End Of Day (from Real-Time)",51.25,51.3,48.37,49.25,3821095
"45","KLAC.O",20110308,NA,"End Of Day (from Real-Time)",49.32,50.34,48.52,49.79,2043484
"46","KLAC.O",20110309,NA,"End Of Day (from Real-Time)",49.55,49.6,47.27,47.5,2818811
"47","KLAC.O",20110310,NA,"End Of Day (from Real-Time)",46.68,46.74,45.36,45.77,4146303
"48","KLAC.O",20110311,NA,"End Of Day (from Real-Time)",45.46,46.48,45.21,46.13,1768822
"49","KLAC.O",20110314,NA,"End Of Day (from Real-Time)",45.6,46.13,45.2,45.85,1465430
"50","KLAC.O",20110315,NA,"End Of Day (from Real-Time)",44.72,46,44.04,45.58,3141286
"51","KLAC.O",20110316,NA,"End Of Day (from Real-Time)",45.29,46,44.11,44.39,2690453
"52","KLAC.O",20110317,NA,"End Of Day (from Real-Time)",45.29,46.21,44.91,45.15,2534135
"53","KLAC.O",20110318,NA,"End Of Day (from Real-Time)",45.57,45.75,44.52,44.78,2964533
"54","KLAC.O",20110321,NA,"End Of Day (from Real-Time)",45.47,46.38,45.38,45.955,1903579
"55","KLAC.O",20110322,NA,"End Of Day (from Real-Time)",46.01,46.01,45.15,45.56,1497124
"56","KLAC.O",20110323,NA,"End Of Day (from Real-Time)",45.35,46.3,44.95,46.12,2092421
"57","KLAC.O",20110324,NA,"End Of Day (from Real-Time)",46.58,47.47,46.01,47.19,2264927
"58","KLAC.O",20110325,NA,"End Of Day (from Real-Time)",47.4,47.82,46.84,46.86,2009486
"59","KLAC.O",20110328,NA,"End Of Day (from Real-Time)",47.09,47.78,46.76,47.3,1424333
"60","KLAC.O",20110329,NA,"End Of Day (from Real-Time)",47.09,47.71,46.64,47.54,1604295
"61","KLAC.O",20110330,NA,"End Of Day (from Real-Time)",47.91,48.09,47.13,47.62,1840569
"62","KLAC.O",20110331,NA,"End Of Day (from Real-Time)",47.64,47.81,46.67,47.32,2154050
"63","KLAC.O",20110401,NA,"End Of Day (from Real-Time)",47.38,47.7588,46.57,46.8,2597490
"64","KLAC.O",20110404,NA,"End Of Day (from Real-Time)",47.12,47.18,46.05,46.43,1874473
"65","KLAC.O",20110405,NA,"End Of Day (from Real-Time)",46.67,47.06,45.97,46.16,2531549
"66","KLAC.O",20110406,NA,"End Of Day (from Real-Time)",46.37,46.61,45.48,46.17,2133083
"67","KLAC.O",20110407,NA,"End Of Day (from Real-Time)",45.8,45.89,43.66,44.06,3952551
"68","KLAC.O",20110408,NA,"End Of Day (from Real-Time)",44.35,44.48,43.28,43.7,2045634
"69","KLAC.O",20110411,NA,"End Of Day (from Real-Time)",43.73,43.88,42.95,43.42,2408889
