"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","KMI.N",20110211,NA,"End Of Day (from Real-Time)",31.7,32.14,30.75,31.05,27507157
"2","KMI.N",20110214,NA,"End Of Day (from Real-Time)",31.2,31.3,30.7,30.7,2267087
"3","KMI.N",20110215,NA,"End Of Day (from Real-Time)",30.9,31.15,30.74,30.94,1290120
"4","KMI.N",20110216,NA,"End Of Day (from Real-Time)",31.05,31.44,30.66,30.72,1301521
"5","KMI.N",20110217,NA,"End Of Day (from Real-Time)",30.7,31.09,30.51,30.55,1495826
"6","KMI.N",20110218,NA,"End Of Day (from Real-Time)",30.68,31.38,30.4,31.37,2583716
"7","KMI.N",20110222,NA,"End Of Day (from Real-Time)",31.1,31.43,30.71,30.72,747112
"8","KMI.N",20110223,NA,"End Of Day (from Real-Time)",30.8,30.9,30.25,30.42,461402
"9","KMI.N",20110224,NA,"End Of Day (from Real-Time)",30.5,30.65,30.3,30.46,634587
"10","KMI.N",20110225,NA,"End Of Day (from Real-Time)",30.46,30.75,30.3,30.5,520189
"11","KMI.N",20110228,NA,"End Of Day (from Real-Time)",30.53,30.79,30.42,30.5,1005115
"12","KMI.N",20110301,NA,"End Of Day (from Real-Time)",30.78,30.78,30.25,30.45,289547
"13","KMI.N",20110302,NA,"End Of Day (from Real-Time)",30.31,30.69,30.31,30.57,326438
"14","KMI.N",20110303,NA,"End Of Day (from Real-Time)",30.68,30.77,30.54,30.77,400021
"15","KMI.N",20110304,NA,"End Of Day (from Real-Time)",30.8,30.93,30.66,30.85,159671
"16","KMI.N",20110307,NA,"End Of Day (from Real-Time)",30.94,31.04,30.71,30.9,192964
"17","KMI.N",20110308,NA,"End Of Day (from Real-Time)",30.8,31.04,30.8,30.97,139296
"18","KMI.N",20110309,NA,"End Of Day (from Real-Time)",30.9,30.98,30.75,30.75,36727
"19","KMI.N",20110310,NA,"End Of Day (from Real-Time)",30.5,30.7,29.75,30.1,557556
"20","KMI.N",20110311,NA,"End Of Day (from Real-Time)",30.1,30.46,29.98,30.1,262270
"21","KMI.N",20110314,NA,"End Of Day (from Real-Time)",30,30.22,29.8,29.99,253869
"22","KMI.N",20110315,NA,"End Of Day (from Real-Time)",29.85,30.2,29.72,29.88,407110
"23","KMI.N",20110316,NA,"End Of Day (from Real-Time)",29.89,30.15,29.77,30.05,295444
"24","KMI.N",20110317,NA,"End Of Day (from Real-Time)",30.2,30.4,30.06,30.15,192558
"25","KMI.N",20110318,NA,"End Of Day (from Real-Time)",30.21,30.5,30.09,30.5,663691
"26","KMI.N",20110321,NA,"End Of Day (from Real-Time)",30.53,31,30.41,30.82,336919
"27","KMI.N",20110322,NA,"End Of Day (from Real-Time)",30.9,30.96,30.57,30.7,200143
"28","KMI.N",20110323,NA,"End Of Day (from Real-Time)",30.53,30.66,29.96,30.02,430555
"29","KMI.N",20110324,NA,"End Of Day (from Real-Time)",30.1,30.24,29.91,30.05,297006
"30","KMI.N",20110325,NA,"End Of Day (from Real-Time)",30.01,30.08,29.5,29.52,727495
"31","KMI.N",20110328,NA,"End Of Day (from Real-Time)",29.79,29.93,29.56,29.62,103645
"32","KMI.N",20110329,NA,"End Of Day (from Real-Time)",29.75,29.88,29.54,29.79,283009
"33","KMI.N",20110330,NA,"End Of Day (from Real-Time)",29.89,29.89,29.58,29.69,117983
"34","KMI.N",20110331,NA,"End Of Day (from Real-Time)",29.87,29.87,29.51,29.64,223468
"35","KMI.N",20110401,NA,"End Of Day (from Real-Time)",29.85,29.85,29.49,29.5,229167
"36","KMI.N",20110404,NA,"End Of Day (from Real-Time)",29.44,29.69,29.25,29.44,266992
"37","KMI.N",20110405,NA,"End Of Day (from Real-Time)",29.49,29.64,29,29.44,165326
"38","KMI.N",20110406,NA,"End Of Day (from Real-Time)",29.46,29.49,29.21,29.46,159001
"39","KMI.N",20110407,NA,"End Of Day (from Real-Time)",29.52,29.54,29.13,29.22,158223
"40","KMI.N",20110408,NA,"End Of Day (from Real-Time)",29.22,29.4,29.12,29.33,192605
"41","KMI.N",20110411,NA,"End Of Day (from Real-Time)",29.3,29.41,29.08,29.25,331381
"42","KMI.N",20110412,NA,"End Of Day (from Real-Time)",29.09,29.23,28.27,28.73,155720
"43","KMI.N",20110413,NA,"End Of Day (from Real-Time)",28.74,29.01,28.66,28.83,168877
"44","KMI.N",20110414,NA,"End Of Day (from Real-Time)",28.79,29.16,28.57,29.12,134659
"45","KMI.N",20110415,NA,"End Of Day (from Real-Time)",29.11,29.15,28.7,28.88,113373
"46","KMI.N",20110418,NA,"End Of Day (from Real-Time)",28.79,28.79,28.23,28.52,208449
"47","KMI.N",20110419,NA,"End Of Day (from Real-Time)",28.59,28.85,28.53,28.78,128177
"48","KMI.N",20110420,NA,"End Of Day (from Real-Time)",29.22,29.59,28.82,29.45,406519
"49","KMI.N",20110421,NA,"End Of Day (from Real-Time)",29.32,29.93,29.09,29.63,218680
