"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","KMX.N",20110103,NA,"End Of Day (from Real-Time)",31.94,32.54,31.49,32.4,596388
"2","KMX.N",20110104,NA,"End Of Day (from Real-Time)",32.49,32.53,31.32,31.42,499138
"3","KMX.N",20110105,NA,"End Of Day (from Real-Time)",31.45,32.29,31.19,32.27,765847
"4","KMX.N",20110106,NA,"End Of Day (from Real-Time)",32.15,32.33,31.56,31.7,597756
"5","KMX.N",20110107,NA,"End Of Day (from Real-Time)",31.74,31.84,31.1,31.53,626780
"6","KMX.N",20110110,NA,"End Of Day (from Real-Time)",31.4,32.53,31.4,32.42,728857
"7","KMX.N",20110111,NA,"End Of Day (from Real-Time)",32.53,32.76,31.93,32.38,399489
"8","KMX.N",20110112,NA,"End Of Day (from Real-Time)",32.43,32.94,32.16,32.37,495581
"9","KMX.N",20110113,NA,"End Of Day (from Real-Time)",32.23,32.4,32.02,32.38,387685
"10","KMX.N",20110114,NA,"End Of Day (from Real-Time)",32.33,32.52,32.09,32.47,379757
"11","KMX.N",20110118,NA,"End Of Day (from Real-Time)",32.38,32.45,31.96,32.04,384045
"12","KMX.N",20110119,NA,"End Of Day (from Real-Time)",31.99,32.15,31.81,31.99,413087
"13","KMX.N",20110120,NA,"End Of Day (from Real-Time)",31.81,32.1,31.69,31.9,672512
"14","KMX.N",20110121,NA,"End Of Day (from Real-Time)",32.54,32.86,32.19,32.44,930291
"15","KMX.N",20110124,NA,"End Of Day (from Real-Time)",32.39,32.39,31.89,32.24,522232
"16","KMX.N",20110125,NA,"End Of Day (from Real-Time)",32.21,32.21,31.5,32.06,354434
"17","KMX.N",20110126,NA,"End Of Day (from Real-Time)",32.18,32.41,31.94,32.2,459076
"18","KMX.N",20110127,NA,"End Of Day (from Real-Time)",32.85,33.64,32.71,32.91,754123
"19","KMX.N",20110128,NA,"End Of Day (from Real-Time)",34.46,34.46,32.42,32.58,968709
"20","KMX.N",20110131,NA,"End Of Day (from Real-Time)",32.59,32.88,32.23,32.65,564528
