"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","KR.N",20110103,NA,"End Of Day (from Real-Time)",22.41,22.45,21.83,22.01,2542222
"2","KR.N",20110104,NA,"End Of Day (from Real-Time)",21.84,21.84,21.53,21.7,2368837
"3","KR.N",20110105,NA,"End Of Day (from Real-Time)",21.67,22.01,21.67,21.85,2305841
"4","KR.N",20110106,NA,"End Of Day (from Real-Time)",21.81,21.87,21.6,21.61,2330522
"5","KR.N",20110107,NA,"End Of Day (from Real-Time)",21.66,21.8,21.51,21.6,1373889
"6","KR.N",20110110,NA,"End Of Day (from Real-Time)",21.58,21.67,21.5,21.53,1457826
"7","KR.N",20110111,NA,"End Of Day (from Real-Time)",21.3,21.52,21.1,21.45,1758368
"8","KR.N",20110112,NA,"End Of Day (from Real-Time)",21.5,21.82,21.4,21.75,1697654
"9","KR.N",20110113,NA,"End Of Day (from Real-Time)",21.71,21.76,21.47,21.52,1720257
"10","KR.N",20110114,NA,"End Of Day (from Real-Time)",21.47,21.62,21.36,21.44,1528440
"11","KR.N",20110118,NA,"End Of Day (from Real-Time)",21.5,21.5,21.4,21.43,2091626
"12","KR.N",20110119,NA,"End Of Day (from Real-Time)",21.4,21.58,21.31,21.51,2476334
"13","KR.N",20110120,NA,"End Of Day (from Real-Time)",21.49,21.83,21.45,21.59,2356781
"14","KR.N",20110121,NA,"End Of Day (from Real-Time)",21.69,21.79,21.54,21.56,2305048
"15","KR.N",20110124,NA,"End Of Day (from Real-Time)",21.61,21.9,21.59,21.7,1812205
"16","KR.N",20110125,NA,"End Of Day (from Real-Time)",21.71,21.8,21.55,21.65,2035474
"17","KR.N",20110126,NA,"End Of Day (from Real-Time)",21.68,22.04,21.6,21.61,2301370
"18","KR.N",20110127,NA,"End Of Day (from Real-Time)",21.67,21.74,21.51,21.51,2826745
"19","KR.N",20110128,NA,"End Of Day (from Real-Time)",21.53,21.64,21.28,21.29,2560489
"20","KR.N",20110131,NA,"End Of Day (from Real-Time)",21.35,21.65,21.35,21.4,2898041
"21","KR.N",20110201,NA,"End Of Day (from Real-Time)",21.49,21.76,21.47,21.69,1659724
"22","KR.N",20110202,NA,"End Of Day (from Real-Time)",21.65,21.79,21.6,21.64,1438163
"23","KR.N",20110203,NA,"End Of Day (from Real-Time)",21.64,22.01,21.64,21.96,2012384
"24","KR.N",20110204,NA,"End Of Day (from Real-Time)",22.1,22.43,22.08,22.33,1971930
"25","KR.N",20110207,NA,"End Of Day (from Real-Time)",22.43,22.5,22.24,22.33,2371127
"26","KR.N",20110208,NA,"End Of Day (from Real-Time)",22.32,22.48,22.2,22.28,1914674
"27","KR.N",20110209,NA,"End Of Day (from Real-Time)",22.22,22.64,22.22,22.64,1622316
"28","KR.N",20110210,NA,"End Of Day (from Real-Time)",22.64,22.81,22.46,22.52,1872128
"29","KR.N",20110211,NA,"End Of Day (from Real-Time)",22.39,22.61,22.24,22.59,1886934
"30","KR.N",20110214,NA,"End Of Day (from Real-Time)",22.53,22.64,22.33,22.43,2077041
"31","KR.N",20110215,NA,"End Of Day (from Real-Time)",22.45,22.61,22.11,22.61,2225685
"32","KR.N",20110216,NA,"End Of Day (from Real-Time)",22.65,23.22,22.56,23.22,2817136
"33","KR.N",20110217,NA,"End Of Day (from Real-Time)",23.05,23.2,22.86,23.09,2964054
"34","KR.N",20110218,NA,"End Of Day (from Real-Time)",23.08,23.1,22.92,23.1,2596172
"35","KR.N",20110222,NA,"End Of Day (from Real-Time)",22.88,23.44,22.88,23.2,2948424
