"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","KSU.N",20110103,NA,"End Of Day (from Real-Time)",48.29,49.49,48.29,48.62,192709
"2","KSU.N",20110104,NA,"End Of Day (from Real-Time)",48.71,49.16,48.58,48.82,324636
"3","KSU.N",20110105,NA,"End Of Day (from Real-Time)",48.6,50.01,48.4,49.96,224011
"4","KSU.N",20110106,NA,"End Of Day (from Real-Time)",50,50.67,50,50.42,320303
"5","KSU.N",20110107,NA,"End Of Day (from Real-Time)",50.52,51.42,50.52,51.25,239351
"6","KSU.N",20110110,NA,"End Of Day (from Real-Time)",50.95,52.5,50.88,52.17,255340
"7","KSU.N",20110111,NA,"End Of Day (from Real-Time)",52.67,52.72,51.12,51.43,159359
"8","KSU.N",20110112,NA,"End Of Day (from Real-Time)",51.78,51.83,50.89,51.38,336212
"9","KSU.N",20110113,NA,"End Of Day (from Real-Time)",51.38,52.23,51.27,51.86,153991
"10","KSU.N",20110114,NA,"End Of Day (from Real-Time)",51.86,52.14,51.68,52.04,136091
"11","KSU.N",20110118,NA,"End Of Day (from Real-Time)",52.06,52.31,51.4,52.31,406423
"12","KSU.N",20110119,NA,"End Of Day (from Real-Time)",52.11,52.24,49.27,49.8,395508
"13","KSU.N",20110120,NA,"End Of Day (from Real-Time)",49.2,49.31,47.59,48.49,345602
"14","KSU.N",20110121,NA,"End Of Day (from Real-Time)",48.84,49.2,47.6,47.71,336582
"15","KSU.N",20110124,NA,"End Of Day (from Real-Time)",47.73,48.15,47.39,48.06,214120
"16","KSU.N",20110125,NA,"End Of Day (from Real-Time)",47.94,48.81,47.15,47.29,432046
"17","KSU.N",20110126,NA,"End Of Day (from Real-Time)",47.67,48.66,47.32,48.42,400869
"18","KSU.N",20110127,NA,"End Of Day (from Real-Time)",48.43,49.77,48.05,49.49,269887
"19","KSU.N",20110128,NA,"End Of Day (from Real-Time)",49.59,51.27,48.77,48.87,314708
"20","KSU.N",20110131,NA,"End Of Day (from Real-Time)",49.07,50.18,49.07,49.98,222314
"21","KSU.N",20110201,NA,"End Of Day (from Real-Time)",50.58,52.34,50.58,51.85,333780
"22","KSU.N",20110202,NA,"End Of Day (from Real-Time)",51.85,52.48,51.43,51.6,331550
"23","KSU.N",20110203,NA,"End Of Day (from Real-Time)",51.57,52,50.83,51.18,259829
"24","KSU.N",20110204,NA,"End Of Day (from Real-Time)",51.31,51.49,50.64,51.11,144429
"25","KSU.N",20110207,NA,"End Of Day (from Real-Time)",51.32,51.89,51.14,51.18,107208
"26","KSU.N",20110208,NA,"End Of Day (from Real-Time)",51.23,51.39,50.56,51.08,131414
"27","KSU.N",20110209,NA,"End Of Day (from Real-Time)",50.84,51.99,50.73,51.99,287371
"28","KSU.N",20110210,NA,"End Of Day (from Real-Time)",51.68,54.16,51.63,53.84,234403
"29","KSU.N",20110211,NA,"End Of Day (from Real-Time)",53.63,55.32,53.18,54.75,253127
"30","KSU.N",20110214,NA,"End Of Day (from Real-Time)",54.75,55.34,54.52,54.94,127058
"31","KSU.N",20110215,NA,"End Of Day (from Real-Time)",54.8,56.18,54.6,56.04,301624
"32","KSU.N",20110216,NA,"End Of Day (from Real-Time)",56.3,56.97,56.01,56.51,283711
"33","KSU.N",20110217,NA,"End Of Day (from Real-Time)",56.33,56.47,55.54,56.11,161909
"34","KSU.N",20110218,NA,"End Of Day (from Real-Time)",56.29,56.3,55.06,55.47,175732
"35","KSU.N",20110222,NA,"End Of Day (from Real-Time)",54.8,55.28,53.19,53.37,227848
"36","KSU.N",20110223,NA,"End Of Day (from Real-Time)",53.33,53.57,51.18,52.62,290761
"37","KSU.N",20110224,NA,"End Of Day (from Real-Time)",52.48,53.09,51.88,52.64,310837
"38","KSU.N",20110225,NA,"End Of Day (from Real-Time)",53.05,54.09,53.02,54.09,250819
"39","KSU.N",20110228,NA,"End Of Day (from Real-Time)",54.31,54.92,53.61,53.84,283134
"40","KSU.N",20110301,NA,"End Of Day (from Real-Time)",54.34,54.45,52.01,52.31,228634
"41","KSU.N",20110302,NA,"End Of Day (from Real-Time)",52.25,53.37,52.25,52.73,198756
"42","KSU.N",20110303,NA,"End Of Day (from Real-Time)",53.31,54.18,52.65,54.06,249012
"43","KSU.N",20110304,NA,"End Of Day (from Real-Time)",54.1,54.1,53.24,53.95,175816
"44","KSU.N",20110307,NA,"End Of Day (from Real-Time)",54.31,54.51,52.32,52.84,305302
"45","KSU.N",20110308,NA,"End Of Day (from Real-Time)",52.93,54.43,52.46,54.25,175239
"46","KSU.N",20110309,NA,"End Of Day (from Real-Time)",54.02,54.85,53.49,54.15,163378
"47","KSU.N",20110310,NA,"End Of Day (from Real-Time)",53.21,53.21,51.64,51.87,340597
"48","KSU.N",20110311,NA,"End Of Day (from Real-Time)",51.49,53.41,51.17,53.03,208207
"49","KSU.N",20110314,NA,"End Of Day (from Real-Time)",52.35,52.88,50.91,51.23,298140
"50","KSU.N",20110315,NA,"End Of Day (from Real-Time)",49.5,51.37,48.1,51.07,478051
"51","KSU.N",20110316,NA,"End Of Day (from Real-Time)",51,52.18,50.33,50.55,357645
"52","KSU.N",20110317,NA,"End Of Day (from Real-Time)",51.48,52.17,50.96,51.4,174064
"53","KSU.N",20110318,NA,"End Of Day (from Real-Time)",52.18,52.18,50.46,50.71,470006
"54","KSU.N",20110321,NA,"End Of Day (from Real-Time)",51.6,52.99,51.5,52.93,287812
"55","KSU.N",20110322,NA,"End Of Day (from Real-Time)",52.6,53.37,52.4,52.43,432335
"56","KSU.N",20110323,NA,"End Of Day (from Real-Time)",52.16,52.63,51.58,52.2,209644
"57","KSU.N",20110324,NA,"End Of Day (from Real-Time)",52.5,54,52.01,53.83,390459
"58","KSU.N",20110325,NA,"End Of Day (from Real-Time)",53.92,54.72,53.71,54.23,181301
"59","KSU.N",20110328,NA,"End Of Day (from Real-Time)",54.25,54.84,54.13,54.35,172400
"60","KSU.N",20110329,NA,"End Of Day (from Real-Time)",54.15,54.7,53.66,54.49,215712
"61","KSU.N",20110330,NA,"End Of Day (from Real-Time)",54.84,55,54.03,54.07,213985
"62","KSU.N",20110331,NA,"End Of Day (from Real-Time)",53.86,54.53,53.68,54.45,298404
"63","KSU.N",20110401,NA,"End Of Day (from Real-Time)",54.84,55.19,54.02,54.47,282358
"64","KSU.N",20110404,NA,"End Of Day (from Real-Time)",54.65,55.09,54.3,55.06,277376
"65","KSU.N",20110405,NA,"End Of Day (from Real-Time)",54.8,55.25,54.31,54.36,130070
"66","KSU.N",20110406,NA,"End Of Day (from Real-Time)",54.82,54.82,53.28,53.8,134987
"67","KSU.N",20110407,NA,"End Of Day (from Real-Time)",53.76,54.03,53.01,53.12,172740
"68","KSU.N",20110408,NA,"End Of Day (from Real-Time)",53.39,53.39,51.48,52.01,169954
"69","KSU.N",20110411,NA,"End Of Day (from Real-Time)",52,52.18,51.23,51.53,158926
"70","KSU.N",20110412,NA,"End Of Day (from Real-Time)",51.23,52.32,51.05,51.27,180154
"71","KSU.N",20110413,NA,"End Of Day (from Real-Time)",51.77,52.04,51.26,51.99,204088
"72","KSU.N",20110414,NA,"End Of Day (from Real-Time)",51.58,52.04,51.14,51.84,174918
"73","KSU.N",20110415,NA,"End Of Day (from Real-Time)",52.16,52.81,51.54,52.6,179449
"74","KSU.N",20110418,NA,"End Of Day (from Real-Time)",51.56,51.72,50.29,51.42,310458
"75","KSU.N",20110419,NA,"End Of Day (from Real-Time)",51.65,52.4,51.51,52.33,160306
"76","KSU.N",20110420,NA,"End Of Day (from Real-Time)",53.15,53.15,51.55,51.98,454334
"77","KSU.N",20110421,NA,"End Of Day (from Real-Time)",54,55.15,52.92,53,351867
"78","KSU.N",20110425,NA,"End Of Day (from Real-Time)",53.35,53.56,52.85,53.41,195907
"79","KSU.N",20110426,NA,"End Of Day (from Real-Time)",53.74,55.68,53.61,55.21,316598
"80","KSU.N",20110427,NA,"End Of Day (from Real-Time)",55.2,56.31,55.2,56.2,288482
"81","KSU.N",20110428,NA,"End Of Day (from Real-Time)",56.22,58.5,56.21,58.1,428291
"82","KSU.N",20110429,NA,"End Of Day (from Real-Time)",58.25,58.59,57.72,58.11,471808
"83","KSU.N",20110502,NA,"End Of Day (from Real-Time)",58.53,58.92,57.82,57.9,227756
"84","KSU.N",20110503,NA,"End Of Day (from Real-Time)",57.68,57.68,56.48,57.07,225659
"85","KSU.N",20110504,NA,"End Of Day (from Real-Time)",56.95,57.29,55.69,56.24,1158812
"86","KSU.N",20110505,NA,"End Of Day (from Real-Time)",55.67,56.71,55.27,55.92,380543
"87","KSU.N",20110506,NA,"End Of Day (from Real-Time)",56.88,57.18,56.11,56.44,276832
"88","KSU.N",20110509,NA,"End Of Day (from Real-Time)",56.59,56.98,56.15,56.63,224456
"89","KSU.N",20110510,NA,"End Of Day (from Real-Time)",56.86,57.44,56.82,57.28,131156
"90","KSU.N",20110511,NA,"End Of Day (from Real-Time)",56.99,57.26,55.4,55.57,214547
"91","KSU.N",20110512,NA,"End Of Day (from Real-Time)",55.39,56.06,54.9,55.69,137457
"92","KSU.N",20110513,NA,"End Of Day (from Real-Time)",55.81,56.11,54.09,54.66,227020
"93","KSU.N",20110516,NA,"End Of Day (from Real-Time)",54.21,55.28,54.13,54.39,245272
"94","KSU.N",20110517,NA,"End Of Day (from Real-Time)",54.05,55.13,53.71,54.45,322190
"95","KSU.N",20110518,NA,"End Of Day (from Real-Time)",54.35,56.13,54.19,55.97,168254
"96","KSU.N",20110519,NA,"End Of Day (from Real-Time)",56.5,57.28,56.13,56.67,273191
"97","KSU.N",20110520,NA,"End Of Day (from Real-Time)",56.42,57.55,56.01,56.8,306307
"98","KSU.N",20110523,NA,"End Of Day (from Real-Time)",55.71,55.99,54.89,55.53,304020
"99","KSU.N",20110524,NA,"End Of Day (from Real-Time)",55.64,56.04,55.34,55.75,279077
"100","KSU.N",20110525,NA,"End Of Day (from Real-Time)",55.57,57.8,55.48,57.6,298451
"101","KSU.N",20110526,NA,"End Of Day (from Real-Time)",57.31,58.59,57.04,58.5,235600
"102","KSU.N",20110527,NA,"End Of Day (from Real-Time)",58.8,59.16,58.37,58.48,307599
"103","KSU.N",20110531,NA,"End Of Day (from Real-Time)",59.38,59.38,58.03,58.89,424426
"104","KSU.N",20110601,NA,"End Of Day (from Real-Time)",58.79,59.07,56.25,56.37,297283
"105","KSU.N",20110602,NA,"End Of Day (from Real-Time)",56.7,58.17,56.65,58.03,361048
"106","KSU.N",20110603,NA,"End Of Day (from Real-Time)",56.85,57.34,56.27,56.57,243785
"107","KSU.N",20110606,NA,"End Of Day (from Real-Time)",56.42,57.05,55.79,55.83,275624
"108","KSU.N",20110607,NA,"End Of Day (from Real-Time)",56.16,56.16,55.37,55.44,370437
"109","KSU.N",20110608,NA,"End Of Day (from Real-Time)",55.14,55.2,54.09,54.3,223459
"110","KSU.N",20110609,NA,"End Of Day (from Real-Time)",54.54,55.22,54.49,54.91,198224
"111","KSU.N",20110610,NA,"End Of Day (from Real-Time)",54.64,54.8,52.3,52.37,611100
"112","KSU.N",20110613,NA,"End Of Day (from Real-Time)",52.32,53.18,51.48,51.81,353589
"113","KSU.N",20110614,NA,"End Of Day (from Real-Time)",52.59,53.17,52.5,52.96,308813
"114","KSU.N",20110615,NA,"End Of Day (from Real-Time)",52.32,53.05,52.1,52.23,225270
"115","KSU.N",20110616,NA,"End Of Day (from Real-Time)",52.15,53.56,51.66,52.02,345548
"116","KSU.N",20110617,NA,"End Of Day (from Real-Time)",52.67,53.59,52.09,53.53,589593
"117","KSU.N",20110620,NA,"End Of Day (from Real-Time)",53.12,54.37,53.12,54,315592
"118","KSU.N",20110621,NA,"End Of Day (from Real-Time)",54.62,56.79,54.61,56.72,385034
"119","KSU.N",20110622,NA,"End Of Day (from Real-Time)",56.27,57.11,55.85,55.87,300212
"120","KSU.N",20110623,NA,"End Of Day (from Real-Time)",54.96,56.09,54.68,56,358814
"121","KSU.N",20110624,NA,"End Of Day (from Real-Time)",56.07,56.87,55.27,55.59,363142
"122","KSU.N",20110627,NA,"End Of Day (from Real-Time)",55.59,56.12,54.99,55.91,255966
"123","KSU.N",20110628,NA,"End Of Day (from Real-Time)",56.08,57.63,56.01,57.17,266227
"124","KSU.N",20110629,NA,"End Of Day (from Real-Time)",57.64,58.1,56.94,57.55,302746
