"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","LM.N",20110103,NA,"End Of Day (from Real-Time)",36.69,37.18,36.67,36.72,515608
"2","LM.N",20110104,NA,"End Of Day (from Real-Time)",36.78,36.82,36,36.24,496743
"3","LM.N",20110105,NA,"End Of Day (from Real-Time)",35.35,36.31,35.26,35.55,1002280
"4","LM.N",20110106,NA,"End Of Day (from Real-Time)",35.64,35.8,35.31,35.58,381455
"5","LM.N",20110107,NA,"End Of Day (from Real-Time)",35.71,35.71,34.47,34.8,683406
"6","LM.N",20110110,NA,"End Of Day (from Real-Time)",34.7,35.45,34.52,35.18,592995
"7","LM.N",20110111,NA,"End Of Day (from Real-Time)",35.44,35.78,35.08,35.21,466262
"8","LM.N",20110112,NA,"End Of Day (from Real-Time)",35.49,35.81,35.23,35.68,438015
"9","LM.N",20110113,NA,"End Of Day (from Real-Time)",35.74,36.19,35.5,36.19,438108
"10","LM.N",20110114,NA,"End Of Day (from Real-Time)",36.07,36.26,35.79,36.1,515299
"11","LM.N",20110118,NA,"End Of Day (from Real-Time)",36.05,36.1,35.5,35.99,407659
"12","LM.N",20110119,NA,"End Of Day (from Real-Time)",35.3,35.64,34.83,34.88,765915
"13","LM.N",20110120,NA,"End Of Day (from Real-Time)",34.73,35.04,34.49,34.8,668308
"14","LM.N",20110121,NA,"End Of Day (from Real-Time)",35.16,35.43,34.51,34.6,776557
"15","LM.N",20110124,NA,"End Of Day (from Real-Time)",34.42,35.59,34.11,35.37,953323
"16","LM.N",20110125,NA,"End Of Day (from Real-Time)",35.25,35.84,34.96,35.61,787861
"17","LM.N",20110126,NA,"End Of Day (from Real-Time)",34,34.51,33.68,33.75,1211138
"18","LM.N",20110127,NA,"End Of Day (from Real-Time)",33.75,34.28,33.58,34.01,804604
"19","LM.N",20110128,NA,"End Of Day (from Real-Time)",34,34.41,33.09,33.2,795326
"20","LM.N",20110131,NA,"End Of Day (from Real-Time)",32.96,33.62,32.95,33.13,575781
"21","LM.N",20110201,NA,"End Of Day (from Real-Time)",33.35,33.94,33.33,33.83,501698
"22","LM.N",20110202,NA,"End Of Day (from Real-Time)",33.67,34.09,33.45,33.48,634828
"23","LM.N",20110203,NA,"End Of Day (from Real-Time)",33.54,34.11,33.41,34.11,476183
"24","LM.N",20110204,NA,"End Of Day (from Real-Time)",34.16,34.8,33.99,34.73,647620
"25","LM.N",20110207,NA,"End Of Day (from Real-Time)",34.78,35.75,34.73,35.21,483556
"26","LM.N",20110208,NA,"End Of Day (from Real-Time)",35.11,35.19,34.72,34.81,366327
"27","LM.N",20110209,NA,"End Of Day (from Real-Time)",34.61,35.01,34.32,34.58,472298
"28","LM.N",20110210,NA,"End Of Day (from Real-Time)",34.39,34.92,34.24,34.56,394689
"29","LM.N",20110211,NA,"End Of Day (from Real-Time)",34.5,35.7,34.35,35.58,370362
"30","LM.N",20110214,NA,"End Of Day (from Real-Time)",35.57,36.13,35.25,35.98,302520
"31","LM.N",20110215,NA,"End Of Day (from Real-Time)",35.96,36.38,35.83,36.1,447705
"32","LM.N",20110216,NA,"End Of Day (from Real-Time)",36.23,36.59,36.17,36.48,236539
"33","LM.N",20110217,NA,"End Of Day (from Real-Time)",36.36,36.81,36.27,36.63,242132
"34","LM.N",20110218,NA,"End Of Day (from Real-Time)",36.67,37.29,36.67,37.24,545722
"35","LM.N",20110222,NA,"End Of Day (from Real-Time)",36.6,36.69,35.69,36,721980
"36","LM.N",20110223,NA,"End Of Day (from Real-Time)",36.05,36.49,35.08,35.5,413595
"37","LM.N",20110224,NA,"End Of Day (from Real-Time)",35.36,35.73,35,35.51,368572
"38","LM.N",20110225,NA,"End Of Day (from Real-Time)",35.72,36.19,35.64,36.12,314784
"39","LM.N",20110228,NA,"End Of Day (from Real-Time)",36.38,36.54,35.93,36.25,449378
"40","LM.N",20110301,NA,"End Of Day (from Real-Time)",36.4,36.51,35.2,35.2,362379
"41","LM.N",20110302,NA,"End Of Day (from Real-Time)",35.19,35.34,34.73,35.06,285677
"42","LM.N",20110303,NA,"End Of Day (from Real-Time)",35.46,36.38,35.46,36.32,420032
"43","LM.N",20110304,NA,"End Of Day (from Real-Time)",36.29,36.35,35.26,35.76,480008
"44","LM.N",20110307,NA,"End Of Day (from Real-Time)",36.01,36.04,34.9,35,338906
"45","LM.N",20110308,NA,"End Of Day (from Real-Time)",34.97,35.96,34.82,35.5,393000
"46","LM.N",20110309,NA,"End Of Day (from Real-Time)",35.5,35.57,34.78,34.86,401509
"47","LM.N",20110310,NA,"End Of Day (from Real-Time)",34.38,34.42,33.67,33.73,514459
"48","LM.N",20110311,NA,"End Of Day (from Real-Time)",33.46,34.27,33.45,34.2,422786
"49","LM.N",20110314,NA,"End Of Day (from Real-Time)",33.93,34.3,33.37,33.51,348147
"50","LM.N",20110315,NA,"End Of Day (from Real-Time)",32.53,33.89,32.28,33.54,719663
"51","LM.N",20110316,NA,"End Of Day (from Real-Time)",33.65,33.86,32.53,32.78,792966
"52","LM.N",20110317,NA,"End Of Day (from Real-Time)",33.36,33.8,33.11,33.32,507470
"53","LM.N",20110318,NA,"End Of Day (from Real-Time)",33.73,34.03,33.43,33.5,732678
"54","LM.N",20110321,NA,"End Of Day (from Real-Time)",34.03,34.45,33.9,34.44,648525
"55","LM.N",20110322,NA,"End Of Day (from Real-Time)",34.45,34.8,34.39,34.53,375774
"56","LM.N",20110323,NA,"End Of Day (from Real-Time)",34.33,34.68,34.03,34.51,393846
"57","LM.N",20110324,NA,"End Of Day (from Real-Time)",34.7,35.24,34.58,35.22,335216
"58","LM.N",20110325,NA,"End Of Day (from Real-Time)",35.27,35.29,34.96,35.03,266629
"59","LM.N",20110328,NA,"End Of Day (from Real-Time)",35.1,35.41,35,35.01,284260
"60","LM.N",20110329,NA,"End Of Day (from Real-Time)",35,35.28,34.7,35.25,225012
"61","LM.N",20110330,NA,"End Of Day (from Real-Time)",35.5,36.19,35.41,35.98,366877
"62","LM.N",20110331,NA,"End Of Day (from Real-Time)",35.81,36.13,35.41,36.09,544201
"63","LM.N",20110401,NA,"End Of Day (from Real-Time)",36.45,37.02,36.45,36.76,496969
"64","LM.N",20110404,NA,"End Of Day (from Real-Time)",36.84,37.07,36.47,36.75,344695
"65","LM.N",20110405,NA,"End Of Day (from Real-Time)",36.7,36.78,36.19,36.34,255747
"66","LM.N",20110406,NA,"End Of Day (from Real-Time)",36.48,36.76,36.28,36.5,357443
"67","LM.N",20110407,NA,"End Of Day (from Real-Time)",36.41,36.7,36.08,36.21,322213
"68","LM.N",20110408,NA,"End Of Day (from Real-Time)",36.3,36.5,35.93,36.01,233804
"69","LM.N",20110411,NA,"End Of Day (from Real-Time)",36,36.5,35.99,36.03,293779
"70","LM.N",20110412,NA,"End Of Day (from Real-Time)",36.27,37.08,36.16,36.83,794275
"71","LM.N",20110413,NA,"End Of Day (from Real-Time)",37.03,37.19,36.57,36.81,533135
"72","LM.N",20110414,NA,"End Of Day (from Real-Time)",36.76,36.77,36.48,36.59,293926
"73","LM.N",20110415,NA,"End Of Day (from Real-Time)",36.76,36.87,36.47,36.69,336348
"74","LM.N",20110418,NA,"End Of Day (from Real-Time)",36.04,36.39,35.85,36.07,457948
"75","LM.N",20110419,NA,"End Of Day (from Real-Time)",36.23,36.27,35.86,36.04,419144
"76","LM.N",20110420,NA,"End Of Day (from Real-Time)",36.62,37,36.52,36.52,434719
"77","LM.N",20110421,NA,"End Of Day (from Real-Time)",36.71,37.38,36.6,37.27,595587
"78","LM.N",20110425,NA,"End Of Day (from Real-Time)",37.54,37.82,37.09,37.21,378566
"79","LM.N",20110426,NA,"End Of Day (from Real-Time)",37.39,37.57,37.21,37.49,426291
"80","LM.N",20110427,NA,"End Of Day (from Real-Time)",37.58,37.66,37.05,37.53,335954
"81","LM.N",20110428,NA,"End Of Day (from Real-Time)",37.39,37.49,37.1,37.22,487365
"82","LM.N",20110429,NA,"End Of Day (from Real-Time)",37.27,37.43,37.13,37.15,358250
"83","LM.N",20110502,NA,"End Of Day (from Real-Time)",37.29,37.56,36.9,37.1,367468
"84","LM.N",20110503,NA,"End Of Day (from Real-Time)",35.1,36.04,34.21,35.13,1361284
"85","LM.N",20110504,NA,"End Of Day (from Real-Time)",34.8,35,34.15,34.51,700275
