"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","LMT.N",20110103,NA,"End Of Day (from Real-Time)",70.28,70.33,69.62,69.87,738726
"2","LMT.N",20110104,NA,"End Of Day (from Real-Time)",69.82,70.61,69.7,70.31,809827
"3","LMT.N",20110105,NA,"End Of Day (from Real-Time)",70.25,71.96,70.01,71.92,1221886
"4","LMT.N",20110106,NA,"End Of Day (from Real-Time)",72.3,73.96,72.28,73.18,1529146
"5","LMT.N",20110107,NA,"End Of Day (from Real-Time)",73,73.89,72.76,73.63,967701
"6","LMT.N",20110110,NA,"End Of Day (from Real-Time)",73.64,74.18,73.17,73.59,917899
"7","LMT.N",20110111,NA,"End Of Day (from Real-Time)",74,74,73.38,73.65,850455
"8","LMT.N",20110112,NA,"End Of Day (from Real-Time)",74.15,74.35,73.8,74.24,799831
"9","LMT.N",20110113,NA,"End Of Day (from Real-Time)",74.21,74.88,73.75,73.84,841382
"10","LMT.N",20110114,NA,"End Of Day (from Real-Time)",73.84,74.6,73.53,74.5,752123
"11","LMT.N",20110118,NA,"End Of Day (from Real-Time)",75.04,76.89,75,76.54,896316
"12","LMT.N",20110119,NA,"End Of Day (from Real-Time)",76.37,78.65,76.27,77.66,1019977
"13","LMT.N",20110120,NA,"End Of Day (from Real-Time)",77.69,79.33,77.38,79.32,1231313
"14","LMT.N",20110121,NA,"End Of Day (from Real-Time)",79.8,80.16,79.14,79.22,1194611
"15","LMT.N",20110124,NA,"End Of Day (from Real-Time)",78.93,79.17,77.66,78.03,1187973
"16","LMT.N",20110125,NA,"End Of Day (from Real-Time)",77.76,79.13,77.7,79.07,983003
"17","LMT.N",20110126,NA,"End Of Day (from Real-Time)",78.67,79,77.52,78.39,873056
"18","LMT.N",20110127,NA,"End Of Day (from Real-Time)",80,81,78.58,79.1,824582
"19","LMT.N",20110128,NA,"End Of Day (from Real-Time)",79.53,80.5,77.79,78.2,1011276
"20","LMT.N",20110131,NA,"End Of Day (from Real-Time)",79,79.63,78.6,79.6,831564
"21","LMT.N",20110201,NA,"End Of Day (from Real-Time)",79.7,80.6,79.67,80.59,721057
"22","LMT.N",20110202,NA,"End Of Day (from Real-Time)",80.34,81.65,80.11,81.07,589201
"23","LMT.N",20110203,NA,"End Of Day (from Real-Time)",81.06,81.44,80.38,80.72,663672
"24","LMT.N",20110204,NA,"End Of Day (from Real-Time)",80.76,80.93,80.22,80.71,563293
"25","LMT.N",20110207,NA,"End Of Day (from Real-Time)",80.62,81.74,80.58,81.52,558619
"26","LMT.N",20110208,NA,"End Of Day (from Real-Time)",81.65,81.85,81.13,81.4,555152
"27","LMT.N",20110209,NA,"End Of Day (from Real-Time)",81.07,82.42,81.07,82.27,619147
"28","LMT.N",20110210,NA,"End Of Day (from Real-Time)",81.95,82.14,81.39,81.89,575435
"29","LMT.N",20110211,NA,"End Of Day (from Real-Time)",81.57,81.92,81.16,81.69,578347
"30","LMT.N",20110214,NA,"End Of Day (from Real-Time)",81.77,81.99,80.1,80.92,400051
"31","LMT.N",20110215,NA,"End Of Day (from Real-Time)",80.84,81.73,80.22,81.48,594005
"32","LMT.N",20110216,NA,"End Of Day (from Real-Time)",81.4,81.46,80.55,81.28,637408
"33","LMT.N",20110217,NA,"End Of Day (from Real-Time)",80.97,82.09,80.97,81.9,523278
"34","LMT.N",20110218,NA,"End Of Day (from Real-Time)",82.05,82.09,81.42,81.81,648925
