"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","LUK.N",20110103,NA,"End Of Day (from Real-Time)",29.5,30.3,29.5,30.12,277507
"2","LUK.N",20110104,NA,"End Of Day (from Real-Time)",30.13,30.26,29.65,29.77,359557
"3","LUK.N",20110105,NA,"End Of Day (from Real-Time)",29.67,30.21,29.59,30.2,467824
"4","LUK.N",20110106,NA,"End Of Day (from Real-Time)",30.2,31.04,30.19,30.47,378296
"5","LUK.N",20110107,NA,"End Of Day (from Real-Time)",30.6,30.74,29.71,30.22,383359
"6","LUK.N",20110110,NA,"End Of Day (from Real-Time)",30,30.23,29.54,30.19,240045
"7","LUK.N",20110111,NA,"End Of Day (from Real-Time)",30.31,30.61,30.18,30.59,302000
"8","LUK.N",20110112,NA,"End Of Day (from Real-Time)",30.87,31.2,30.87,31.15,226373
"9","LUK.N",20110113,NA,"End Of Day (from Real-Time)",31.08,31.6,31.08,31.48,233464
"10","LUK.N",20110114,NA,"End Of Day (from Real-Time)",31.39,31.85,31.23,31.85,334495
"11","LUK.N",20110118,NA,"End Of Day (from Real-Time)",31.86,32.15,31.45,31.67,395120
"12","LUK.N",20110119,NA,"End Of Day (from Real-Time)",31.51,31.61,31.12,31.23,295197
"13","LUK.N",20110120,NA,"End Of Day (from Real-Time)",31.2,31.39,30.84,31.01,309184
"14","LUK.N",20110121,NA,"End Of Day (from Real-Time)",31.31,31.93,31.28,31.93,443064
"15","LUK.N",20110124,NA,"End Of Day (from Real-Time)",31.93,32.2,31.66,32.05,262304
"16","LUK.N",20110125,NA,"End Of Day (from Real-Time)",31.93,31.93,31.08,31.42,360439
"17","LUK.N",20110126,NA,"End Of Day (from Real-Time)",31.54,31.76,31.34,31.63,386647
"18","LUK.N",20110127,NA,"End Of Day (from Real-Time)",31.72,32.44,31.56,32.4,245078
"19","LUK.N",20110128,NA,"End Of Day (from Real-Time)",32.42,32.8,31.7,31.77,411958
"20","LUK.N",20110131,NA,"End Of Day (from Real-Time)",31.83,32.52,31.83,32.52,469396
"21","LUK.N",20110201,NA,"End Of Day (from Real-Time)",32.8,33.73,32.71,33.68,327838
"22","LUK.N",20110202,NA,"End Of Day (from Real-Time)",33.5,33.76,33.22,33.3,415026
"23","LUK.N",20110203,NA,"End Of Day (from Real-Time)",33.22,33.4,32.8,33.29,245232
"24","LUK.N",20110204,NA,"End Of Day (from Real-Time)",33.28,33.52,33.1,33.31,186703
"25","LUK.N",20110207,NA,"End Of Day (from Real-Time)",33.48,33.9,33.38,33.89,195542
"26","LUK.N",20110208,NA,"End Of Day (from Real-Time)",33.93,33.96,33.7,33.77,176163
"27","LUK.N",20110209,NA,"End Of Day (from Real-Time)",33.57,33.77,33.33,33.53,245835
"28","LUK.N",20110210,NA,"End Of Day (from Real-Time)",33.32,33.87,33.32,33.78,283108
"29","LUK.N",20110211,NA,"End Of Day (from Real-Time)",33.61,34.36,33.61,34.25,228757
"30","LUK.N",20110214,NA,"End Of Day (from Real-Time)",34.03,34.41,33.92,34.24,221195
"31","LUK.N",20110215,NA,"End Of Day (from Real-Time)",34.1,34.14,33.81,33.94,231254
"32","LUK.N",20110216,NA,"End Of Day (from Real-Time)",34.02,34.27,33.93,34.16,294621
"33","LUK.N",20110217,NA,"End Of Day (from Real-Time)",34.09,34.25,33.95,34.17,237689
"34","LUK.N",20110218,NA,"End Of Day (from Real-Time)",34.22,34.4,33.81,34.05,394998
"35","LUK.N",20110222,NA,"End Of Day (from Real-Time)",33.35,33.35,31.79,32.03,719193
"36","LUK.N",20110223,NA,"End Of Day (from Real-Time)",32.04,32.48,31.22,31.66,298607
"37","LUK.N",20110224,NA,"End Of Day (from Real-Time)",31.77,32.16,31.37,32.12,469923
"38","LUK.N",20110225,NA,"End Of Day (from Real-Time)",32.4,33.24,32.36,32.97,436683
"39","LUK.N",20110228,NA,"End Of Day (from Real-Time)",33.16,33.33,32.9,33.13,427104
"40","LUK.N",20110301,NA,"End Of Day (from Real-Time)",33.34,33.49,32.13,32.23,358908
"41","LUK.N",20110302,NA,"End Of Day (from Real-Time)",32.19,32.6,31.96,32.43,264566
"42","LUK.N",20110303,NA,"End Of Day (from Real-Time)",32.81,33.11,32.64,32.68,354968
"43","LUK.N",20110304,NA,"End Of Day (from Real-Time)",32.62,32.74,31.98,32.4,294684
"44","LUK.N",20110307,NA,"End Of Day (from Real-Time)",32.52,32.8,31.93,32.23,231794
"45","LUK.N",20110308,NA,"End Of Day (from Real-Time)",32.38,33.63,32.35,33.59,418455
"46","LUK.N",20110309,NA,"End Of Day (from Real-Time)",33.51,33.58,33.2,33.56,265842
"47","LUK.N",20110310,NA,"End Of Day (from Real-Time)",33.09,33.51,32.7,33.26,471636
"48","LUK.N",20110311,NA,"End Of Day (from Real-Time)",33.12,33.77,32.81,33.7,337343
"49","LUK.N",20110314,NA,"End Of Day (from Real-Time)",33.36,34.28,33.04,34.22,418316
"50","LUK.N",20110315,NA,"End Of Day (from Real-Time)",33.02,34.23,32.91,34.05,378370
"51","LUK.N",20110316,NA,"End Of Day (from Real-Time)",33.94,34.15,33.32,33.65,602488
"52","LUK.N",20110317,NA,"End Of Day (from Real-Time)",34.36,34.49,33.85,34.1,361121
"53","LUK.N",20110318,NA,"End Of Day (from Real-Time)",34.68,34.93,34.2,34.47,723582
"54","LUK.N",20110321,NA,"End Of Day (from Real-Time)",35.02,35.58,34.87,35.58,345236
"55","LUK.N",20110322,NA,"End Of Day (from Real-Time)",35.58,35.7,34.87,35.04,372492
"56","LUK.N",20110323,NA,"End Of Day (from Real-Time)",34.89,35.85,34.71,35.63,247373
"57","LUK.N",20110324,NA,"End Of Day (from Real-Time)",35.86,36.54,35.6,36.53,293655
"58","LUK.N",20110325,NA,"End Of Day (from Real-Time)",36.51,37,36.25,36.63,330842
"59","LUK.N",20110328,NA,"End Of Day (from Real-Time)",36.82,36.91,36.54,36.7,206335
"60","LUK.N",20110329,NA,"End Of Day (from Real-Time)",36.62,37.61,36.5,37.61,329894
"61","LUK.N",20110330,NA,"End Of Day (from Real-Time)",37.78,37.81,37.41,37.41,430150
"62","LUK.N",20110331,NA,"End Of Day (from Real-Time)",37.27,37.61,37.24,37.54,321994
