"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MA.N",20110103,NA,"End Of Day (from Real-Time)",226.42,226.42,219.34,220.85,253842
"2","MA.N",20110104,NA,"End Of Day (from Real-Time)",222.21,223.7,220.88,223.7,181474
"3","MA.N",20110105,NA,"End Of Day (from Real-Time)",223.7,231.83,223.7,230.29,662315
"4","MA.N",20110106,NA,"End Of Day (from Real-Time)",231.47,232.6,228.11,231.12,245416
"5","MA.N",20110107,NA,"End Of Day (from Real-Time)",231.14,233.33,229.05,231.09,209658
"6","MA.N",20110110,NA,"End Of Day (from Real-Time)",231.62,231.8,229.32,230.2,220594
"7","MA.N",20110111,NA,"End Of Day (from Real-Time)",231.75,231.8,228.48,229.4,216934
"8","MA.N",20110112,NA,"End Of Day (from Real-Time)",230.6,232.83,229.74,232.83,180909
"9","MA.N",20110113,NA,"End Of Day (from Real-Time)",232.84,233.51,231.42,233.51,152880
"10","MA.N",20110114,NA,"End Of Day (from Real-Time)",233.69,236.91,233.5,236.91,211735
"11","MA.N",20110118,NA,"End Of Day (from Real-Time)",237.84,238.39,236.59,237.63,157466
"12","MA.N",20110119,NA,"End Of Day (from Real-Time)",236.72,237.43,235.26,235.36,187049
"13","MA.N",20110120,NA,"End Of Day (from Real-Time)",233.74,238.84,228.09,235.1,432041
"14","MA.N",20110121,NA,"End Of Day (from Real-Time)",234,235.83,233.32,233.53,248269
"15","MA.N",20110124,NA,"End Of Day (from Real-Time)",235.4,239.73,233.59,239,174247
"16","MA.N",20110125,NA,"End Of Day (from Real-Time)",238.2,241.93,235.3,241.54,332023
"17","MA.N",20110126,NA,"End Of Day (from Real-Time)",243.6,243.6,238.03,240.18,125697
"18","MA.N",20110127,NA,"End Of Day (from Real-Time)",240.58,240.58,237.98,239.11,157843
"19","MA.N",20110128,NA,"End Of Day (from Real-Time)",239.16,240.1,234.6,234.87,155376
"20","MA.N",20110131,NA,"End Of Day (from Real-Time)",234,236.57,232.89,236.51,197107
"21","MA.N",20110201,NA,"End Of Day (from Real-Time)",237.5,241.82,236.94,238.15,193884
"22","MA.N",20110202,NA,"End Of Day (from Real-Time)",238.46,242.33,238.17,239.39,168867
"23","MA.N",20110203,NA,"End Of Day (from Real-Time)",239.48,247.96,237.28,245.39,249306
"24","MA.N",20110204,NA,"End Of Day (from Real-Time)",245.8,249.43,244,247.24,166332
"25","MA.N",20110207,NA,"End Of Day (from Real-Time)",247.27,251.37,247.27,249.98,178750
"26","MA.N",20110208,NA,"End Of Day (from Real-Time)",249.3,251.75,248.36,249.61,171904
"27","MA.N",20110209,NA,"End Of Day (from Real-Time)",248.37,251.2,247.6,248.5,160444
"28","MA.N",20110210,NA,"End Of Day (from Real-Time)",247.75,252.99,247.75,252.13,210892
"29","MA.N",20110211,NA,"End Of Day (from Real-Time)",250.75,254.74,250.62,253.49,148632
"30","MA.N",20110214,NA,"End Of Day (from Real-Time)",252.54,258.73,252.54,254.96,207969
"31","MA.N",20110215,NA,"End Of Day (from Real-Time)",254.67,256.56,254.26,256.1,146880
"32","MA.N",20110216,NA,"End Of Day (from Real-Time)",256.85,258.72,253.79,254.38,173085
"33","MA.N",20110217,NA,"End Of Day (from Real-Time)",252.48,254,248.63,251.82,383628
"34","MA.N",20110218,NA,"End Of Day (from Real-Time)",252,253.11,249.7,250.74,300501
"35","MA.N",20110222,NA,"End Of Day (from Real-Time)",247,250.5,244.18,247.38,210054
"36","MA.N",20110223,NA,"End Of Day (from Real-Time)",247.38,249.28,244.09,244.12,227417
"37","MA.N",20110224,NA,"End Of Day (from Real-Time)",245,246.22,242.99,244.18,265970
"38","MA.N",20110225,NA,"End Of Day (from Real-Time)",245.01,249.33,245.01,246.71,254017
"39","MA.N",20110228,NA,"End Of Day (from Real-Time)",247.58,247.85,240.42,240.56,417926
"40","MA.N",20110301,NA,"End Of Day (from Real-Time)",241.93,246.96,240.36,240.36,260797
"41","MA.N",20110302,NA,"End Of Day (from Real-Time)",241.1,246.95,240.4,246.18,210241
"42","MA.N",20110303,NA,"End Of Day (from Real-Time)",246.94,251.7,246.73,251.65,325918
"43","MA.N",20110304,NA,"End Of Day (from Real-Time)",250.6,251.59,248.6,249.75,172551
"44","MA.N",20110307,NA,"End Of Day (from Real-Time)",249.91,252.89,246.52,247.27,151182
"45","MA.N",20110308,NA,"End Of Day (from Real-Time)",247.22,251.5,245.02,249,210785
"46","MA.N",20110309,NA,"End Of Day (from Real-Time)",248.7,251.82,247.45,247.98,145166
"47","MA.N",20110310,NA,"End Of Day (from Real-Time)",246.71,246.72,242.11,243.56,244345
"48","MA.N",20110311,NA,"End Of Day (from Real-Time)",242.02,249,242.02,248.42,139584
"49","MA.N",20110314,NA,"End Of Day (from Real-Time)",247.2,249.41,246.24,248.84,211556
"50","MA.N",20110315,NA,"End Of Day (from Real-Time)",243.96,246.58,241.87,244.65,269750
"51","MA.N",20110316,NA,"End Of Day (from Real-Time)",244.05,248.43,243.88,244.3,250004
"52","MA.N",20110317,NA,"End Of Day (from Real-Time)",246.55,249,242.32,243.76,175514
"53","MA.N",20110318,NA,"End Of Day (from Real-Time)",246.04,246.26,241.41,241.68,330822
"54","MA.N",20110321,NA,"End Of Day (from Real-Time)",245,248,244.29,247.96,189512
"55","MA.N",20110322,NA,"End Of Day (from Real-Time)",247.58,249.3,246.5,246.76,164478
"56","MA.N",20110323,NA,"End Of Day (from Real-Time)",246.63,248.36,245.87,246.86,129006
"57","MA.N",20110324,NA,"End Of Day (from Real-Time)",247.73,253,245.51,252.31,158528
"58","MA.N",20110325,NA,"End Of Day (from Real-Time)",252.02,253.13,247.37,247.7,361339
"59","MA.N",20110328,NA,"End Of Day (from Real-Time)",249.03,254.26,249.03,252.37,284144
"60","MA.N",20110329,NA,"End Of Day (from Real-Time)",251.38,252.87,249.5,251.71,175862
"61","MA.N",20110330,NA,"End Of Day (from Real-Time)",256,262.1,252.51,253.66,356017
"62","MA.N",20110331,NA,"End Of Day (from Real-Time)",253.76,255.73,251.37,251.72,208818
"63","MA.N",20110401,NA,"End Of Day (from Real-Time)",252.01,255.13,252.01,253.55,208789
"64","MA.N",20110404,NA,"End Of Day (from Real-Time)",254.91,261.26,254.86,261.25,268484
"65","MA.N",20110405,NA,"End Of Day (from Real-Time)",260.03,264.48,259.52,262.93,204044
"66","MA.N",20110406,NA,"End Of Day (from Real-Time)",265.59,265.59,262,265.48,285535
"67","MA.N",20110407,NA,"End Of Day (from Real-Time)",265.5,265.85,262.84,265.17,135876
"68","MA.N",20110408,NA,"End Of Day (from Real-Time)",266.99,267,263,263.06,164546
"69","MA.N",20110411,NA,"End Of Day (from Real-Time)",262.88,267.45,262.68,266.61,161763
"70","MA.N",20110412,NA,"End Of Day (from Real-Time)",264.74,267.17,261.62,262.96,183271
"71","MA.N",20110413,NA,"End Of Day (from Real-Time)",265.5,269.96,264.8,269.76,214792
"72","MA.N",20110414,NA,"End Of Day (from Real-Time)",268.03,269.92,267.04,268.87,129072
"73","MA.N",20110415,NA,"End Of Day (from Real-Time)",269.01,269.11,264.19,267.58,253405
"74","MA.N",20110418,NA,"End Of Day (from Real-Time)",264.92,266.51,263.49,265.05,156077
"75","MA.N",20110419,NA,"End Of Day (from Real-Time)",265.86,268.87,265.57,267.06,113889
"76","MA.N",20110420,NA,"End Of Day (from Real-Time)",269.3,273.75,269.08,270.02,122046
"77","MA.N",20110421,NA,"End Of Day (from Real-Time)",270,273.35,268.98,273.28,287679
"78","MA.N",20110425,NA,"End Of Day (from Real-Time)",273.28,274,270.69,271.43,128726
"79","MA.N",20110426,NA,"End Of Day (from Real-Time)",271.12,278.1,271.12,276.36,125913
"80","MA.N",20110427,NA,"End Of Day (from Real-Time)",276.06,276.06,271.65,275.36,115817
"81","MA.N",20110428,NA,"End Of Day (from Real-Time)",275.33,275.82,274.02,274.7,97044
"82","MA.N",20110429,NA,"End Of Day (from Real-Time)",274.7,275.89,273.78,275.89,228414
"83","MA.N",20110502,NA,"End Of Day (from Real-Time)",276.97,280,275.02,275.29,174090
"84","MA.N",20110503,NA,"End Of Day (from Real-Time)",282,286.6,280.27,282.38,307937
"85","MA.N",20110504,NA,"End Of Day (from Real-Time)",281.35,283.13,278.25,282.39,197832
"86","MA.N",20110505,NA,"End Of Day (from Real-Time)",280.51,280.51,273.07,274.5,229691
"87","MA.N",20110506,NA,"End Of Day (from Real-Time)",276.5,277.7,273.89,274.25,159596
"88","MA.N",20110509,NA,"End Of Day (from Real-Time)",273.44,279.29,273.43,278.77,132481
