"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MCO.N",20110103,NA,"End Of Day (from Real-Time)",26.76,26.97,26.64,26.89,698407
"2","MCO.N",20110104,NA,"End Of Day (from Real-Time)",26.91,26.91,26.54,26.64,619222
"3","MCO.N",20110105,NA,"End Of Day (from Real-Time)",26.5,27.32,26.5,27.32,756195
"4","MCO.N",20110106,NA,"End Of Day (from Real-Time)",28.06,29.87,27.71,29.67,1732077
"5","MCO.N",20110107,NA,"End Of Day (from Real-Time)",29.77,29.78,29.03,29.29,922164
"6","MCO.N",20110110,NA,"End Of Day (from Real-Time)",29.13,29.13,28.55,28.73,738582
"7","MCO.N",20110111,NA,"End Of Day (from Real-Time)",28.81,29,28.54,28.68,654905
"8","MCO.N",20110112,NA,"End Of Day (from Real-Time)",28.91,29.15,28.82,28.98,642935
"9","MCO.N",20110113,NA,"End Of Day (from Real-Time)",29.02,29.47,28.82,28.95,736740
"10","MCO.N",20110114,NA,"End Of Day (from Real-Time)",28.89,29.1,28.89,28.94,719051
"11","MCO.N",20110118,NA,"End Of Day (from Real-Time)",28.94,29.55,28.89,29.52,1077356
"12","MCO.N",20110119,NA,"End Of Day (from Real-Time)",29.42,29.59,28.97,29,557964
"13","MCO.N",20110120,NA,"End Of Day (from Real-Time)",29.18,29.4,28.79,29.04,648143
"14","MCO.N",20110121,NA,"End Of Day (from Real-Time)",29.15,29.22,28.8,28.99,708186
"15","MCO.N",20110124,NA,"End Of Day (from Real-Time)",29,29.15,28.77,29.11,468428
"16","MCO.N",20110125,NA,"End Of Day (from Real-Time)",29.03,29.09,28.63,29.01,409111
"17","MCO.N",20110126,NA,"End Of Day (from Real-Time)",29.13,29.5,29.01,29.24,538225
"18","MCO.N",20110127,NA,"End Of Day (from Real-Time)",29.24,29.57,29.21,29.48,486416
"19","MCO.N",20110128,NA,"End Of Day (from Real-Time)",29.67,29.7,28.91,29.03,676943
"20","MCO.N",20110131,NA,"End Of Day (from Real-Time)",29.17,29.48,29.17,29.37,660087
"21","MCO.N",20110201,NA,"End Of Day (from Real-Time)",29.52,29.72,29.43,29.56,733154
"22","MCO.N",20110202,NA,"End Of Day (from Real-Time)",29.37,29.8,29.26,29.67,499842
"23","MCO.N",20110203,NA,"End Of Day (from Real-Time)",29,30.11,29,29.78,759723
"24","MCO.N",20110204,NA,"End Of Day (from Real-Time)",29.95,29.96,29.35,29.85,529505
"25","MCO.N",20110207,NA,"End Of Day (from Real-Time)",29.92,30.11,29.72,30.03,394496
"26","MCO.N",20110208,NA,"End Of Day (from Real-Time)",30.02,30.1,29.91,29.97,439727
"27","MCO.N",20110209,NA,"End Of Day (from Real-Time)",29.81,30.26,29.8,30.2,778234
"28","MCO.N",20110210,NA,"End Of Day (from Real-Time)",30.06,30.67,29.89,30.31,688507
"29","MCO.N",20110211,NA,"End Of Day (from Real-Time)",30.15,30.52,29.84,30.46,415020
"30","MCO.N",20110214,NA,"End Of Day (from Real-Time)",30.36,30.6,30.22,30.5,238343
"31","MCO.N",20110215,NA,"End Of Day (from Real-Time)",30.42,30.74,30.36,30.6,426741
"32","MCO.N",20110216,NA,"End Of Day (from Real-Time)",30.58,30.74,30.35,30.5,346275
"33","MCO.N",20110217,NA,"End Of Day (from Real-Time)",30.48,30.66,30.38,30.48,322938
"34","MCO.N",20110218,NA,"End Of Day (from Real-Time)",30.49,30.78,30.48,30.69,473434
"35","MCO.N",20110222,NA,"End Of Day (from Real-Time)",30.27,30.72,30.19,30.41,719674
"36","MCO.N",20110223,NA,"End Of Day (from Real-Time)",30.34,30.34,29.44,29.73,585680
"37","MCO.N",20110224,NA,"End Of Day (from Real-Time)",29.67,30.1,29.53,29.76,443039
"38","MCO.N",20110225,NA,"End Of Day (from Real-Time)",29.83,31.3,29.83,31.24,888321
"39","MCO.N",20110228,NA,"End Of Day (from Real-Time)",31.3,32.12,31.3,31.9,885205
"40","MCO.N",20110301,NA,"End Of Day (from Real-Time)",31.92,31.97,31.22,31.35,743199
"41","MCO.N",20110302,NA,"End Of Day (from Real-Time)",31.35,31.65,31.25,31.41,681200
"42","MCO.N",20110303,NA,"End Of Day (from Real-Time)",31.67,32.08,31.67,31.97,444622
"43","MCO.N",20110304,NA,"End Of Day (from Real-Time)",31.9,31.9,31.48,31.73,478089
