"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MDT.N",20110103,NA,"End Of Day (from Real-Time)",37.26,37.51,37.13,37.41,2096853
"2","MDT.N",20110104,NA,"End Of Day (from Real-Time)",37.36,37.38,36.92,37.1,2199079
"3","MDT.N",20110105,NA,"End Of Day (from Real-Time)",36.69,36.83,36.4,36.49,2516355
"4","MDT.N",20110106,NA,"End Of Day (from Real-Time)",36.53,36.84,36.46,36.51,2769137
"5","MDT.N",20110107,NA,"End Of Day (from Real-Time)",36.58,36.61,36.35,36.41,2714534
"6","MDT.N",20110110,NA,"End Of Day (from Real-Time)",36.35,36.53,36.17,36.5,3178609
"7","MDT.N",20110111,NA,"End Of Day (from Real-Time)",36.5,36.69,36.43,36.52,1959795
"8","MDT.N",20110112,NA,"End Of Day (from Real-Time)",36.65,36.82,36.49,36.7,1655392
"9","MDT.N",20110113,NA,"End Of Day (from Real-Time)",36.78,37.27,36.74,37.27,1755625
"10","MDT.N",20110114,NA,"End Of Day (from Real-Time)",37.19,37.34,36.91,37.2,2142090
"11","MDT.N",20110118,NA,"End Of Day (from Real-Time)",37.29,37.74,37.21,37.71,2436566
"12","MDT.N",20110119,NA,"End Of Day (from Real-Time)",37.71,37.87,37.12,37.39,1613000
"13","MDT.N",20110120,NA,"End Of Day (from Real-Time)",37.66,38.19,37.3,38.09,2611487
"14","MDT.N",20110121,NA,"End Of Day (from Real-Time)",38.37,38.99,38.25,38.51,4423475
"15","MDT.N",20110124,NA,"End Of Day (from Real-Time)",38.35,38.38,37.52,37.58,2274010
"16","MDT.N",20110125,NA,"End Of Day (from Real-Time)",37.58,38.19,37.51,38.14,1992897
"17","MDT.N",20110126,NA,"End Of Day (from Real-Time)",38.17,38.24,37.68,37.88,2104001
"18","MDT.N",20110127,NA,"End Of Day (from Real-Time)",37.81,38.18,37.8,37.99,1380268
"19","MDT.N",20110128,NA,"End Of Day (from Real-Time)",38.5,38.84,37.95,38.05,3678898
"20","MDT.N",20110131,NA,"End Of Day (from Real-Time)",38.06,38.36,37.9,38.32,2218714
"21","MDT.N",20110201,NA,"End Of Day (from Real-Time)",38.48,38.72,38.26,38.57,1507479
"22","MDT.N",20110202,NA,"End Of Day (from Real-Time)",38.39,38.45,38,38.31,1353588
"23","MDT.N",20110203,NA,"End Of Day (from Real-Time)",38.18,38.79,38.06,38.67,1309218
"24","MDT.N",20110204,NA,"End Of Day (from Real-Time)",38.77,39.33,38.5,39.24,1841021
"25","MDT.N",20110207,NA,"End Of Day (from Real-Time)",39.24,39.65,39.24,39.54,2418949
"26","MDT.N",20110208,NA,"End Of Day (from Real-Time)",39.54,39.85,39.37,39.81,1638826
"27","MDT.N",20110209,NA,"End Of Day (from Real-Time)",39.87,39.98,39.6,39.65,1932019
