"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MET.N",20110103,NA,"End Of Day (from Real-Time)",44.93,46.37,44.86,46.11,1798830
"2","MET.N",20110104,NA,"End Of Day (from Real-Time)",46.19,46.36,45.44,45.83,1351554
"3","MET.N",20110105,NA,"End Of Day (from Real-Time)",45.32,46.47,45.32,46.42,2021085
"4","MET.N",20110106,NA,"End Of Day (from Real-Time)",46.42,46.86,46.24,46.38,2335048
"5","MET.N",20110107,NA,"End Of Day (from Real-Time)",46.57,46.82,45.67,46.07,1257030
"6","MET.N",20110110,NA,"End Of Day (from Real-Time)",45.56,45.71,45.05,45.44,1544477
"7","MET.N",20110111,NA,"End Of Day (from Real-Time)",45.65,46.16,45.57,45.86,1246549
"8","MET.N",20110112,NA,"End Of Day (from Real-Time)",46.4,46.95,46.25,46.58,1314943
"9","MET.N",20110113,NA,"End Of Day (from Real-Time)",46.4,46.47,45.46,45.63,1278158
"10","MET.N",20110114,NA,"End Of Day (from Real-Time)",45.54,46.62,45.5,46.62,1599812
"11","MET.N",20110118,NA,"End Of Day (from Real-Time)",46.69,46.83,46.05,46.74,1838930
"12","MET.N",20110119,NA,"End Of Day (from Real-Time)",46.38,46.58,45.36,45.59,1415053
"13","MET.N",20110120,NA,"End Of Day (from Real-Time)",45.75,46.01,44.78,45.51,1740655
"14","MET.N",20110121,NA,"End Of Day (from Real-Time)",45.85,46.35,45.63,46.21,1899544
"15","MET.N",20110124,NA,"End Of Day (from Real-Time)",46.27,46.37,45.81,46.07,1481840
"16","MET.N",20110125,NA,"End Of Day (from Real-Time)",45.87,46.42,45.75,46.38,1117880
"17","MET.N",20110126,NA,"End Of Day (from Real-Time)",46.41,46.91,46.41,46.56,1444795
"18","MET.N",20110127,NA,"End Of Day (from Real-Time)",46.64,47.28,46.4,47.16,1252665
"19","MET.N",20110128,NA,"End Of Day (from Real-Time)",47.16,47.26,45.47,45.5,1719978
"20","MET.N",20110131,NA,"End Of Day (from Real-Time)",45.72,46.16,45.41,45.77,1587085
"21","MET.N",20110201,NA,"End Of Day (from Real-Time)",46.3,47.13,46.19,46.96,2268582
"22","MET.N",20110202,NA,"End Of Day (from Real-Time)",46.8,47.08,46.05,46.18,1531808
"23","MET.N",20110203,NA,"End Of Day (from Real-Time)",46.35,46.63,45.74,46.53,1649802
"24","MET.N",20110204,NA,"End Of Day (from Real-Time)",46.57,47.5,46.55,47.34,1804804
"25","MET.N",20110207,NA,"End Of Day (from Real-Time)",47.38,48.72,47.36,48.64,2117906
"26","MET.N",20110208,NA,"End Of Day (from Real-Time)",48.68,48.72,48.19,48.47,2166097
"27","MET.N",20110209,NA,"End Of Day (from Real-Time)",47.83,48.35,47.48,47.6,2155976
"28","MET.N",20110210,NA,"End Of Day (from Real-Time)",46.7,47.97,46.7,47.27,3072248
"29","MET.N",20110211,NA,"End Of Day (from Real-Time)",47.15,48.59,46.82,48.23,1843354
"30","MET.N",20110214,NA,"End Of Day (from Real-Time)",47.96,47.98,46.66,46.9,1766540
"31","MET.N",20110215,NA,"End Of Day (from Real-Time)",46.66,47.12,46.52,46.88,1752088
"32","MET.N",20110216,NA,"End Of Day (from Real-Time)",47.06,47.66,46.96,47.52,1675019
"33","MET.N",20110217,NA,"End Of Day (from Real-Time)",47.29,47.87,47.15,47.72,1363733
"34","MET.N",20110218,NA,"End Of Day (from Real-Time)",47.74,47.85,47.26,47.65,2201131
"35","MET.N",20110222,NA,"End Of Day (from Real-Time)",46.66,47.12,45.91,46.27,2527615
"36","MET.N",20110223,NA,"End Of Day (from Real-Time)",45.28,46.42,45.09,45.79,2146109
"37","MET.N",20110224,NA,"End Of Day (from Real-Time)",45.58,46.29,45.53,46.22,1691131
"38","MET.N",20110225,NA,"End Of Day (from Real-Time)",46.47,46.84,46.35,46.78,1406606
"39","MET.N",20110228,NA,"End Of Day (from Real-Time)",47.06,47.48,46.7,47.36,3787886
"40","MET.N",20110301,NA,"End Of Day (from Real-Time)",47.52,47.6,45.76,46.04,3200446
"41","MET.N",20110302,NA,"End Of Day (from Real-Time)",44.7,44.77,43.35,43.41,8993442
"42","MET.N",20110303,NA,"End Of Day (from Real-Time)",44.25,45.25,44.15,45.25,30396907
"43","MET.N",20110304,NA,"End Of Day (from Real-Time)",45.5,45.75,44.69,45.57,7499701
"44","MET.N",20110307,NA,"End Of Day (from Real-Time)",45.68,46.13,45.18,45.53,5489391
"45","MET.N",20110308,NA,"End Of Day (from Real-Time)",45.88,46.36,45.48,46.31,4206063
"46","MET.N",20110309,NA,"End Of Day (from Real-Time)",46.3,46.72,46.22,46.3,2916798
"47","MET.N",20110310,NA,"End Of Day (from Real-Time)",45.62,45.94,45.1,45.67,3229506
"48","MET.N",20110311,NA,"End Of Day (from Real-Time)",45,46.03,44.82,45.85,2687308
"49","MET.N",20110314,NA,"End Of Day (from Real-Time)",44.9,45,44.58,44.74,3367557
"50","MET.N",20110315,NA,"End Of Day (from Real-Time)",43.14,43.65,41.25,43.4,6698268
"51","MET.N",20110316,NA,"End Of Day (from Real-Time)",43.4,43.52,41.26,42.28,7390144
"52","MET.N",20110317,NA,"End Of Day (from Real-Time)",43.11,43.19,42.29,42.98,3165943
"53","MET.N",20110318,NA,"End Of Day (from Real-Time)",43.73,44.39,43.23,44.02,5243795
"54","MET.N",20110321,NA,"End Of Day (from Real-Time)",44.64,44.77,44.22,44.59,1817822
"55","MET.N",20110322,NA,"End Of Day (from Real-Time)",44.5,45.24,44.48,44.58,1609413
"56","MET.N",20110323,NA,"End Of Day (from Real-Time)",44.33,44.62,43.7,44.35,2772652
"57","MET.N",20110324,NA,"End Of Day (from Real-Time)",44.8,44.88,44.26,44.68,1394030
"58","MET.N",20110325,NA,"End Of Day (from Real-Time)",44.78,45.25,44.51,45.05,1660114
"59","MET.N",20110328,NA,"End Of Day (from Real-Time)",45,45.24,44.81,44.82,1311782
"60","MET.N",20110329,NA,"End Of Day (from Real-Time)",44.5,44.78,43.94,44.41,1449173
"61","MET.N",20110330,NA,"End Of Day (from Real-Time)",44.63,45.13,44.54,44.85,1812308
"62","MET.N",20110331,NA,"End Of Day (from Real-Time)",44.5,45.28,44.31,44.73,3627861
"63","MET.N",20110401,NA,"End Of Day (from Real-Time)",45.02,45.75,44.97,45.26,2036653
"64","MET.N",20110404,NA,"End Of Day (from Real-Time)",45.12,45.76,45.12,45.73,1672108
