"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MHK.N",20110103,NA,"End Of Day (from Real-Time)",57.55,58.21,57.26,57.79,157508
"2","MHK.N",20110104,NA,"End Of Day (from Real-Time)",57.94,58.14,56.52,57.13,101255
"3","MHK.N",20110105,NA,"End Of Day (from Real-Time)",57.03,57.83,57.03,57.44,81142
"4","MHK.N",20110106,NA,"End Of Day (from Real-Time)",57.65,58.07,57.15,57.68,114651
"5","MHK.N",20110107,NA,"End Of Day (from Real-Time)",57.91,58.15,56.2,57.08,126920
"6","MHK.N",20110110,NA,"End Of Day (from Real-Time)",56.75,57.68,55.37,57.35,145572
"7","MHK.N",20110111,NA,"End Of Day (from Real-Time)",57.74,58.25,56.77,57.25,148438
"8","MHK.N",20110112,NA,"End Of Day (from Real-Time)",57.67,58.26,57.39,57.59,122894
"9","MHK.N",20110113,NA,"End Of Day (from Real-Time)",57.68,57.68,56.97,57.11,76790
"10","MHK.N",20110114,NA,"End Of Day (from Real-Time)",57.02,58.4,56.87,58.37,121934
"11","MHK.N",20110118,NA,"End Of Day (from Real-Time)",56.7,58.25,55.97,58.14,289367
"12","MHK.N",20110119,NA,"End Of Day (from Real-Time)",57.88,58.43,57.73,58.17,152855
"13","MHK.N",20110120,NA,"End Of Day (from Real-Time)",57.92,58.95,57.68,58.6,167227
"14","MHK.N",20110121,NA,"End Of Day (from Real-Time)",59.04,59.41,57.04,57.25,138514
"15","MHK.N",20110124,NA,"End Of Day (from Real-Time)",57.15,58.44,57.11,58,115801
"16","MHK.N",20110125,NA,"End Of Day (from Real-Time)",57.84,58.74,57.57,58.43,147033
"17","MHK.N",20110126,NA,"End Of Day (from Real-Time)",58.58,60.45,58.2,58.96,165596
"18","MHK.N",20110127,NA,"End Of Day (from Real-Time)",58.82,59.1,57.43,58.78,254765
"19","MHK.N",20110128,NA,"End Of Day (from Real-Time)",58.77,59.06,55.49,55.56,411603
"20","MHK.N",20110131,NA,"End Of Day (from Real-Time)",55.86,56.56,55.49,55.55,223436
"21","MHK.N",20110201,NA,"End Of Day (from Real-Time)",56.04,56.34,55.76,56.1,153074
"22","MHK.N",20110202,NA,"End Of Day (from Real-Time)",55.81,56.25,55.34,55.39,112352
"23","MHK.N",20110203,NA,"End Of Day (from Real-Time)",55.22,55.98,54.43,55.52,109277
"24","MHK.N",20110204,NA,"End Of Day (from Real-Time)",55.67,56.44,55.36,56.27,101151
"25","MHK.N",20110207,NA,"End Of Day (from Real-Time)",56.4,58.26,56.31,58.25,120940
"26","MHK.N",20110208,NA,"End Of Day (from Real-Time)",58.3,59.33,58.03,59.19,132947
"27","MHK.N",20110209,NA,"End Of Day (from Real-Time)",58.97,59.61,58.78,59.49,188140
"28","MHK.N",20110210,NA,"End Of Day (from Real-Time)",59.13,59.66,58.79,59.18,119507
"29","MHK.N",20110211,NA,"End Of Day (from Real-Time)",58.86,59.78,58.48,59.54,66083
"30","MHK.N",20110214,NA,"End Of Day (from Real-Time)",59.64,59.77,58.91,59,63574
"31","MHK.N",20110215,NA,"End Of Day (from Real-Time)",58.65,59.27,56.98,57.26,204007
"32","MHK.N",20110216,NA,"End Of Day (from Real-Time)",57.51,58.45,57.39,58.14,113926
"33","MHK.N",20110217,NA,"End Of Day (from Real-Time)",57.98,59.2,57.9,59.04,121375
"34","MHK.N",20110218,NA,"End Of Day (from Real-Time)",59.27,59.62,59.04,59.3,79129
"35","MHK.N",20110222,NA,"End Of Day (from Real-Time)",58.57,58.73,57.06,57.34,236697
"36","MHK.N",20110223,NA,"End Of Day (from Real-Time)",56.4,58.2,56,57.78,335656
"37","MHK.N",20110224,NA,"End Of Day (from Real-Time)",57.7,57.7,56.15,56.92,244720
"38","MHK.N",20110225,NA,"End Of Day (from Real-Time)",57.18,58.57,57.02,58.45,138699
"39","MHK.N",20110228,NA,"End Of Day (from Real-Time)",58.7,59.16,57.48,58.11,155043
"40","MHK.N",20110301,NA,"End Of Day (from Real-Time)",58.42,58.86,56.51,56.77,217289
"41","MHK.N",20110302,NA,"End Of Day (from Real-Time)",56.76,58.15,56.76,57.51,141920
"42","MHK.N",20110303,NA,"End Of Day (from Real-Time)",58.29,58.82,57.36,58.07,143747
"43","MHK.N",20110304,NA,"End Of Day (from Real-Time)",58.01,58.17,56.64,56.84,130063
"44","MHK.N",20110307,NA,"End Of Day (from Real-Time)",56.88,56.96,54.66,55.25,225226
"45","MHK.N",20110308,NA,"End Of Day (from Real-Time)",55.35,57.78,55.05,56.98,160806
"46","MHK.N",20110309,NA,"End Of Day (from Real-Time)",56.78,59.29,56.77,59.12,176914
"47","MHK.N",20110310,NA,"End Of Day (from Real-Time)",58.09,58.83,57.42,57.57,100223
"48","MHK.N",20110311,NA,"End Of Day (from Real-Time)",57.28,58.28,57.22,57.91,130287
"49","MHK.N",20110314,NA,"End Of Day (from Real-Time)",57.24,58.01,57.22,57.52,148548
"50","MHK.N",20110315,NA,"End Of Day (from Real-Time)",56.12,58.33,55.8,58.03,309417
"51","MHK.N",20110316,NA,"End Of Day (from Real-Time)",57.81,57.98,56.64,57.05,125761
"52","MHK.N",20110317,NA,"End Of Day (from Real-Time)",57.95,58.13,56.99,57.05,131347
"53","MHK.N",20110318,NA,"End Of Day (from Real-Time)",57.93,57.97,57.28,57.43,275882
"54","MHK.N",20110321,NA,"End Of Day (from Real-Time)",58.27,58.93,57.87,58.77,86258
"55","MHK.N",20110322,NA,"End Of Day (from Real-Time)",58.89,58.94,57.89,58.2,99013
"56","MHK.N",20110323,NA,"End Of Day (from Real-Time)",58.05,58.28,57.25,58.02,101783
"57","MHK.N",20110324,NA,"End Of Day (from Real-Time)",58.35,58.88,57.8,58.69,79506
"58","MHK.N",20110325,NA,"End Of Day (from Real-Time)",58.86,60.07,58.6,59.69,118427
"59","MHK.N",20110328,NA,"End Of Day (from Real-Time)",59.81,59.94,58.8,58.91,87983
"60","MHK.N",20110329,NA,"End Of Day (from Real-Time)",58.78,59.65,58.61,59.53,84702
"61","MHK.N",20110330,NA,"End Of Day (from Real-Time)",59.83,60.69,59.37,60.45,91394
"62","MHK.N",20110331,NA,"End Of Day (from Real-Time)",60.2,61.22,60.19,61.15,136212
"63","MHK.N",20110401,NA,"End Of Day (from Real-Time)",61.73,63.12,61.24,62.5,153725
"64","MHK.N",20110404,NA,"End Of Day (from Real-Time)",62.77,62.93,61.73,61.86,95228
"65","MHK.N",20110405,NA,"End Of Day (from Real-Time)",61.56,62.41,61.13,61.81,144321
"66","MHK.N",20110406,NA,"End Of Day (from Real-Time)",62.28,62.7,61.56,61.88,73209
"67","MHK.N",20110407,NA,"End Of Day (from Real-Time)",61.87,62.46,61.62,62.12,73663
"68","MHK.N",20110408,NA,"End Of Day (from Real-Time)",62.65,62.75,60.56,60.68,73180
"69","MHK.N",20110411,NA,"End Of Day (from Real-Time)",60.78,61.5,60.4,60.64,89759
"70","MHK.N",20110412,NA,"End Of Day (from Real-Time)",60.19,60.64,59.87,60.16,123092
"71","MHK.N",20110413,NA,"End Of Day (from Real-Time)",60.42,60.65,59.04,59.91,138288
"72","MHK.N",20110414,NA,"End Of Day (from Real-Time)",59.36,59.68,59.18,59.5,126043
"73","MHK.N",20110415,NA,"End Of Day (from Real-Time)",59.52,59.88,58.86,59.84,110378
"74","MHK.N",20110418,NA,"End Of Day (from Real-Time)",58.85,59.59,58.61,59.25,116444
"75","MHK.N",20110419,NA,"End Of Day (from Real-Time)",59.56,59.88,58.94,59.41,91553
"76","MHK.N",20110420,NA,"End Of Day (from Real-Time)",60.4,60.4,59.8,60.1,84002
