"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MJN.N",20110103,NA,"End Of Day (from Real-Time)",62.45,62.88,62.13,62.3,635858
"2","MJN.N",20110104,NA,"End Of Day (from Real-Time)",62.6,62.62,60.95,61.2,349546
"3","MJN.N",20110105,NA,"End Of Day (from Real-Time)",60.9,61.8,60.9,61.77,411805
"4","MJN.N",20110106,NA,"End Of Day (from Real-Time)",61.86,62.28,61.26,61.4,205833
"5","MJN.N",20110107,NA,"End Of Day (from Real-Time)",61.49,61.71,60.88,61.04,190020
"6","MJN.N",20110110,NA,"End Of Day (from Real-Time)",60.93,61.46,60.34,61.06,335271
"7","MJN.N",20110111,NA,"End Of Day (from Real-Time)",61.22,61.97,61.22,61.85,275332
"8","MJN.N",20110112,NA,"End Of Day (from Real-Time)",62.3,62.46,61.8,62.28,356080
"9","MJN.N",20110113,NA,"End Of Day (from Real-Time)",62.32,63.18,62.18,62.93,321689
"10","MJN.N",20110114,NA,"End Of Day (from Real-Time)",62.79,63.04,62.36,62.86,255337
"11","MJN.N",20110118,NA,"End Of Day (from Real-Time)",63.02,63.3,62.79,63,218475
"12","MJN.N",20110119,NA,"End Of Day (from Real-Time)",63.03,63.14,62.09,62.4,306023
"13","MJN.N",20110120,NA,"End Of Day (from Real-Time)",61.84,62.34,61.13,61.41,480294
"14","MJN.N",20110121,NA,"End Of Day (from Real-Time)",61.85,62.04,61.53,61.68,363985
"15","MJN.N",20110124,NA,"End Of Day (from Real-Time)",61.73,62.17,60.89,61.6,299816
"16","MJN.N",20110125,NA,"End Of Day (from Real-Time)",61.49,61.49,60.39,60.71,381091
"17","MJN.N",20110126,NA,"End Of Day (from Real-Time)",60.99,60.99,59.56,60.02,564881
"18","MJN.N",20110127,NA,"End Of Day (from Real-Time)",58.99,60.16,58.04,59.61,786752
"19","MJN.N",20110128,NA,"End Of Day (from Real-Time)",59.68,60.1,58.1,58.31,348066
"20","MJN.N",20110131,NA,"End Of Day (from Real-Time)",58,58.56,57.65,57.97,711790
"21","MJN.N",20110201,NA,"End Of Day (from Real-Time)",58.37,59.05,57.83,57.9,499406
"22","MJN.N",20110202,NA,"End Of Day (from Real-Time)",57.74,58.05,57.38,57.54,420480
"23","MJN.N",20110203,NA,"End Of Day (from Real-Time)",57.43,59,57.43,58.79,436051
