"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MON.N",20110103,NA,"End Of Day (from Real-Time)",69.94,69.94,68.7,68.86,1348761
"2","MON.N",20110104,NA,"End Of Day (from Real-Time)",69.38,70.27,68.25,69.07,1737566
"3","MON.N",20110105,NA,"End Of Day (from Real-Time)",69.15,69.39,68.3,69.13,1289696
"4","MON.N",20110106,NA,"End Of Day (from Real-Time)",68.75,72.64,68.69,70.79,3230859
"5","MON.N",20110107,NA,"End Of Day (from Real-Time)",71.15,71.8,70.9,71.79,1406675
"6","MON.N",20110110,NA,"End Of Day (from Real-Time)",71.18,71.5,70.6,71.37,1107113
"7","MON.N",20110111,NA,"End Of Day (from Real-Time)",71.79,72.74,71.76,72.52,1614518
"8","MON.N",20110112,NA,"End Of Day (from Real-Time)",73.4,75.33,73.4,74.92,2330702
"9","MON.N",20110113,NA,"End Of Day (from Real-Time)",74.7,74.98,73.73,74.78,1540553
"10","MON.N",20110114,NA,"End Of Day (from Real-Time)",74.76,74.9,73.74,74.33,1634738
"11","MON.N",20110118,NA,"End Of Day (from Real-Time)",74.45,74.87,73.67,74.63,1256720
"12","MON.N",20110119,NA,"End Of Day (from Real-Time)",74.27,74.3,70.65,71.19,1681181
"13","MON.N",20110120,NA,"End Of Day (from Real-Time)",71.21,71.32,68.51,69.67,1865076
"14","MON.N",20110121,NA,"End Of Day (from Real-Time)",70,71.2,69.72,70.11,1688911
"15","MON.N",20110124,NA,"End Of Day (from Real-Time)",71.25,71.61,70.39,71.12,1097638
"16","MON.N",20110125,NA,"End Of Day (from Real-Time)",70.96,72.21,70.5,72.18,1078354
"17","MON.N",20110126,NA,"End Of Day (from Real-Time)",72.27,73.85,72.2,73.54,1381802
"18","MON.N",20110127,NA,"End Of Day (from Real-Time)",73.92,74.65,72.3,73.68,987169
"19","MON.N",20110128,NA,"End Of Day (from Real-Time)",73.67,74.56,71.53,71.54,1335345
"20","MON.N",20110131,NA,"End Of Day (from Real-Time)",71.35,73.38,71.31,73.38,1291362
"21","MON.N",20110201,NA,"End Of Day (from Real-Time)",74.38,76.06,74.3,76.05,1617499
"22","MON.N",20110202,NA,"End Of Day (from Real-Time)",76.33,76.68,74.51,75.44,1087904
"23","MON.N",20110203,NA,"End Of Day (from Real-Time)",76,76.1,73.76,74.83,769353
"24","MON.N",20110204,NA,"End Of Day (from Real-Time)",74.87,75.1,73.93,74.66,1001643
"25","MON.N",20110207,NA,"End Of Day (from Real-Time)",75.05,75.78,75.05,75.55,899583
"26","MON.N",20110208,NA,"End Of Day (from Real-Time)",75.46,75.49,74.15,74.7,988908
"27","MON.N",20110209,NA,"End Of Day (from Real-Time)",75.35,75.96,74.31,75.23,1295025
"28","MON.N",20110210,NA,"End Of Day (from Real-Time)",74.44,75.5,73.74,74.97,1163401
"29","MON.N",20110211,NA,"End Of Day (from Real-Time)",74.5,75.55,74.11,75.05,881140
"30","MON.N",20110214,NA,"End Of Day (from Real-Time)",74.9,75.86,74.77,75.13,845677
"31","MON.N",20110215,NA,"End Of Day (from Real-Time)",74.71,74.92,70.69,71.54,1680550
"32","MON.N",20110216,NA,"End Of Day (from Real-Time)",72.3,74.09,72.18,72.99,1293380
"33","MON.N",20110217,NA,"End Of Day (from Real-Time)",72.5,74.56,72.07,74.15,1043743
"34","MON.N",20110218,NA,"End Of Day (from Real-Time)",74.46,74.46,72.03,72.39,1730968
"35","MON.N",20110222,NA,"End Of Day (from Real-Time)",71.09,73.24,71.02,71.26,1150667
"36","MON.N",20110223,NA,"End Of Day (from Real-Time)",70.82,71.3,69.26,70.91,1638050
"37","MON.N",20110224,NA,"End Of Day (from Real-Time)",70.94,71.72,69.69,70.54,981546
"38","MON.N",20110225,NA,"End Of Day (from Real-Time)",71.34,72.45,70.94,72.21,799325
"39","MON.N",20110228,NA,"End Of Day (from Real-Time)",72.5,72.6,71.46,71.89,1142847
"40","MON.N",20110301,NA,"End Of Day (from Real-Time)",72.17,72.29,69.85,70.04,1140182
"41","MON.N",20110302,NA,"End Of Day (from Real-Time)",70,70.77,69.2,70.09,1415488
"42","MON.N",20110303,NA,"End Of Day (from Real-Time)",70.66,72.11,70.16,71.96,781157
"43","MON.N",20110304,NA,"End Of Day (from Real-Time)",72.12,73.21,71.92,73.06,1015085
"44","MON.N",20110307,NA,"End Of Day (from Real-Time)",73.32,74.42,70.74,71.65,985791
"45","MON.N",20110308,NA,"End Of Day (from Real-Time)",71.8,72.59,71.31,71.79,793367
"46","MON.N",20110309,NA,"End Of Day (from Real-Time)",70.86,70.91,69.22,69.4,1250507
"47","MON.N",20110310,NA,"End Of Day (from Real-Time)",68.73,68.8,66.93,67.09,1367640
"48","MON.N",20110311,NA,"End Of Day (from Real-Time)",66,68.03,66,67.51,1288491
"49","MON.N",20110314,NA,"End Of Day (from Real-Time)",66.99,67.94,66.41,67.06,771153
"50","MON.N",20110315,NA,"End Of Day (from Real-Time)",64.99,68.4,64.9,67.81,1426127
"51","MON.N",20110316,NA,"End Of Day (from Real-Time)",68.21,68.21,65.75,66.43,1190926
"52","MON.N",20110317,NA,"End Of Day (from Real-Time)",67.53,68.31,66.79,67.2,915560
"53","MON.N",20110318,NA,"End Of Day (from Real-Time)",67.82,68.79,67.72,67.84,1732017
"54","MON.N",20110321,NA,"End Of Day (from Real-Time)",68.94,69.68,68.65,68.98,1283357
