"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","MS.N",20110103,NA,"End Of Day (from Real-Time)",27.7,28.57,27.48,28.23,4469640
"2","MS.N",20110104,NA,"End Of Day (from Real-Time)",28.41,28.49,28,28.47,2622379
"3","MS.N",20110105,NA,"End Of Day (from Real-Time)",28.37,28.83,28.3,28.83,2971542
"4","MS.N",20110106,NA,"End Of Day (from Real-Time)",28.9,28.96,28.58,28.8,2576807
"5","MS.N",20110107,NA,"End Of Day (from Real-Time)",28.88,28.89,28,28.2,3444915
"6","MS.N",20110110,NA,"End Of Day (from Real-Time)",28.12,28.14,27.64,28.05,3224252
"7","MS.N",20110111,NA,"End Of Day (from Real-Time)",28.28,28.47,27.8,27.96,2617472
"8","MS.N",20110112,NA,"End Of Day (from Real-Time)",28.2,28.72,28.13,28.71,2498278
"9","MS.N",20110113,NA,"End Of Day (from Real-Time)",28.69,28.75,28.25,28.3,2636900
"10","MS.N",20110114,NA,"End Of Day (from Real-Time)",28.26,29.17,28.22,28.98,3055376
"11","MS.N",20110118,NA,"End Of Day (from Real-Time)",28.98,28.98,28.5,28.75,3090343
"12","MS.N",20110119,NA,"End Of Day (from Real-Time)",28.45,28.46,27.57,27.75,4428614
"13","MS.N",20110120,NA,"End Of Day (from Real-Time)",28.44,29.18,27.59,29.02,6120534
"14","MS.N",20110121,NA,"End Of Day (from Real-Time)",29.37,30.25,29.35,30.01,7669673
"15","MS.N",20110124,NA,"End Of Day (from Real-Time)",29.46,29.99,29.42,29.75,3589099
"16","MS.N",20110125,NA,"End Of Day (from Real-Time)",29.5,29.62,28.87,29.34,2724601
"17","MS.N",20110126,NA,"End Of Day (from Real-Time)",29.13,29.4,28.8,29.01,2768805
"18","MS.N",20110127,NA,"End Of Day (from Real-Time)",28.96,29.87,28.84,29.85,3034371
"19","MS.N",20110128,NA,"End Of Day (from Real-Time)",29.75,30,28.97,29.04,3477433
"20","MS.N",20110131,NA,"End Of Day (from Real-Time)",29.02,29.46,28.75,29.4,2960059
"21","MS.N",20110201,NA,"End Of Day (from Real-Time)",29.54,30.07,29.5,29.92,2312882
"22","MS.N",20110202,NA,"End Of Day (from Real-Time)",29.84,30.01,29.58,29.66,1839731
"23","MS.N",20110203,NA,"End Of Day (from Real-Time)",29.67,29.86,29.1,29.81,1732951
"24","MS.N",20110204,NA,"End Of Day (from Real-Time)",29.72,29.86,29.5,29.85,1631460
"25","MS.N",20110207,NA,"End Of Day (from Real-Time)",29.92,30.6,29.92,30.42,2337951
"26","MS.N",20110208,NA,"End Of Day (from Real-Time)",30.4,30.87,30.28,30.64,2511702
"27","MS.N",20110209,NA,"End Of Day (from Real-Time)",30.4,30.43,29.65,30.08,3327914
"28","MS.N",20110210,NA,"End Of Day (from Real-Time)",29.92,30.2,29.51,29.73,2734544
"29","MS.N",20110211,NA,"End Of Day (from Real-Time)",29.62,30.24,29.55,30.16,2210256
"30","MS.N",20110214,NA,"End Of Day (from Real-Time)",30.01,30.15,29.89,29.98,1655915
"31","MS.N",20110215,NA,"End Of Day (from Real-Time)",29.89,30.45,29.89,30.32,2307761
"32","MS.N",20110216,NA,"End Of Day (from Real-Time)",30.43,30.83,30.4,30.71,2245237
"33","MS.N",20110217,NA,"End Of Day (from Real-Time)",30.35,30.75,30.32,30.69,1607937
"34","MS.N",20110218,NA,"End Of Day (from Real-Time)",30.75,31.04,30.71,30.99,3440258
"35","MS.N",20110222,NA,"End Of Day (from Real-Time)",30.21,30.27,29.43,29.52,2895026
"36","MS.N",20110223,NA,"End Of Day (from Real-Time)",29.62,29.96,29.11,29.65,2402820
"37","MS.N",20110224,NA,"End Of Day (from Real-Time)",29.52,29.56,28.87,29.49,2728739
"38","MS.N",20110225,NA,"End Of Day (from Real-Time)",29.62,30.02,29.57,29.87,2095194
"39","MS.N",20110228,NA,"End Of Day (from Real-Time)",29.99,30.04,29.4,29.68,5355915
"40","MS.N",20110301,NA,"End Of Day (from Real-Time)",29.77,29.78,28.82,28.82,2896485
"41","MS.N",20110302,NA,"End Of Day (from Real-Time)",28.82,29.24,28.66,28.97,2179863
"42","MS.N",20110303,NA,"End Of Day (from Real-Time)",29.3,29.55,29.18,29.31,1896116
"43","MS.N",20110304,NA,"End Of Day (from Real-Time)",28.99,29.01,28.13,28.44,3855497
"44","MS.N",20110307,NA,"End Of Day (from Real-Time)",28.54,28.67,28.05,28.32,2431948
"45","MS.N",20110308,NA,"End Of Day (from Real-Time)",28.44,28.97,28.32,28.8,2499999
"46","MS.N",20110309,NA,"End Of Day (from Real-Time)",28.75,28.91,28.49,28.72,1745922
"47","MS.N",20110310,NA,"End Of Day (from Real-Time)",28.33,28.4,27.96,28.07,2269817
"48","MS.N",20110311,NA,"End Of Day (from Real-Time)",28.05,28.4,28,28.34,1805762
"49","MS.N",20110314,NA,"End Of Day (from Real-Time)",27.96,28.15,27.67,27.91,2170337
"50","MS.N",20110315,NA,"End Of Day (from Real-Time)",27.16,27.85,26.98,27.65,3114012
"51","MS.N",20110316,NA,"End Of Day (from Real-Time)",27.68,27.75,26.7,27.11,4470821
"52","MS.N",20110317,NA,"End Of Day (from Real-Time)",27.5,27.59,27.05,27.45,3076025
"53","MS.N",20110318,NA,"End Of Day (from Real-Time)",27.42,27.86,27.26,27.43,6583360
"54","MS.N",20110321,NA,"End Of Day (from Real-Time)",27.81,27.97,27.67,27.79,1920556
"55","MS.N",20110322,NA,"End Of Day (from Real-Time)",27.79,28.2,27.76,27.76,1368660
"56","MS.N",20110323,NA,"End Of Day (from Real-Time)",27.54,27.64,27.1,27.57,3357654
"57","MS.N",20110324,NA,"End Of Day (from Real-Time)",27.69,27.71,27.37,27.61,2349790
"58","MS.N",20110325,NA,"End Of Day (from Real-Time)",27.67,27.7,27.08,27.13,2047805
"59","MS.N",20110328,NA,"End Of Day (from Real-Time)",27.15,27.45,27.13,27.18,1546800
"60","MS.N",20110329,NA,"End Of Day (from Real-Time)",27.17,27.25,26.93,27.23,1785837
"61","MS.N",20110330,NA,"End Of Day (from Real-Time)",27.37,27.37,27.02,27.23,2190468
"62","MS.N",20110331,NA,"End Of Day (from Real-Time)",27.09,27.59,27.06,27.32,2398816
"63","MS.N",20110401,NA,"End Of Day (from Real-Time)",27.39,27.47,27.17,27.26,2073672
"64","MS.N",20110404,NA,"End Of Day (from Real-Time)",27.57,27.59,27.03,27.1,2425296
"65","MS.N",20110405,NA,"End Of Day (from Real-Time)",27.08,27.22,26.99,27.18,1732731
"66","MS.N",20110406,NA,"End Of Day (from Real-Time)",27.25,27.87,27.12,27.76,2750382
"67","MS.N",20110407,NA,"End Of Day (from Real-Time)",27.81,28.24,27.6,27.62,2158650
"68","MS.N",20110408,NA,"End Of Day (from Real-Time)",27.83,27.83,27.12,27.25,2041710
"69","MS.N",20110411,NA,"End Of Day (from Real-Time)",27.25,27.46,26.87,26.91,2350898
"70","MS.N",20110412,NA,"End Of Day (from Real-Time)",26.61,26.88,26.45,26.81,2652604
"71","MS.N",20110413,NA,"End Of Day (from Real-Time)",27.22,27.34,26.6,26.79,2643057
"72","MS.N",20110414,NA,"End Of Day (from Real-Time)",26.65,26.82,26.36,26.79,2230279
"73","MS.N",20110415,NA,"End Of Day (from Real-Time)",26.92,27.16,26.8,26.98,3734832
"74","MS.N",20110418,NA,"End Of Day (from Real-Time)",26.56,26.68,26.25,26.55,2866899
"75","MS.N",20110419,NA,"End Of Day (from Real-Time)",26.73,26.73,26,26.1,2115265
"76","MS.N",20110420,NA,"End Of Day (from Real-Time)",26.35,26.87,25.9,26.04,4691587
"77","MS.N",20110421,NA,"End Of Day (from Real-Time)",26.64,27.38,26.43,26.48,3973513
"78","MS.N",20110425,NA,"End Of Day (from Real-Time)",26.24,26.44,25.75,25.78,2603190
"79","MS.N",20110426,NA,"End Of Day (from Real-Time)",25.84,26.06,25.81,25.85,2510922
"80","MS.N",20110427,NA,"End Of Day (from Real-Time)",25.89,25.91,25.33,25.5,2798818
"81","MS.N",20110428,NA,"End Of Day (from Real-Time)",25.5,25.94,25.39,25.82,3040184
"82","MS.N",20110429,NA,"End Of Day (from Real-Time)",25.83,26.24,25.82,26.15,2799359
"83","MS.N",20110502,NA,"End Of Day (from Real-Time)",26.24,26.48,26.01,26.03,1788951
"84","MS.N",20110503,NA,"End Of Day (from Real-Time)",26.06,26.22,25.64,25.72,2557400
"85","MS.N",20110504,NA,"End Of Day (from Real-Time)",25.8,25.96,25.25,25.4,2855368
"86","MS.N",20110505,NA,"End Of Day (from Real-Time)",25.28,25.4,24.98,25.14,2515750
"87","MS.N",20110506,NA,"End Of Day (from Real-Time)",25.44,25.67,25.2,25.24,3424738
"88","MS.N",20110509,NA,"End Of Day (from Real-Time)",25.11,25.26,24.99,25.08,1677680
"89","MS.N",20110510,NA,"End Of Day (from Real-Time)",25.23,25.68,25.13,25.46,2502559
"90","MS.N",20110511,NA,"End Of Day (from Real-Time)",25.27,25.3,24.58,24.61,3114082
