"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NBL.N",20110103,NA,"End Of Day (from Real-Time)",86.08,88.42,84.65,84.81,820430
"2","NBL.N",20110104,NA,"End Of Day (from Real-Time)",85.29,85.44,83.22,84.4,507007
"3","NBL.N",20110105,NA,"End Of Day (from Real-Time)",83.25,84.39,82.81,84.37,461903
"4","NBL.N",20110106,NA,"End Of Day (from Real-Time)",84.5,84.5,82.22,82.63,599226
"5","NBL.N",20110107,NA,"End Of Day (from Real-Time)",82.7,83.42,82.21,83.1,427518
"6","NBL.N",20110110,NA,"End Of Day (from Real-Time)",82.72,83,81.27,82.34,383865
"7","NBL.N",20110111,NA,"End Of Day (from Real-Time)",82.75,83.62,82.59,82.8,368364
"8","NBL.N",20110112,NA,"End Of Day (from Real-Time)",83.37,84.83,83.15,83.95,565537
"9","NBL.N",20110113,NA,"End Of Day (from Real-Time)",84.01,84.61,83.16,83.86,277650
"10","NBL.N",20110114,NA,"End Of Day (from Real-Time)",83.6,84.15,82.7,84.08,301473
"11","NBL.N",20110118,NA,"End Of Day (from Real-Time)",84.17,85.9,83.86,85.55,333008
"12","NBL.N",20110119,NA,"End Of Day (from Real-Time)",86.03,86.31,85.07,85.94,566596
"13","NBL.N",20110120,NA,"End Of Day (from Real-Time)",85.5,86.52,85.01,85.96,553210
"14","NBL.N",20110121,NA,"End Of Day (from Real-Time)",87,87.48,86.05,87.23,581388
"15","NBL.N",20110124,NA,"End Of Day (from Real-Time)",87.16,88.36,86.89,87.11,379137
"16","NBL.N",20110125,NA,"End Of Day (from Real-Time)",86.63,86.91,84.55,85.35,529559
"17","NBL.N",20110126,NA,"End Of Day (from Real-Time)",85.99,86.79,85.05,86.53,268962
"18","NBL.N",20110127,NA,"End Of Day (from Real-Time)",86.66,86.99,85.45,85.88,246327
"19","NBL.N",20110128,NA,"End Of Day (from Real-Time)",86.15,87.83,83.43,86.46,787200
"20","NBL.N",20110131,NA,"End Of Day (from Real-Time)",87.05,91.24,87,91.1,663510
"21","NBL.N",20110201,NA,"End Of Day (from Real-Time)",91.31,92.15,88.66,89.14,628923
"22","NBL.N",20110202,NA,"End Of Day (from Real-Time)",88.75,90.1,88.44,88.99,473613
"23","NBL.N",20110203,NA,"End Of Day (from Real-Time)",89.42,89.62,88.4,88.9,422696
"24","NBL.N",20110204,NA,"End Of Day (from Real-Time)",89.1,89.88,88.54,89.35,598770
"25","NBL.N",20110207,NA,"End Of Day (from Real-Time)",91.9,91.9,88.41,88.71,649927
"26","NBL.N",20110208,NA,"End Of Day (from Real-Time)",89,91.02,88.43,91.02,446720
"27","NBL.N",20110209,NA,"End Of Day (from Real-Time)",90.3,91,88.42,89.09,435042
"28","NBL.N",20110210,NA,"End Of Day (from Real-Time)",88.65,89.59,87.08,88,623707
"29","NBL.N",20110211,NA,"End Of Day (from Real-Time)",87.47,87.59,86.86,87.06,499415
"30","NBL.N",20110214,NA,"End Of Day (from Real-Time)",86.91,88.42,86.91,88.21,476284
"31","NBL.N",20110215,NA,"End Of Day (from Real-Time)",88,88.49,86.55,86.66,424789
"32","NBL.N",20110216,NA,"End Of Day (from Real-Time)",86.98,87.52,85.95,86.35,490433
"33","NBL.N",20110217,NA,"End Of Day (from Real-Time)",86.25,88.21,86.22,87.75,387460
"34","NBL.N",20110218,NA,"End Of Day (from Real-Time)",88.17,89.2,87.63,88.87,648660
"35","NBL.N",20110222,NA,"End Of Day (from Real-Time)",88.96,90.28,87.76,88.71,582273
"36","NBL.N",20110223,NA,"End Of Day (from Real-Time)",89,89.62,88.15,88.44,502100
"37","NBL.N",20110224,NA,"End Of Day (from Real-Time)",88.87,89,86.35,86.76,352077
"38","NBL.N",20110225,NA,"End Of Day (from Real-Time)",87.31,89.32,87,89.19,463200
"39","NBL.N",20110228,NA,"End Of Day (from Real-Time)",89.55,92.92,89.06,92.66,919806
"40","NBL.N",20110301,NA,"End Of Day (from Real-Time)",93.2,93.44,90.76,90.95,499592
"41","NBL.N",20110302,NA,"End Of Day (from Real-Time)",90.88,91.26,89.83,91.13,416569
"42","NBL.N",20110303,NA,"End Of Day (from Real-Time)",91.71,92.76,90.94,92.51,360070
"43","NBL.N",20110304,NA,"End Of Day (from Real-Time)",91.84,93.81,91.84,93.7,414896
"44","NBL.N",20110307,NA,"End Of Day (from Real-Time)",94.37,94.99,92.65,93.47,521272
"45","NBL.N",20110308,NA,"End Of Day (from Real-Time)",93.48,93.48,90.85,91.03,370750
"46","NBL.N",20110309,NA,"End Of Day (from Real-Time)",90.85,91.48,89.83,91.16,456799
"47","NBL.N",20110310,NA,"End Of Day (from Real-Time)",90.01,90.23,87.35,87.53,376550
"48","NBL.N",20110311,NA,"End Of Day (from Real-Time)",86.74,90.13,86.3,89.65,304747
"49","NBL.N",20110314,NA,"End Of Day (from Real-Time)",89.42,90.32,88.47,89.96,412952
"50","NBL.N",20110315,NA,"End Of Day (from Real-Time)",87.74,91.16,87.3,90.75,635146
"51","NBL.N",20110316,NA,"End Of Day (from Real-Time)",91.03,93.04,87.85,87.98,951232
"52","NBL.N",20110317,NA,"End Of Day (from Real-Time)",90.42,93.07,90.11,92.63,632644
"53","NBL.N",20110318,NA,"End Of Day (from Real-Time)",93.77,93.82,92.31,93.31,1306548
"54","NBL.N",20110321,NA,"End Of Day (from Real-Time)",94.11,95.87,94,95.84,337107
"55","NBL.N",20110322,NA,"End Of Day (from Real-Time)",95.8,96.68,95.3,96.03,382646
"56","NBL.N",20110323,NA,"End Of Day (from Real-Time)",96.15,96.74,94.33,96.22,302620
"57","NBL.N",20110324,NA,"End Of Day (from Real-Time)",96.75,96.82,94.55,96.08,197956
"58","NBL.N",20110325,NA,"End Of Day (from Real-Time)",95.87,98,95.76,97.42,273387
"59","NBL.N",20110328,NA,"End Of Day (from Real-Time)",97.4,98.07,96.19,96.27,249875
"60","NBL.N",20110329,NA,"End Of Day (from Real-Time)",96.48,97.96,96.1,97.7,362365
"61","NBL.N",20110330,NA,"End Of Day (from Real-Time)",98.13,98.93,97.55,98,457033
"62","NBL.N",20110331,NA,"End Of Day (from Real-Time)",98.2,98.74,95.99,96.65,518589
"63","NBL.N",20110401,NA,"End Of Day (from Real-Time)",94.23,97.84,94.23,95.67,553174
"64","NBL.N",20110404,NA,"End Of Day (from Real-Time)",96.16,97.44,95.79,97.21,402487
"65","NBL.N",20110405,NA,"End Of Day (from Real-Time)",96.92,98.23,96.34,97.14,407778
"66","NBL.N",20110406,NA,"End Of Day (from Real-Time)",98,98.7,96.14,96.94,284911
