"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NLSN.N",20110126,NA,"End Of Day (from Real-Time)",24.75,25.78,24.35,25,31556197
"2","NLSN.N",20110127,NA,"End Of Day (from Real-Time)",25,25.85,25,25.4,1293786
"3","NLSN.N",20110128,NA,"End Of Day (from Real-Time)",25.27,25.4,25,25,1134131
"4","NLSN.N",20110131,NA,"End Of Day (from Real-Time)",24.98,26.5,24.75,26.07,379701
"5","NLSN.N",20110201,NA,"End Of Day (from Real-Time)",26.45,26.6,25.5,25.75,645748
"6","NLSN.N",20110202,NA,"End Of Day (from Real-Time)",25.98,26.31,25.75,25.95,307912
"7","NLSN.N",20110203,NA,"End Of Day (from Real-Time)",25.76,26.05,25.76,25.95,161951
"8","NLSN.N",20110204,NA,"End Of Day (from Real-Time)",26.05,26.79,25.76,26.08,145295
"9","NLSN.N",20110207,NA,"End Of Day (from Real-Time)",26.05,26.2,25.65,25.79,246463
"10","NLSN.N",20110208,NA,"End Of Day (from Real-Time)",25.7,26.06,25.65,26.03,1653784
"11","NLSN.N",20110209,NA,"End Of Day (from Real-Time)",25.97,26.19,25.53,25.58,138533
"12","NLSN.N",20110210,NA,"End Of Day (from Real-Time)",25.5,25.62,25,25.4,311244
"13","NLSN.N",20110211,NA,"End Of Day (from Real-Time)",25.25,25.48,25.14,25.22,224519
"14","NLSN.N",20110214,NA,"End Of Day (from Real-Time)",25.47,25.47,25.13,25.37,108264
"15","NLSN.N",20110215,NA,"End Of Day (from Real-Time)",25.37,25.41,25.09,25.38,129519
"16","NLSN.N",20110216,NA,"End Of Day (from Real-Time)",25.31,26,25.31,26,210099
"17","NLSN.N",20110217,NA,"End Of Day (from Real-Time)",25.88,27.21,25.88,27.01,536519
"18","NLSN.N",20110218,NA,"End Of Day (from Real-Time)",27.08,27.84,26.9,27.69,1360824
"19","NLSN.N",20110222,NA,"End Of Day (from Real-Time)",27.15,27.49,26.23,26.42,187064
"20","NLSN.N",20110223,NA,"End Of Day (from Real-Time)",26.15,26.72,25.97,26.66,165216
"21","NLSN.N",20110224,NA,"End Of Day (from Real-Time)",26.4,26.52,25.94,25.95,122629
"22","NLSN.N",20110225,NA,"End Of Day (from Real-Time)",26.04,26.16,25.79,25.99,145611
"23","NLSN.N",20110228,NA,"End Of Day (from Real-Time)",26.11,26.72,25.96,26.59,145726
