"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NOV.N",20110103,NA,"End Of Day (from Real-Time)",68.21,68.61,66.77,66.87,1266021
"2","NOV.N",20110104,NA,"End Of Day (from Real-Time)",67.33,67.43,65.61,66.8,1582668
"3","NOV.N",20110105,NA,"End Of Day (from Real-Time)",66.02,66.43,64.9,66.07,1429763
"4","NOV.N",20110106,NA,"End Of Day (from Real-Time)",66.13,66.2,63.46,63.72,1244479
"5","NOV.N",20110107,NA,"End Of Day (from Real-Time)",63.6,65.87,63.58,65.04,1222458
"6","NOV.N",20110110,NA,"End Of Day (from Real-Time)",64.56,65.79,63.86,65.2,1189134
"7","NOV.N",20110111,NA,"End Of Day (from Real-Time)",65.72,66.94,65.66,66.4,1011599
"8","NOV.N",20110112,NA,"End Of Day (from Real-Time)",66.85,67.45,65.69,67.38,1078745
"9","NOV.N",20110113,NA,"End Of Day (from Real-Time)",67.3,68.19,66.87,67.13,815917
"10","NOV.N",20110114,NA,"End Of Day (from Real-Time)",66.89,69.33,66.53,69.31,1286557
"11","NOV.N",20110118,NA,"End Of Day (from Real-Time)",69.41,69.98,68.81,69.85,927005
"12","NOV.N",20110119,NA,"End Of Day (from Real-Time)",69.85,70,67.92,68.26,1216784
"13","NOV.N",20110120,NA,"End Of Day (from Real-Time)",67.5,68.12,65.66,67.76,1369422
"14","NOV.N",20110121,NA,"End Of Day (from Real-Time)",68.83,69.62,67.13,67.51,1758766
"15","NOV.N",20110124,NA,"End Of Day (from Real-Time)",67.18,68.82,66.6,68.25,800045
"16","NOV.N",20110125,NA,"End Of Day (from Real-Time)",67.98,68.17,66.52,68.13,1446144
"17","NOV.N",20110126,NA,"End Of Day (from Real-Time)",68.39,71.9,68.39,71.52,1563440
"18","NOV.N",20110127,NA,"End Of Day (from Real-Time)",71.75,71.88,69.72,70.87,1097137
"19","NOV.N",20110128,NA,"End Of Day (from Real-Time)",70.7,72,70.25,71.46,1092826
"20","NOV.N",20110131,NA,"End Of Day (from Real-Time)",72.36,74.13,71.5,73.9,1217066
"21","NOV.N",20110201,NA,"End Of Day (from Real-Time)",74.13,74.73,72.45,74.1,1315701
"22","NOV.N",20110202,NA,"End Of Day (from Real-Time)",73.83,75.64,73.33,74.64,1340361
"23","NOV.N",20110203,NA,"End Of Day (from Real-Time)",75.08,76.66,73.61,75.93,1720464
"24","NOV.N",20110204,NA,"End Of Day (from Real-Time)",76.83,77.57,75.8,76.45,1581325
"25","NOV.N",20110207,NA,"End Of Day (from Real-Time)",77.13,79.28,76.8,77.71,1314824
"26","NOV.N",20110208,NA,"End Of Day (from Real-Time)",78.3,78.3,76.3,77.37,965599
"27","NOV.N",20110209,NA,"End Of Day (from Real-Time)",76.9,78.58,75.9,76.8,1158054
"28","NOV.N",20110210,NA,"End Of Day (from Real-Time)",76.06,79.63,75.91,79.45,1451863
"29","NOV.N",20110211,NA,"End Of Day (from Real-Time)",79.25,79.42,77.45,77.86,1263244
"30","NOV.N",20110214,NA,"End Of Day (from Real-Time)",78,79.89,77.86,79.6,1000201
"31","NOV.N",20110215,NA,"End Of Day (from Real-Time)",79.32,79.63,77.8,78.95,895370
"32","NOV.N",20110216,NA,"End Of Day (from Real-Time)",79.25,81.98,79.01,80.7,1613870
"33","NOV.N",20110217,NA,"End Of Day (from Real-Time)",80.54,81.9,79.61,81.4,1110982
"34","NOV.N",20110218,NA,"End Of Day (from Real-Time)",81.21,81.56,79.7,80.18,1672334
"35","NOV.N",20110222,NA,"End Of Day (from Real-Time)",80.66,81.93,79.21,79.8,1373176
"36","NOV.N",20110223,NA,"End Of Day (from Real-Time)",79.98,80.97,79.31,79.39,1236177
"37","NOV.N",20110224,NA,"End Of Day (from Real-Time)",79.17,79.35,76.97,77.89,1409463
"38","NOV.N",20110225,NA,"End Of Day (from Real-Time)",78.36,79.84,78.1,79.83,1191157
"39","NOV.N",20110228,NA,"End Of Day (from Real-Time)",79.97,80.45,77.61,79.57,1574225
"40","NOV.N",20110301,NA,"End Of Day (from Real-Time)",80.62,80.62,76.71,77.03,1509620
"41","NOV.N",20110302,NA,"End Of Day (from Real-Time)",77.06,79.64,76.84,79.56,1531177
"42","NOV.N",20110303,NA,"End Of Day (from Real-Time)",80,81.95,79.76,81.86,1692540
"43","NOV.N",20110304,NA,"End Of Day (from Real-Time)",81.75,82.35,80.27,80.74,1135160
"44","NOV.N",20110307,NA,"End Of Day (from Real-Time)",81.47,81.84,79.51,79.88,1154590
"45","NOV.N",20110308,NA,"End Of Day (from Real-Time)",80.23,80.34,78.31,79.82,826737
"46","NOV.N",20110309,NA,"End Of Day (from Real-Time)",79.57,80.48,78.03,78.32,911694
"47","NOV.N",20110310,NA,"End Of Day (from Real-Time)",76.68,77,73.64,73.75,1731618
"48","NOV.N",20110311,NA,"End Of Day (from Real-Time)",73.07,76.63,72.54,76.05,1334248
"49","NOV.N",20110314,NA,"End Of Day (from Real-Time)",75.44,76.3,74.39,76.03,1236878
"50","NOV.N",20110315,NA,"End Of Day (from Real-Time)",73.09,75.94,72.41,75.44,1468160
"51","NOV.N",20110316,NA,"End Of Day (from Real-Time)",74.81,75.95,73.07,74.41,1711665
"52","NOV.N",20110317,NA,"End Of Day (from Real-Time)",75.93,78.66,75.76,78.28,1192703
"53","NOV.N",20110318,NA,"End Of Day (from Real-Time)",79.31,79.65,76.71,76.81,2019780
"54","NOV.N",20110321,NA,"End Of Day (from Real-Time)",78.33,79.39,77.58,79.39,818204
"55","NOV.N",20110322,NA,"End Of Day (from Real-Time)",79.17,79.65,78.27,78.61,802445
"56","NOV.N",20110323,NA,"End Of Day (from Real-Time)",78.87,79.75,77.98,79.56,956423
"57","NOV.N",20110324,NA,"End Of Day (from Real-Time)",79.81,80.2,78.15,80.2,886628
"58","NOV.N",20110325,NA,"End Of Day (from Real-Time)",80.04,81.12,79.34,80.65,1153159
"59","NOV.N",20110328,NA,"End Of Day (from Real-Time)",80.45,81.9,79.47,80.72,1046513
"60","NOV.N",20110329,NA,"End Of Day (from Real-Time)",80.41,82.61,80.12,82.26,925619
"61","NOV.N",20110330,NA,"End Of Day (from Real-Time)",82.76,82.76,79.74,79.9,1437871
"62","NOV.N",20110331,NA,"End Of Day (from Real-Time)",80.72,81.43,79.19,79.27,1190307
"63","NOV.N",20110401,NA,"End Of Day (from Real-Time)",80.06,81.33,80.05,80.68,999861
"64","NOV.N",20110404,NA,"End Of Day (from Real-Time)",81.04,81.99,80.68,81.46,649705
"65","NOV.N",20110405,NA,"End Of Day (from Real-Time)",81.01,81.75,80.25,80.48,786660
"66","NOV.N",20110406,NA,"End Of Day (from Real-Time)",80.99,81.55,77.99,78.57,1022105
"67","NOV.N",20110407,NA,"End Of Day (from Real-Time)",78.32,78.75,77.06,78.51,1029987
"68","NOV.N",20110408,NA,"End Of Day (from Real-Time)",78.77,80.3,78.74,79.63,836445
"69","NOV.N",20110411,NA,"End Of Day (from Real-Time)",79.8,80.47,77.14,77.51,840951
"70","NOV.N",20110412,NA,"End Of Day (from Real-Time)",76.42,76.48,73.34,74.64,1630799
"71","NOV.N",20110413,NA,"End Of Day (from Real-Time)",75.11,75.63,74.14,75.07,1245758
"72","NOV.N",20110414,NA,"End Of Day (from Real-Time)",74.43,76.24,74.26,76,1001935
"73","NOV.N",20110415,NA,"End Of Day (from Real-Time)",75.88,76.55,75.44,76.5,1484240
"74","NOV.N",20110418,NA,"End Of Day (from Real-Time)",75.43,77.01,74.5,76.22,1207204
"75","NOV.N",20110419,NA,"End Of Day (from Real-Time)",76.33,77.84,76.26,77.51,842544
"76","NOV.N",20110420,NA,"End Of Day (from Real-Time)",78.7,78.73,77.16,78.63,874256
"77","NOV.N",20110421,NA,"End Of Day (from Real-Time)",79.01,79.62,78.01,79.23,841448
"78","NOV.N",20110425,NA,"End Of Day (from Real-Time)",78.93,79.73,78.39,79.4,536564
"79","NOV.N",20110426,NA,"End Of Day (from Real-Time)",79.43,80.65,78.75,80.6,1302590
"80","NOV.N",20110427,NA,"End Of Day (from Real-Time)",80,80.1,74.89,76.88,2132013
"81","NOV.N",20110428,NA,"End Of Day (from Real-Time)",77.6,77.97,75.73,76.98,1420565
"82","NOV.N",20110429,NA,"End Of Day (from Real-Time)",76.92,77.92,76.15,76.69,1288154
"83","NOV.N",20110502,NA,"End Of Day (from Real-Time)",77.1,77.81,74.16,74.73,1250202
"84","NOV.N",20110503,NA,"End Of Day (from Real-Time)",74.23,74.72,71.83,72.38,1549213
"85","NOV.N",20110504,NA,"End Of Day (from Real-Time)",72.18,72.23,68.32,69.92,2168296
"86","NOV.N",20110505,NA,"End Of Day (from Real-Time)",68.39,70.22,67.64,68.7,2136855
"87","NOV.N",20110506,NA,"End Of Day (from Real-Time)",69.82,71.18,68.12,68.6,1957547
"88","NOV.N",20110509,NA,"End Of Day (from Real-Time)",69.37,71.06,69.37,70.67,1335489
"89","NOV.N",20110510,NA,"End Of Day (from Real-Time)",70.67,72.08,69.82,71.49,1370401
"90","NOV.N",20110511,NA,"End Of Day (from Real-Time)",70.86,70.86,67.98,68.3,2048200
"91","NOV.N",20110512,NA,"End Of Day (from Real-Time)",67.55,69.06,66.12,68.17,2275290
"92","NOV.N",20110513,NA,"End Of Day (from Real-Time)",68.66,69.31,67.56,68.02,1673430
"93","NOV.N",20110516,NA,"End Of Day (from Real-Time)",67.67,69.04,66.62,66.86,1997643
"94","NOV.N",20110517,NA,"End Of Day (from Real-Time)",66.15,67.28,65.09,65.4,2445789
"95","NOV.N",20110518,NA,"End Of Day (from Real-Time)",65.69,68.82,65.22,67.74,2453165
"96","NOV.N",20110519,NA,"End Of Day (from Real-Time)",68.08,68.39,66.57,67.93,1911554
"97","NOV.N",20110520,NA,"End Of Day (from Real-Time)",68.46,68.56,67.06,67.76,1850893
"98","NOV.N",20110523,NA,"End Of Day (from Real-Time)",66.18,67.25,65.51,66.77,1323628
"99","NOV.N",20110524,NA,"End Of Day (from Real-Time)",67.4,68.5,67.04,68.47,1865938
"100","NOV.N",20110525,NA,"End Of Day (from Real-Time)",68.04,73.11,68,72.34,2735178
"101","NOV.N",20110526,NA,"End Of Day (from Real-Time)",71.98,72.78,71.47,72.55,1432356
"102","NOV.N",20110527,NA,"End Of Day (from Real-Time)",73,74,72.3,72.86,1073200
"103","NOV.N",20110531,NA,"End Of Day (from Real-Time)",73.96,74,71.98,72.58,1679944
"104","NOV.N",20110601,NA,"End Of Day (from Real-Time)",72.24,72.66,71.47,71.54,1660994
"105","NOV.N",20110602,NA,"End Of Day (from Real-Time)",71.73,73.18,71.38,72.36,1005062
"106","NOV.N",20110603,NA,"End Of Day (from Real-Time)",71.11,73.91,70.74,73.34,1434774
"107","NOV.N",20110606,NA,"End Of Day (from Real-Time)",73.2,73.68,71.18,71.19,1147401
