"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NTAP.O",20110103,NA,"End Of Day (from Real-Time)",55.52,57.51,55.27,57.41,7446299
"2","NTAP.O",20110104,NA,"End Of Day (from Real-Time)",57.33,57.78,56.57,57.38,5877376
"3","NTAP.O",20110105,NA,"End Of Day (from Real-Time)",57.03,58.12,56.61,57.87,3911648
"4","NTAP.O",20110106,NA,"End Of Day (from Real-Time)",57.98,58.64,57.25,57.49,4680826
"5","NTAP.O",20110107,NA,"End Of Day (from Real-Time)",57.27,57.75,56.34,57.2,4176172
"6","NTAP.O",20110110,NA,"End Of Day (from Real-Time)",57,58.43,56.33,58.215,4508832
"7","NTAP.O",20110111,NA,"End Of Day (from Real-Time)",58.78,58.8,57.49,58.28,4180951
"8","NTAP.O",20110112,NA,"End Of Day (from Real-Time)",59.04,59.71,58.23,58.93,4552921
"9","NTAP.O",20110113,NA,"End Of Day (from Real-Time)",58.79,59.03,58.38,58.62,3413327
"10","NTAP.O",20110114,NA,"End Of Day (from Real-Time)",58.57,59.65,58.52,59.48,2862290
"11","NTAP.O",20110118,NA,"End Of Day (from Real-Time)",59.38,59.79,58.645,58.99,2592638
"12","NTAP.O",20110119,NA,"End Of Day (from Real-Time)",58.74,59.04,57.07,57.63,3859651
"13","NTAP.O",20110120,NA,"End Of Day (from Real-Time)",55.6901,56.8,55.25,56.22,6791441
"14","NTAP.O",20110121,NA,"End Of Day (from Real-Time)",56.48,57.15,55.6,55.77,5404181
"15","NTAP.O",20110124,NA,"End Of Day (from Real-Time)",55.73,56.05,54.9607,55.55,4287719
"16","NTAP.O",20110125,NA,"End Of Day (from Real-Time)",54.97,54.97,53.14,53.7,8146113
"17","NTAP.O",20110126,NA,"End Of Day (from Real-Time)",53.83,55.4,53.71,55.17,4297982
"18","NTAP.O",20110127,NA,"End Of Day (from Real-Time)",55.57,55.966,54.85,55.33,8511654
"19","NTAP.O",20110128,NA,"End Of Day (from Real-Time)",55.24,55.85,53.51,54.03,4921898
"20","NTAP.O",20110131,NA,"End Of Day (from Real-Time)",53.91,55.1,53.87,54.73,3955098
"21","NTAP.O",20110201,NA,"End Of Day (from Real-Time)",55.21,56.8,54.9201,56.52,4119465
"22","NTAP.O",20110202,NA,"End Of Day (from Real-Time)",56.43,57.71,56.32,57.11,3810031
"23","NTAP.O",20110203,NA,"End Of Day (from Real-Time)",57.14,57.61,56.37,57.01,2426810
"24","NTAP.O",20110204,NA,"End Of Day (from Real-Time)",57.4,58.129,57.3,57.93,3336404
"25","NTAP.O",20110207,NA,"End Of Day (from Real-Time)",58.59,59.48,58.39,58.64,3811257
"26","NTAP.O",20110208,NA,"End Of Day (from Real-Time)",58.74,59.5565,58.25,59.31,2845966
"27","NTAP.O",20110209,NA,"End Of Day (from Real-Time)",59.11,59.99,58.51,59.77,4024302
"28","NTAP.O",20110210,NA,"End Of Day (from Real-Time)",59.14,60.63,59.03,60.54,4867561
"29","NTAP.O",20110211,NA,"End Of Day (from Real-Time)",60.37,61.02,59.32,60.6,4215796
"30","NTAP.O",20110214,NA,"End Of Day (from Real-Time)",60.7,60.7,59.16,59.62,4160088
"31","NTAP.O",20110215,NA,"End Of Day (from Real-Time)",59.38,59.51,58.29,58.44,4724701
"32","NTAP.O",20110216,NA,"End Of Day (from Real-Time)",59.04,59.19,58.19,58.54,7933361
"33","NTAP.O",20110217,NA,"End Of Day (from Real-Time)",54.3,55.1,52.22,54.77,30153160
"34","NTAP.O",20110218,NA,"End Of Day (from Real-Time)",54.8999,55.25,52.68,53.05,11238853
"35","NTAP.O",20110222,NA,"End Of Day (from Real-Time)",52.22,52.36,51.2,51.84,10790044
"36","NTAP.O",20110223,NA,"End Of Day (from Real-Time)",51.48,51.52,49.82,50.64,10526653
"37","NTAP.O",20110224,NA,"End Of Day (from Real-Time)",50.45,51.04,50.2915,50.84,9863311
"38","NTAP.O",20110225,NA,"End Of Day (from Real-Time)",51.26,52.74,51.22,52.47,8850862
"39","NTAP.O",20110228,NA,"End Of Day (from Real-Time)",52.41,52.64,51.04,51.66,6366390
"40","NTAP.O",20110301,NA,"End Of Day (from Real-Time)",51.93,52.13,50.31,50.63,7077966
"41","NTAP.O",20110302,NA,"End Of Day (from Real-Time)",50.48,52.06,50.44,51.08,4690405
"42","NTAP.O",20110303,NA,"End Of Day (from Real-Time)",51.54,52.83,51.25,52.46,5331241
"43","NTAP.O",20110304,NA,"End Of Day (from Real-Time)",52.47,52.68,51.38,52.05,3283044
"44","NTAP.O",20110307,NA,"End Of Day (from Real-Time)",52.33,52.33,50.47,51.13,3481194
"45","NTAP.O",20110308,NA,"End Of Day (from Real-Time)",51.2,51.95,50.56,51.65,2657668
"46","NTAP.O",20110309,NA,"End Of Day (from Real-Time)",51.39,51.8,50.35,51.54,4032938
"47","NTAP.O",20110310,NA,"End Of Day (from Real-Time)",48.75,48.75,46.57,48.41,24876175
"48","NTAP.O",20110311,NA,"End Of Day (from Real-Time)",48.06,48.44,47.26,47.52,10582382
"49","NTAP.O",20110314,NA,"End Of Day (from Real-Time)",47.1,47.8,46.32,46.38,10975930
"50","NTAP.O",20110315,NA,"End Of Day (from Real-Time)",44.56,46.8,44.5,46.52,10953366
"51","NTAP.O",20110316,NA,"End Of Day (from Real-Time)",46.15,47.44,45.93,46.77,9641746
"52","NTAP.O",20110317,NA,"End Of Day (from Real-Time)",47.44,47.76,46.85,46.98,7853658
"53","NTAP.O",20110318,NA,"End Of Day (from Real-Time)",47.52,48.7,47.29,48.69,12382425
"54","NTAP.O",20110321,NA,"End Of Day (from Real-Time)",49.05,49.29,48.45,48.57,5465100
"55","NTAP.O",20110322,NA,"End Of Day (from Real-Time)",48.75,48.8401,47.72,48.105,3850604
"56","NTAP.O",20110323,NA,"End Of Day (from Real-Time)",47.88,48.26,47.3,47.95,3940894
"57","NTAP.O",20110324,NA,"End Of Day (from Real-Time)",48.35,49.04,47.7432,48.95,4152598
"58","NTAP.O",20110325,NA,"End Of Day (from Real-Time)",49.22,49.41,47.95,48.61,5071212
"59","NTAP.O",20110328,NA,"End Of Day (from Real-Time)",48.81,48.82,47.5,47.62,3967779
"60","NTAP.O",20110329,NA,"End Of Day (from Real-Time)",47.48,48.73,47.18,48.27,4278515
"61","NTAP.O",20110330,NA,"End Of Day (from Real-Time)",48.6,48.64,47.52,48.0075,5281118
"62","NTAP.O",20110331,NA,"End Of Day (from Real-Time)",48.04,48.855,47.56,48.1475,7751242
"63","NTAP.O",20110401,NA,"End Of Day (from Real-Time)",48.39,48.97,48,48.2,6648727
"64","NTAP.O",20110404,NA,"End Of Day (from Real-Time)",48.13,48.37,45.4,45.7,11265610
"65","NTAP.O",20110405,NA,"End Of Day (from Real-Time)",45.89,46.37,45.56,46.05,7044675
"66","NTAP.O",20110406,NA,"End Of Day (from Real-Time)",46.3,46.96,46.15,46.7,6142722
"67","NTAP.O",20110407,NA,"End Of Day (from Real-Time)",46.57,47.25,46.32,46.67,4884429
"68","NTAP.O",20110408,NA,"End Of Day (from Real-Time)",46.7,47.16,46.45,46.79,3908001
"69","NTAP.O",20110411,NA,"End Of Day (from Real-Time)",46.66,47.16,46.23,47.13,4476896
"70","NTAP.O",20110412,NA,"End Of Day (from Real-Time)",46.99,47.88,46.69,47.83,8036808
"71","NTAP.O",20110413,NA,"End Of Day (from Real-Time)",48.22,49.07,47.96,48.58,8119503
"72","NTAP.O",20110414,NA,"End Of Day (from Real-Time)",48.17,48.85,47.67,48.4175,7170305
"73","NTAP.O",20110415,NA,"End Of Day (from Real-Time)",48.42,48.99,48.14,48.56,8152143
"74","NTAP.O",20110418,NA,"End Of Day (from Real-Time)",47.84,48.34,47.34,48.11,4887986
"75","NTAP.O",20110419,NA,"End Of Day (from Real-Time)",48.09,48.1,47.04,47.5,5681818
"76","NTAP.O",20110420,NA,"End Of Day (from Real-Time)",48.38,49.28,48.03,49,5312513
"77","NTAP.O",20110421,NA,"End Of Day (from Real-Time)",49.35,51.36,49.27,51.02,10180074
"78","NTAP.O",20110425,NA,"End Of Day (from Real-Time)",51.6999,52.88,51.08,51.94,7676373
"79","NTAP.O",20110426,NA,"End Of Day (from Real-Time)",52.07,52.88,51.86,52.28,4983739
"80","NTAP.O",20110427,NA,"End Of Day (from Real-Time)",52.62,52.68,51.55,52.56,4131567
"81","NTAP.O",20110428,NA,"End Of Day (from Real-Time)",52.34,52.64,51.3,52.41,5536527
"82","NTAP.O",20110429,NA,"End Of Day (from Real-Time)",52.46,52.75,51.92,52.11,6397083
"83","NTAP.O",20110502,NA,"End Of Day (from Real-Time)",52.52,52.6,51.53,51.7,4074454
"84","NTAP.O",20110503,NA,"End Of Day (from Real-Time)",51.79,52.28,51.5929,52.05,3555659
