"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NU.N",20110103,NA,"End Of Day (from Real-Time)",32.05,32.21,31.9,31.95,503982
"2","NU.N",20110104,NA,"End Of Day (from Real-Time)",32.04,32.04,31.64,31.9,710347
"3","NU.N",20110105,NA,"End Of Day (from Real-Time)",31.78,31.82,31.41,31.49,892472
"4","NU.N",20110106,NA,"End Of Day (from Real-Time)",31.47,31.54,31.26,31.45,644712
"5","NU.N",20110107,NA,"End Of Day (from Real-Time)",31.53,31.7,31.34,31.63,445576
"6","NU.N",20110110,NA,"End Of Day (from Real-Time)",31.5,31.62,31.19,31.56,560462
"7","NU.N",20110111,NA,"End Of Day (from Real-Time)",31.68,31.77,31.51,31.57,349765
"8","NU.N",20110112,NA,"End Of Day (from Real-Time)",31.7,31.79,31.57,31.62,390905
"9","NU.N",20110113,NA,"End Of Day (from Real-Time)",31.62,31.79,31.54,31.75,467513
"10","NU.N",20110114,NA,"End Of Day (from Real-Time)",31.74,32.01,31.61,32.01,713534
"11","NU.N",20110118,NA,"End Of Day (from Real-Time)",32.11,32.69,31.98,32.58,965810
"12","NU.N",20110119,NA,"End Of Day (from Real-Time)",32.68,32.77,32.33,32.37,514254
"13","NU.N",20110120,NA,"End Of Day (from Real-Time)",32.43,32.8,32.41,32.64,530469
"14","NU.N",20110121,NA,"End Of Day (from Real-Time)",32.85,32.85,32.48,32.58,504371
"15","NU.N",20110124,NA,"End Of Day (from Real-Time)",32.66,32.98,32.61,32.82,448010
"16","NU.N",20110125,NA,"End Of Day (from Real-Time)",32.82,33.04,32.76,33.04,467172
"17","NU.N",20110126,NA,"End Of Day (from Real-Time)",32.96,33,32.57,32.64,645946
"18","NU.N",20110127,NA,"End Of Day (from Real-Time)",32.66,32.86,32.51,32.82,495697
"19","NU.N",20110128,NA,"End Of Day (from Real-Time)",32.99,33.3,32.68,32.77,972732
"20","NU.N",20110131,NA,"End Of Day (from Real-Time)",32.91,33.17,32.68,32.92,1197687
"21","NU.N",20110201,NA,"End Of Day (from Real-Time)",33.1,33.89,33,33.69,815362
"22","NU.N",20110202,NA,"End Of Day (from Real-Time)",33.59,33.85,33.5,33.72,539132
"23","NU.N",20110203,NA,"End Of Day (from Real-Time)",33.74,33.86,33.46,33.75,499285
"24","NU.N",20110204,NA,"End Of Day (from Real-Time)",33.85,33.86,33.45,33.74,293186
"25","NU.N",20110207,NA,"End Of Day (from Real-Time)",33.73,34.01,33.65,33.81,292739
"26","NU.N",20110208,NA,"End Of Day (from Real-Time)",33.87,33.87,33.6,33.69,334936
"27","NU.N",20110209,NA,"End Of Day (from Real-Time)",33.73,33.8,33.52,33.8,488972
"28","NU.N",20110210,NA,"End Of Day (from Real-Time)",33.57,33.84,33.53,33.79,631218
"29","NU.N",20110211,NA,"End Of Day (from Real-Time)",33.44,33.62,33.27,33.57,655452
"30","NU.N",20110214,NA,"End Of Day (from Real-Time)",33.55,33.59,33.14,33.4,499368
"31","NU.N",20110215,NA,"End Of Day (from Real-Time)",33.29,33.54,33.2,33.49,456807
"32","NU.N",20110216,NA,"End Of Day (from Real-Time)",33.51,33.75,33.39,33.47,414385
"33","NU.N",20110217,NA,"End Of Day (from Real-Time)",33.49,33.77,33.42,33.62,371229
"34","NU.N",20110218,NA,"End Of Day (from Real-Time)",33.47,33.59,33.3,33.44,668471
"35","NU.N",20110222,NA,"End Of Day (from Real-Time)",33.19,33.47,33.19,33.44,495948
"36","NU.N",20110223,NA,"End Of Day (from Real-Time)",33.57,33.69,33.3,33.3,689011
"37","NU.N",20110224,NA,"End Of Day (from Real-Time)",33.28,33.36,33.02,33.17,686552
"38","NU.N",20110225,NA,"End Of Day (from Real-Time)",33.04,33.62,33.04,33.6,350294
"39","NU.N",20110228,NA,"End Of Day (from Real-Time)",33.77,34.16,33.75,34.04,679689
"40","NU.N",20110301,NA,"End Of Day (from Real-Time)",34.21,34.35,33.75,33.84,550298
"41","NU.N",20110302,NA,"End Of Day (from Real-Time)",33.83,34.14,33.77,34,523699
"42","NU.N",20110303,NA,"End Of Day (from Real-Time)",34.11,34.39,34.08,34.19,392648
"43","NU.N",20110304,NA,"End Of Day (from Real-Time)",34.13,34.22,33.5,33.83,636546
"44","NU.N",20110307,NA,"End Of Day (from Real-Time)",33.93,34.55,33.93,34.12,772659
"45","NU.N",20110308,NA,"End Of Day (from Real-Time)",34.2,34.9,34.14,34.8,569790
"46","NU.N",20110309,NA,"End Of Day (from Real-Time)",34.71,35.13,34.54,35.07,385413
"47","NU.N",20110310,NA,"End Of Day (from Real-Time)",34.83,34.85,34.4,34.48,527161
"48","NU.N",20110311,NA,"End Of Day (from Real-Time)",34.51,34.71,34.07,34.55,569063
"49","NU.N",20110314,NA,"End Of Day (from Real-Time)",34.3,34.44,34.07,34.31,665053
"50","NU.N",20110315,NA,"End Of Day (from Real-Time)",33.66,33.94,33.52,33.72,531795
"51","NU.N",20110316,NA,"End Of Day (from Real-Time)",33.77,33.78,32.84,33.2,1301749
"52","NU.N",20110317,NA,"End Of Day (from Real-Time)",33.58,33.61,32.94,33.5,571599
"53","NU.N",20110318,NA,"End Of Day (from Real-Time)",33.85,34.09,33.55,33.67,641027
"54","NU.N",20110321,NA,"End Of Day (from Real-Time)",33.98,34.49,33.91,34.21,374640
"55","NU.N",20110322,NA,"End Of Day (from Real-Time)",34.28,34.38,34.07,34.16,449822
"56","NU.N",20110323,NA,"End Of Day (from Real-Time)",34.1,34.24,33.89,34.2,365099
"57","NU.N",20110324,NA,"End Of Day (from Real-Time)",34.34,34.37,34,34.15,396131
"58","NU.N",20110325,NA,"End Of Day (from Real-Time)",34.25,34.4,34.11,34.15,394137
"59","NU.N",20110328,NA,"End Of Day (from Real-Time)",34.18,34.38,33.84,33.86,414948
"60","NU.N",20110329,NA,"End Of Day (from Real-Time)",33.85,34.34,33.76,34.25,404758
"61","NU.N",20110330,NA,"End Of Day (from Real-Time)",34.4,34.83,34.38,34.77,396802
"62","NU.N",20110331,NA,"End Of Day (from Real-Time)",34.75,34.99,34.57,34.6,536401
"63","NU.N",20110401,NA,"End Of Day (from Real-Time)",34.69,35.03,34.69,34.88,325545
"64","NU.N",20110404,NA,"End Of Day (from Real-Time)",34.98,35.06,34.77,34.9,308421
"65","NU.N",20110405,NA,"End Of Day (from Real-Time)",34.93,34.96,34.7,34.76,339394
"66","NU.N",20110406,NA,"End Of Day (from Real-Time)",34.81,35.06,34.74,34.89,303506
"67","NU.N",20110407,NA,"End Of Day (from Real-Time)",34.78,34.83,34.41,34.58,486254
"68","NU.N",20110408,NA,"End Of Day (from Real-Time)",34.78,34.78,34.27,34.53,411304
"69","NU.N",20110411,NA,"End Of Day (from Real-Time)",34.56,34.56,34.1,34.19,608010
"70","NU.N",20110412,NA,"End Of Day (from Real-Time)",34.1,34.28,34.02,34.07,628517
"71","NU.N",20110413,NA,"End Of Day (from Real-Time)",34.17,34.26,33.78,33.88,607091
"72","NU.N",20110414,NA,"End Of Day (from Real-Time)",33.74,33.82,33.57,33.77,731319
"73","NU.N",20110415,NA,"End Of Day (from Real-Time)",33.74,34.07,33.74,33.96,587599
"74","NU.N",20110418,NA,"End Of Day (from Real-Time)",33.67,33.73,33.32,33.48,796980
"75","NU.N",20110419,NA,"End Of Day (from Real-Time)",33.52,33.67,33.44,33.65,442703
"76","NU.N",20110420,NA,"End Of Day (from Real-Time)",33.93,34.2,33.91,34.15,528707
"77","NU.N",20110421,NA,"End Of Day (from Real-Time)",34.25,34.43,34.14,34.37,431006
"78","NU.N",20110425,NA,"End Of Day (from Real-Time)",34.38,34.69,34.34,34.6,470281
"79","NU.N",20110426,NA,"End Of Day (from Real-Time)",34.75,35.09,34.67,34.79,734094
"80","NU.N",20110427,NA,"End Of Day (from Real-Time)",34.91,35.21,34.81,35.14,429820
"81","NU.N",20110428,NA,"End Of Day (from Real-Time)",35.1,35.51,35.09,35.38,339980
"82","NU.N",20110429,NA,"End Of Day (from Real-Time)",35.45,35.67,35.33,35.6,549845
"83","NU.N",20110502,NA,"End Of Day (from Real-Time)",35.83,35.89,35.59,35.67,332654
"84","NU.N",20110503,NA,"End Of Day (from Real-Time)",35.7,35.99,35.58,35.72,368446
"85","NU.N",20110504,NA,"End Of Day (from Real-Time)",35.71,35.84,35.4,35.73,499376
"86","NU.N",20110505,NA,"End Of Day (from Real-Time)",35.6,35.62,35.16,35.26,619608
"87","NU.N",20110506,NA,"End Of Day (from Real-Time)",35.52,35.74,35.04,35.3,650158
"88","NU.N",20110509,NA,"End Of Day (from Real-Time)",35.28,35.53,35.01,35.44,531688
"89","NU.N",20110510,NA,"End Of Day (from Real-Time)",35.53,36.02,35.52,35.75,773856
"90","NU.N",20110511,NA,"End Of Day (from Real-Time)",35.74,35.75,35.44,35.66,526111
"91","NU.N",20110512,NA,"End Of Day (from Real-Time)",35.55,36.07,35.55,36.01,375662
"92","NU.N",20110513,NA,"End Of Day (from Real-Time)",36.11,36.16,35.58,35.93,401930
"93","NU.N",20110516,NA,"End Of Day (from Real-Time)",35.88,36.16,35.77,35.9,396867
"94","NU.N",20110517,NA,"End Of Day (from Real-Time)",35.84,36.3,35.75,36.26,576866
"95","NU.N",20110518,NA,"End Of Day (from Real-Time)",36.27,36.33,35.92,36.31,425785
"96","NU.N",20110519,NA,"End Of Day (from Real-Time)",36.4,36.47,36.02,36.26,366456
"97","NU.N",20110520,NA,"End Of Day (from Real-Time)",36.19,36.23,35.88,36.1,506151
"98","NU.N",20110523,NA,"End Of Day (from Real-Time)",35.8,35.8,35.46,35.48,430213
"99","NU.N",20110524,NA,"End Of Day (from Real-Time)",35.63,35.66,35.4,35.53,378897
"100","NU.N",20110525,NA,"End Of Day (from Real-Time)",35.35,35.49,34.79,35.35,695908
"101","NU.N",20110526,NA,"End Of Day (from Real-Time)",35.22,35.45,35.04,35.36,482845
"102","NU.N",20110527,NA,"End Of Day (from Real-Time)",35.17,35.3,34.93,35.02,376471
"103","NU.N",20110531,NA,"End Of Day (from Real-Time)",35.34,35.37,34.96,35.24,670452
"104","NU.N",20110601,NA,"End Of Day (from Real-Time)",35.16,35.28,34.9,34.9,542251
"105","NU.N",20110602,NA,"End Of Day (from Real-Time)",34.9,34.93,34.57,34.89,650957
"106","NU.N",20110603,NA,"End Of Day (from Real-Time)",34.49,34.51,34.09,34.26,708370
"107","NU.N",20110606,NA,"End Of Day (from Real-Time)",34.2,34.26,33.87,33.88,620203
"108","NU.N",20110607,NA,"End Of Day (from Real-Time)",34.03,34.26,33.88,34.02,455716
"109","NU.N",20110608,NA,"End Of Day (from Real-Time)",33.99,34.33,33.88,34.16,511193
"110","NU.N",20110609,NA,"End Of Day (from Real-Time)",34.28,34.32,34.04,34.08,382173
"111","NU.N",20110610,NA,"End Of Day (from Real-Time)",33.95,34.08,33.87,33.88,448550
"112","NU.N",20110613,NA,"End Of Day (from Real-Time)",33.89,33.99,33.66,33.92,433833
"113","NU.N",20110614,NA,"End Of Day (from Real-Time)",34.15,34.19,33.83,34.07,512236
"114","NU.N",20110615,NA,"End Of Day (from Real-Time)",33.86,34.08,33.68,33.9,787866
"115","NU.N",20110616,NA,"End Of Day (from Real-Time)",33.95,34.3,33.91,34.27,566436
"116","NU.N",20110617,NA,"End Of Day (from Real-Time)",34.6,34.83,34.44,34.73,880329
"117","NU.N",20110620,NA,"End Of Day (from Real-Time)",34.72,35.07,34.6,35.06,483705
"118","NU.N",20110621,NA,"End Of Day (from Real-Time)",35.17,35.45,34.92,35.21,447944
"119","NU.N",20110622,NA,"End Of Day (from Real-Time)",35.16,35.16,34.67,34.81,537005
"120","NU.N",20110623,NA,"End Of Day (from Real-Time)",34.49,34.58,34.16,34.57,704547
"121","NU.N",20110624,NA,"End Of Day (from Real-Time)",34.61,34.91,34.59,34.64,416615
"122","NU.N",20110627,NA,"End Of Day (from Real-Time)",34.67,35.07,34.67,35.02,493328
"123","NU.N",20110628,NA,"End Of Day (from Real-Time)",35.03,35.38,35.03,35.23,430820
"124","NU.N",20110629,NA,"End Of Day (from Real-Time)",35.41,35.44,35.16,35.19,420319
"125","NU.N",20110630,NA,"End Of Day (from Real-Time)",35.35,35.35,35.06,35.17,487021
"126","NU.N",20110701,NA,"End Of Day (from Real-Time)",35.22,35.74,35.14,35.72,420213
"127","NU.N",20110705,NA,"End Of Day (from Real-Time)",35.63,35.87,35.49,35.67,496179
"128","NU.N",20110706,NA,"End Of Day (from Real-Time)",35.57,35.68,35.37,35.5,760638
"129","NU.N",20110707,NA,"End Of Day (from Real-Time)",35.76,35.76,35.22,35.36,480733
"130","NU.N",20110708,NA,"End Of Day (from Real-Time)",35.24,35.35,35.13,35.31,301576
"131","NU.N",20110711,NA,"End Of Day (from Real-Time)",35.02,35.06,34.8,34.89,253148
"132","NU.N",20110712,NA,"End Of Day (from Real-Time)",34.8,35.53,34.8,35.38,825797
"133","NU.N",20110713,NA,"End Of Day (from Real-Time)",35.49,35.57,35.15,35.17,340245
"134","NU.N",20110714,NA,"End Of Day (from Real-Time)",35.27,35.33,34.78,34.82,356389
