"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NVDA.O",20110103,NA,"End Of Day (from Real-Time)",15.52,15.97,15.5,15.82,20437816
"2","NVDA.O",20110104,NA,"End Of Day (from Real-Time)",15.85,15.92,15.42,15.77,16285614
"3","NVDA.O",20110105,NA,"End Of Day (from Real-Time)",16.06,17,15.9,16.98,35705315
"4","NVDA.O",20110106,NA,"End Of Day (from Real-Time)",17.42,19.34,17.37,19.33,87332731
"5","NVDA.O",20110107,NA,"End Of Day (from Real-Time)",19.1119,19.93,18.68,19.87,64509431
"6","NVDA.O",20110110,NA,"End Of Day (from Real-Time)",19.51,20.67,19.36,20.631,43758679
"7","NVDA.O",20110111,NA,"End Of Day (from Real-Time)",20.91,21.11,19.87,20.31,67786552
"8","NVDA.O",20110112,NA,"End Of Day (from Real-Time)",20.32,23.37,20.25,23.3525,85797305
"9","NVDA.O",20110113,NA,"End Of Day (from Real-Time)",23.1,23.84,22.38,23.39,67408791
"10","NVDA.O",20110114,NA,"End Of Day (from Real-Time)",22.99,23.98,22.85,23.59,39883784
"11","NVDA.O",20110118,NA,"End Of Day (from Real-Time)",23.27,23.43,22.47,23.035,45333655
"12","NVDA.O",20110119,NA,"End Of Day (from Real-Time)",23.05,23.6,22.36,22.41,29947373
"13","NVDA.O",20110120,NA,"End Of Day (from Real-Time)",22.19,22.56,21.79,22.429,27791260
"14","NVDA.O",20110121,NA,"End Of Day (from Real-Time)",22.6699,22.99,22.18,22.219,18485615
"15","NVDA.O",20110124,NA,"End Of Day (from Real-Time)",23.24,25.05,22.98,24.73,51431556
"16","NVDA.O",20110125,NA,"End Of Day (from Real-Time)",24.62,24.88,23.81,23.97,27171368
"17","NVDA.O",20110126,NA,"End Of Day (from Real-Time)",24.22,25,24.05,24.54,26866413
"18","NVDA.O",20110127,NA,"End Of Day (from Real-Time)",24.89,24.95,24,24.471,16442057
"19","NVDA.O",20110128,NA,"End Of Day (from Real-Time)",24.53,24.94,23.2,23.76,27373407
"20","NVDA.O",20110131,NA,"End Of Day (from Real-Time)",23.8,24.25,23.41,23.92,18753913
"21","NVDA.O",20110201,NA,"End Of Day (from Real-Time)",24.13,24.65,23.97,24.47,16357438
"22","NVDA.O",20110202,NA,"End Of Day (from Real-Time)",24.33,26.17,24.33,25.58,40165339
"23","NVDA.O",20110203,NA,"End Of Day (from Real-Time)",25.62,25.62,24.55,25.095,25778514
"24","NVDA.O",20110204,NA,"End Of Day (from Real-Time)",25.45,25.87,25.35,25.67,21822434
"25","NVDA.O",20110207,NA,"End Of Day (from Real-Time)",25.32,25.43,24.51,24.601,23355898
"26","NVDA.O",20110208,NA,"End Of Day (from Real-Time)",24.63,24.785,23.76,23.872,26922257
"27","NVDA.O",20110209,NA,"End Of Day (from Real-Time)",23.96,24.2,22.86,23.29,31937936
"28","NVDA.O",20110210,NA,"End Of Day (from Real-Time)",22.7719,23.21,22.6,22.82,26058758
