"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","NWL.N",20110103,NA,"End Of Day (from Real-Time)",18.26,18.32,18.17,18.26,713304
"2","NWL.N",20110104,NA,"End Of Day (from Real-Time)",18.27,18.32,17.94,18.1,679504
"3","NWL.N",20110105,NA,"End Of Day (from Real-Time)",18.03,18.26,18,18.26,843203
"4","NWL.N",20110106,NA,"End Of Day (from Real-Time)",18.3,18.35,18.09,18.3,700229
"5","NWL.N",20110107,NA,"End Of Day (from Real-Time)",18.33,18.38,17.97,18.07,711802
"6","NWL.N",20110110,NA,"End Of Day (from Real-Time)",17.97,18.1,17.65,18.08,879174
"7","NWL.N",20110111,NA,"End Of Day (from Real-Time)",17.9,18.07,17.64,17.87,1314831
"8","NWL.N",20110112,NA,"End Of Day (from Real-Time)",17.96,18.21,17.93,18.21,723585
"9","NWL.N",20110113,NA,"End Of Day (from Real-Time)",18.23,18.23,17.75,17.78,1508652
"10","NWL.N",20110114,NA,"End Of Day (from Real-Time)",17.72,17.83,17.63,17.76,1061988
"11","NWL.N",20110118,NA,"End Of Day (from Real-Time)",17.75,17.92,17.67,17.9,820895
"12","NWL.N",20110119,NA,"End Of Day (from Real-Time)",17.87,17.93,17.57,17.64,1426865
"13","NWL.N",20110120,NA,"End Of Day (from Real-Time)",17.61,17.88,17.6,17.77,653697
"14","NWL.N",20110121,NA,"End Of Day (from Real-Time)",17.9,17.93,17.65,17.7,1033316
"15","NWL.N",20110124,NA,"End Of Day (from Real-Time)",17.7,17.87,17.65,17.86,885691
"16","NWL.N",20110125,NA,"End Of Day (from Real-Time)",17.84,18.01,17.72,17.97,878762
"17","NWL.N",20110126,NA,"End Of Day (from Real-Time)",18.04,18.35,17.95,18.25,1356901
"18","NWL.N",20110127,NA,"End Of Day (from Real-Time)",18.26,19.48,18.26,19.34,2700363
"19","NWL.N",20110128,NA,"End Of Day (from Real-Time)",19.38,19.73,19.23,19.34,1509532
"20","NWL.N",20110131,NA,"End Of Day (from Real-Time)",19.46,19.49,19.19,19.25,1295657
"21","NWL.N",20110201,NA,"End Of Day (from Real-Time)",19.41,19.55,19.3,19.47,988110
"22","NWL.N",20110202,NA,"End Of Day (from Real-Time)",19.38,19.52,19.28,19.37,921178
"23","NWL.N",20110203,NA,"End Of Day (from Real-Time)",19.36,19.45,19.25,19.43,683303
"24","NWL.N",20110204,NA,"End Of Day (from Real-Time)",19.4,19.65,19.31,19.61,806763
"25","NWL.N",20110207,NA,"End Of Day (from Real-Time)",19.68,19.77,19.55,19.68,467932
"26","NWL.N",20110208,NA,"End Of Day (from Real-Time)",19.71,19.77,19.6,19.76,642033
"27","NWL.N",20110209,NA,"End Of Day (from Real-Time)",19.69,19.73,19.5,19.68,780632
"28","NWL.N",20110210,NA,"End Of Day (from Real-Time)",19.57,19.91,19.45,19.86,757116
"29","NWL.N",20110211,NA,"End Of Day (from Real-Time)",19.76,20.02,19.76,20.02,863879
"30","NWL.N",20110214,NA,"End Of Day (from Real-Time)",19.98,20.01,19.82,19.93,654818
"31","NWL.N",20110215,NA,"End Of Day (from Real-Time)",19.82,19.99,19.62,19.89,990024
"32","NWL.N",20110216,NA,"End Of Day (from Real-Time)",19.92,20.1,19.79,19.94,661289
"33","NWL.N",20110217,NA,"End Of Day (from Real-Time)",19.87,20.17,19.87,20.1,587739
"34","NWL.N",20110218,NA,"End Of Day (from Real-Time)",20.13,20.37,19.99,20.21,1017443
"35","NWL.N",20110222,NA,"End Of Day (from Real-Time)",19.97,20.11,19.7,19.78,1046584
"36","NWL.N",20110223,NA,"End Of Day (from Real-Time)",19.77,19.82,19.28,19.56,1253501
"37","NWL.N",20110224,NA,"End Of Day (from Real-Time)",19.53,19.6,18.98,19.23,1180980
"38","NWL.N",20110225,NA,"End Of Day (from Real-Time)",19.29,19.53,19.24,19.42,744354
"39","NWL.N",20110228,NA,"End Of Day (from Real-Time)",19.46,19.57,19.2,19.34,1556819
"40","NWL.N",20110301,NA,"End Of Day (from Real-Time)",19.42,19.53,19.02,19.06,1412500
