"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","OKE.N",20110103,NA,"End Of Day (from Real-Time)",55.93,56.58,55.81,56.43,153630
"2","OKE.N",20110104,NA,"End Of Day (from Real-Time)",56.28,56.3,55.23,55.62,205421
"3","OKE.N",20110105,NA,"End Of Day (from Real-Time)",55.29,55.51,55.1,55.38,173648
"4","OKE.N",20110106,NA,"End Of Day (from Real-Time)",55.4,55.82,55.34,55.7,140111
"5","OKE.N",20110107,NA,"End Of Day (from Real-Time)",55.72,56,55.56,55.82,139750
"6","OKE.N",20110110,NA,"End Of Day (from Real-Time)",55.11,55.63,54.74,55.58,168144
"7","OKE.N",20110111,NA,"End Of Day (from Real-Time)",55.63,56.62,55.63,56.55,159219
"8","OKE.N",20110112,NA,"End Of Day (from Real-Time)",56.82,57.41,56.7,57.38,160978
"9","OKE.N",20110113,NA,"End Of Day (from Real-Time)",57.44,57.95,57.42,57.71,248083
"10","OKE.N",20110114,NA,"End Of Day (from Real-Time)",57.61,58.08,57.6,57.77,153745
"11","OKE.N",20110118,NA,"End Of Day (from Real-Time)",57.8,57.92,57.17,57.83,177950
"12","OKE.N",20110119,NA,"End Of Day (from Real-Time)",57.7,57.87,57.49,57.56,136217
"13","OKE.N",20110120,NA,"End Of Day (from Real-Time)",57.34,58.47,57.28,58.24,223698
"14","OKE.N",20110121,NA,"End Of Day (from Real-Time)",58.66,58.82,58.1,58.51,239688
"15","OKE.N",20110124,NA,"End Of Day (from Real-Time)",58.67,59.23,58.63,58.99,134652
"16","OKE.N",20110125,NA,"End Of Day (from Real-Time)",58.82,59.07,58.13,58.53,136938
"17","OKE.N",20110126,NA,"End Of Day (from Real-Time)",58.69,59.38,58.68,59.13,116390
"18","OKE.N",20110127,NA,"End Of Day (from Real-Time)",58.67,59.5,58.66,59.07,179876
"19","OKE.N",20110128,NA,"End Of Day (from Real-Time)",59.07,59.34,58.66,58.75,176283
