"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","OMC.N",20110103,NA,"End Of Day (from Real-Time)",46.12,46.54,46.06,46.24,514887
"2","OMC.N",20110104,NA,"End Of Day (from Real-Time)",46.35,46.35,45.8,46.29,634233
"3","OMC.N",20110105,NA,"End Of Day (from Real-Time)",46.07,46.96,45.94,46.86,600578
"4","OMC.N",20110106,NA,"End Of Day (from Real-Time)",46.86,47.51,46.48,47.4,656697
"5","OMC.N",20110107,NA,"End Of Day (from Real-Time)",47.4,47.47,46.73,47,620599
"6","OMC.N",20110110,NA,"End Of Day (from Real-Time)",46.57,46.71,46.1,46.26,618506
"7","OMC.N",20110111,NA,"End Of Day (from Real-Time)",46.38,46.43,45.97,46.02,472194
"8","OMC.N",20110112,NA,"End Of Day (from Real-Time)",46.42,46.46,44.89,45.37,1200985
"9","OMC.N",20110113,NA,"End Of Day (from Real-Time)",45.28,45.37,44.76,44.84,705411
"10","OMC.N",20110114,NA,"End Of Day (from Real-Time)",44.79,45.05,44.58,44.83,775522
"11","OMC.N",20110118,NA,"End Of Day (from Real-Time)",44.8,45.62,44.69,45.5,726516
"12","OMC.N",20110119,NA,"End Of Day (from Real-Time)",45.41,45.95,45.26,45.44,638098
"13","OMC.N",20110120,NA,"End Of Day (from Real-Time)",45.42,45.84,45.27,45.56,526947
"14","OMC.N",20110121,NA,"End Of Day (from Real-Time)",45.83,45.98,45.4,45.53,771725
"15","OMC.N",20110124,NA,"End Of Day (from Real-Time)",45.46,45.77,45.13,45.73,376226
"16","OMC.N",20110125,NA,"End Of Day (from Real-Time)",45.56,45.96,45.28,45.91,434000
"17","OMC.N",20110126,NA,"End Of Day (from Real-Time)",45.98,46.67,45.89,46.34,460597
"18","OMC.N",20110127,NA,"End Of Day (from Real-Time)",46.3,46.32,45.9,46.25,375131
"19","OMC.N",20110128,NA,"End Of Day (from Real-Time)",46.21,46.29,44.79,44.82,871794
"20","OMC.N",20110131,NA,"End Of Day (from Real-Time)",44.98,45.18,44.63,44.88,547130
