"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PAYX.O",20110103,NA,"End Of Day (from Real-Time)",31.24,31.54,31.19,31.39,4562991
"2","PAYX.O",20110104,NA,"End Of Day (from Real-Time)",31.42,31.43,30.68,30.75,3725071
"3","PAYX.O",20110105,NA,"End Of Day (from Real-Time)",30.83,31.55,30.77,31.54,2709903
"4","PAYX.O",20110106,NA,"End Of Day (from Real-Time)",31.47,31.948,31.46,31.88,4639020
"5","PAYX.O",20110107,NA,"End Of Day (from Real-Time)",31.95,32.13,31.57,31.87,5285226
"6","PAYX.O",20110110,NA,"End Of Day (from Real-Time)",31.77,32.02,31.46,32,4492039
"7","PAYX.O",20110111,NA,"End Of Day (from Real-Time)",32.07,32.17,31.88,31.98,1691937
"8","PAYX.O",20110112,NA,"End Of Day (from Real-Time)",32.13,32.34,31.86,32.27,1715721
"9","PAYX.O",20110113,NA,"End Of Day (from Real-Time)",32.2,32.25,32.02,32.0925,1472680
"10","PAYX.O",20110114,NA,"End Of Day (from Real-Time)",31.78,32.34,31.75,32.3125,2065972
"11","PAYX.O",20110118,NA,"End Of Day (from Real-Time)",32.4,32.7,31.98,32.6,1756137
"12","PAYX.O",20110119,NA,"End Of Day (from Real-Time)",32.47,32.51,32.25,32.39,1614758
"13","PAYX.O",20110120,NA,"End Of Day (from Real-Time)",32.4,32.57,32.19,32.43,1885945
"14","PAYX.O",20110121,NA,"End Of Day (from Real-Time)",32.57,32.75,32.35,32.6,1829834
"15","PAYX.O",20110124,NA,"End Of Day (from Real-Time)",32.71,33.37,32.69,33.13,3550998
"16","PAYX.O",20110125,NA,"End Of Day (from Real-Time)",33.04,33.05,32.74,33.0225,2364995
"17","PAYX.O",20110126,NA,"End Of Day (from Real-Time)",33.03,33.13,32.71,32.8075,2779136
"18","PAYX.O",20110127,NA,"End Of Day (from Real-Time)",32.71,32.74,32.27,32.62,2581536
"19","PAYX.O",20110128,NA,"End Of Day (from Real-Time)",32.53,32.53,31.6,31.69,2415578
"20","PAYX.O",20110131,NA,"End Of Day (from Real-Time)",31.87,32.09,31.69,32,2249298
"21","PAYX.O",20110201,NA,"End Of Day (from Real-Time)",32.19,33.02,32.17,32.74,2830644
"22","PAYX.O",20110202,NA,"End Of Day (from Real-Time)",32.63,32.97,32.62,32.8775,1682487
"23","PAYX.O",20110203,NA,"End Of Day (from Real-Time)",32.74,33.09,32.52,33.01,1707089
"24","PAYX.O",20110204,NA,"End Of Day (from Real-Time)",33.06,33.32,32.78,33.26,2330892
"25","PAYX.O",20110207,NA,"End Of Day (from Real-Time)",33.29,33.43,33.14,33.295,2717377
"26","PAYX.O",20110208,NA,"End Of Day (from Real-Time)",33.27,33.49,33.13,33.41,1518073
"27","PAYX.O",20110209,NA,"End Of Day (from Real-Time)",33.25,33.35,32.92,33,1832752
"28","PAYX.O",20110210,NA,"End Of Day (from Real-Time)",32.99,33.3,32.94,33.3,2070711
"29","PAYX.O",20110211,NA,"End Of Day (from Real-Time)",33.21,33.37,32.91,33.33,1493610
"30","PAYX.O",20110214,NA,"End Of Day (from Real-Time)",33.25,33.34,32.99,33.17,1417249
"31","PAYX.O",20110215,NA,"End Of Day (from Real-Time)",33.17,33.23,32.9696,33.14,1323442
