"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PCAR.O",20110103,NA,"End Of Day (from Real-Time)",58.0299,58.75,57.7,57.84,2441263
"2","PCAR.O",20110104,NA,"End Of Day (from Real-Time)",57.8,57.96,56.215,57.13,2684875
"3","PCAR.O",20110105,NA,"End Of Day (from Real-Time)",57.25,58,56.85,57.63,2649961
"4","PCAR.O",20110106,NA,"End Of Day (from Real-Time)",57.59,57.98,57.3,57.48,2097921
"5","PCAR.O",20110107,NA,"End Of Day (from Real-Time)",57.73,57.82,56.05,56.73,2652978
"6","PCAR.O",20110110,NA,"End Of Day (from Real-Time)",56.39,57.45,56.17,57.27,1990993
"7","PCAR.O",20110111,NA,"End Of Day (from Real-Time)",57.55,57.94,57.25,57.45,1881024
"8","PCAR.O",20110112,NA,"End Of Day (from Real-Time)",57.94,58,57.2,57.41,1850026
"9","PCAR.O",20110113,NA,"End Of Day (from Real-Time)",56.58,56.9,56,56.4,2857548
"10","PCAR.O",20110114,NA,"End Of Day (from Real-Time)",56.11,56.52,56.07,56.38,1802985
"11","PCAR.O",20110118,NA,"End Of Day (from Real-Time)",56.66,57.23,56.22,56.6,2383135
"12","PCAR.O",20110119,NA,"End Of Day (from Real-Time)",56.32,56.45,55.67,55.85,1669317
"13","PCAR.O",20110120,NA,"End Of Day (from Real-Time)",55.8,56.38,54.94,55.2,2264765
"14","PCAR.O",20110121,NA,"End Of Day (from Real-Time)",55.72,56.26,55.01,55.1,1893624
"15","PCAR.O",20110124,NA,"End Of Day (from Real-Time)",54.92,56.04,54.83,55.53,1682357
"16","PCAR.O",20110125,NA,"End Of Day (from Real-Time)",56.08,56.25,55.09,55.83,2229856
"17","PCAR.O",20110126,NA,"End Of Day (from Real-Time)",55.87,56.74,55.64,56.32,1787523
"18","PCAR.O",20110127,NA,"End Of Day (from Real-Time)",56.32,56.88,55.88,56.56,1075531
"19","PCAR.O",20110128,NA,"End Of Day (from Real-Time)",56.86,56.88,54.29,54.82,2707888
"20","PCAR.O",20110131,NA,"End Of Day (from Real-Time)",54.84,56.56,54.84,56.49,2639121
"21","PCAR.O",20110201,NA,"End Of Day (from Real-Time)",54.98,55,51.06,51.95,11429853
"22","PCAR.O",20110202,NA,"End Of Day (from Real-Time)",51.97,52.38,50.47,50.66,5440044
"23","PCAR.O",20110203,NA,"End Of Day (from Real-Time)",50.55,50.61,49.7,50.5025,5660567
"24","PCAR.O",20110204,NA,"End Of Day (from Real-Time)",50.62,50.94,50.05,50.6,3435725
"25","PCAR.O",20110207,NA,"End Of Day (from Real-Time)",50.6,51.39,50.42,50.97,2956397
"26","PCAR.O",20110208,NA,"End Of Day (from Real-Time)",50.91,51.68,50.7,51.49,3245785
"27","PCAR.O",20110209,NA,"End Of Day (from Real-Time)",51.27,51.28,50.54,50.84,3122930
"28","PCAR.O",20110210,NA,"End Of Day (from Real-Time)",50.64,51.77,50.54,51.47,2350192
"29","PCAR.O",20110211,NA,"End Of Day (from Real-Time)",51.62,52.705,51.22,52.52,2548294
"30","PCAR.O",20110214,NA,"End Of Day (from Real-Time)",52.45,52.98,52.18,52.76,2346408
"31","PCAR.O",20110215,NA,"End Of Day (from Real-Time)",52.44,52.55,52.01,52.54,2278988
"32","PCAR.O",20110216,NA,"End Of Day (from Real-Time)",52.68,53.29,52.48,52.98,2318863
"33","PCAR.O",20110217,NA,"End Of Day (from Real-Time)",52.93,53.05,52.07,52.41,1681689
"34","PCAR.O",20110218,NA,"End Of Day (from Real-Time)",52.33,52.65,52.13,52.65,1848937
"35","PCAR.O",20110222,NA,"End Of Day (from Real-Time)",52.22,52.88,50.91,51.01,2217842
"36","PCAR.O",20110223,NA,"End Of Day (from Real-Time)",51.05,51.2,49.43,49.84,3251979
"37","PCAR.O",20110224,NA,"End Of Day (from Real-Time)",49.81,50.34,49.26,49.91,2549655
"38","PCAR.O",20110225,NA,"End Of Day (from Real-Time)",50.3,50.34,49.8,50.12,1826523
"39","PCAR.O",20110228,NA,"End Of Day (from Real-Time)",50.41,50.72,49.52,50.13,2075071
"40","PCAR.O",20110301,NA,"End Of Day (from Real-Time)",50.22,50.4,48.58,48.99,2749639
"41","PCAR.O",20110302,NA,"End Of Day (from Real-Time)",48.85,49.66,48.53,48.88,2232198
"42","PCAR.O",20110303,NA,"End Of Day (from Real-Time)",49.47,50.54,49.44,50.24,2123507
"43","PCAR.O",20110304,NA,"End Of Day (from Real-Time)",50.13,50.17,48.81,49.2,2133856
"44","PCAR.O",20110307,NA,"End Of Day (from Real-Time)",50.05,50.59,47.88,48.43,4190262
"45","PCAR.O",20110308,NA,"End Of Day (from Real-Time)",48.36,49.23,48.11,48.64,2808523
"46","PCAR.O",20110309,NA,"End Of Day (from Real-Time)",48.41,48.84,47.87,48.59,2490673
"47","PCAR.O",20110310,NA,"End Of Day (from Real-Time)",47.95,48.15,47.04,47.62,3363381
"48","PCAR.O",20110311,NA,"End Of Day (from Real-Time)",47.38,48.96,47.3,48.77,3129476
"49","PCAR.O",20110314,NA,"End Of Day (from Real-Time)",48.19,48.53,47.625,48.43,2502666
"50","PCAR.O",20110315,NA,"End Of Day (from Real-Time)",46.69,48.52,46.5,48.04,3100559
"51","PCAR.O",20110316,NA,"End Of Day (from Real-Time)",47.76,48.02,46.95,47.62,3410349
"52","PCAR.O",20110317,NA,"End Of Day (from Real-Time)",48.46,48.934,47.78,48.21,1985815
"53","PCAR.O",20110318,NA,"End Of Day (from Real-Time)",48.71,49.12,48.29,48.46,3162750
"54","PCAR.O",20110321,NA,"End Of Day (from Real-Time)",49.91,50.79,49.85,50.56,3406698
"55","PCAR.O",20110322,NA,"End Of Day (from Real-Time)",50.36,50.38,48.88,49.26,2856506
"56","PCAR.O",20110323,NA,"End Of Day (from Real-Time)",49.1,49.44,48.38,49.09,1938817
"57","PCAR.O",20110324,NA,"End Of Day (from Real-Time)",49.3,49.96,48.7,49.63,1853372
"58","PCAR.O",20110325,NA,"End Of Day (from Real-Time)",49.87,50.23,49.27,49.86,2717806
"59","PCAR.O",20110328,NA,"End Of Day (from Real-Time)",50.05,50.09,48.77,48.9,3206041
"60","PCAR.O",20110329,NA,"End Of Day (from Real-Time)",48.97,50.5,48.62,50.31,2369706
"61","PCAR.O",20110330,NA,"End Of Day (from Real-Time)",50.77,52.48,50.75,51.89,4314409
"62","PCAR.O",20110331,NA,"End Of Day (from Real-Time)",52.01,52.63,51.86,52.36,2536993
"63","PCAR.O",20110401,NA,"End Of Day (from Real-Time)",52.89,54.17,52.79,53.44,4356276
"64","PCAR.O",20110404,NA,"End Of Day (from Real-Time)",53.71,53.939,52.83,53.09,2296822
"65","PCAR.O",20110405,NA,"End Of Day (from Real-Time)",53.88,53.89,52.35,52.79,2643908
"66","PCAR.O",20110406,NA,"End Of Day (from Real-Time)",53.2,53.36,52.41,52.83,1739461
"67","PCAR.O",20110407,NA,"End Of Day (from Real-Time)",52.58,53.2,52.241,52.79,1983751
"68","PCAR.O",20110408,NA,"End Of Day (from Real-Time)",52.78,53,51.09,51.28,2815381
"69","PCAR.O",20110411,NA,"End Of Day (from Real-Time)",51.51,51.64,50.49,50.72,2163441
"70","PCAR.O",20110412,NA,"End Of Day (from Real-Time)",50.41,50.47,49.59,50.31,2090671
"71","PCAR.O",20110413,NA,"End Of Day (from Real-Time)",50.54,50.86,49.72,50.13,1837857
"72","PCAR.O",20110414,NA,"End Of Day (from Real-Time)",49.69,50.11,49.21,50,1755545
"73","PCAR.O",20110415,NA,"End Of Day (from Real-Time)",50.15,51.51,49.83,51.43,3777638
"74","PCAR.O",20110418,NA,"End Of Day (from Real-Time)",50.55,50.64,49.4,50.31,2822767
"75","PCAR.O",20110419,NA,"End Of Day (from Real-Time)",51.88,53.04,51.46,52.19,5119668
"76","PCAR.O",20110420,NA,"End Of Day (from Real-Time)",53.05,53.72,52.74,53.64,3548525
"77","PCAR.O",20110421,NA,"End Of Day (from Real-Time)",53.8,53.85,53.14,53.27,2671205
