"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PEG.N",20110103,NA,"End Of Day (from Real-Time)",32.01,32.04,31.56,31.8,800892
"2","PEG.N",20110104,NA,"End Of Day (from Real-Time)",31.78,31.86,31.29,31.58,1376173
"3","PEG.N",20110105,NA,"End Of Day (from Real-Time)",31.42,31.64,31.23,31.32,769452
"4","PEG.N",20110106,NA,"End Of Day (from Real-Time)",31.34,31.4,31.09,31.25,832821
"5","PEG.N",20110107,NA,"End Of Day (from Real-Time)",31.31,31.59,30.91,31.59,1441444
"6","PEG.N",20110110,NA,"End Of Day (from Real-Time)",31.42,31.65,31.11,31.6,852991
"7","PEG.N",20110111,NA,"End Of Day (from Real-Time)",31.59,31.95,31.45,31.9,777120
"8","PEG.N",20110112,NA,"End Of Day (from Real-Time)",32,32.43,31.96,32.16,716777
"9","PEG.N",20110113,NA,"End Of Day (from Real-Time)",32.12,32.21,31.51,31.59,942476
"10","PEG.N",20110114,NA,"End Of Day (from Real-Time)",31.51,31.66,31.41,31.62,541105
"11","PEG.N",20110118,NA,"End Of Day (from Real-Time)",31.72,31.84,31.24,31.32,917134
"12","PEG.N",20110119,NA,"End Of Day (from Real-Time)",31.31,31.8,31.31,31.77,721886
"13","PEG.N",20110120,NA,"End Of Day (from Real-Time)",31.79,32.31,31.79,32.17,861801
"14","PEG.N",20110121,NA,"End Of Day (from Real-Time)",32.46,32.46,32.21,32.46,1232448
"15","PEG.N",20110124,NA,"End Of Day (from Real-Time)",32.4,32.78,32.37,32.7,638963
"16","PEG.N",20110125,NA,"End Of Day (from Real-Time)",32.67,32.85,32.46,32.5,651625
"17","PEG.N",20110126,NA,"End Of Day (from Real-Time)",32.53,32.65,32.43,32.57,527000
"18","PEG.N",20110127,NA,"End Of Day (from Real-Time)",32.63,32.78,32.49,32.63,613153
"19","PEG.N",20110128,NA,"End Of Day (from Real-Time)",32.66,32.74,32.25,32.43,695825
"20","PEG.N",20110131,NA,"End Of Day (from Real-Time)",32.46,32.6,32.29,32.43,677324
"21","PEG.N",20110201,NA,"End Of Day (from Real-Time)",32.61,33.12,32.27,33.12,756221
"22","PEG.N",20110202,NA,"End Of Day (from Real-Time)",32.93,32.94,32.27,32.59,976024
"23","PEG.N",20110203,NA,"End Of Day (from Real-Time)",32.6,32.81,32.42,32.75,602538
"24","PEG.N",20110204,NA,"End Of Day (from Real-Time)",32.67,32.67,32.21,32.22,1065393
"25","PEG.N",20110207,NA,"End Of Day (from Real-Time)",32.27,32.61,32.23,32.61,623048
"26","PEG.N",20110208,NA,"End Of Day (from Real-Time)",32.59,32.75,32.38,32.74,590117
"27","PEG.N",20110209,NA,"End Of Day (from Real-Time)",32.64,33.11,32.42,33.02,811848
"28","PEG.N",20110210,NA,"End Of Day (from Real-Time)",33,33.06,32.74,32.89,633667
"29","PEG.N",20110211,NA,"End Of Day (from Real-Time)",32.78,33.1,32.74,32.87,430977
"30","PEG.N",20110214,NA,"End Of Day (from Real-Time)",32.83,32.9,32.42,32.58,397837
"31","PEG.N",20110215,NA,"End Of Day (from Real-Time)",32.4,32.53,32.31,32.45,549716
"32","PEG.N",20110216,NA,"End Of Day (from Real-Time)",32.45,32.61,31.88,32.12,830228
"33","PEG.N",20110217,NA,"End Of Day (from Real-Time)",32.03,32.18,31.7,32.07,798522
"34","PEG.N",20110218,NA,"End Of Day (from Real-Time)",32.05,32.05,31.71,31.74,1247544
"35","PEG.N",20110222,NA,"End Of Day (from Real-Time)",31.25,32.36,31.05,32.23,1431679
"36","PEG.N",20110223,NA,"End Of Day (from Real-Time)",32.2,32.45,31.93,32.3,1026067
"37","PEG.N",20110224,NA,"End Of Day (from Real-Time)",32.3,32.48,32.01,32.23,1145545
"38","PEG.N",20110225,NA,"End Of Day (from Real-Time)",32.25,32.44,32.06,32.42,727232
"39","PEG.N",20110228,NA,"End Of Day (from Real-Time)",32.45,32.9,32.37,32.7,1288096
"40","PEG.N",20110301,NA,"End Of Day (from Real-Time)",32.7,32.73,31.89,31.91,1104317
"41","PEG.N",20110302,NA,"End Of Day (from Real-Time)",31.88,32.08,31.63,31.89,729849
"42","PEG.N",20110303,NA,"End Of Day (from Real-Time)",32.06,32.3,31.95,31.95,802516
"43","PEG.N",20110304,NA,"End Of Day (from Real-Time)",31.95,32,31.34,31.61,742963
"44","PEG.N",20110307,NA,"End Of Day (from Real-Time)",31.65,32.07,31.45,31.47,923300
"45","PEG.N",20110308,NA,"End Of Day (from Real-Time)",31.09,31.78,31.09,31.68,636714
"46","PEG.N",20110309,NA,"End Of Day (from Real-Time)",31.68,32.54,31.68,32.51,960806
"47","PEG.N",20110310,NA,"End Of Day (from Real-Time)",32.29,32.64,31.98,32.05,995874
"48","PEG.N",20110311,NA,"End Of Day (from Real-Time)",32.24,32.46,31.88,32.38,813124
"49","PEG.N",20110314,NA,"End Of Day (from Real-Time)",32.08,32.08,31.34,31.51,1204305
"50","PEG.N",20110315,NA,"End Of Day (from Real-Time)",30.96,31.18,30.61,31.1,1115321
"51","PEG.N",20110316,NA,"End Of Day (from Real-Time)",31.11,31.57,30.16,30.32,2213486
"52","PEG.N",20110317,NA,"End Of Day (from Real-Time)",30.73,30.73,30.16,30.47,1439598
"53","PEG.N",20110318,NA,"End Of Day (from Real-Time)",30.61,30.69,30.22,30.43,1494838
"54","PEG.N",20110321,NA,"End Of Day (from Real-Time)",30.73,30.99,30.55,30.76,653923
"55","PEG.N",20110322,NA,"End Of Day (from Real-Time)",30.82,31.18,30.74,31,947301
"56","PEG.N",20110323,NA,"End Of Day (from Real-Time)",30.92,31.23,30.77,31.15,809644
"57","PEG.N",20110324,NA,"End Of Day (from Real-Time)",31.31,31.44,31.16,31.17,899075
"58","PEG.N",20110325,NA,"End Of Day (from Real-Time)",31.25,31.48,31.06,31.09,765045
"59","PEG.N",20110328,NA,"End Of Day (from Real-Time)",31.17,31.27,30.98,30.98,420143
"60","PEG.N",20110329,NA,"End Of Day (from Real-Time)",30.96,31.38,30.76,31.31,461264
"61","PEG.N",20110330,NA,"End Of Day (from Real-Time)",31.39,31.87,31.29,31.69,656289
"62","PEG.N",20110331,NA,"End Of Day (from Real-Time)",31.73,31.88,31.49,31.51,703567
"63","PEG.N",20110401,NA,"End Of Day (from Real-Time)",31.71,31.77,31.37,31.5,701300
"64","PEG.N",20110404,NA,"End Of Day (from Real-Time)",31.46,31.5,30.73,30.89,1142178
"65","PEG.N",20110405,NA,"End Of Day (from Real-Time)",30.87,30.98,30.77,30.81,960917
"66","PEG.N",20110406,NA,"End Of Day (from Real-Time)",30.9,31.56,30.85,31.56,1575883
"67","PEG.N",20110407,NA,"End Of Day (from Real-Time)",31.49,31.49,31.08,31.36,775304
"68","PEG.N",20110408,NA,"End Of Day (from Real-Time)",31.54,31.54,31.01,31.22,548536
"69","PEG.N",20110411,NA,"End Of Day (from Real-Time)",31.11,31.12,30.44,30.56,1151102
"70","PEG.N",20110412,NA,"End Of Day (from Real-Time)",30.48,30.7,30.3,30.58,1268918
"71","PEG.N",20110413,NA,"End Of Day (from Real-Time)",30.63,31.1,30.61,30.96,1059446
"72","PEG.N",20110414,NA,"End Of Day (from Real-Time)",30.78,31.05,30.66,30.87,917054
"73","PEG.N",20110415,NA,"End Of Day (from Real-Time)",31.02,31.5,30.93,31.2,1105412
"74","PEG.N",20110418,NA,"End Of Day (from Real-Time)",30.96,31.07,30.73,30.9,727163
"75","PEG.N",20110419,NA,"End Of Day (from Real-Time)",30.88,30.9,30.47,30.52,759806
"76","PEG.N",20110420,NA,"End Of Day (from Real-Time)",30.8,30.95,30.62,30.76,897843
"77","PEG.N",20110421,NA,"End Of Day (from Real-Time)",30.79,30.94,30.49,30.93,555242
"78","PEG.N",20110425,NA,"End Of Day (from Real-Time)",30.87,30.98,30.75,30.81,360310
"79","PEG.N",20110426,NA,"End Of Day (from Real-Time)",30.91,31.29,30.78,31.24,596636
