"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PEP.N",20110103,NA,"End Of Day (from Real-Time)",65.99,66.09,65.6,65.75,2042882
"2","PEP.N",20110104,NA,"End Of Day (from Real-Time)",66.08,66.08,65.12,65.41,1717278
"3","PEP.N",20110105,NA,"End Of Day (from Real-Time)",65.71,66.88,65.56,66.59,2510246
"4","PEP.N",20110106,NA,"End Of Day (from Real-Time)",66.71,66.95,66.38,66.84,1878281
"5","PEP.N",20110107,NA,"End Of Day (from Real-Time)",66.69,66.76,66.25,66.39,1447937
"6","PEP.N",20110110,NA,"End Of Day (from Real-Time)",66.07,66.32,65.84,66.05,1339330
"7","PEP.N",20110111,NA,"End Of Day (from Real-Time)",66.39,66.75,66.01,66.33,1218398
"8","PEP.N",20110112,NA,"End Of Day (from Real-Time)",66.74,67.07,66.55,66.73,1550894
"9","PEP.N",20110113,NA,"End Of Day (from Real-Time)",66.7,67.46,66.65,66.91,1443898
"10","PEP.N",20110114,NA,"End Of Day (from Real-Time)",66.95,66.98,66.58,66.78,1617054
"11","PEP.N",20110118,NA,"End Of Day (from Real-Time)",66.56,67.14,66.4,66.57,2307317
"12","PEP.N",20110119,NA,"End Of Day (from Real-Time)",66.6,66.69,65.69,65.9,1859854
"13","PEP.N",20110120,NA,"End Of Day (from Real-Time)",66.03,66.33,65.81,65.9,1857646
"14","PEP.N",20110121,NA,"End Of Day (from Real-Time)",66.24,66.25,65.67,65.87,2143670
"15","PEP.N",20110124,NA,"End Of Day (from Real-Time)",65.75,66.18,65.62,66.18,1337038
"16","PEP.N",20110125,NA,"End Of Day (from Real-Time)",66,66.25,65.75,65.77,1448785
"17","PEP.N",20110126,NA,"End Of Day (from Real-Time)",65.86,66.04,65.52,65.86,1297620
"18","PEP.N",20110127,NA,"End Of Day (from Real-Time)",65.84,65.95,65.45,65.56,1377767
"19","PEP.N",20110128,NA,"End Of Day (from Real-Time)",65.5,65.83,64.12,64.4,2833408
"20","PEP.N",20110131,NA,"End Of Day (from Real-Time)",64.4,64.62,64.09,64.31,2603549
"21","PEP.N",20110201,NA,"End Of Day (from Real-Time)",64.53,65.13,64.3,65.05,1640731
"22","PEP.N",20110202,NA,"End Of Day (from Real-Time)",64.58,64.86,64.04,64.65,1744306
"23","PEP.N",20110203,NA,"End Of Day (from Real-Time)",64.58,64.68,64.02,64.18,1511541
"24","PEP.N",20110204,NA,"End Of Day (from Real-Time)",64.18,64.2,63.66,63.84,1752601
"25","PEP.N",20110207,NA,"End Of Day (from Real-Time)",63.82,63.98,63.26,63.68,2160194
"26","PEP.N",20110208,NA,"End Of Day (from Real-Time)",63.66,64.27,63.65,64.17,1492274
"27","PEP.N",20110209,NA,"End Of Day (from Real-Time)",64.33,64.76,63.97,64.42,1740146
"28","PEP.N",20110210,NA,"End Of Day (from Real-Time)",63.5,64.17,62.94,63.36,3293301
"29","PEP.N",20110211,NA,"End Of Day (from Real-Time)",62.59,64.02,62.56,63.87,2156499
"30","PEP.N",20110214,NA,"End Of Day (from Real-Time)",64,64.32,63.17,63.34,2294447
"31","PEP.N",20110215,NA,"End Of Day (from Real-Time)",63.3,64.45,63.06,64.35,2340365
"32","PEP.N",20110216,NA,"End Of Day (from Real-Time)",64.41,64.46,63.84,63.96,2013343
"33","PEP.N",20110217,NA,"End Of Day (from Real-Time)",63.25,64.71,63.25,64.7,2709133
"34","PEP.N",20110218,NA,"End Of Day (from Real-Time)",64.42,64.42,63.2,63.41,4889509
"35","PEP.N",20110222,NA,"End Of Day (from Real-Time)",62.59,63.52,62.57,63.15,2543791
"36","PEP.N",20110223,NA,"End Of Day (from Real-Time)",63.21,63.76,62.9,62.93,2477724
"37","PEP.N",20110224,NA,"End Of Day (from Real-Time)",62.76,63.19,62.71,63.03,2273391
"38","PEP.N",20110225,NA,"End Of Day (from Real-Time)",63.02,63.89,62.89,63.6,1959501
"39","PEP.N",20110228,NA,"End Of Day (from Real-Time)",63.85,63.96,63.37,63.42,2698134
"40","PEP.N",20110301,NA,"End Of Day (from Real-Time)",63.63,63.95,63.19,63.21,2098852
"41","PEP.N",20110302,NA,"End Of Day (from Real-Time)",62.88,62.99,62.54,62.94,1798557
"42","PEP.N",20110303,NA,"End Of Day (from Real-Time)",63.19,63.98,63.02,63.75,2044552
"43","PEP.N",20110304,NA,"End Of Day (from Real-Time)",63.75,63.86,63.03,63.4,2343192
"44","PEP.N",20110307,NA,"End Of Day (from Real-Time)",63.4,63.59,63.2,63.47,2081173
"45","PEP.N",20110308,NA,"End Of Day (from Real-Time)",63.53,63.9,63.41,63.79,1818468
"46","PEP.N",20110309,NA,"End Of Day (from Real-Time)",63.78,64.82,63.57,64.65,2137586
"47","PEP.N",20110310,NA,"End Of Day (from Real-Time)",64.29,64.85,64.2,64.43,2414386
"48","PEP.N",20110311,NA,"End Of Day (from Real-Time)",64.59,64.89,64.33,64.65,2108239
"49","PEP.N",20110314,NA,"End Of Day (from Real-Time)",64.31,64.37,63.59,64.14,1560867
"50","PEP.N",20110315,NA,"End Of Day (from Real-Time)",63.48,63.54,62.7,63.01,2609039
"51","PEP.N",20110316,NA,"End Of Day (from Real-Time)",62.84,62.89,62.05,62.31,2365255
"52","PEP.N",20110317,NA,"End Of Day (from Real-Time)",62.95,63.26,62.57,63.08,2168043
"53","PEP.N",20110318,NA,"End Of Day (from Real-Time)",63.45,63.6,62.9,63.24,3992129
"54","PEP.N",20110321,NA,"End Of Day (from Real-Time)",63.76,64.3,63.5,64.1,2222564
"55","PEP.N",20110322,NA,"End Of Day (from Real-Time)",64.03,64.05,63.83,63.94,1034052
"56","PEP.N",20110323,NA,"End Of Day (from Real-Time)",63.93,64.36,63.75,64.2,940786
"57","PEP.N",20110324,NA,"End Of Day (from Real-Time)",64.45,64.47,64.17,64.2,957348
"58","PEP.N",20110325,NA,"End Of Day (from Real-Time)",64.19,64.46,63.95,63.98,1362674
