"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PETM.O",20110103,NA,"End Of Day (from Real-Time)",40.01,40.61,40.01,40.3,685880
"2","PETM.O",20110104,NA,"End Of Day (from Real-Time)",40.37,40.4,39.255,39.37,827747
"3","PETM.O",20110105,NA,"End Of Day (from Real-Time)",39.48,39.85,39.292,39.5,727703
"4","PETM.O",20110106,NA,"End Of Day (from Real-Time)",39.46,39.5,38.94,38.95,744238
"5","PETM.O",20110107,NA,"End Of Day (from Real-Time)",39,39.16,38.33,38.8,753367
"6","PETM.O",20110110,NA,"End Of Day (from Real-Time)",38.61,39.25,38.29,39.16,961497
"7","PETM.O",20110111,NA,"End Of Day (from Real-Time)",39.4,39.51,38.43,38.61,754443
"8","PETM.O",20110112,NA,"End Of Day (from Real-Time)",38.85,39.77,38.83,39.65,1266018
"9","PETM.O",20110113,NA,"End Of Day (from Real-Time)",39.56,39.85,39.42,39.66,695633
"10","PETM.O",20110114,NA,"End Of Day (from Real-Time)",39.43,40.02,39.13,40.02,749631
"11","PETM.O",20110118,NA,"End Of Day (from Real-Time)",40.05,40.12,39.66,40.0325,1469179
"12","PETM.O",20110119,NA,"End Of Day (from Real-Time)",39.96,40.06,39.72,39.87,929062
"13","PETM.O",20110120,NA,"End Of Day (from Real-Time)",39.78,40.98,39.78,39.94,1363825
"14","PETM.O",20110121,NA,"End Of Day (from Real-Time)",40.05,40.21,39.81,40.06,598652
"15","PETM.O",20110124,NA,"End Of Day (from Real-Time)",39.96,40.37,39.72,40.34,847315
"16","PETM.O",20110125,NA,"End Of Day (from Real-Time)",40.25,40.64,39.95,40.56,978174
"17","PETM.O",20110126,NA,"End Of Day (from Real-Time)",40.58,40.89,39.99,40.14,697992
"18","PETM.O",20110127,NA,"End Of Day (from Real-Time)",40.39,41.19,40.36,40.97,1150171
"19","PETM.O",20110128,NA,"End Of Day (from Real-Time)",40.95,41.2,39.9309,40.17,839075
"20","PETM.O",20110131,NA,"End Of Day (from Real-Time)",40.17,40.59,39.9,40.24,659925
"21","PETM.O",20110201,NA,"End Of Day (from Real-Time)",40.66,40.84,40.36,40.43,623422
"22","PETM.O",20110202,NA,"End Of Day (from Real-Time)",40.39,40.43,39.97,40.02,452316
"23","PETM.O",20110203,NA,"End Of Day (from Real-Time)",40.06,41.25,40.06,40.8375,663952
"24","PETM.O",20110204,NA,"End Of Day (from Real-Time)",40.73,41.76,40.73,41.48,626029
"25","PETM.O",20110207,NA,"End Of Day (from Real-Time)",42,42.36,41.62,41.73,899733
"26","PETM.O",20110208,NA,"End Of Day (from Real-Time)",41.65,41.9999,41.62,41.87,476664
"27","PETM.O",20110209,NA,"End Of Day (from Real-Time)",41.67,42.3,41.56,41.56,928002
"28","PETM.O",20110210,NA,"End Of Day (from Real-Time)",41.22,41.5,41,41.18,1301466
"29","PETM.O",20110211,NA,"End Of Day (from Real-Time)",41.14,41.66,40.89,41.44,850530
"30","PETM.O",20110214,NA,"End Of Day (from Real-Time)",41.49,41.93,41.29,41.75,528610
"31","PETM.O",20110215,NA,"End Of Day (from Real-Time)",41.33,41.66,41.07,41.42,503947
"32","PETM.O",20110216,NA,"End Of Day (from Real-Time)",41.6,42.05,41.09,41.95,1363544
"33","PETM.O",20110217,NA,"End Of Day (from Real-Time)",41.91,42.19,41.53,41.71,933434
"34","PETM.O",20110218,NA,"End Of Day (from Real-Time)",41.71,41.83,41.39,41.7,516409
"35","PETM.O",20110222,NA,"End Of Day (from Real-Time)",41.28,41.55,40.73,40.73,643633
"36","PETM.O",20110223,NA,"End Of Day (from Real-Time)",40.71,40.79,39.29,39.87,1173306
"37","PETM.O",20110224,NA,"End Of Day (from Real-Time)",39.83,40.58,39.34,39.63,1127080
"38","PETM.O",20110225,NA,"End Of Day (from Real-Time)",39.85,41.17,39.81,41.17,1098940
"39","PETM.O",20110228,NA,"End Of Day (from Real-Time)",41.36,41.58,40.84,40.87,1286772
"40","PETM.O",20110301,NA,"End Of Day (from Real-Time)",40.98,42,40.32,41.14,2468390
"41","PETM.O",20110302,NA,"End Of Day (from Real-Time)",40.98,41.7,40.85,41.44,939262
"42","PETM.O",20110303,NA,"End Of Day (from Real-Time)",41.92,43.39,41.92,42.56,1543420
"43","PETM.O",20110304,NA,"End Of Day (from Real-Time)",42.52,42.63,41.62,41.9,670978
"44","PETM.O",20110307,NA,"End Of Day (from Real-Time)",41.94,42.21,41.74,41.8,697653
"45","PETM.O",20110308,NA,"End Of Day (from Real-Time)",41.79,42.46,41.72,42,1075099
"46","PETM.O",20110309,NA,"End Of Day (from Real-Time)",41.83,42.38,41.64,41.71,1076879
"47","PETM.O",20110310,NA,"End Of Day (from Real-Time)",41.2,41.38,40.9,41.28,748692
"48","PETM.O",20110311,NA,"End Of Day (from Real-Time)",41.01,41.41,41,41.17,854973
"49","PETM.O",20110314,NA,"End Of Day (from Real-Time)",41,41.355,40.78,41.22,920163
"50","PETM.O",20110315,NA,"End Of Day (from Real-Time)",40.2,41.3,40,41.01,917933
"51","PETM.O",20110316,NA,"End Of Day (from Real-Time)",40.85,41.11,40.51,40.55,1515466
"52","PETM.O",20110317,NA,"End Of Day (from Real-Time)",41.13,41.13,40.56,40.61,1140256
"53","PETM.O",20110318,NA,"End Of Day (from Real-Time)",41,41.18,40,40.35,3062990
"54","PETM.O",20110321,NA,"End Of Day (from Real-Time)",40.53,40.87,40.05,40.75,1343368
"55","PETM.O",20110322,NA,"End Of Day (from Real-Time)",40.64,41.1,40.52,40.78,758230
"56","PETM.O",20110323,NA,"End Of Day (from Real-Time)",40.87,40.87,40.27,40.58,983866
"57","PETM.O",20110324,NA,"End Of Day (from Real-Time)",40.7,41.18,40.54,41.04,794985
"58","PETM.O",20110325,NA,"End Of Day (from Real-Time)",40.89,41.55,40.565,41.25,620015
"59","PETM.O",20110328,NA,"End Of Day (from Real-Time)",41.25,41.57,40.79,40.84,945036
"60","PETM.O",20110329,NA,"End Of Day (from Real-Time)",40.76,41.13,40.56,41.07,320297
"61","PETM.O",20110330,NA,"End Of Day (from Real-Time)",41.3,41.495,41.04,41.08,793708
"62","PETM.O",20110331,NA,"End Of Day (from Real-Time)",41,41.07,40.43,40.95,1076986
"63","PETM.O",20110401,NA,"End Of Day (from Real-Time)",41.01,41.445,41,41.29,632760
"64","PETM.O",20110404,NA,"End Of Day (from Real-Time)",41.44,41.66,41.03,41.37,527504
"65","PETM.O",20110405,NA,"End Of Day (from Real-Time)",41.42,42.34,41.37,41.66,1058057
"66","PETM.O",20110406,NA,"End Of Day (from Real-Time)",41.87,42.15,41.34,41.9,855182
"67","PETM.O",20110407,NA,"End Of Day (from Real-Time)",41.83,42.5601,41.81,42.03,919034
"68","PETM.O",20110408,NA,"End Of Day (from Real-Time)",42,42.22,41.43,41.83,937744
"69","PETM.O",20110411,NA,"End Of Day (from Real-Time)",41.71,42.28,41.71,42.13,686225
"70","PETM.O",20110412,NA,"End Of Day (from Real-Time)",41.88,42.31,41.34,41.385,611148
"71","PETM.O",20110413,NA,"End Of Day (from Real-Time)",41.61,41.92,41.15,41.7,883315
"72","PETM.O",20110414,NA,"End Of Day (from Real-Time)",41.35,41.91,41.16,41.61,1079333
"73","PETM.O",20110415,NA,"End Of Day (from Real-Time)",41.65,41.97,41.4401,41.83,463061
"74","PETM.O",20110418,NA,"End Of Day (from Real-Time)",41.46,41.46,40.63,41.26,648196
"75","PETM.O",20110419,NA,"End Of Day (from Real-Time)",41.31,41.47,40.82,41.13,742210
"76","PETM.O",20110420,NA,"End Of Day (from Real-Time)",41.58,41.72,41.15,41.57,1587629
"77","PETM.O",20110421,NA,"End Of Day (from Real-Time)",42.68,43,42.51,42.66,1184024
"78","PETM.O",20110425,NA,"End Of Day (from Real-Time)",42.55,42.82,42.49,42.59,429393
"79","PETM.O",20110426,NA,"End Of Day (from Real-Time)",42.65,42.84,42.46,42.56,419965
"80","PETM.O",20110427,NA,"End Of Day (from Real-Time)",42.45,42.83,42.45,42.63,883807
"81","PETM.O",20110428,NA,"End Of Day (from Real-Time)",42.53,42.69,42.35,42.45,614765
"82","PETM.O",20110429,NA,"End Of Day (from Real-Time)",42.43,42.69,42.16,42.18,1086013
"83","PETM.O",20110502,NA,"End Of Day (from Real-Time)",42.45,42.62,42.04,42.34,1161786
"84","PETM.O",20110503,NA,"End Of Day (from Real-Time)",42.32,42.54,42.05,42.18,717842
"85","PETM.O",20110504,NA,"End Of Day (from Real-Time)",42.23,42.46,41.86,42.3,1419494
"86","PETM.O",20110505,NA,"End Of Day (from Real-Time)",42.2,42.87,41.78,42.11,899793
"87","PETM.O",20110506,NA,"End Of Day (from Real-Time)",42.54,42.78,41.78,41.88,311103
"88","PETM.O",20110509,NA,"End Of Day (from Real-Time)",41.92,42.66,41.605,42.59,785223
"89","PETM.O",20110510,NA,"End Of Day (from Real-Time)",42.65,43.48,42.61,43.46,505368
"90","PETM.O",20110511,NA,"End Of Day (from Real-Time)",43.37,43.87,43.27,43.53,913476
"91","PETM.O",20110512,NA,"End Of Day (from Real-Time)",43.34,44.27,43.09,44.23,657223
"92","PETM.O",20110513,NA,"End Of Day (from Real-Time)",44.39,44.5,43.75,44.11,711584
"93","PETM.O",20110516,NA,"End Of Day (from Real-Time)",44.02,44.02,43.1,43.21,743749
"94","PETM.O",20110517,NA,"End Of Day (from Real-Time)",42.96,43.06,42.42,42.7,900780
"95","PETM.O",20110518,NA,"End Of Day (from Real-Time)",42.56,42.94,42.26,42.49,1548525
"96","PETM.O",20110519,NA,"End Of Day (from Real-Time)",44.575,45.98,44.4,45.71,5006793
"97","PETM.O",20110520,NA,"End Of Day (from Real-Time)",45.59,45.85,45.2,45.22,1114394
"98","PETM.O",20110523,NA,"End Of Day (from Real-Time)",44.67,45.28,44.61,44.94,823046
"99","PETM.O",20110524,NA,"End Of Day (from Real-Time)",45.12,45.24,44.82,44.88,676742
"100","PETM.O",20110525,NA,"End Of Day (from Real-Time)",44.63,45.23,44.555,45.09,613254
"101","PETM.O",20110526,NA,"End Of Day (from Real-Time)",44.92,45.59,44.64,45.45,862684
"102","PETM.O",20110527,NA,"End Of Day (from Real-Time)",45.43,45.53,44.95,45.17,703953
"103","PETM.O",20110531,NA,"End Of Day (from Real-Time)",45.43,45.48,44.87,45.3,1169248
"104","PETM.O",20110601,NA,"End Of Day (from Real-Time)",45.99,46.01,44.75,44.78,1266105
"105","PETM.O",20110602,NA,"End Of Day (from Real-Time)",44.62,44.82,43.92,44.08,980006
"106","PETM.O",20110603,NA,"End Of Day (from Real-Time)",43.57,43.9,43.22,43.46,814431
"107","PETM.O",20110606,NA,"End Of Day (from Real-Time)",43.33,43.68,43.1,43.57,999223
"108","PETM.O",20110607,NA,"End Of Day (from Real-Time)",43.81,44.41,43.61,43.84,1156739
"109","PETM.O",20110608,NA,"End Of Day (from Real-Time)",43.64,44.1,43.08,43.1,1033472
"110","PETM.O",20110609,NA,"End Of Day (from Real-Time)",43.12,44.08,43,43.88,769111
"111","PETM.O",20110610,NA,"End Of Day (from Real-Time)",43.67,43.99,43.32,43.6,1116661
"112","PETM.O",20110613,NA,"End Of Day (from Real-Time)",43.63,43.93,43.22,43.27,910170
"113","PETM.O",20110614,NA,"End Of Day (from Real-Time)",43.6,44.11,43.6,43.97,821718
"114","PETM.O",20110615,NA,"End Of Day (from Real-Time)",43.59,44.03,43.37,43.43,944825
"115","PETM.O",20110616,NA,"End Of Day (from Real-Time)",43.54,43.749,43.14,43.45,1119486
"116","PETM.O",20110617,NA,"End Of Day (from Real-Time)",43.66,44.28,43.35,43.39,1632381
"117","PETM.O",20110620,NA,"End Of Day (from Real-Time)",43.35,44.46,43.35,44.34,932265
"118","PETM.O",20110621,NA,"End Of Day (from Real-Time)",44.36,45,44.01,44.92,787599
"119","PETM.O",20110622,NA,"End Of Day (from Real-Time)",44.7,45.1092,44.431,44.71,824150
"120","PETM.O",20110623,NA,"End Of Day (from Real-Time)",44.28,45.12,44.04,45.03,700032
"121","PETM.O",20110624,NA,"End Of Day (from Real-Time)",45.01,45.4,44.62,44.81,1089388
"122","PETM.O",20110627,NA,"End Of Day (from Real-Time)",44.72,45.31,44.46,44.82,1201238
"123","PETM.O",20110628,NA,"End Of Day (from Real-Time)",44.9,45.78,44.9,45.68,890323
"124","PETM.O",20110629,NA,"End Of Day (from Real-Time)",45.79,46,45.45,45.53,1169512
"125","PETM.O",20110630,NA,"End Of Day (from Real-Time)",45.75,45.84,45.35,45.37,954056
