"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PH.N",20110103,NA,"End Of Day (from Real-Time)",87,87.94,86.99,87.53,393446
"2","PH.N",20110104,NA,"End Of Day (from Real-Time)",87.49,87.52,85.78,87.47,498780
"3","PH.N",20110105,NA,"End Of Day (from Real-Time)",86.78,88.29,86.55,87.6,310521
"4","PH.N",20110106,NA,"End Of Day (from Real-Time)",87.5,87.73,85.71,85.91,322633
"5","PH.N",20110107,NA,"End Of Day (from Real-Time)",85.9,87.4,85.84,86.05,323579
"6","PH.N",20110110,NA,"End Of Day (from Real-Time)",86.75,87.38,85.91,87.25,480367
"7","PH.N",20110111,NA,"End Of Day (from Real-Time)",87.59,88.27,87.47,87.79,296706
"8","PH.N",20110112,NA,"End Of Day (from Real-Time)",88.39,88.95,88.19,88.66,256585
"9","PH.N",20110113,NA,"End Of Day (from Real-Time)",89.17,89.44,88.2,89.23,457059
"10","PH.N",20110114,NA,"End Of Day (from Real-Time)",89.03,90,88.95,89.65,320918
"11","PH.N",20110118,NA,"End Of Day (from Real-Time)",89.59,91.93,89.32,91.91,386072
"12","PH.N",20110119,NA,"End Of Day (from Real-Time)",91.6,93.15,90.19,91.08,732861
"13","PH.N",20110120,NA,"End Of Day (from Real-Time)",87.02,89.26,85.23,85.51,1059186
"14","PH.N",20110121,NA,"End Of Day (from Real-Time)",86.87,88.07,85.81,86,739148
"15","PH.N",20110124,NA,"End Of Day (from Real-Time)",86,87.07,85.8,87.07,341774
"16","PH.N",20110125,NA,"End Of Day (from Real-Time)",86.7,87.14,85.41,86.49,300071
"17","PH.N",20110126,NA,"End Of Day (from Real-Time)",87.06,88.89,86.76,88.19,355334
"18","PH.N",20110127,NA,"End Of Day (from Real-Time)",88.41,88.99,87.22,88.65,248812
"19","PH.N",20110128,NA,"End Of Day (from Real-Time)",89.06,90.12,86.62,87.19,359277
"20","PH.N",20110131,NA,"End Of Day (from Real-Time)",87.6,90.64,87.6,89.41,435418
"21","PH.N",20110201,NA,"End Of Day (from Real-Time)",90.08,90.66,88.32,90.45,336155
"22","PH.N",20110202,NA,"End Of Day (from Real-Time)",89.87,90.66,89.71,89.93,215960
"23","PH.N",20110203,NA,"End Of Day (from Real-Time)",89.9,90.12,88.57,90.09,221964
"24","PH.N",20110204,NA,"End Of Day (from Real-Time)",90.44,91.01,89.93,91.01,273316
"25","PH.N",20110207,NA,"End Of Day (from Real-Time)",91.22,92.26,90.91,91.71,232472
"26","PH.N",20110208,NA,"End Of Day (from Real-Time)",91.66,92.51,91.22,92.4,337588
"27","PH.N",20110209,NA,"End Of Day (from Real-Time)",91.85,92,90.8,91.37,233119
"28","PH.N",20110210,NA,"End Of Day (from Real-Time)",91.09,91.85,90.47,91.82,311287
"29","PH.N",20110211,NA,"End Of Day (from Real-Time)",91.38,93.59,91.26,93.56,178498
"30","PH.N",20110214,NA,"End Of Day (from Real-Time)",93.15,93.38,92.36,92.4,293877
"31","PH.N",20110215,NA,"End Of Day (from Real-Time)",92.1,92.34,90.89,91.4,213176
"32","PH.N",20110216,NA,"End Of Day (from Real-Time)",91.67,92.62,90.72,91.21,200587
"33","PH.N",20110217,NA,"End Of Day (from Real-Time)",91.27,91.98,90.59,91.65,171386
"34","PH.N",20110218,NA,"End Of Day (from Real-Time)",92.21,92.28,91.38,91.88,363269
"35","PH.N",20110222,NA,"End Of Day (from Real-Time)",90.74,91.19,89,89.1,413911
"36","PH.N",20110223,NA,"End Of Day (from Real-Time)",88.6,88.95,86.42,87.23,441274
"37","PH.N",20110224,NA,"End Of Day (from Real-Time)",86.96,88.14,85.95,87.64,434150
"38","PH.N",20110225,NA,"End Of Day (from Real-Time)",88.6,89.46,88.45,88.55,452890
"39","PH.N",20110228,NA,"End Of Day (from Real-Time)",89.1,89.75,88.72,89.18,522454
"40","PH.N",20110301,NA,"End Of Day (from Real-Time)",89.6,89.6,86.28,86.78,401545
"41","PH.N",20110302,NA,"End Of Day (from Real-Time)",86.72,87.41,85.57,86.63,481124
"42","PH.N",20110303,NA,"End Of Day (from Real-Time)",87.82,89.74,87.6,89.55,539864
"43","PH.N",20110304,NA,"End Of Day (from Real-Time)",89.55,89.55,86.77,87.33,519444
"44","PH.N",20110307,NA,"End Of Day (from Real-Time)",87.35,87.4,84.93,85.21,682092
"45","PH.N",20110308,NA,"End Of Day (from Real-Time)",85.31,87.08,84.59,85.99,517786
