"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PHM.N",20110103,NA,"End Of Day (from Real-Time)",7.61,7.82,7.6,7.78,1539697
"2","PHM.N",20110104,NA,"End Of Day (from Real-Time)",7.78,7.79,7.58,7.69,1040425
"3","PHM.N",20110105,NA,"End Of Day (from Real-Time)",7.65,7.99,7.62,7.98,1462449
"4","PHM.N",20110106,NA,"End Of Day (from Real-Time)",8,8.27,7.98,8.23,2570259
"5","PHM.N",20110107,NA,"End Of Day (from Real-Time)",8.31,8.63,8.19,8.61,3566967
"6","PHM.N",20110110,NA,"End Of Day (from Real-Time)",8.52,8.52,8.16,8.2,2622025
"7","PHM.N",20110111,NA,"End Of Day (from Real-Time)",8.43,8.53,8.22,8.28,2146061
"8","PHM.N",20110112,NA,"End Of Day (from Real-Time)",8.36,8.44,8.29,8.42,1135082
"9","PHM.N",20110113,NA,"End Of Day (from Real-Time)",8.4,8.42,8.29,8.35,697102
"10","PHM.N",20110114,NA,"End Of Day (from Real-Time)",8.36,8.69,8.33,8.69,1297433
"11","PHM.N",20110118,NA,"End Of Day (from Real-Time)",8.61,8.69,8.49,8.55,1156308
"12","PHM.N",20110119,NA,"End Of Day (from Real-Time)",8.52,8.57,8.24,8.28,1411114
"13","PHM.N",20110120,NA,"End Of Day (from Real-Time)",8.23,8.5,8.17,8.38,1685941
"14","PHM.N",20110121,NA,"End Of Day (from Real-Time)",8.46,8.51,8.24,8.25,1518188
"15","PHM.N",20110124,NA,"End Of Day (from Real-Time)",8.24,8.43,8.24,8.43,1030036
"16","PHM.N",20110125,NA,"End Of Day (from Real-Time)",8.36,8.56,8.16,8.33,1188392
"17","PHM.N",20110126,NA,"End Of Day (from Real-Time)",8.4,8.58,8.21,8.43,1885477
"18","PHM.N",20110127,NA,"End Of Day (from Real-Time)",8.38,8.47,8.08,8.24,2092233
"19","PHM.N",20110128,NA,"End Of Day (from Real-Time)",8.26,8.32,8.06,8.08,1589459
"20","PHM.N",20110131,NA,"End Of Day (from Real-Time)",8.13,8.19,7.87,7.89,1939856
"21","PHM.N",20110201,NA,"End Of Day (from Real-Time)",7.99,8.13,7.98,8.1,1336947
"22","PHM.N",20110202,NA,"End Of Day (from Real-Time)",8.03,8.06,7.84,7.92,1298169
"23","PHM.N",20110203,NA,"End Of Day (from Real-Time)",7.75,7.78,7.52,7.54,2622691
"24","PHM.N",20110204,NA,"End Of Day (from Real-Time)",7.62,7.83,7.44,7.54,3226382
"25","PHM.N",20110207,NA,"End Of Day (from Real-Time)",7.55,7.78,7.55,7.61,2014377
"26","PHM.N",20110208,NA,"End Of Day (from Real-Time)",7.61,7.82,7.59,7.78,2021631
"27","PHM.N",20110209,NA,"End Of Day (from Real-Time)",7.79,7.93,7.73,7.82,1926438
"28","PHM.N",20110210,NA,"End Of Day (from Real-Time)",7.82,7.89,7.64,7.65,2159218
"29","PHM.N",20110211,NA,"End Of Day (from Real-Time)",7.6,7.71,7.55,7.65,1561631
"30","PHM.N",20110214,NA,"End Of Day (from Real-Time)",7.67,7.67,7.43,7.47,1010221
"31","PHM.N",20110215,NA,"End Of Day (from Real-Time)",7.42,7.48,7.27,7.3,1224351
"32","PHM.N",20110216,NA,"End Of Day (from Real-Time)",7.43,7.48,7.32,7.48,1899677
"33","PHM.N",20110217,NA,"End Of Day (from Real-Time)",7.45,7.79,7.42,7.76,2058321
"34","PHM.N",20110218,NA,"End Of Day (from Real-Time)",7.84,7.95,7.74,7.78,1583613
"35","PHM.N",20110222,NA,"End Of Day (from Real-Time)",7.66,7.66,7.19,7.2,2585489
"36","PHM.N",20110223,NA,"End Of Day (from Real-Time)",7.23,7.37,6.9,7.1,2820839
"37","PHM.N",20110224,NA,"End Of Day (from Real-Time)",7.08,7.14,6.9,6.97,2511113
"38","PHM.N",20110225,NA,"End Of Day (from Real-Time)",7.06,7.1,6.9,6.99,1360440
"39","PHM.N",20110228,NA,"End Of Day (from Real-Time)",7.07,7.07,6.84,6.9,1646958
"40","PHM.N",20110301,NA,"End Of Day (from Real-Time)",6.95,6.95,6.61,6.65,2173825
"41","PHM.N",20110302,NA,"End Of Day (from Real-Time)",6.66,6.84,6.66,6.79,1644620
"42","PHM.N",20110303,NA,"End Of Day (from Real-Time)",6.89,6.91,6.65,6.75,1359385
"43","PHM.N",20110304,NA,"End Of Day (from Real-Time)",6.77,6.77,6.52,6.64,1646425
"44","PHM.N",20110307,NA,"End Of Day (from Real-Time)",6.67,6.73,6.53,6.54,1495202
"45","PHM.N",20110308,NA,"End Of Day (from Real-Time)",6.65,7.14,6.64,7.09,2507632
"46","PHM.N",20110309,NA,"End Of Day (from Real-Time)",7.04,7.16,6.97,7.14,1464202
"47","PHM.N",20110310,NA,"End Of Day (from Real-Time)",7.01,7.17,6.96,7.09,1876512
"48","PHM.N",20110311,NA,"End Of Day (from Real-Time)",7.05,7.1,6.99,7.01,1513888
"49","PHM.N",20110314,NA,"End Of Day (from Real-Time)",6.87,6.97,6.83,6.92,1027483
"50","PHM.N",20110315,NA,"End Of Day (from Real-Time)",6.71,7.05,6.7,7.01,1301292
"51","PHM.N",20110316,NA,"End Of Day (from Real-Time)",6.86,7,6.83,6.89,2047290
"52","PHM.N",20110317,NA,"End Of Day (from Real-Time)",7.01,7.04,6.91,6.93,1066395
"53","PHM.N",20110318,NA,"End Of Day (from Real-Time)",7.04,7.12,6.97,7.12,1900569
"54","PHM.N",20110321,NA,"End Of Day (from Real-Time)",7.24,7.25,7,7.2,1321015
"55","PHM.N",20110322,NA,"End Of Day (from Real-Time)",7.18,7.23,7.09,7.14,937947
"56","PHM.N",20110323,NA,"End Of Day (from Real-Time)",7.42,7.47,7.23,7.4,1970749
"57","PHM.N",20110324,NA,"End Of Day (from Real-Time)",7.44,7.48,7.24,7.42,897996
"58","PHM.N",20110325,NA,"End Of Day (from Real-Time)",7.45,7.63,7.43,7.57,1262758
"59","PHM.N",20110328,NA,"End Of Day (from Real-Time)",7.6,7.75,7.53,7.66,1963128
"60","PHM.N",20110329,NA,"End Of Day (from Real-Time)",7.62,7.7,7.57,7.65,1511026
"61","PHM.N",20110330,NA,"End Of Day (from Real-Time)",7.7,7.7,7.44,7.44,1646308
"62","PHM.N",20110331,NA,"End Of Day (from Real-Time)",7.41,7.47,7.32,7.4,1227080
"63","PHM.N",20110401,NA,"End Of Day (from Real-Time)",7.48,7.55,7.45,7.48,1105506
"64","PHM.N",20110404,NA,"End Of Day (from Real-Time)",7.46,7.5,7.32,7.33,1029663
"65","PHM.N",20110405,NA,"End Of Day (from Real-Time)",7.14,7.51,7.08,7.43,1418471
"66","PHM.N",20110406,NA,"End Of Day (from Real-Time)",7.46,7.6,7.41,7.59,1010261
"67","PHM.N",20110407,NA,"End Of Day (from Real-Time)",7.6,7.88,7.57,7.79,1962701
"68","PHM.N",20110408,NA,"End Of Day (from Real-Time)",7.86,7.99,7.76,7.82,1460562
"69","PHM.N",20110411,NA,"End Of Day (from Real-Time)",7.81,7.83,7.71,7.78,1402727
"70","PHM.N",20110412,NA,"End Of Day (from Real-Time)",7.7,7.84,7.68,7.7,1043104
"71","PHM.N",20110413,NA,"End Of Day (from Real-Time)",7.77,7.81,7.63,7.69,844661
"72","PHM.N",20110414,NA,"End Of Day (from Real-Time)",7.64,7.68,7.58,7.66,1059027
"73","PHM.N",20110415,NA,"End Of Day (from Real-Time)",7.7,7.82,7.68,7.82,1010510
"74","PHM.N",20110418,NA,"End Of Day (from Real-Time)",7.7,7.97,7.65,7.84,1095897
"75","PHM.N",20110419,NA,"End Of Day (from Real-Time)",7.88,8.27,7.88,8.24,1515132
"76","PHM.N",20110420,NA,"End Of Day (from Real-Time)",8.37,8.39,8.07,8.15,1250166
"77","PHM.N",20110421,NA,"End Of Day (from Real-Time)",8.23,8.23,7.77,7.78,1820832
"78","PHM.N",20110425,NA,"End Of Day (from Real-Time)",7.8,7.92,7.69,7.8,1268081
"79","PHM.N",20110426,NA,"End Of Day (from Real-Time)",7.85,7.87,7.74,7.79,1527406
"80","PHM.N",20110427,NA,"End Of Day (from Real-Time)",7.83,7.98,7.8,7.98,1160828
"81","PHM.N",20110428,NA,"End Of Day (from Real-Time)",8.25,8.44,8.1,8.24,3564482
"82","PHM.N",20110429,NA,"End Of Day (from Real-Time)",8.24,8.35,8.11,8.13,1623939
"83","PHM.N",20110502,NA,"End Of Day (from Real-Time)",8.16,8.19,7.92,7.96,2312218
"84","PHM.N",20110503,NA,"End Of Day (from Real-Time)",7.92,7.96,7.75,7.78,1053447
"85","PHM.N",20110504,NA,"End Of Day (from Real-Time)",7.77,8.01,7.75,8,1402743
"86","PHM.N",20110505,NA,"End Of Day (from Real-Time)",7.95,8.22,7.88,8.02,1385575
"87","PHM.N",20110506,NA,"End Of Day (from Real-Time)",8.15,8.16,7.93,7.96,1096353
"88","PHM.N",20110509,NA,"End Of Day (from Real-Time)",7.92,7.96,7.75,7.79,1299401
"89","PHM.N",20110510,NA,"End Of Day (from Real-Time)",7.82,8,7.76,7.77,1069134
"90","PHM.N",20110511,NA,"End Of Day (from Real-Time)",7.79,7.82,7.51,7.52,2879258
"91","PHM.N",20110512,NA,"End Of Day (from Real-Time)",7.52,7.69,7.46,7.66,1029819
"92","PHM.N",20110513,NA,"End Of Day (from Real-Time)",7.65,7.68,7.57,7.6,847065
"93","PHM.N",20110516,NA,"End Of Day (from Real-Time)",7.55,7.69,7.55,7.61,924535
"94","PHM.N",20110517,NA,"End Of Day (from Real-Time)",7.58,7.69,7.53,7.61,940674
"95","PHM.N",20110518,NA,"End Of Day (from Real-Time)",7.61,7.71,7.53,7.57,969774
"96","PHM.N",20110519,NA,"End Of Day (from Real-Time)",7.62,7.68,7.5,7.57,1148529
"97","PHM.N",20110520,NA,"End Of Day (from Real-Time)",7.55,7.81,7.54,7.73,1429005
"98","PHM.N",20110523,NA,"End Of Day (from Real-Time)",7.63,7.78,7.53,7.53,1172846
"99","PHM.N",20110524,NA,"End Of Day (from Real-Time)",7.58,7.69,7.46,7.47,891945
"100","PHM.N",20110525,NA,"End Of Day (from Real-Time)",7.46,7.64,7.45,7.49,792866
"101","PHM.N",20110526,NA,"End Of Day (from Real-Time)",7.49,7.88,7.46,7.86,1235411
"102","PHM.N",20110527,NA,"End Of Day (from Real-Time)",7.87,8.24,7.84,8.2,1093693
"103","PHM.N",20110531,NA,"End Of Day (from Real-Time)",8.24,8.44,8.2,8.44,2059646
"104","PHM.N",20110601,NA,"End Of Day (from Real-Time)",8.36,8.38,8.02,8.04,1377333
"105","PHM.N",20110602,NA,"End Of Day (from Real-Time)",8.07,8.12,7.8,7.8,1162090
"106","PHM.N",20110603,NA,"End Of Day (from Real-Time)",7.67,7.87,7.63,7.82,865504
"107","PHM.N",20110606,NA,"End Of Day (from Real-Time)",7.79,7.79,7.4,7.41,1308745
"108","PHM.N",20110607,NA,"End Of Day (from Real-Time)",7.45,7.51,7.21,7.21,1425821
"109","PHM.N",20110608,NA,"End Of Day (from Real-Time)",7.2,7.27,6.96,6.97,1913410
"110","PHM.N",20110609,NA,"End Of Day (from Real-Time)",7,7.22,6.96,7.04,1379178
"111","PHM.N",20110610,NA,"End Of Day (from Real-Time)",7.03,7.05,6.79,6.93,1248953
"112","PHM.N",20110613,NA,"End Of Day (from Real-Time)",6.97,7.06,6.88,6.97,887141
"113","PHM.N",20110614,NA,"End Of Day (from Real-Time)",7.11,7.29,7.1,7.24,1347436
"114","PHM.N",20110615,NA,"End Of Day (from Real-Time)",7.15,7.22,6.98,7,1306289
"115","PHM.N",20110616,NA,"End Of Day (from Real-Time)",7.01,7.26,7.01,7.11,1234514
"116","PHM.N",20110617,NA,"End Of Day (from Real-Time)",7.18,7.24,7.08,7.19,1801061
"117","PHM.N",20110620,NA,"End Of Day (from Real-Time)",7.14,7.35,7.09,7.29,749999
"118","PHM.N",20110621,NA,"End Of Day (from Real-Time)",7.37,7.47,7.28,7.46,967290
"119","PHM.N",20110622,NA,"End Of Day (from Real-Time)",7.36,7.75,7.3,7.49,1126338
"120","PHM.N",20110623,NA,"End Of Day (from Real-Time)",7.39,7.8,7.39,7.58,1397313
"121","PHM.N",20110624,NA,"End Of Day (from Real-Time)",7.6,7.67,7.43,7.52,875570
"122","PHM.N",20110627,NA,"End Of Day (from Real-Time)",7.49,7.72,7.38,7.68,1353884
"123","PHM.N",20110628,NA,"End Of Day (from Real-Time)",7.73,7.89,7.72,7.89,1188499
"124","PHM.N",20110629,NA,"End Of Day (from Real-Time)",7.89,7.97,7.53,7.58,1797781
"125","PHM.N",20110630,NA,"End Of Day (from Real-Time)",7.63,7.72,7.58,7.66,3296944
"126","PHM.N",20110701,NA,"End Of Day (from Real-Time)",7.62,7.83,7.62,7.82,978618
"127","PHM.N",20110705,NA,"End Of Day (from Real-Time)",7.81,7.81,7.54,7.71,906660
"128","PHM.N",20110706,NA,"End Of Day (from Real-Time)",7.7,7.7,7.56,7.58,982333
"129","PHM.N",20110707,NA,"End Of Day (from Real-Time)",7.71,7.86,7.64,7.84,1185171
"130","PHM.N",20110708,NA,"End Of Day (from Real-Time)",7.72,7.81,7.55,7.77,1340934
"131","PHM.N",20110711,NA,"End Of Day (from Real-Time)",7.65,7.68,7.4,7.41,1310082
"132","PHM.N",20110712,NA,"End Of Day (from Real-Time)",7.41,7.46,7.27,7.29,2353140
"133","PHM.N",20110713,NA,"End Of Day (from Real-Time)",7.38,7.5,7.24,7.24,2516146
"134","PHM.N",20110714,NA,"End Of Day (from Real-Time)",7.27,7.36,7.05,7.09,1295216
"135","PHM.N",20110715,NA,"End Of Day (from Real-Time)",7.17,7.17,6.98,7.09,1570248
"136","PHM.N",20110718,NA,"End Of Day (from Real-Time)",7.04,7.09,6.91,6.94,1380135
"137","PHM.N",20110719,NA,"End Of Day (from Real-Time)",7.07,7.25,7.06,7.18,1447013
"138","PHM.N",20110720,NA,"End Of Day (from Real-Time)",7.2,7.21,7.1,7.19,933061
"139","PHM.N",20110721,NA,"End Of Day (from Real-Time)",7.24,7.42,7.22,7.41,1237884
"140","PHM.N",20110722,NA,"End Of Day (from Real-Time)",7.37,7.38,7.17,7.34,1139189
"141","PHM.N",20110725,NA,"End Of Day (from Real-Time)",7.27,7.35,7.19,7.29,865877
"142","PHM.N",20110726,NA,"End Of Day (from Real-Time)",7.26,7.29,7.16,7.27,1082463
"143","PHM.N",20110727,NA,"End Of Day (from Real-Time)",7.23,7.28,6.98,7,1446923
"144","PHM.N",20110728,NA,"End Of Day (from Real-Time)",7,7.36,6.72,6.8,2471226
"145","PHM.N",20110729,NA,"End Of Day (from Real-Time)",6.73,7.05,6.7,6.87,1413921
"146","PHM.N",20110801,NA,"End Of Day (from Real-Time)",7.02,7.02,6.66,6.69,1502636
"147","PHM.N",20110802,NA,"End Of Day (from Real-Time)",6.61,6.68,6.24,6.25,2043700
"148","PHM.N",20110803,NA,"End Of Day (from Real-Time)",6.24,6.31,6,6.04,2517162
"149","PHM.N",20110804,NA,"End Of Day (from Real-Time)",5.98,6,5.51,5.54,2650732
"150","PHM.N",20110805,NA,"End Of Day (from Real-Time)",5.68,5.94,5.19,5.28,4191660
"151","PHM.N",20110808,NA,"End Of Day (from Real-Time)",5.02,5.07,4.35,4.6,3392794
"152","PHM.N",20110809,NA,"End Of Day (from Real-Time)",4.78,4.81,4.26,4.67,3119473
"153","PHM.N",20110810,NA,"End Of Day (from Real-Time)",4.56,4.56,4.23,4.24,2442393
"154","PHM.N",20110811,NA,"End Of Day (from Real-Time)",4.25,4.52,4.09,4.44,2691638
"155","PHM.N",20110812,NA,"End Of Day (from Real-Time)",4.55,4.65,4.37,4.52,2279672
"156","PHM.N",20110815,NA,"End Of Day (from Real-Time)",4.58,4.84,4.56,4.84,1860525
"157","PHM.N",20110816,NA,"End Of Day (from Real-Time)",4.83,4.9,4.75,4.83,1754805
"158","PHM.N",20110817,NA,"End Of Day (from Real-Time)",4.85,4.92,4.67,4.7,1151400
"159","PHM.N",20110818,NA,"End Of Day (from Real-Time)",4.44,4.45,4.11,4.16,2532713
"160","PHM.N",20110819,NA,"End Of Day (from Real-Time)",4.09,4.16,3.88,3.91,1942836
"161","PHM.N",20110822,NA,"End Of Day (from Real-Time)",4.04,4.05,3.73,3.76,1704413
"162","PHM.N",20110823,NA,"End Of Day (from Real-Time)",3.76,3.79,3.41,3.61,3049326
"163","PHM.N",20110824,NA,"End Of Day (from Real-Time)",3.57,3.82,3.57,3.76,2260097
"164","PHM.N",20110825,NA,"End Of Day (from Real-Time)",3.84,4.29,3.81,4.24,4292401
"165","PHM.N",20110826,NA,"End Of Day (from Real-Time)",4.17,4.73,4.11,4.48,3053486
