"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PLD.N",20110103,NA,"End Of Day (from Real-Time)",14.59,14.93,14.55,14.84,1976069
"2","PLD.N",20110104,NA,"End Of Day (from Real-Time)",14.88,15.03,14.47,14.65,2113532
"3","PLD.N",20110105,NA,"End Of Day (from Real-Time)",14.54,14.75,14.52,14.65,2053285
"4","PLD.N",20110106,NA,"End Of Day (from Real-Time)",14.63,14.73,14.41,14.5,1179742
"5","PLD.N",20110107,NA,"End Of Day (from Real-Time)",14.6,14.68,14.23,14.36,2838693
"6","PLD.N",20110110,NA,"End Of Day (from Real-Time)",14.25,14.47,14.06,14.39,2154864
"7","PLD.N",20110111,NA,"End Of Day (from Real-Time)",14.43,14.56,14.21,14.56,1460838
"8","PLD.N",20110112,NA,"End Of Day (from Real-Time)",14.66,14.84,14.57,14.73,1748584
"9","PLD.N",20110113,NA,"End Of Day (from Real-Time)",14.7,14.84,14.66,14.76,1347865
"10","PLD.N",20110114,NA,"End Of Day (from Real-Time)",14.66,14.75,14.6,14.68,1487052
"11","PLD.N",20110118,NA,"End Of Day (from Real-Time)",14.66,14.78,14.59,14.75,2476468
"12","PLD.N",20110119,NA,"End Of Day (from Real-Time)",14.55,14.7,14.21,14.33,2536615
"13","PLD.N",20110120,NA,"End Of Day (from Real-Time)",14.23,14.48,14.19,14.3,1634670
"14","PLD.N",20110121,NA,"End Of Day (from Real-Time)",14.22,14.28,14.02,14.27,2713053
"15","PLD.N",20110124,NA,"End Of Day (from Real-Time)",14.27,14.37,14.16,14.23,1949004
"16","PLD.N",20110125,NA,"End Of Day (from Real-Time)",14.18,14.69,14.13,14.64,2833960
"17","PLD.N",20110126,NA,"End Of Day (from Real-Time)",14.7,14.74,14.5,14.7,1303583
"18","PLD.N",20110127,NA,"End Of Day (from Real-Time)",16.11,16.51,15.45,15.87,7023151
"19","PLD.N",20110128,NA,"End Of Day (from Real-Time)",15.65,15.84,15.17,15.21,4302576
"20","PLD.N",20110131,NA,"End Of Day (from Real-Time)",15.21,15.33,14.79,14.92,6680470
"21","PLD.N",20110201,NA,"End Of Day (from Real-Time)",14.98,15.08,14.72,14.84,3398705
"22","PLD.N",20110202,NA,"End Of Day (from Real-Time)",14.73,14.91,14.73,14.78,2171280
"23","PLD.N",20110203,NA,"End Of Day (from Real-Time)",14.78,14.88,14.69,14.82,2766046
"24","PLD.N",20110204,NA,"End Of Day (from Real-Time)",14.85,14.88,14.74,14.83,2216759
"25","PLD.N",20110207,NA,"End Of Day (from Real-Time)",14.9,15,14.83,14.99,4487170
"26","PLD.N",20110208,NA,"End Of Day (from Real-Time)",14.98,15.05,14.94,14.94,2030526
"27","PLD.N",20110209,NA,"End Of Day (from Real-Time)",14.89,15.01,14.77,14.93,2137439
"28","PLD.N",20110210,NA,"End Of Day (from Real-Time)",14.82,15.13,14.77,15,2792229
"29","PLD.N",20110211,NA,"End Of Day (from Real-Time)",15.02,15.3,14.89,15.28,2000463
"30","PLD.N",20110214,NA,"End Of Day (from Real-Time)",15.5,15.55,15.34,15.45,2536097
"31","PLD.N",20110215,NA,"End Of Day (from Real-Time)",15.39,15.54,15.19,15.52,1724150
"32","PLD.N",20110216,NA,"End Of Day (from Real-Time)",15.61,15.75,15.52,15.75,1560892
"33","PLD.N",20110217,NA,"End Of Day (from Real-Time)",15.77,16.16,15.71,16.09,2034326
"34","PLD.N",20110218,NA,"End Of Day (from Real-Time)",16.08,16.12,15.78,15.87,1809922
"35","PLD.N",20110222,NA,"End Of Day (from Real-Time)",15.7,15.87,15.56,15.67,2557639
"36","PLD.N",20110223,NA,"End Of Day (from Real-Time)",15.66,15.79,15.51,15.68,1476215
"37","PLD.N",20110224,NA,"End Of Day (from Real-Time)",15.61,15.85,15.36,15.52,1629308
"38","PLD.N",20110225,NA,"End Of Day (from Real-Time)",15.66,15.87,15.63,15.85,1308970
"39","PLD.N",20110228,NA,"End Of Day (from Real-Time)",15.88,16.26,15.86,16.26,2452538
"40","PLD.N",20110301,NA,"End Of Day (from Real-Time)",16.31,16.31,15.72,15.72,2143007
"41","PLD.N",20110302,NA,"End Of Day (from Real-Time)",15.75,15.8,15.3,15.53,1885492
"42","PLD.N",20110303,NA,"End Of Day (from Real-Time)",15.74,16.16,15.74,16.06,1291792
"43","PLD.N",20110304,NA,"End Of Day (from Real-Time)",16.05,16.11,15.72,15.85,1504550
"44","PLD.N",20110307,NA,"End Of Day (from Real-Time)",15.97,16.05,15.56,15.68,1447467
"45","PLD.N",20110308,NA,"End Of Day (from Real-Time)",15.71,16.26,15.71,16.08,2439239
"46","PLD.N",20110309,NA,"End Of Day (from Real-Time)",16.04,16.1,15.9,15.97,1325696
"47","PLD.N",20110310,NA,"End Of Day (from Real-Time)",15.77,15.81,15.34,15.34,1736148
"48","PLD.N",20110311,NA,"End Of Day (from Real-Time)",15.24,15.53,15.21,15.45,1494496
"49","PLD.N",20110314,NA,"End Of Day (from Real-Time)",15.29,15.33,15.05,15.09,1977521
"50","PLD.N",20110315,NA,"End Of Day (from Real-Time)",14.63,14.91,14.53,14.78,2116393
"51","PLD.N",20110316,NA,"End Of Day (from Real-Time)",14.72,15.08,14.59,14.76,3238458
"52","PLD.N",20110317,NA,"End Of Day (from Real-Time)",15.22,15.24,14.74,14.78,2730777
"53","PLD.N",20110318,NA,"End Of Day (from Real-Time)",15.07,15.18,14.77,14.78,3925257
"54","PLD.N",20110321,NA,"End Of Day (from Real-Time)",14.99,15.45,14.83,15.33,2137952
"55","PLD.N",20110322,NA,"End Of Day (from Real-Time)",15.33,15.36,15.07,15.19,1629644
"56","PLD.N",20110323,NA,"End Of Day (from Real-Time)",15.14,15.19,14.9,15.08,1687710
"57","PLD.N",20110324,NA,"End Of Day (from Real-Time)",15.17,15.44,14.99,15.39,1235538
"58","PLD.N",20110325,NA,"End Of Day (from Real-Time)",15.4,15.6,15.3,15.49,1022051
"59","PLD.N",20110328,NA,"End Of Day (from Real-Time)",15.48,15.56,15.37,15.37,860872
"60","PLD.N",20110329,NA,"End Of Day (from Real-Time)",15.3,15.54,15.23,15.49,839655
"61","PLD.N",20110330,NA,"End Of Day (from Real-Time)",15.57,15.9,15.47,15.9,1728996
"62","PLD.N",20110331,NA,"End Of Day (from Real-Time)",15.83,16.01,15.77,15.98,1443585
"63","PLD.N",20110401,NA,"End Of Day (from Real-Time)",16.12,16.21,15.91,16.03,1285529
"64","PLD.N",20110404,NA,"End Of Day (from Real-Time)",16.07,16.15,16,16.09,1299480
"65","PLD.N",20110405,NA,"End Of Day (from Real-Time)",16.01,16.22,16,16.11,996263
"66","PLD.N",20110406,NA,"End Of Day (from Real-Time)",16.17,16.18,15.89,16.15,1344881
"67","PLD.N",20110407,NA,"End Of Day (from Real-Time)",16.05,16.1,15.75,15.84,2025224
"68","PLD.N",20110408,NA,"End Of Day (from Real-Time)",15.97,16,15.62,15.71,1050746
"69","PLD.N",20110411,NA,"End Of Day (from Real-Time)",15.7,15.83,15.62,15.72,1163780
"70","PLD.N",20110412,NA,"End Of Day (from Real-Time)",15.62,15.71,15.52,15.63,1460931
"71","PLD.N",20110413,NA,"End Of Day (from Real-Time)",15.71,15.78,15.51,15.6,1587140
"72","PLD.N",20110414,NA,"End Of Day (from Real-Time)",15.6,15.94,15.55,15.89,2080285
"73","PLD.N",20110415,NA,"End Of Day (from Real-Time)",15.94,16.21,15.89,16.19,2001062
"74","PLD.N",20110418,NA,"End Of Day (from Real-Time)",15.92,16.05,15.73,15.89,1778999
"75","PLD.N",20110419,NA,"End Of Day (from Real-Time)",15.89,16.12,15.82,16.08,1423780
"76","PLD.N",20110420,NA,"End Of Day (from Real-Time)",16.27,16.31,15.58,15.9,2069155
"77","PLD.N",20110421,NA,"End Of Day (from Real-Time)",16,16.15,15.78,16.06,1137473
"78","PLD.N",20110425,NA,"End Of Day (from Real-Time)",16.09,16.34,16.03,16.28,1374312
"79","PLD.N",20110426,NA,"End Of Day (from Real-Time)",16.37,16.5,16.2,16.43,1399314
"80","PLD.N",20110427,NA,"End Of Day (from Real-Time)",16.48,16.48,16.15,16.33,1291549
"81","PLD.N",20110428,NA,"End Of Day (from Real-Time)",16.31,16.7,16.29,16.61,1857663
"82","PLD.N",20110429,NA,"End Of Day (from Real-Time)",16.6,16.64,16.19,16.29,1337995
"83","PLD.N",20110502,NA,"End Of Day (from Real-Time)",16.42,16.6,16.08,16.29,1462126
"84","PLD.N",20110503,NA,"End Of Day (from Real-Time)",16.29,16.39,15.85,16.12,1288081
"85","PLD.N",20110504,NA,"End Of Day (from Real-Time)",16.14,16.21,15.88,15.92,1050478
"86","PLD.N",20110505,NA,"End Of Day (from Real-Time)",15.85,16.21,15.81,16.06,1178932
"87","PLD.N",20110506,NA,"End Of Day (from Real-Time)",16.28,16.28,15.82,15.85,1400753
"88","PLD.N",20110509,NA,"End Of Day (from Real-Time)",15.84,15.9,15.66,15.83,1264329
"89","PLD.N",20110510,NA,"End Of Day (from Real-Time)",15.94,16.4,15.86,16.34,2023031
"90","PLD.N",20110511,NA,"End Of Day (from Real-Time)",16.28,16.33,15.84,15.87,2156967
"91","PLD.N",20110512,NA,"End Of Day (from Real-Time)",15.68,15.88,15.46,15.85,1536783
"92","PLD.N",20110513,NA,"End Of Day (from Real-Time)",15.92,15.92,15.54,15.55,1303038
"93","PLD.N",20110516,NA,"End Of Day (from Real-Time)",15.55,15.71,15.45,15.52,1218693
"94","PLD.N",20110517,NA,"End Of Day (from Real-Time)",15.45,15.52,15.32,15.47,1514041
"95","PLD.N",20110518,NA,"End Of Day (from Real-Time)",15.54,15.78,15.42,15.77,1132882
"96","PLD.N",20110519,NA,"End Of Day (from Real-Time)",15.88,16.04,15.77,16,1033893
"97","PLD.N",20110520,NA,"End Of Day (from Real-Time)",15.96,15.99,15.77,15.8,1479338
"98","PLD.N",20110523,NA,"End Of Day (from Real-Time)",15.5,15.71,15.48,15.62,1350681
"99","PLD.N",20110524,NA,"End Of Day (from Real-Time)",15.46,15.76,15.46,15.72,1413134
"100","PLD.N",20110525,NA,"End Of Day (from Real-Time)",15.63,15.92,15.53,15.87,1193393
"101","PLD.N",20110526,NA,"End Of Day (from Real-Time)",15.8,16.24,15.78,16.2,1338580
"102","PLD.N",20110527,NA,"End Of Day (from Real-Time)",16.29,16.41,16.16,16.33,1566931
"103","PLD.N",20110531,NA,"End Of Day (from Real-Time)",16.49,16.75,16.46,16.56,2498460
"104","PLD.N",20110601,NA,"End Of Day (from Real-Time)",16.46,16.56,15.88,15.89,2410289
"105","PLD.N",20110602,NA,"End Of Day (from Real-Time)",15.92,16.14,15.2,34.07,15988497
"106","PLD.N",20110603,NA,"End Of Day (from Real-Time)",33.3,34.04,33.25,34,1327930
"107","PLD.N",20110606,NA,"End Of Day (from Real-Time)",34.25,34.3,32.9,32.91,1185474
"108","PLD.N",20110607,NA,"End Of Day (from Real-Time)",33.7,34.38,33.43,34.11,1221694
"109","PLD.N",20110608,NA,"End Of Day (from Real-Time)",33.96,34.5,33.66,33.7,1017262
"110","PLD.N",20110609,NA,"End Of Day (from Real-Time)",33.73,33.76,32.28,32.67,1179672
"111","PLD.N",20110610,NA,"End Of Day (from Real-Time)",32.41,32.81,31.76,32.09,1185084
"112","PLD.N",20110613,NA,"End Of Day (from Real-Time)",32.08,32.92,32.03,32.83,929892
"113","PLD.N",20110614,NA,"End Of Day (from Real-Time)",33,33.65,32.95,33.44,874414
"114","PLD.N",20110615,NA,"End Of Day (from Real-Time)",33.14,33.38,32.66,32.93,1301681
"115","PLD.N",20110616,NA,"End Of Day (from Real-Time)",33.23,33.64,32.64,33.17,1100666
"116","PLD.N",20110617,NA,"End Of Day (from Real-Time)",33.61,33.78,33.1,33.7,1499268
"117","PLD.N",20110620,NA,"End Of Day (from Real-Time)",33.43,34.09,33.43,34.07,861269
"118","PLD.N",20110621,NA,"End Of Day (from Real-Time)",34.75,34.9,34.03,34.26,807336
"119","PLD.N",20110622,NA,"End Of Day (from Real-Time)",34.22,34.65,34.18,34.27,739286
"120","PLD.N",20110623,NA,"End Of Day (from Real-Time)",33.5,34.13,33.4,33.83,9111388
"121","PLD.N",20110624,NA,"End Of Day (from Real-Time)",34.13,34.62,33.86,34.16,2619801
"122","PLD.N",20110627,NA,"End Of Day (from Real-Time)",34.3,34.63,34.02,34.37,940875
"123","PLD.N",20110628,NA,"End Of Day (from Real-Time)",34.4,34.46,34.15,34.43,870019
"124","PLD.N",20110629,NA,"End Of Day (from Real-Time)",34.56,35.42,34.34,35.4,992056
"125","PLD.N",20110630,NA,"End Of Day (from Real-Time)",35.8,36,35.55,35.84,1816034
"126","PLD.N",20110701,NA,"End Of Day (from Real-Time)",35.77,36.49,35.65,36.2,1070834
"127","PLD.N",20110705,NA,"End Of Day (from Real-Time)",36.14,36.95,35.9,36.2,1044648
"128","PLD.N",20110706,NA,"End Of Day (from Real-Time)",36.18,36.24,35.69,36,1036019
"129","PLD.N",20110707,NA,"End Of Day (from Real-Time)",36.49,37.46,36.49,37.26,845076
"130","PLD.N",20110708,NA,"End Of Day (from Real-Time)",36.54,36.89,35.93,36.78,814771
"131","PLD.N",20110711,NA,"End Of Day (from Real-Time)",36.25,36.54,35.69,35.72,864752
"132","PLD.N",20110712,NA,"End Of Day (from Real-Time)",35.17,36.36,35.17,35.67,1115675
"133","PLD.N",20110713,NA,"End Of Day (from Real-Time)",35.75,35.87,34.81,34.84,1143597
"134","PLD.N",20110714,NA,"End Of Day (from Real-Time)",34.42,35.1,34.3,34.6,1024197
"135","PLD.N",20110715,NA,"End Of Day (from Real-Time)",34.77,34.9,34.47,34.79,1173775
"136","PLD.N",20110718,NA,"End Of Day (from Real-Time)",34.78,34.84,34.03,34.4,764990
"137","PLD.N",20110719,NA,"End Of Day (from Real-Time)",34.67,35.11,34.55,35.09,819596
"138","PLD.N",20110720,NA,"End Of Day (from Real-Time)",35.17,35.28,34.9,35.12,702738
"139","PLD.N",20110721,NA,"End Of Day (from Real-Time)",35.48,36.18,35.2,35.47,733789
"140","PLD.N",20110722,NA,"End Of Day (from Real-Time)",35.46,35.86,35.26,35.85,541944
"141","PLD.N",20110725,NA,"End Of Day (from Real-Time)",35.41,35.79,35.22,35.45,619629
"142","PLD.N",20110726,NA,"End Of Day (from Real-Time)",35.34,35.86,35.08,35.84,523501
"143","PLD.N",20110727,NA,"End Of Day (from Real-Time)",35.74,35.74,34.2,34.23,1374281
"144","PLD.N",20110728,NA,"End Of Day (from Real-Time)",34.75,35.86,34.63,35.29,944885
"145","PLD.N",20110729,NA,"End Of Day (from Real-Time)",34.82,35.72,34.11,35.63,2086132
"146","PLD.N",20110801,NA,"End Of Day (from Real-Time)",35.94,36.15,33.79,34.38,1402120
"147","PLD.N",20110802,NA,"End Of Day (from Real-Time)",33.96,34.29,32.62,32.65,1283475
"148","PLD.N",20110803,NA,"End Of Day (from Real-Time)",32.97,33.43,31.45,32.25,1376402
"149","PLD.N",20110804,NA,"End Of Day (from Real-Time)",31.9,31.96,29.72,29.79,2253143
"150","PLD.N",20110805,NA,"End Of Day (from Real-Time)",30.18,30.22,28.27,28.76,2386589
"151","PLD.N",20110808,NA,"End Of Day (from Real-Time)",28.14,28.24,25.29,25.29,2723625
"152","PLD.N",20110809,NA,"End Of Day (from Real-Time)",25.97,27.66,25.18,27.59,3400062
"153","PLD.N",20110810,NA,"End Of Day (from Real-Time)",27.09,28.12,26.13,26.4,2291390
"154","PLD.N",20110811,NA,"End Of Day (from Real-Time)",26.53,28.36,26.09,27.71,2143775
"155","PLD.N",20110812,NA,"End Of Day (from Real-Time)",27.86,28.32,27.4,27.76,1119121
"156","PLD.N",20110815,NA,"End Of Day (from Real-Time)",27.89,29.48,27.82,29.4,1699995
"157","PLD.N",20110816,NA,"End Of Day (from Real-Time)",28.82,29.3,28.53,29.1,1357224
"158","PLD.N",20110817,NA,"End Of Day (from Real-Time)",29.37,29.97,28.94,29.35,1166219
"159","PLD.N",20110818,NA,"End Of Day (from Real-Time)",28.01,28.32,27.28,27.69,2508968
"160","PLD.N",20110819,NA,"End Of Day (from Real-Time)",27.31,28.05,26.53,26.62,1596166
"161","PLD.N",20110822,NA,"End Of Day (from Real-Time)",27.49,27.49,26,26.19,987228
"162","PLD.N",20110823,NA,"End Of Day (from Real-Time)",26.22,26.4,25.68,26.04,1277486
"163","PLD.N",20110824,NA,"End Of Day (from Real-Time)",25.97,26.38,25.26,25.7,1537806
"164","PLD.N",20110825,NA,"End Of Day (from Real-Time)",25.98,26.23,24.56,25,1480221
"165","PLD.N",20110826,NA,"End Of Day (from Real-Time)",24.65,25.19,23.94,25.14,1701848
