"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PNC.N",20110103,NA,"End Of Day (from Real-Time)",61.35,61.92,61.3,61.46,1133842
"2","PNC.N",20110104,NA,"End Of Day (from Real-Time)",61.73,61.89,60.13,60.63,963262
"3","PNC.N",20110105,NA,"End Of Day (from Real-Time)",60.65,61.85,60.48,61.8,1188087
"4","PNC.N",20110106,NA,"End Of Day (from Real-Time)",61.8,63.18,61.45,62.28,1211918
"5","PNC.N",20110107,NA,"End Of Day (from Real-Time)",62.53,62.7,61.11,61.94,1289347
"6","PNC.N",20110110,NA,"End Of Day (from Real-Time)",61.51,62.05,61.16,61.62,678485
"7","PNC.N",20110111,NA,"End Of Day (from Real-Time)",61.8,62.13,61.23,61.72,778901
"8","PNC.N",20110112,NA,"End Of Day (from Real-Time)",62.18,62.77,62.11,62.2,917908
"9","PNC.N",20110113,NA,"End Of Day (from Real-Time)",62.3,62.3,61.04,61.13,806446
"10","PNC.N",20110114,NA,"End Of Day (from Real-Time)",61.1,64.34,61.08,64.22,1654460
"11","PNC.N",20110118,NA,"End Of Day (from Real-Time)",63.58,64.07,62.85,63.24,959886
"12","PNC.N",20110119,NA,"End Of Day (from Real-Time)",62.77,63.34,61.48,61.81,1351759
"13","PNC.N",20110120,NA,"End Of Day (from Real-Time)",60.5,61.42,59.93,61,1855190
"14","PNC.N",20110121,NA,"End Of Day (from Real-Time)",61.98,61.98,60.21,60.83,1839443
"15","PNC.N",20110124,NA,"End Of Day (from Real-Time)",60.62,60.98,60.26,60.48,966019
"16","PNC.N",20110125,NA,"End Of Day (from Real-Time)",60.25,60.96,59.85,60.88,985391
"17","PNC.N",20110126,NA,"End Of Day (from Real-Time)",61.01,61.49,60.44,61.16,1283149
"18","PNC.N",20110127,NA,"End Of Day (from Real-Time)",61.15,61.82,60.55,61.67,612942
"19","PNC.N",20110128,NA,"End Of Day (from Real-Time)",61.72,61.99,60.07,60.11,1239395
"20","PNC.N",20110131,NA,"End Of Day (from Real-Time)",60.36,60.74,59.76,60,1382071
"21","PNC.N",20110201,NA,"End Of Day (from Real-Time)",60.24,62.68,60.13,62.29,1322128
"22","PNC.N",20110202,NA,"End Of Day (from Real-Time)",61.99,62.72,61.9,62.33,972792
"23","PNC.N",20110203,NA,"End Of Day (from Real-Time)",62.14,62.75,61.82,62.11,658147
"24","PNC.N",20110204,NA,"End Of Day (from Real-Time)",62.13,62.13,61.52,62,506871
"25","PNC.N",20110207,NA,"End Of Day (from Real-Time)",62,63.25,61.92,62.75,608619
"26","PNC.N",20110208,NA,"End Of Day (from Real-Time)",62.86,64.31,62.58,64.31,1080478
"27","PNC.N",20110209,NA,"End Of Day (from Real-Time)",63.88,64.67,63.65,64.21,960701
"28","PNC.N",20110210,NA,"End Of Day (from Real-Time)",64.13,64.43,63.42,63.85,810524
"29","PNC.N",20110211,NA,"End Of Day (from Real-Time)",63.63,64.88,63.13,64.49,730363
"30","PNC.N",20110214,NA,"End Of Day (from Real-Time)",64.49,64.96,64.04,64.94,624250
"31","PNC.N",20110215,NA,"End Of Day (from Real-Time)",64.65,65.18,64.45,64.61,712754
"32","PNC.N",20110216,NA,"End Of Day (from Real-Time)",64.81,65.06,64.55,64.89,758013
"33","PNC.N",20110217,NA,"End Of Day (from Real-Time)",64.62,64.74,63.96,64.03,599646
"34","PNC.N",20110218,NA,"End Of Day (from Real-Time)",64.16,64.46,63.92,63.99,968212
"35","PNC.N",20110222,NA,"End Of Day (from Real-Time)",63.08,63.32,61.68,61.86,1488553
"36","PNC.N",20110223,NA,"End Of Day (from Real-Time)",61.82,61.98,60.22,61.56,1277709
"37","PNC.N",20110224,NA,"End Of Day (from Real-Time)",61.25,61.69,60.59,61.17,789248
"38","PNC.N",20110225,NA,"End Of Day (from Real-Time)",61.47,62.17,61.43,61.88,655400
"39","PNC.N",20110228,NA,"End Of Day (from Real-Time)",62.1,62.13,61.35,61.7,928419
"40","PNC.N",20110301,NA,"End Of Day (from Real-Time)",61.75,61.75,60.35,60.35,1086478
"41","PNC.N",20110302,NA,"End Of Day (from Real-Time)",60.23,60.51,59.68,59.99,929534
"42","PNC.N",20110303,NA,"End Of Day (from Real-Time)",60.65,61.25,60.56,60.95,1201748
"43","PNC.N",20110304,NA,"End Of Day (from Real-Time)",60.89,61.4,60.23,60.95,1052879
"44","PNC.N",20110307,NA,"End Of Day (from Real-Time)",61.5,61.68,60.48,60.7,899552
"45","PNC.N",20110308,NA,"End Of Day (from Real-Time)",61.04,63.56,61.04,63.37,1439230
"46","PNC.N",20110309,NA,"End Of Day (from Real-Time)",63.06,63.33,62.37,63.1,747845
"47","PNC.N",20110310,NA,"End Of Day (from Real-Time)",62.35,62.78,61.68,62.21,1494589
"48","PNC.N",20110311,NA,"End Of Day (from Real-Time)",61.92,63.17,61.92,62.91,1162667
"49","PNC.N",20110314,NA,"End Of Day (from Real-Time)",62.54,63.04,62.13,62.56,1050530
"50","PNC.N",20110315,NA,"End Of Day (from Real-Time)",60.89,62.51,60.71,62.13,1280230
"51","PNC.N",20110316,NA,"End Of Day (from Real-Time)",62.02,62.44,60.33,60.76,1618468
"52","PNC.N",20110317,NA,"End Of Day (from Real-Time)",61.73,62.14,61.14,62.01,1107721
"53","PNC.N",20110318,NA,"End Of Day (from Real-Time)",62.8,63.75,62.6,62.76,1782423
"54","PNC.N",20110321,NA,"End Of Day (from Real-Time)",63.6,63.6,62.03,62.32,1046310
"55","PNC.N",20110322,NA,"End Of Day (from Real-Time)",62.3,62.44,61.39,61.43,885423
"56","PNC.N",20110323,NA,"End Of Day (from Real-Time)",61.12,61.48,60.37,61.27,707009
"57","PNC.N",20110324,NA,"End Of Day (from Real-Time)",61.51,61.51,60.7,61.41,508948
"58","PNC.N",20110325,NA,"End Of Day (from Real-Time)",61.7,62.24,61.31,61.77,504082
"59","PNC.N",20110328,NA,"End Of Day (from Real-Time)",61.91,62.15,61.41,61.47,464838
