"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","PVH.N",20110103,NA,"End Of Day (from Real-Time)",63.58,63.95,62.52,63.26,198292
"2","PVH.N",20110104,NA,"End Of Day (from Real-Time)",63.47,63.55,61.09,61.57,291230
"3","PVH.N",20110105,NA,"End Of Day (from Real-Time)",61.24,62.73,60.63,62.66,256123
"4","PVH.N",20110106,NA,"End Of Day (from Real-Time)",62.59,62.6,60.44,61.13,267297
"5","PVH.N",20110107,NA,"End Of Day (from Real-Time)",60.03,60.03,58.1,58.92,463380
"6","PVH.N",20110110,NA,"End Of Day (from Real-Time)",58.85,61.93,58.79,61.79,468028
"7","PVH.N",20110111,NA,"End Of Day (from Real-Time)",60.4,61,59.34,59.94,453524
"8","PVH.N",20110112,NA,"End Of Day (from Real-Time)",60.7,60.7,60,60.28,169116
"9","PVH.N",20110113,NA,"End Of Day (from Real-Time)",60.37,60.8,60.12,60.34,140598
"10","PVH.N",20110114,NA,"End Of Day (from Real-Time)",60.27,60.73,59.8,60.54,179621
"11","PVH.N",20110118,NA,"End Of Day (from Real-Time)",60.44,60.45,58.83,59.59,382919
"12","PVH.N",20110119,NA,"End Of Day (from Real-Time)",59.42,59.42,58.36,58.67,199643
"13","PVH.N",20110120,NA,"End Of Day (from Real-Time)",58.6,59.21,57.95,58.1,248522
"14","PVH.N",20110121,NA,"End Of Day (from Real-Time)",58.59,58.59,56.27,56.83,366865
"15","PVH.N",20110124,NA,"End Of Day (from Real-Time)",57.2,59.27,57.2,58.6,347933
"16","PVH.N",20110125,NA,"End Of Day (from Real-Time)",58.31,58.58,57.49,58.56,177329
"17","PVH.N",20110126,NA,"End Of Day (from Real-Time)",59,59.88,58.28,59.58,263665
"18","PVH.N",20110127,NA,"End Of Day (from Real-Time)",59.4,59.98,58.9,59.6,305919
"19","PVH.N",20110128,NA,"End Of Day (from Real-Time)",59.66,59.73,57.68,58.05,235106
"20","PVH.N",20110131,NA,"End Of Day (from Real-Time)",58.16,58.72,57.4,58.37,262867
"21","PVH.N",20110201,NA,"End Of Day (from Real-Time)",58.84,59.31,58.25,58.86,267463
"22","PVH.N",20110202,NA,"End Of Day (from Real-Time)",58.71,58.75,57.16,57.79,235614
"23","PVH.N",20110203,NA,"End Of Day (from Real-Time)",57.79,59.53,57.79,58.93,233973
"24","PVH.N",20110204,NA,"End Of Day (from Real-Time)",59.04,62.27,58.8,61.56,408612
"25","PVH.N",20110207,NA,"End Of Day (from Real-Time)",61.62,63.57,61.07,62.77,372423
"26","PVH.N",20110208,NA,"End Of Day (from Real-Time)",62.7,63.37,61.66,63.22,273307
"27","PVH.N",20110209,NA,"End Of Day (from Real-Time)",63.46,64.4,62.27,62.43,288570
"28","PVH.N",20110210,NA,"End Of Day (from Real-Time)",61.97,62.25,60.9,62.13,293729
"29","PVH.N",20110211,NA,"End Of Day (from Real-Time)",61.88,62.5,61.71,62.02,161842
"30","PVH.N",20110214,NA,"End Of Day (from Real-Time)",62.18,62.25,61.18,61.82,170132
"31","PVH.N",20110215,NA,"End Of Day (from Real-Time)",61.59,62.21,60.65,61.14,169960
"32","PVH.N",20110216,NA,"End Of Day (from Real-Time)",61.43,61.5,60.04,60.13,281497
"33","PVH.N",20110217,NA,"End Of Day (from Real-Time)",59.97,60.12,58.75,58.93,387171
"34","PVH.N",20110218,NA,"End Of Day (from Real-Time)",59.01,59.36,58.39,58.65,492908
"35","PVH.N",20110222,NA,"End Of Day (from Real-Time)",58.2,60.7,58,59.26,717250
"36","PVH.N",20110223,NA,"End Of Day (from Real-Time)",59.21,60.2,57.83,58.86,542305
"37","PVH.N",20110224,NA,"End Of Day (from Real-Time)",59,60.02,58.74,59.48,435007
"38","PVH.N",20110225,NA,"End Of Day (from Real-Time)",59.75,60.79,59.47,60.26,303732
"39","PVH.N",20110228,NA,"End Of Day (from Real-Time)",60.42,60.94,59.58,60.01,184133
"40","PVH.N",20110301,NA,"End Of Day (from Real-Time)",60.12,61.9,58.6,59.08,440309
"41","PVH.N",20110302,NA,"End Of Day (from Real-Time)",58.98,59.9,58.88,59.18,268688
"42","PVH.N",20110303,NA,"End Of Day (from Real-Time)",59.84,61.61,59.55,61.33,217232
"43","PVH.N",20110304,NA,"End Of Day (from Real-Time)",61.34,61.76,60.85,61.31,251647
"44","PVH.N",20110307,NA,"End Of Day (from Real-Time)",61.43,61.51,59.14,60.47,298538
"45","PVH.N",20110308,NA,"End Of Day (from Real-Time)",60.67,61.88,60.08,61.14,186579
"46","PVH.N",20110309,NA,"End Of Day (from Real-Time)",61.04,63.02,61.03,62.82,282228
"47","PVH.N",20110310,NA,"End Of Day (from Real-Time)",62.05,62.25,61.06,61.43,209080
"48","PVH.N",20110311,NA,"End Of Day (from Real-Time)",61.18,62.84,60.43,62.68,254883
"49","PVH.N",20110314,NA,"End Of Day (from Real-Time)",62.02,62.36,60.42,61.05,251644
"50","PVH.N",20110315,NA,"End Of Day (from Real-Time)",59.02,60.78,58.79,60.38,269653
"51","PVH.N",20110316,NA,"End Of Day (from Real-Time)",60.26,61.31,59.45,59.95,268036
"52","PVH.N",20110317,NA,"End Of Day (from Real-Time)",61.11,61.11,59.38,59.43,272967
"53","PVH.N",20110318,NA,"End Of Day (from Real-Time)",58.83,59.2,56.59,56.72,493265
"54","PVH.N",20110321,NA,"End Of Day (from Real-Time)",57.72,57.81,56.82,57.15,402609
"55","PVH.N",20110322,NA,"End Of Day (from Real-Time)",57.34,57.59,56.36,56.53,334889
"56","PVH.N",20110323,NA,"End Of Day (from Real-Time)",56.36,58.13,55.11,57.36,497164
"57","PVH.N",20110324,NA,"End Of Day (from Real-Time)",57.71,59.27,57.71,59.08,433588
"58","PVH.N",20110325,NA,"End Of Day (from Real-Time)",59.31,60.85,58.82,60.4,317987
"59","PVH.N",20110328,NA,"End Of Day (from Real-Time)",60.7,62.01,59.91,60.17,514017
"60","PVH.N",20110329,NA,"End Of Day (from Real-Time)",62.2,65.42,61.75,65.2,758553
"61","PVH.N",20110330,NA,"End Of Day (from Real-Time)",64.85,64.9,63.95,64.52,599215
"62","PVH.N",20110331,NA,"End Of Day (from Real-Time)",64.25,65.16,63.96,65.03,378761
"63","PVH.N",20110401,NA,"End Of Day (from Real-Time)",65.47,66.72,65.17,66.18,388767
"64","PVH.N",20110404,NA,"End Of Day (from Real-Time)",66.42,66.78,65.02,65.43,218634
"65","PVH.N",20110405,NA,"End Of Day (from Real-Time)",65.43,66.81,65.4,66.09,260935
"66","PVH.N",20110406,NA,"End Of Day (from Real-Time)",66.47,66.83,64.68,65.24,149706
"67","PVH.N",20110407,NA,"End Of Day (from Real-Time)",65.26,66.46,64.9,64.97,241668
"68","PVH.N",20110408,NA,"End Of Day (from Real-Time)",65.19,65.38,63.48,64.08,163182
"69","PVH.N",20110411,NA,"End Of Day (from Real-Time)",64.06,65.37,64.06,65,263630
