"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","QEP.N",20110103,NA,"End Of Day (from Real-Time)",36.58,36.69,36.33,36.52,349514
"2","QEP.N",20110104,NA,"End Of Day (from Real-Time)",36.83,36.83,35.78,36.51,374599
"3","QEP.N",20110105,NA,"End Of Day (from Real-Time)",36.33,36.87,35.88,36.58,155377
"4","QEP.N",20110106,NA,"End Of Day (from Real-Time)",36.66,36.71,36.05,36.59,319053
"5","QEP.N",20110107,NA,"End Of Day (from Real-Time)",36.28,36.94,36.22,36.92,357628
"6","QEP.N",20110110,NA,"End Of Day (from Real-Time)",36.62,37.46,36.13,37.19,215275
"7","QEP.N",20110111,NA,"End Of Day (from Real-Time)",37.31,37.97,37.1,37.83,330843
"8","QEP.N",20110112,NA,"End Of Day (from Real-Time)",38.25,39.39,38.19,39.25,508395
"9","QEP.N",20110113,NA,"End Of Day (from Real-Time)",39.17,39.17,38.3,38.55,403006
"10","QEP.N",20110114,NA,"End Of Day (from Real-Time)",38.46,38.46,37.66,38.24,362877
"11","QEP.N",20110118,NA,"End Of Day (from Real-Time)",38.29,38.7,37.98,38.65,234860
"12","QEP.N",20110119,NA,"End Of Day (from Real-Time)",38.68,38.93,37.6,37.89,262103
"13","QEP.N",20110120,NA,"End Of Day (from Real-Time)",37.9,38.1,37.37,37.9,218398
"14","QEP.N",20110121,NA,"End Of Day (from Real-Time)",38.29,38.91,37.25,37.51,431976
"15","QEP.N",20110124,NA,"End Of Day (from Real-Time)",37.75,38.65,37.58,38.61,308976
"16","QEP.N",20110125,NA,"End Of Day (from Real-Time)",38.44,38.81,38.02,38.79,235693
"17","QEP.N",20110126,NA,"End Of Day (from Real-Time)",38.89,39.49,38.32,39.29,287566
"18","QEP.N",20110127,NA,"End Of Day (from Real-Time)",39.25,39.64,38.97,39.58,219968
"19","QEP.N",20110128,NA,"End Of Day (from Real-Time)",39.58,39.64,38.82,38.96,328254
"20","QEP.N",20110131,NA,"End Of Day (from Real-Time)",39.08,41.03,39.08,40.64,508467
"21","QEP.N",20110201,NA,"End Of Day (from Real-Time)",40.81,41.97,40.64,41.5,410871
"22","QEP.N",20110202,NA,"End Of Day (from Real-Time)",41.38,41.68,40.42,40.82,280860
"23","QEP.N",20110203,NA,"End Of Day (from Real-Time)",40.68,41.03,40.27,40.5,280217
"24","QEP.N",20110204,NA,"End Of Day (from Real-Time)",40.5,40.57,39.89,40.28,215043
"25","QEP.N",20110207,NA,"End Of Day (from Real-Time)",40.42,40.61,40.07,40.29,236843
"26","QEP.N",20110208,NA,"End Of Day (from Real-Time)",40.28,40.28,39.45,39.76,191511
"27","QEP.N",20110209,NA,"End Of Day (from Real-Time)",39.54,39.6,38.54,38.92,176428
"28","QEP.N",20110210,NA,"End Of Day (from Real-Time)",38.3,38.64,37.73,37.85,462040
"29","QEP.N",20110211,NA,"End Of Day (from Real-Time)",37.77,38.64,37.38,38.51,381011
"30","QEP.N",20110214,NA,"End Of Day (from Real-Time)",38.6,39.65,38.6,39.22,234775
"31","QEP.N",20110215,NA,"End Of Day (from Real-Time)",39.13,39.29,38.58,38.78,136766
"32","QEP.N",20110216,NA,"End Of Day (from Real-Time)",38.92,39.58,38.23,39.35,342387
"33","QEP.N",20110217,NA,"End Of Day (from Real-Time)",39.48,40.26,38.95,39.3,609785
"34","QEP.N",20110218,NA,"End Of Day (from Real-Time)",39.29,39.29,38.47,39.09,561655
"35","QEP.N",20110222,NA,"End Of Day (from Real-Time)",39.19,39.99,38.55,38.89,472775
"36","QEP.N",20110223,NA,"End Of Day (from Real-Time)",38.88,39.19,37.71,38.82,445508
"37","QEP.N",20110224,NA,"End Of Day (from Real-Time)",37.89,38.88,36.91,37.94,596051
"38","QEP.N",20110225,NA,"End Of Day (from Real-Time)",38.07,39.14,37.78,39.07,518927
"39","QEP.N",20110228,NA,"End Of Day (from Real-Time)",39.18,39.86,39.18,39.55,354371
"40","QEP.N",20110301,NA,"End Of Day (from Real-Time)",39.8,39.8,38.38,38.51,228430
"41","QEP.N",20110302,NA,"End Of Day (from Real-Time)",38.42,38.95,37.91,38.42,336647
