"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","RF.N",20110103,NA,"End Of Day (from Real-Time)",7.11,7.23,7.02,7.07,3592814
"2","RF.N",20110104,NA,"End Of Day (from Real-Time)",7.11,7.14,6.93,7.03,3066777
"3","RF.N",20110105,NA,"End Of Day (from Real-Time)",7.02,7.21,6.98,7.21,2657223
"4","RF.N",20110106,NA,"End Of Day (from Real-Time)",7.21,7.39,7.08,7.14,5134440
"5","RF.N",20110107,NA,"End Of Day (from Real-Time)",7.15,7.22,6.91,7.02,4568475
"6","RF.N",20110110,NA,"End Of Day (from Real-Time)",7.01,7.09,6.9,7.05,4659575
"7","RF.N",20110111,NA,"End Of Day (from Real-Time)",7.11,7.25,7.09,7.22,2536757
"8","RF.N",20110112,NA,"End Of Day (from Real-Time)",7.28,7.35,7.2,7.27,2825997
"9","RF.N",20110113,NA,"End Of Day (from Real-Time)",7.28,7.28,7.18,7.24,3256366
"10","RF.N",20110114,NA,"End Of Day (from Real-Time)",7.22,7.53,7.19,7.47,4420059
"11","RF.N",20110118,NA,"End Of Day (from Real-Time)",7.47,7.62,7.35,7.55,3755224
"12","RF.N",20110119,NA,"End Of Day (from Real-Time)",7.49,7.52,7.12,7.13,3302287
"13","RF.N",20110120,NA,"End Of Day (from Real-Time)",7.04,7.25,6.98,7.23,3758326
"14","RF.N",20110121,NA,"End Of Day (from Real-Time)",7.38,7.45,7.27,7.4,4860208
"15","RF.N",20110124,NA,"End Of Day (from Real-Time)",7.4,7.41,7.22,7.3,2982869
"16","RF.N",20110125,NA,"End Of Day (from Real-Time)",7.1,7.25,6.97,7.02,5599965
"17","RF.N",20110126,NA,"End Of Day (from Real-Time)",6.95,7.02,6.8,6.97,4340228
"18","RF.N",20110127,NA,"End Of Day (from Real-Time)",6.96,7.18,6.95,7.15,3881017
"19","RF.N",20110128,NA,"End Of Day (from Real-Time)",7.16,7.21,6.84,6.88,4179107
"20","RF.N",20110131,NA,"End Of Day (from Real-Time)",6.96,7.13,6.92,7.1,2876032
"21","RF.N",20110201,NA,"End Of Day (from Real-Time)",7.15,7.35,7.13,7.32,3644584
"22","RF.N",20110202,NA,"End Of Day (from Real-Time)",7.27,7.3,7.16,7.25,1746893
"23","RF.N",20110203,NA,"End Of Day (from Real-Time)",7.23,7.62,7.23,7.53,5933910
"24","RF.N",20110204,NA,"End Of Day (from Real-Time)",7.51,8.03,7.5,7.84,6346306
"25","RF.N",20110207,NA,"End Of Day (from Real-Time)",7.9,7.99,7.78,7.79,3966947
"26","RF.N",20110208,NA,"End Of Day (from Real-Time)",7.83,7.83,7.52,7.8,3765979
"27","RF.N",20110209,NA,"End Of Day (from Real-Time)",7.77,7.84,7.59,7.61,3316631
"28","RF.N",20110210,NA,"End Of Day (from Real-Time)",7.53,7.77,7.53,7.73,2799933
"29","RF.N",20110211,NA,"End Of Day (from Real-Time)",7.7,8.09,7.68,8.02,3448621
"30","RF.N",20110214,NA,"End Of Day (from Real-Time)",8.02,8.03,7.83,7.91,2319786
"31","RF.N",20110215,NA,"End Of Day (from Real-Time)",7.89,7.96,7.82,7.84,1882948
"32","RF.N",20110216,NA,"End Of Day (from Real-Time)",7.8,7.92,7.75,7.76,2690071
"33","RF.N",20110217,NA,"End Of Day (from Real-Time)",7.74,7.76,7.65,7.7,2107640
"34","RF.N",20110218,NA,"End Of Day (from Real-Time)",7.71,7.82,7.68,7.79,3032670
"35","RF.N",20110222,NA,"End Of Day (from Real-Time)",7.65,7.7,7.37,7.38,3423651
"36","RF.N",20110223,NA,"End Of Day (from Real-Time)",7.41,7.57,7.23,7.38,3158075
"37","RF.N",20110224,NA,"End Of Day (from Real-Time)",7.32,7.44,7.25,7.41,2583926
"38","RF.N",20110225,NA,"End Of Day (from Real-Time)",7.46,7.6,7.46,7.56,1975291
"39","RF.N",20110228,NA,"End Of Day (from Real-Time)",7.61,7.64,7.52,7.64,2516314
"40","RF.N",20110301,NA,"End Of Day (from Real-Time)",7.61,7.61,7.42,7.43,2890711
"41","RF.N",20110302,NA,"End Of Day (from Real-Time)",7.42,7.56,7.4,7.47,1886556
"42","RF.N",20110303,NA,"End Of Day (from Real-Time)",7.57,7.69,7.56,7.66,2058208
"43","RF.N",20110304,NA,"End Of Day (from Real-Time)",7.62,7.63,7.38,7.48,2329158
"44","RF.N",20110307,NA,"End Of Day (from Real-Time)",7.5,7.57,7.35,7.41,2575706
"45","RF.N",20110308,NA,"End Of Day (from Real-Time)",7.44,7.69,7.44,7.64,1925493
"46","RF.N",20110309,NA,"End Of Day (from Real-Time)",7.71,7.81,7.61,7.73,3102093
"47","RF.N",20110310,NA,"End Of Day (from Real-Time)",7.61,7.61,7.34,7.34,3403904
"48","RF.N",20110311,NA,"End Of Day (from Real-Time)",7.33,7.52,7.3,7.48,2752437
"49","RF.N",20110314,NA,"End Of Day (from Real-Time)",7.36,7.43,7.23,7.38,2616750
"50","RF.N",20110315,NA,"End Of Day (from Real-Time)",7.19,7.39,7.16,7.33,3524312
