"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","RHI.N",20110103,NA,"End Of Day (from Real-Time)",30.9,31.16,30.75,30.96,299547
"2","RHI.N",20110104,NA,"End Of Day (from Real-Time)",30.95,30.95,30.21,30.45,298024
"3","RHI.N",20110105,NA,"End Of Day (from Real-Time)",30.38,31.63,30.31,31.59,470695
"4","RHI.N",20110106,NA,"End Of Day (from Real-Time)",31.61,31.88,31.43,31.77,419617
"5","RHI.N",20110107,NA,"End Of Day (from Real-Time)",31.78,31.99,31.62,31.73,445521
"6","RHI.N",20110110,NA,"End Of Day (from Real-Time)",31.54,32.08,31.22,31.98,324979
"7","RHI.N",20110111,NA,"End Of Day (from Real-Time)",32.06,32.56,32.04,32.37,432698
"8","RHI.N",20110112,NA,"End Of Day (from Real-Time)",32.68,33.12,32.49,32.97,347808
"9","RHI.N",20110113,NA,"End Of Day (from Real-Time)",32.91,33.07,32.81,32.88,276527
"10","RHI.N",20110114,NA,"End Of Day (from Real-Time)",32.85,33.05,32.77,33.05,237290
"11","RHI.N",20110118,NA,"End Of Day (from Real-Time)",33.01,33.86,33.01,33.85,394975
"12","RHI.N",20110119,NA,"End Of Day (from Real-Time)",34.08,34.13,32.9,33.02,646026
"13","RHI.N",20110120,NA,"End Of Day (from Real-Time)",32.9,33.26,32.51,32.82,484652
"14","RHI.N",20110121,NA,"End Of Day (from Real-Time)",33.04,33.26,32.42,32.86,509925
"15","RHI.N",20110124,NA,"End Of Day (from Real-Time)",32.8,33.37,32.5,33.33,389983
"16","RHI.N",20110125,NA,"End Of Day (from Real-Time)",33.25,33.85,33.21,33.83,326011
"17","RHI.N",20110126,NA,"End Of Day (from Real-Time)",33.9,34.26,33.41,33.69,511063
"18","RHI.N",20110127,NA,"End Of Day (from Real-Time)",32.2,32.23,31.04,31.56,1240152
"19","RHI.N",20110128,NA,"End Of Day (from Real-Time)",31.56,31.56,30.59,30.77,937895
"20","RHI.N",20110131,NA,"End Of Day (from Real-Time)",30.84,31.38,30.68,31.36,570915
"21","RHI.N",20110201,NA,"End Of Day (from Real-Time)",31.57,31.91,31.42,31.79,502458
"22","RHI.N",20110202,NA,"End Of Day (from Real-Time)",31.72,31.98,31.33,31.82,385951
"23","RHI.N",20110203,NA,"End Of Day (from Real-Time)",31.96,32.85,31.96,32.76,656896
"24","RHI.N",20110204,NA,"End Of Day (from Real-Time)",32.82,33.62,32.21,33.61,480213
"25","RHI.N",20110207,NA,"End Of Day (from Real-Time)",33.6,34.16,33.47,33.49,371265
"26","RHI.N",20110208,NA,"End Of Day (from Real-Time)",33.53,33.59,33.28,33.57,388966
"27","RHI.N",20110209,NA,"End Of Day (from Real-Time)",33.45,33.56,33.18,33.42,331536
"28","RHI.N",20110210,NA,"End Of Day (from Real-Time)",33.12,33.48,33.05,33.24,364316
"29","RHI.N",20110211,NA,"End Of Day (from Real-Time)",33.14,33.36,33.13,33.25,375358
"30","RHI.N",20110214,NA,"End Of Day (from Real-Time)",33.21,33.21,32.72,32.83,405978
"31","RHI.N",20110215,NA,"End Of Day (from Real-Time)",32.66,32.71,32.15,32.5,312171
"32","RHI.N",20110216,NA,"End Of Day (from Real-Time)",32.62,32.76,32.4,32.6,218237
"33","RHI.N",20110217,NA,"End Of Day (from Real-Time)",32.49,32.65,32.33,32.51,211853
"34","RHI.N",20110218,NA,"End Of Day (from Real-Time)",32.52,32.7,32.48,32.61,459536
"35","RHI.N",20110222,NA,"End Of Day (from Real-Time)",32.23,32.57,31.98,32,423759
"36","RHI.N",20110223,NA,"End Of Day (from Real-Time)",31.92,32.18,31.02,31.18,424423
"37","RHI.N",20110224,NA,"End Of Day (from Real-Time)",31.2,31.58,31.09,31.46,432847
"38","RHI.N",20110225,NA,"End Of Day (from Real-Time)",31.64,31.91,31.43,31.88,302524
"39","RHI.N",20110228,NA,"End Of Day (from Real-Time)",32.06,32.3,31.83,31.9,326300
"40","RHI.N",20110301,NA,"End Of Day (from Real-Time)",32.04,32.23,31.2,31.34,291661
"41","RHI.N",20110302,NA,"End Of Day (from Real-Time)",31.27,31.66,31.22,31.56,239026
"42","RHI.N",20110303,NA,"End Of Day (from Real-Time)",31.94,33.29,31.94,33.17,456669
"43","RHI.N",20110304,NA,"End Of Day (from Real-Time)",33.19,33.19,32.45,32.8,413115
"44","RHI.N",20110307,NA,"End Of Day (from Real-Time)",32.89,33.16,31.96,32.1,350843
"45","RHI.N",20110308,NA,"End Of Day (from Real-Time)",32.22,32.96,31.89,32.77,268515
"46","RHI.N",20110309,NA,"End Of Day (from Real-Time)",32,32.1,31.31,31.31,672641
"47","RHI.N",20110310,NA,"End Of Day (from Real-Time)",30.84,30.85,30.01,30.19,682785
"48","RHI.N",20110311,NA,"End Of Day (from Real-Time)",30.15,30.87,30.15,30.7,474877
"49","RHI.N",20110314,NA,"End Of Day (from Real-Time)",30.35,30.66,29.96,30.2,344173
"50","RHI.N",20110315,NA,"End Of Day (from Real-Time)",29.25,30.37,29.2,30.11,426423
"51","RHI.N",20110316,NA,"End Of Day (from Real-Time)",29.94,30.11,29.59,29.86,588763
"52","RHI.N",20110317,NA,"End Of Day (from Real-Time)",30.35,30.37,29.5,29.61,408422
"53","RHI.N",20110318,NA,"End Of Day (from Real-Time)",30.04,30.13,29.62,29.73,542796
"54","RHI.N",20110321,NA,"End Of Day (from Real-Time)",30.16,30.6,29.98,30.31,238435
"55","RHI.N",20110322,NA,"End Of Day (from Real-Time)",30.3,30.32,29.47,29.67,458604
"56","RHI.N",20110323,NA,"End Of Day (from Real-Time)",29.6,29.64,29.21,29.47,461576
"57","RHI.N",20110324,NA,"End Of Day (from Real-Time)",29.65,29.71,29.22,29.42,506369
"58","RHI.N",20110325,NA,"End Of Day (from Real-Time)",29.57,29.8,29.45,29.73,319723
"59","RHI.N",20110328,NA,"End Of Day (from Real-Time)",29.77,29.8,29.22,29.34,311683
"60","RHI.N",20110329,NA,"End Of Day (from Real-Time)",29.33,29.7,29.15,29.66,283883
"61","RHI.N",20110330,NA,"End Of Day (from Real-Time)",29.81,30.23,29.68,30.13,404377
"62","RHI.N",20110331,NA,"End Of Day (from Real-Time)",30.04,30.75,29.98,30.6,450721
"63","RHI.N",20110401,NA,"End Of Day (from Real-Time)",30.89,31.41,30.89,31.07,351123
"64","RHI.N",20110404,NA,"End Of Day (from Real-Time)",31.11,31.17,30.79,31,216017
"65","RHI.N",20110405,NA,"End Of Day (from Real-Time)",30.9,31.51,30.85,31.36,302905
