"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","RHT.N",20110103,NA,"End Of Day (from Real-Time)",46.06,46.89,46.06,46.56,520595
"2","RHT.N",20110104,NA,"End Of Day (from Real-Time)",46.59,46.75,45.99,46.15,474554
"3","RHT.N",20110105,NA,"End Of Day (from Real-Time)",46.02,46.83,45.76,46.55,335951
"4","RHT.N",20110106,NA,"End Of Day (from Real-Time)",46.44,46.71,46.02,46.25,363758
"5","RHT.N",20110107,NA,"End Of Day (from Real-Time)",46.2,46.31,45.09,45.71,531531
"6","RHT.N",20110110,NA,"End Of Day (from Real-Time)",45.26,46.52,44.87,46.5,414815
"7","RHT.N",20110111,NA,"End Of Day (from Real-Time)",46.63,46.76,46.02,46.3,305576
"8","RHT.N",20110112,NA,"End Of Day (from Real-Time)",46.66,46.66,45.95,46.06,364641
"9","RHT.N",20110113,NA,"End Of Day (from Real-Time)",46.04,46.07,45.36,45.54,323803
"10","RHT.N",20110114,NA,"End Of Day (from Real-Time)",45.54,45.86,44.95,45.86,429330
"11","RHT.N",20110118,NA,"End Of Day (from Real-Time)",45.65,46.18,45.3,45.73,321319
"12","RHT.N",20110119,NA,"End Of Day (from Real-Time)",45.8,46.45,45.21,45.57,503076
"13","RHT.N",20110120,NA,"End Of Day (from Real-Time)",45.13,45.13,42.95,43.28,1009840
"14","RHT.N",20110121,NA,"End Of Day (from Real-Time)",43.48,43.75,42.62,42.76,628452
"15","RHT.N",20110124,NA,"End Of Day (from Real-Time)",42.72,42.72,41.94,42.08,789350
"16","RHT.N",20110125,NA,"End Of Day (from Real-Time)",41.7,41.8,39.84,40,1482390
"17","RHT.N",20110126,NA,"End Of Day (from Real-Time)",41.21,42.4,41.21,42.19,1299305
"18","RHT.N",20110127,NA,"End Of Day (from Real-Time)",42.03,42.98,41.26,41.38,981814
"19","RHT.N",20110128,NA,"End Of Day (from Real-Time)",41.37,41.75,40.52,41.06,790430
"20","RHT.N",20110131,NA,"End Of Day (from Real-Time)",41,41.37,40.92,41.32,590302
"21","RHT.N",20110201,NA,"End Of Day (from Real-Time)",41.33,42.27,41.33,41.99,563397
"22","RHT.N",20110202,NA,"End Of Day (from Real-Time)",41.77,42.78,41.59,42.58,510990
"23","RHT.N",20110203,NA,"End Of Day (from Real-Time)",42.64,43.25,42.31,43.07,634057
"24","RHT.N",20110204,NA,"End Of Day (from Real-Time)",43.04,43.73,42.7,43.57,583697
"25","RHT.N",20110207,NA,"End Of Day (from Real-Time)",43.66,44.53,43.5,44.11,379373
"26","RHT.N",20110208,NA,"End Of Day (from Real-Time)",44.11,44.89,43.77,44.46,576792
"27","RHT.N",20110209,NA,"End Of Day (from Real-Time)",44.31,44.74,44.15,44.39,532856
"28","RHT.N",20110210,NA,"End Of Day (from Real-Time)",44.03,45,43.85,44.72,399118
"29","RHT.N",20110211,NA,"End Of Day (from Real-Time)",44.44,45.36,44.27,44.88,277319
"30","RHT.N",20110214,NA,"End Of Day (from Real-Time)",44.77,45.62,44.7,45.56,334662
"31","RHT.N",20110215,NA,"End Of Day (from Real-Time)",45.27,45.55,45.13,45.29,418655
"32","RHT.N",20110216,NA,"End Of Day (from Real-Time)",45.52,45.77,45.16,45.66,327120
"33","RHT.N",20110217,NA,"End Of Day (from Real-Time)",45.57,45.89,45.18,45.58,340365
"34","RHT.N",20110218,NA,"End Of Day (from Real-Time)",45.64,45.81,45.21,45.43,462397
"35","RHT.N",20110222,NA,"End Of Day (from Real-Time)",44.77,44.77,42.87,43.03,557888
"36","RHT.N",20110223,NA,"End Of Day (from Real-Time)",42.89,43.15,40.56,40.58,1264750
"37","RHT.N",20110224,NA,"End Of Day (from Real-Time)",39.75,41.11,39.42,40.59,1069162
"38","RHT.N",20110225,NA,"End Of Day (from Real-Time)",41.01,41.66,40.72,41.34,558015
"39","RHT.N",20110228,NA,"End Of Day (from Real-Time)",41.55,41.55,40.69,41.28,693640
"40","RHT.N",20110301,NA,"End Of Day (from Real-Time)",41.45,41.59,40.12,40.35,665211
"41","RHT.N",20110302,NA,"End Of Day (from Real-Time)",40.21,41.02,40.13,40.71,458921
"42","RHT.N",20110303,NA,"End Of Day (from Real-Time)",41.09,41.91,41.04,41.86,460170
"43","RHT.N",20110304,NA,"End Of Day (from Real-Time)",41.8,41.91,40.8,40.96,488031
"44","RHT.N",20110307,NA,"End Of Day (from Real-Time)",41.18,41.31,39.83,40.35,483427
"45","RHT.N",20110308,NA,"End Of Day (from Real-Time)",40.35,41.59,40.24,41.3,467452
"46","RHT.N",20110309,NA,"End Of Day (from Real-Time)",41.14,41.59,40.78,41.34,331824
"47","RHT.N",20110310,NA,"End Of Day (from Real-Time)",40.71,40.92,39.96,40.35,456163
"48","RHT.N",20110311,NA,"End Of Day (from Real-Time)",40.08,41.16,40.01,41.06,346953
"49","RHT.N",20110314,NA,"End Of Day (from Real-Time)",40.59,41.17,39.93,40.21,432219
"50","RHT.N",20110315,NA,"End Of Day (from Real-Time)",38.76,40.34,38.48,40.11,775466
"51","RHT.N",20110316,NA,"End Of Day (from Real-Time)",39.88,40.76,39.49,39.58,621461
"52","RHT.N",20110317,NA,"End Of Day (from Real-Time)",40.21,40.27,39.24,39.29,789497
"53","RHT.N",20110318,NA,"End Of Day (from Real-Time)",39.98,40.19,38.91,39.11,1099904
"54","RHT.N",20110321,NA,"End Of Day (from Real-Time)",39.6,40.18,39.16,39.81,500189
"55","RHT.N",20110322,NA,"End Of Day (from Real-Time)",39.74,39.8,39.03,39.56,620212
"56","RHT.N",20110323,NA,"End Of Day (from Real-Time)",39.06,40.24,38.75,39.97,736730
"57","RHT.N",20110324,NA,"End Of Day (from Real-Time)",45.71,47.87,45,47.26,3196701
"58","RHT.N",20110325,NA,"End Of Day (from Real-Time)",47.35,47.68,46.14,46.34,950203
"59","RHT.N",20110328,NA,"End Of Day (from Real-Time)",46.41,46.81,45.79,46.09,989172
"60","RHT.N",20110329,NA,"End Of Day (from Real-Time)",45.8,47,45.79,46.91,881541
"61","RHT.N",20110330,NA,"End Of Day (from Real-Time)",47.14,47.26,45.54,46.1,534743
"62","RHT.N",20110331,NA,"End Of Day (from Real-Time)",45.94,46.05,45.18,45.39,514867
"63","RHT.N",20110401,NA,"End Of Day (from Real-Time)",45.92,46.43,45.43,46.31,599745
"64","RHT.N",20110404,NA,"End Of Day (from Real-Time)",46.31,47.2,46.27,47.03,869736
"65","RHT.N",20110405,NA,"End Of Day (from Real-Time)",46.84,46.84,46.13,46.38,553479
"66","RHT.N",20110406,NA,"End Of Day (from Real-Time)",46.53,46.59,44.78,45.17,833699
"67","RHT.N",20110407,NA,"End Of Day (from Real-Time)",45.11,45.84,44.59,45.12,570987
"68","RHT.N",20110408,NA,"End Of Day (from Real-Time)",45.5,45.57,44.8,45.2,377466
"69","RHT.N",20110411,NA,"End Of Day (from Real-Time)",45.16,45.59,44.66,45.04,542563
"70","RHT.N",20110412,NA,"End Of Day (from Real-Time)",44.52,45.13,44.25,44.59,536733
"71","RHT.N",20110413,NA,"End Of Day (from Real-Time)",45.01,46.02,45,45.7,733374
"72","RHT.N",20110414,NA,"End Of Day (from Real-Time)",45.19,45.62,44.68,45.49,494265
"73","RHT.N",20110415,NA,"End Of Day (from Real-Time)",45.58,46.03,45.12,45.92,645455
"74","RHT.N",20110418,NA,"End Of Day (from Real-Time)",45.16,45.36,44.34,45.26,540554
"75","RHT.N",20110419,NA,"End Of Day (from Real-Time)",45.13,45.34,44.56,45.11,369528
"76","RHT.N",20110420,NA,"End Of Day (from Real-Time)",47.13,48.15,46.95,47.71,937031
"77","RHT.N",20110421,NA,"End Of Day (from Real-Time)",48,48.37,47.27,47.59,547515
"78","RHT.N",20110425,NA,"End Of Day (from Real-Time)",47.51,47.72,47.03,47.22,289870
"79","RHT.N",20110426,NA,"End Of Day (from Real-Time)",47.31,47.55,46.19,46.48,618187
"80","RHT.N",20110427,NA,"End Of Day (from Real-Time)",46.69,46.72,45.73,46.72,324935
"81","RHT.N",20110428,NA,"End Of Day (from Real-Time)",46.43,46.94,46.27,46.74,403864
"82","RHT.N",20110429,NA,"End Of Day (from Real-Time)",46.8,47.55,46.46,47.47,453863
"83","RHT.N",20110502,NA,"End Of Day (from Real-Time)",47.66,47.71,46.45,47.27,642149
"84","RHT.N",20110503,NA,"End Of Day (from Real-Time)",47.1,47.24,46.23,47,667552
"85","RHT.N",20110504,NA,"End Of Day (from Real-Time)",47,47.11,45.31,45.84,849089
