"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ROK.N",20110103,NA,"End Of Day (from Real-Time)",72.45,76.13,72.44,75.11,577644
"2","ROK.N",20110104,NA,"End Of Day (from Real-Time)",75.27,75.59,72.85,73.64,488055
"3","ROK.N",20110105,NA,"End Of Day (from Real-Time)",73.3,74.61,73.29,73.84,289957
"4","ROK.N",20110106,NA,"End Of Day (from Real-Time)",73.68,73.89,72.71,73.05,243883
"5","ROK.N",20110107,NA,"End Of Day (from Real-Time)",73.25,73.5,72.12,72.46,244519
"6","ROK.N",20110110,NA,"End Of Day (from Real-Time)",72.33,72.63,71.9,72.4,414894
"7","ROK.N",20110111,NA,"End Of Day (from Real-Time)",72.59,73.16,71.97,72.17,388528
"8","ROK.N",20110112,NA,"End Of Day (from Real-Time)",72.27,72.87,71.79,72.75,341654
"9","ROK.N",20110113,NA,"End Of Day (from Real-Time)",72.86,73.47,72.64,72.94,274740
"10","ROK.N",20110114,NA,"End Of Day (from Real-Time)",72.88,73.45,72.67,73,317871
"11","ROK.N",20110118,NA,"End Of Day (from Real-Time)",73.05,74.61,73.01,74.46,259928
"12","ROK.N",20110119,NA,"End Of Day (from Real-Time)",74.16,74.49,73.87,74.19,325010
"13","ROK.N",20110120,NA,"End Of Day (from Real-Time)",74.08,75.64,73.21,75.6,808230
"14","ROK.N",20110121,NA,"End Of Day (from Real-Time)",76,77.39,74.26,74.42,559953
"15","ROK.N",20110124,NA,"End Of Day (from Real-Time)",74.48,75.1,73.87,74.73,456143
"16","ROK.N",20110125,NA,"End Of Day (from Real-Time)",74.67,75.27,73.6,74.69,556561
"17","ROK.N",20110126,NA,"End Of Day (from Real-Time)",81.63,82.49,79.65,81.31,1210504
"18","ROK.N",20110127,NA,"End Of Day (from Real-Time)",81,82.94,80.71,82.7,616518
"19","ROK.N",20110128,NA,"End Of Day (from Real-Time)",80,81.91,79.65,80.34,671401
"20","ROK.N",20110131,NA,"End Of Day (from Real-Time)",79.71,81.26,79.71,81.01,489804
"21","ROK.N",20110201,NA,"End Of Day (from Real-Time)",81.4,82.28,80.68,82.26,334819
"22","ROK.N",20110202,NA,"End Of Day (from Real-Time)",82.05,83.13,81.46,82.94,401322
"23","ROK.N",20110203,NA,"End Of Day (from Real-Time)",82.5,82.94,82,82.65,325764
"24","ROK.N",20110204,NA,"End Of Day (from Real-Time)",83,83.21,82,82.55,368266
"25","ROK.N",20110207,NA,"End Of Day (from Real-Time)",82.5,84.21,82.31,84.12,339620
"26","ROK.N",20110208,NA,"End Of Day (from Real-Time)",84.27,85.32,83.55,85.13,417031
"27","ROK.N",20110209,NA,"End Of Day (from Real-Time)",84.72,85.98,84.72,85.63,425265
"28","ROK.N",20110210,NA,"End Of Day (from Real-Time)",84.95,87.24,84.69,86.8,430787
"29","ROK.N",20110211,NA,"End Of Day (from Real-Time)",86.49,88.27,86.37,87.91,331991
"30","ROK.N",20110214,NA,"End Of Day (from Real-Time)",87.66,89.42,87.26,88.79,343263
"31","ROK.N",20110215,NA,"End Of Day (from Real-Time)",88.6,89.09,87.9,88.38,302156
"32","ROK.N",20110216,NA,"End Of Day (from Real-Time)",88.87,91.23,88.87,90.98,396104
"33","ROK.N",20110217,NA,"End Of Day (from Real-Time)",90.32,90.75,89.66,89.81,281159
"34","ROK.N",20110218,NA,"End Of Day (from Real-Time)",89.93,90.05,89.03,89.38,442124
"35","ROK.N",20110222,NA,"End Of Day (from Real-Time)",87.5,88.28,86.16,86.95,418833
"36","ROK.N",20110223,NA,"End Of Day (from Real-Time)",86.81,87.04,84.83,85.75,500647
"37","ROK.N",20110224,NA,"End Of Day (from Real-Time)",85.46,87.6,84.8,87.08,318578
"38","ROK.N",20110225,NA,"End Of Day (from Real-Time)",87.29,88.93,87.23,88.82,241631
"39","ROK.N",20110228,NA,"End Of Day (from Real-Time)",89.15,89.3,87.1,87.73,371238
"40","ROK.N",20110301,NA,"End Of Day (from Real-Time)",88.65,88.65,85.24,85.37,302321
"41","ROK.N",20110302,NA,"End Of Day (from Real-Time)",85.36,86.55,85.11,86.08,261458
"42","ROK.N",20110303,NA,"End Of Day (from Real-Time)",87.24,89.43,87.24,89.28,234998
"43","ROK.N",20110304,NA,"End Of Day (from Real-Time)",87.85,88.61,87.14,87.89,326055
"44","ROK.N",20110307,NA,"End Of Day (from Real-Time)",88.26,88.4,86.04,86.73,242481
"45","ROK.N",20110308,NA,"End Of Day (from Real-Time)",87.28,88.98,86.48,88.59,247643
"46","ROK.N",20110309,NA,"End Of Day (from Real-Time)",88.59,89.25,87.95,88.07,254245
