"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","RRC.N",20110103,NA,"End Of Day (from Real-Time)",45.55,45.85,45.22,45.62,492115
"2","RRC.N",20110104,NA,"End Of Day (from Real-Time)",46.23,46.23,44.51,44.8,548306
"3","RRC.N",20110105,NA,"End Of Day (from Real-Time)",44.48,44.99,44.22,44.77,423004
"4","RRC.N",20110106,NA,"End Of Day (from Real-Time)",44.31,45,44.31,44.74,539668
"5","RRC.N",20110107,NA,"End Of Day (from Real-Time)",45.1,45.9,44.87,45.87,747256
"6","RRC.N",20110110,NA,"End Of Day (from Real-Time)",45.73,46.61,45.18,46.46,607862
"7","RRC.N",20110111,NA,"End Of Day (from Real-Time)",47.1,48.17,47.05,47.67,721356
"8","RRC.N",20110112,NA,"End Of Day (from Real-Time)",48.14,48.16,47.21,47.84,522308
"9","RRC.N",20110113,NA,"End Of Day (from Real-Time)",47.76,48.18,47.15,48.16,845257
"10","RRC.N",20110114,NA,"End Of Day (from Real-Time)",48.06,48.43,47.71,48.42,765969
"11","RRC.N",20110118,NA,"End Of Day (from Real-Time)",47.82,48.37,47.63,47.99,732604
"12","RRC.N",20110119,NA,"End Of Day (from Real-Time)",48,48.16,47.28,47.64,564255
"13","RRC.N",20110120,NA,"End Of Day (from Real-Time)",47.13,47.19,45.58,45.85,1097982
"14","RRC.N",20110121,NA,"End Of Day (from Real-Time)",46.22,46.24,45.27,45.62,1186157
"15","RRC.N",20110124,NA,"End Of Day (from Real-Time)",45.16,46.75,45.16,46.72,777285
"16","RRC.N",20110125,NA,"End Of Day (from Real-Time)",46.73,47.69,46.13,46.54,928105
"17","RRC.N",20110126,NA,"End Of Day (from Real-Time)",46.72,48.07,46.72,47.9,484736
"18","RRC.N",20110127,NA,"End Of Day (from Real-Time)",47.79,48.15,47.36,47.92,367388
"19","RRC.N",20110128,NA,"End Of Day (from Real-Time)",47.9,48.25,47.49,47.66,563223
"20","RRC.N",20110131,NA,"End Of Day (from Real-Time)",47.77,50.02,47.77,49.87,656618
"21","RRC.N",20110201,NA,"End Of Day (from Real-Time)",48.77,49.99,48.75,49.18,727319
"22","RRC.N",20110202,NA,"End Of Day (from Real-Time)",48.96,49.65,48.89,49.12,433715
"23","RRC.N",20110203,NA,"End Of Day (from Real-Time)",49.02,49.81,48.81,49.67,397942
"24","RRC.N",20110204,NA,"End Of Day (from Real-Time)",49.65,50.16,48.78,49.06,623751
"25","RRC.N",20110207,NA,"End Of Day (from Real-Time)",49.32,49.95,48.99,49.03,468562
"26","RRC.N",20110208,NA,"End Of Day (from Real-Time)",49,49.94,48.8,49.63,618986
"27","RRC.N",20110209,NA,"End Of Day (from Real-Time)",49.49,49.49,47.65,47.84,874130
"28","RRC.N",20110210,NA,"End Of Day (from Real-Time)",47.69,48.96,47.65,48.88,657334
"29","RRC.N",20110211,NA,"End Of Day (from Real-Time)",48.78,49.39,48.52,48.78,626044
"30","RRC.N",20110214,NA,"End Of Day (from Real-Time)",48.83,49.36,48.72,49.17,703068
"31","RRC.N",20110215,NA,"End Of Day (from Real-Time)",49.15,49.31,48.22,48.73,487449
"32","RRC.N",20110216,NA,"End Of Day (from Real-Time)",48.95,49.3,48.65,49.18,416487
"33","RRC.N",20110217,NA,"End Of Day (from Real-Time)",49.26,49.72,48.35,48.69,553775
"34","RRC.N",20110218,NA,"End Of Day (from Real-Time)",48.46,48.54,47.81,48.31,660861
"35","RRC.N",20110222,NA,"End Of Day (from Real-Time)",48.65,49.32,48.14,48.66,712947
"36","RRC.N",20110223,NA,"End Of Day (from Real-Time)",48.69,53.34,48.69,52.25,1408540
"37","RRC.N",20110224,NA,"End Of Day (from Real-Time)",52.97,53.85,51.9,52.09,806144
"38","RRC.N",20110225,NA,"End Of Day (from Real-Time)",52.5,54.46,51.5,54.28,656172
"39","RRC.N",20110228,NA,"End Of Day (from Real-Time)",54.71,55.48,53.68,54.3,877522
"40","RRC.N",20110301,NA,"End Of Day (from Real-Time)",51.5,52.74,50.12,50.34,1597005
"41","RRC.N",20110302,NA,"End Of Day (from Real-Time)",50.29,50.47,49.28,49.86,802781
"42","RRC.N",20110303,NA,"End Of Day (from Real-Time)",50.22,50.75,49.47,50.58,615841
"43","RRC.N",20110304,NA,"End Of Day (from Real-Time)",50.43,51.03,49.64,50.58,851084
"44","RRC.N",20110307,NA,"End Of Day (from Real-Time)",50.79,51.25,49.5,50.16,543860
"45","RRC.N",20110308,NA,"End Of Day (from Real-Time)",50.3,50.3,48.93,49.02,387542
"46","RRC.N",20110309,NA,"End Of Day (from Real-Time)",48.76,49.72,48.75,49.55,592394
"47","RRC.N",20110310,NA,"End Of Day (from Real-Time)",48.48,48.48,46.74,47.14,631921
"48","RRC.N",20110311,NA,"End Of Day (from Real-Time)",46.57,48.83,46.18,48.5,489688
"49","RRC.N",20110314,NA,"End Of Day (from Real-Time)",48.73,50.21,48.26,49.92,765997
"50","RRC.N",20110315,NA,"End Of Day (from Real-Time)",48.25,50.85,48.06,50.14,905681
"51","RRC.N",20110316,NA,"End Of Day (from Real-Time)",50.26,52.93,50.26,52.05,1196538
"52","RRC.N",20110317,NA,"End Of Day (from Real-Time)",53,54.3,52.36,53.81,971554
"53","RRC.N",20110318,NA,"End Of Day (from Real-Time)",54.33,54.43,51.99,52.33,1624622
"54","RRC.N",20110321,NA,"End Of Day (from Real-Time)",53.4,53.69,52.28,52.78,678570
"55","RRC.N",20110322,NA,"End Of Day (from Real-Time)",52.87,53.75,52.45,53.61,559521
"56","RRC.N",20110323,NA,"End Of Day (from Real-Time)",53.55,53.96,52.99,53.67,427374
"57","RRC.N",20110324,NA,"End Of Day (from Real-Time)",54.08,55.11,53.11,55,499427
"58","RRC.N",20110325,NA,"End Of Day (from Real-Time)",55.17,56.83,54.39,56.72,653976
"59","RRC.N",20110328,NA,"End Of Day (from Real-Time)",56.67,57.24,54.98,55.08,419460
"60","RRC.N",20110329,NA,"End Of Day (from Real-Time)",55.03,56.2,54.24,55.95,561283
"61","RRC.N",20110330,NA,"End Of Day (from Real-Time)",56.6,59.22,56.54,57.55,901673
"62","RRC.N",20110331,NA,"End Of Day (from Real-Time)",57.88,58.76,57.5,58.46,560321
"63","RRC.N",20110401,NA,"End Of Day (from Real-Time)",59.01,59.41,57.75,58.05,642877
"64","RRC.N",20110404,NA,"End Of Day (from Real-Time)",58.3,58.65,58.05,58.53,365738
"65","RRC.N",20110405,NA,"End Of Day (from Real-Time)",58.29,59.03,58.18,58.85,368635
"66","RRC.N",20110406,NA,"End Of Day (from Real-Time)",59.25,59.63,57.04,57.36,559592
"67","RRC.N",20110407,NA,"End Of Day (from Real-Time)",57.23,58.07,56.7,57.76,515953
"68","RRC.N",20110408,NA,"End Of Day (from Real-Time)",58,58.56,56.88,57.33,475007
"69","RRC.N",20110411,NA,"End Of Day (from Real-Time)",57.52,58.03,55.88,56.36,402581
"70","RRC.N",20110412,NA,"End Of Day (from Real-Time)",55.56,55.61,53.71,54.03,855174
"71","RRC.N",20110413,NA,"End Of Day (from Real-Time)",54.6,55.22,53.3,53.83,677627
"72","RRC.N",20110414,NA,"End Of Day (from Real-Time)",53.41,53.45,52.22,52.79,1049140
"73","RRC.N",20110415,NA,"End Of Day (from Real-Time)",53.23,53.66,52.36,53.25,818734
"74","RRC.N",20110418,NA,"End Of Day (from Real-Time)",52.47,53.05,51.83,52.57,450946
"75","RRC.N",20110419,NA,"End Of Day (from Real-Time)",52.6,53.14,51.9,52.57,399686
"76","RRC.N",20110420,NA,"End Of Day (from Real-Time)",52.72,53.53,52.61,52.95,491969
"77","RRC.N",20110421,NA,"End Of Day (from Real-Time)",53.71,54.38,53.1,54.21,700425
"78","RRC.N",20110425,NA,"End Of Day (from Real-Time)",54,54.08,52.85,53.11,430416
"79","RRC.N",20110426,NA,"End Of Day (from Real-Time)",53.04,53.9,52.9,53.21,382575
"80","RRC.N",20110427,NA,"End Of Day (from Real-Time)",53.69,53.99,51.6,53.9,649662
"81","RRC.N",20110428,NA,"End Of Day (from Real-Time)",53.58,55.39,52.96,54.92,642372
"82","RRC.N",20110429,NA,"End Of Day (from Real-Time)",54.74,56.64,54.6,56.45,755100
"83","RRC.N",20110502,NA,"End Of Day (from Real-Time)",56.98,57.52,55.95,56.35,678847
"84","RRC.N",20110503,NA,"End Of Day (from Real-Time)",55.99,55.99,54.06,54.39,427426
"85","RRC.N",20110504,NA,"End Of Day (from Real-Time)",54.6,54.6,53.03,53.46,634330
"86","RRC.N",20110505,NA,"End Of Day (from Real-Time)",52.98,53.65,51.51,52.08,727254
"87","RRC.N",20110506,NA,"End Of Day (from Real-Time)",52.67,53.96,50.94,52.01,666338
"88","RRC.N",20110509,NA,"End Of Day (from Real-Time)",52.44,54.05,52.44,53.81,592912
"89","RRC.N",20110510,NA,"End Of Day (from Real-Time)",53.88,54.62,53.02,54.37,322777
"90","RRC.N",20110511,NA,"End Of Day (from Real-Time)",54.17,54.17,51.28,51.83,846102
"91","RRC.N",20110512,NA,"End Of Day (from Real-Time)",51.61,52.78,50.68,52.13,524096
"92","RRC.N",20110513,NA,"End Of Day (from Real-Time)",52.19,52.54,51.11,52.06,469082
"93","RRC.N",20110516,NA,"End Of Day (from Real-Time)",51.81,53.04,51.35,51.6,463318
"94","RRC.N",20110517,NA,"End Of Day (from Real-Time)",51.4,52.09,51.16,51.79,551606
"95","RRC.N",20110518,NA,"End Of Day (from Real-Time)",52.09,53.49,52.09,52.35,617893
"96","RRC.N",20110519,NA,"End Of Day (from Real-Time)",52.48,53.1,51.56,52.45,493315
"97","RRC.N",20110520,NA,"End Of Day (from Real-Time)",52.43,54.42,51.45,54.24,745543
"98","RRC.N",20110523,NA,"End Of Day (from Real-Time)",53.2,54.46,52.99,53.35,602816
"99","RRC.N",20110524,NA,"End Of Day (from Real-Time)",53.67,54.76,53.25,53.54,454474
"100","RRC.N",20110525,NA,"End Of Day (from Real-Time)",53.42,55.53,53.42,55.01,544769
"101","RRC.N",20110526,NA,"End Of Day (from Real-Time)",55,55.64,54.17,55.59,386043
"102","RRC.N",20110527,NA,"End Of Day (from Real-Time)",55.81,56.79,55.09,55.51,423946
"103","RRC.N",20110531,NA,"End Of Day (from Real-Time)",56.56,56.64,54.41,55.92,651077
"104","RRC.N",20110601,NA,"End Of Day (from Real-Time)",55.81,56,53.21,53.43,616618
"105","RRC.N",20110602,NA,"End Of Day (from Real-Time)",53.51,54.29,52.6,53.97,438072
"106","RRC.N",20110603,NA,"End Of Day (from Real-Time)",53,55.28,52.79,54.43,489300
"107","RRC.N",20110606,NA,"End Of Day (from Real-Time)",54.17,54.42,52.4,52.48,627872
"108","RRC.N",20110607,NA,"End Of Day (from Real-Time)",53.18,53.92,52.55,52.96,648656
"109","RRC.N",20110608,NA,"End Of Day (from Real-Time)",53.36,54.53,53.36,53.85,449213
"110","RRC.N",20110609,NA,"End Of Day (from Real-Time)",54.15,54.56,53.71,54.04,512443
"111","RRC.N",20110610,NA,"End Of Day (from Real-Time)",53.6,54.14,52.74,52.78,531599
"112","RRC.N",20110613,NA,"End Of Day (from Real-Time)",52.99,53.15,50.55,51.3,596241
"113","RRC.N",20110614,NA,"End Of Day (from Real-Time)",51.87,52.57,51.6,52.15,390780
"114","RRC.N",20110615,NA,"End Of Day (from Real-Time)",51.47,52.42,50.82,51.48,502166
"115","RRC.N",20110616,NA,"End Of Day (from Real-Time)",51.6,52.72,51.34,52.12,537519
"116","RRC.N",20110617,NA,"End Of Day (from Real-Time)",52.68,52.84,51.61,52.01,743442
"117","RRC.N",20110620,NA,"End Of Day (from Real-Time)",51.71,52.53,51.52,52.18,420459
"118","RRC.N",20110621,NA,"End Of Day (from Real-Time)",52.55,53.86,52.55,53.47,358553
"119","RRC.N",20110622,NA,"End Of Day (from Real-Time)",53.26,54.66,53.06,53.62,410676
"120","RRC.N",20110623,NA,"End Of Day (from Real-Time)",52.28,52.84,51.36,52.76,599536
"121","RRC.N",20110624,NA,"End Of Day (from Real-Time)",52.72,52.75,51.91,52.28,617894
"122","RRC.N",20110627,NA,"End Of Day (from Real-Time)",51.68,52.21,51.26,52.06,529001
"123","RRC.N",20110628,NA,"End Of Day (from Real-Time)",52.38,53.85,52.38,53.82,480870
"124","RRC.N",20110629,NA,"End Of Day (from Real-Time)",54.2,55.5,53.85,54.92,368202
"125","RRC.N",20110630,NA,"End Of Day (from Real-Time)",55.25,56,55.13,55.5,452253
