"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","SHW.N",20110103,NA,"End Of Day (from Real-Time)",83.9,84.99,83.86,84.75,188714
"2","SHW.N",20110104,NA,"End Of Day (from Real-Time)",84.63,84.63,83.32,83.72,359026
"3","SHW.N",20110105,NA,"End Of Day (from Real-Time)",83.36,84.12,82.37,82.6,307228
"4","SHW.N",20110106,NA,"End Of Day (from Real-Time)",82.73,83.32,82.35,82.86,265111
"5","SHW.N",20110107,NA,"End Of Day (from Real-Time)",83.27,83.27,81.69,82.67,273241
"6","SHW.N",20110110,NA,"End Of Day (from Real-Time)",83.29,83.48,82.34,82.62,354257
"7","SHW.N",20110111,NA,"End Of Day (from Real-Time)",82.86,83.72,82.72,83.24,369917
"8","SHW.N",20110112,NA,"End Of Day (from Real-Time)",83.62,83.82,82.94,83.13,237550
"9","SHW.N",20110113,NA,"End Of Day (from Real-Time)",83.23,83.96,83.01,83.61,345458
"10","SHW.N",20110114,NA,"End Of Day (from Real-Time)",83.44,84.61,83.41,84.28,228945
"11","SHW.N",20110118,NA,"End Of Day (from Real-Time)",84.1,84.99,83.99,84.94,211159
"12","SHW.N",20110119,NA,"End Of Day (from Real-Time)",85,85,83.08,83.11,294143
"13","SHW.N",20110120,NA,"End Of Day (from Real-Time)",82.58,83,81.78,81.89,314748
"14","SHW.N",20110121,NA,"End Of Day (from Real-Time)",82.27,82.8,81.75,82.29,240791
"15","SHW.N",20110124,NA,"End Of Day (from Real-Time)",82.35,84.06,82.35,83.3,351848
"16","SHW.N",20110125,NA,"End Of Day (from Real-Time)",83.03,86.15,82.43,86.09,422044
"17","SHW.N",20110126,NA,"End Of Day (from Real-Time)",86,86.03,84.82,84.87,331098
"18","SHW.N",20110127,NA,"End Of Day (from Real-Time)",84.73,86.14,84.55,85.7,185028
"19","SHW.N",20110128,NA,"End Of Day (from Real-Time)",85.7,86.73,84.34,84.46,227242
"20","SHW.N",20110131,NA,"End Of Day (from Real-Time)",84.61,85.27,84.1,84.73,209968
"21","SHW.N",20110201,NA,"End Of Day (from Real-Time)",85.08,85.61,84.26,84.67,196149
"22","SHW.N",20110202,NA,"End Of Day (from Real-Time)",84.64,84.94,82.95,83.83,245727
"23","SHW.N",20110203,NA,"End Of Day (from Real-Time)",84,84.45,83.25,83.94,142301
"24","SHW.N",20110204,NA,"End Of Day (from Real-Time)",84.21,84.56,83.45,84.11,125341
"25","SHW.N",20110207,NA,"End Of Day (from Real-Time)",84.13,84.56,83.75,83.97,124216
"26","SHW.N",20110208,NA,"End Of Day (from Real-Time)",83.91,84.36,83.82,84.17,154939
"27","SHW.N",20110209,NA,"End Of Day (from Real-Time)",84.09,84.61,83.78,84.46,179030
"28","SHW.N",20110210,NA,"End Of Day (from Real-Time)",84.04,85.8,83.74,85.34,235754
"29","SHW.N",20110211,NA,"End Of Day (from Real-Time)",85.23,86.5,85.08,85.83,205042
