"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","SIAL.O",20110103,NA,"End Of Day (from Real-Time)",67.1,67.92,67.1,67.3,637824
"2","SIAL.O",20110104,NA,"End Of Day (from Real-Time)",67.44,67.54,66.06,66.57,553966
"3","SIAL.O",20110105,NA,"End Of Day (from Real-Time)",66.16,66.3,65.73,65.97,772190
"4","SIAL.O",20110106,NA,"End Of Day (from Real-Time)",66.08,66.09,65.26,65.5,373593
"5","SIAL.O",20110107,NA,"End Of Day (from Real-Time)",65.65,65.98,64.52,64.83,441012
"6","SIAL.O",20110110,NA,"End Of Day (from Real-Time)",64.51,64.74,63.92,64.58,403506
"7","SIAL.O",20110111,NA,"End Of Day (from Real-Time)",64.8,64.98,64.28,64.62,554608
"8","SIAL.O",20110112,NA,"End Of Day (from Real-Time)",63.8,65.06,63.23,64.8,727161
"9","SIAL.O",20110113,NA,"End Of Day (from Real-Time)",64.89,65.06,63.86,64.15,965435
"10","SIAL.O",20110114,NA,"End Of Day (from Real-Time)",63.94,64.41,63.59,64.41,865626
"11","SIAL.O",20110118,NA,"End Of Day (from Real-Time)",64.3,65.24,64.3,64.95,521417
"12","SIAL.O",20110119,NA,"End Of Day (from Real-Time)",64.72,64.92,63.51,63.97,705070
"13","SIAL.O",20110120,NA,"End Of Day (from Real-Time)",64.04,64.26,63.32,63.58,843209
"14","SIAL.O",20110121,NA,"End Of Day (from Real-Time)",63.73,64.17,63.1,63.3,739938
"15","SIAL.O",20110124,NA,"End Of Day (from Real-Time)",63.55,63.96,63.07,63.55,545967
"16","SIAL.O",20110125,NA,"End Of Day (from Real-Time)",63.29,63.82,62.97,63.82,747144
"17","SIAL.O",20110126,NA,"End Of Day (from Real-Time)",63.85,64.56,63.6,64.34,479466
"18","SIAL.O",20110127,NA,"End Of Day (from Real-Time)",64.19,64.46,63.62,63.82,401002
"19","SIAL.O",20110128,NA,"End Of Day (from Real-Time)",64,64.17,62.18,62.4,553615
"20","SIAL.O",20110131,NA,"End Of Day (from Real-Time)",62.71,64.21,62.71,63.65,726348
"21","SIAL.O",20110201,NA,"End Of Day (from Real-Time)",63.99,65.51,63.81,65.34,675107
"22","SIAL.O",20110202,NA,"End Of Day (from Real-Time)",65.07,65.58,64.29,64.37,519780
"23","SIAL.O",20110203,NA,"End Of Day (from Real-Time)",64.16,64.59,63.46,64.13,821742
"24","SIAL.O",20110204,NA,"End Of Day (from Real-Time)",63.94,64.37,63.25,63.53,634812
"25","SIAL.O",20110207,NA,"End Of Day (from Real-Time)",63.55,64.645,63.44,64.31,669550
"26","SIAL.O",20110208,NA,"End Of Day (from Real-Time)",64.3,65.48,64.0401,65.44,727674
"27","SIAL.O",20110209,NA,"End Of Day (from Real-Time)",64.72,64.86,60.941,61.57,2777622
"28","SIAL.O",20110210,NA,"End Of Day (from Real-Time)",61.57,62.9299,61.57,62.42,1365310
"29","SIAL.O",20110211,NA,"End Of Day (from Real-Time)",62.2,62.64,61.94,62.4,762083
"30","SIAL.O",20110214,NA,"End Of Day (from Real-Time)",62.5,62.785,61.96,62.49,618438
"31","SIAL.O",20110215,NA,"End Of Day (from Real-Time)",62.23,62.85,62.0607,62.85,492107
"32","SIAL.O",20110216,NA,"End Of Day (from Real-Time)",62.81,63.32,62.63,62.95,675806
"33","SIAL.O",20110217,NA,"End Of Day (from Real-Time)",63.01,63.85,62.87,63.7,651262
"34","SIAL.O",20110218,NA,"End Of Day (from Real-Time)",63.57,64,63.221,63.83,877472
"35","SIAL.O",20110222,NA,"End Of Day (from Real-Time)",63.23,63.79,62.52,62.57,922742
"36","SIAL.O",20110223,NA,"End Of Day (from Real-Time)",62.58,62.94,61.58,62.28,740725
"37","SIAL.O",20110224,NA,"End Of Day (from Real-Time)",62.4,62.66,61.79,62.25,706881
"38","SIAL.O",20110225,NA,"End Of Day (from Real-Time)",62.31,63.24,62.12,62.89,379260
"39","SIAL.O",20110228,NA,"End Of Day (from Real-Time)",63.03,63.89,63.03,63.89,536729
"40","SIAL.O",20110301,NA,"End Of Day (from Real-Time)",63.95,64.26,62.29,62.3,711000
"41","SIAL.O",20110302,NA,"End Of Day (from Real-Time)",62.16,63.34,62.08,63.01,589980
"42","SIAL.O",20110303,NA,"End Of Day (from Real-Time)",63.49,64.81,63.48,64.58,765492
"43","SIAL.O",20110304,NA,"End Of Day (from Real-Time)",64.51,64.74,63.5402,64.34,543948
"44","SIAL.O",20110307,NA,"End Of Day (from Real-Time)",64.7,64.98,62.37,62.65,810986
"45","SIAL.O",20110308,NA,"End Of Day (from Real-Time)",62.54,63.86,62.13,63.42,525571
"46","SIAL.O",20110309,NA,"End Of Day (from Real-Time)",63.11,63.51,62.17,63.07,455999
"47","SIAL.O",20110310,NA,"End Of Day (from Real-Time)",62.16,62.55,61.63,61.85,727353
"48","SIAL.O",20110311,NA,"End Of Day (from Real-Time)",61.6,62.66,61.48,62.37,358007
