"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","SPG.N",20110103,NA,"End Of Day (from Real-Time)",100.21,101.06,100.1,100.93,905405
"2","SPG.N",20110104,NA,"End Of Day (from Real-Time)",100.77,101,97.47,97.94,792953
"3","SPG.N",20110105,NA,"End Of Day (from Real-Time)",97.7,98.71,97.7,98.25,516927
"4","SPG.N",20110106,NA,"End Of Day (from Real-Time)",98.45,98.5,95.29,95.35,780170
"5","SPG.N",20110107,NA,"End Of Day (from Real-Time)",95.89,97.17,95.88,96.95,768835
"6","SPG.N",20110110,NA,"End Of Day (from Real-Time)",96.53,98.52,96.51,97.54,751099
"7","SPG.N",20110111,NA,"End Of Day (from Real-Time)",98.51,98.79,97.31,97.57,577595
"8","SPG.N",20110112,NA,"End Of Day (from Real-Time)",98.32,98.66,97.15,97.71,599642
"9","SPG.N",20110113,NA,"End Of Day (from Real-Time)",97.71,98.27,97.02,98.15,419247
"10","SPG.N",20110114,NA,"End Of Day (from Real-Time)",98.1,98.96,97.52,98.94,605876
"11","SPG.N",20110118,NA,"End Of Day (from Real-Time)",98.86,99.79,98.13,99.79,588314
"12","SPG.N",20110119,NA,"End Of Day (from Real-Time)",99.91,99.96,98.2,98.73,827648
"13","SPG.N",20110120,NA,"End Of Day (from Real-Time)",98.81,99.91,98.54,98.78,565328
"14","SPG.N",20110121,NA,"End Of Day (from Real-Time)",99.2,99.54,98.57,99.53,784327
"15","SPG.N",20110124,NA,"End Of Day (from Real-Time)",99.98,100.04,98.71,99.75,544290
"16","SPG.N",20110125,NA,"End Of Day (from Real-Time)",99.58,100.64,99.04,100.56,602305
"17","SPG.N",20110126,NA,"End Of Day (from Real-Time)",100.72,101.18,99.66,100.71,555077
"18","SPG.N",20110127,NA,"End Of Day (from Real-Time)",101.06,101.56,100.03,101.35,532266
"19","SPG.N",20110128,NA,"End Of Day (from Real-Time)",101.59,102.1,99.59,99.97,660121
"20","SPG.N",20110131,NA,"End Of Day (from Real-Time)",100.08,101.64,100.08,101.45,607193
"21","SPG.N",20110201,NA,"End Of Day (from Real-Time)",102.43,102.7,100.78,102.47,678674
"22","SPG.N",20110202,NA,"End Of Day (from Real-Time)",102.34,103.48,101.86,102.87,558787
"23","SPG.N",20110203,NA,"End Of Day (from Real-Time)",102.62,104.93,102.62,104.7,661778
"24","SPG.N",20110204,NA,"End Of Day (from Real-Time)",104.24,105,102.9,103.47,660283
"25","SPG.N",20110207,NA,"End Of Day (from Real-Time)",103.73,105.09,103.61,105.03,526149
"26","SPG.N",20110208,NA,"End Of Day (from Real-Time)",105.28,106.34,104.76,106.27,394300
"27","SPG.N",20110209,NA,"End Of Day (from Real-Time)",105.84,106.74,105.64,106.26,516533
"28","SPG.N",20110210,NA,"End Of Day (from Real-Time)",105.2,106.8,105.04,106.41,773136
"29","SPG.N",20110211,NA,"End Of Day (from Real-Time)",106.33,107.43,105.81,107.16,605245
"30","SPG.N",20110214,NA,"End Of Day (from Real-Time)",107.5,107.59,106.03,107.03,541955
"31","SPG.N",20110215,NA,"End Of Day (from Real-Time)",106.45,107.83,106.13,106.85,355662
"32","SPG.N",20110216,NA,"End Of Day (from Real-Time)",107.46,108.39,107.12,107.81,435404
"33","SPG.N",20110217,NA,"End Of Day (from Real-Time)",107.54,108.28,107.35,108.13,333998
"34","SPG.N",20110218,NA,"End Of Day (from Real-Time)",108.39,108.42,107.16,107.94,711821
"35","SPG.N",20110222,NA,"End Of Day (from Real-Time)",106.88,108.59,106.87,107.88,651332
"36","SPG.N",20110223,NA,"End Of Day (from Real-Time)",107.71,108.51,105.82,106.98,739314
"37","SPG.N",20110224,NA,"End Of Day (from Real-Time)",106.65,106.91,104.29,105.64,497466
"38","SPG.N",20110225,NA,"End Of Day (from Real-Time)",106.05,107.07,105.75,106.98,558766
"39","SPG.N",20110228,NA,"End Of Day (from Real-Time)",107.5,110.27,107.5,110.04,871665
"40","SPG.N",20110301,NA,"End Of Day (from Real-Time)",110.49,110.49,106.98,107.04,746524
"41","SPG.N",20110302,NA,"End Of Day (from Real-Time)",107.17,107.78,105.29,105.43,617843
"42","SPG.N",20110303,NA,"End Of Day (from Real-Time)",106.69,107.54,106.62,107.38,469037
"43","SPG.N",20110304,NA,"End Of Day (from Real-Time)",107.06,107.73,105.88,106.65,483465
"44","SPG.N",20110307,NA,"End Of Day (from Real-Time)",107.14,107.5,105.26,105.95,342848
"45","SPG.N",20110308,NA,"End Of Day (from Real-Time)",106.28,107.9,106.28,107.23,464342
"46","SPG.N",20110309,NA,"End Of Day (from Real-Time)",106.88,107.75,106.04,106.52,465081
"47","SPG.N",20110310,NA,"End Of Day (from Real-Time)",105.55,106.32,105.19,105.39,611629
"48","SPG.N",20110311,NA,"End Of Day (from Real-Time)",105.46,107.02,105.15,106.86,401410
"49","SPG.N",20110314,NA,"End Of Day (from Real-Time)",106.08,106.73,105.37,105.63,607459
"50","SPG.N",20110315,NA,"End Of Day (from Real-Time)",103.75,105.85,102.95,104.88,751381
"51","SPG.N",20110316,NA,"End Of Day (from Real-Time)",104.39,104.8,102.18,102.91,615553
"52","SPG.N",20110317,NA,"End Of Day (from Real-Time)",104.32,104.51,102.31,103.24,584285
"53","SPG.N",20110318,NA,"End Of Day (from Real-Time)",104.35,105.05,103.49,103.88,1160386
"54","SPG.N",20110321,NA,"End Of Day (from Real-Time)",104.95,106.11,104.78,105.3,601425
"55","SPG.N",20110322,NA,"End Of Day (from Real-Time)",105.16,105.45,104.32,104.91,503946
"56","SPG.N",20110323,NA,"End Of Day (from Real-Time)",104.66,104.68,102.67,102.88,685033
"57","SPG.N",20110324,NA,"End Of Day (from Real-Time)",103.3,104.05,102.36,103.68,456340
"58","SPG.N",20110325,NA,"End Of Day (from Real-Time)",103.74,105,103.41,104.64,470899
"59","SPG.N",20110328,NA,"End Of Day (from Real-Time)",104.76,105.72,104.7,105.14,413569
"60","SPG.N",20110329,NA,"End Of Day (from Real-Time)",105.22,106.03,103.84,105.93,384122
"61","SPG.N",20110330,NA,"End Of Day (from Real-Time)",106.21,106.81,105.8,106.68,567202
"62","SPG.N",20110331,NA,"End Of Day (from Real-Time)",106.23,107.77,106.23,107.16,562484
"63","SPG.N",20110401,NA,"End Of Day (from Real-Time)",107.51,108,106.63,107.11,416134
"64","SPG.N",20110404,NA,"End Of Day (from Real-Time)",107.32,107.88,106.69,106.95,397701
"65","SPG.N",20110405,NA,"End Of Day (from Real-Time)",106.75,107.85,106.58,107.15,326888
"66","SPG.N",20110406,NA,"End Of Day (from Real-Time)",107.4,107.46,106.63,107.32,284078
"67","SPG.N",20110407,NA,"End Of Day (from Real-Time)",106.84,107.13,104.57,106.37,820953
"68","SPG.N",20110408,NA,"End Of Day (from Real-Time)",107.1,107.21,105.17,105.65,365150
"69","SPG.N",20110411,NA,"End Of Day (from Real-Time)",105.65,106.55,105.14,105.75,387913
"70","SPG.N",20110412,NA,"End Of Day (from Real-Time)",105.27,105.8,104.56,104.76,467175
"71","SPG.N",20110413,NA,"End Of Day (from Real-Time)",105,105.6,104.83,105.05,312671
"72","SPG.N",20110414,NA,"End Of Day (from Real-Time)",104.68,107.76,104.52,107.45,551364
"73","SPG.N",20110415,NA,"End Of Day (from Real-Time)",107.74,109.16,107.4,108.73,634109
"74","SPG.N",20110418,NA,"End Of Day (from Real-Time)",107.61,108.35,107.33,108.05,464319
"75","SPG.N",20110419,NA,"End Of Day (from Real-Time)",108.2,108.78,107.53,108.37,393827
"76","SPG.N",20110420,NA,"End Of Day (from Real-Time)",109.24,109.62,108.15,109.62,522636
"77","SPG.N",20110421,NA,"End Of Day (from Real-Time)",110,110.63,109.06,110.47,407984
"78","SPG.N",20110425,NA,"End Of Day (from Real-Time)",110.48,112.36,109.8,111.73,367875
"79","SPG.N",20110426,NA,"End Of Day (from Real-Time)",112.05,112.6,111.17,112.02,449628
"80","SPG.N",20110427,NA,"End Of Day (from Real-Time)",112.46,113.74,111.89,113.46,678306
"81","SPG.N",20110428,NA,"End Of Day (from Real-Time)",113.59,115.74,113.42,114.95,666080
"82","SPG.N",20110429,NA,"End Of Day (from Real-Time)",115.02,115.63,113.02,114.54,449864
"83","SPG.N",20110502,NA,"End Of Day (from Real-Time)",115.45,116.02,114.31,115.66,470486
"84","SPG.N",20110503,NA,"End Of Day (from Real-Time)",116,117.21,114.42,116.07,829054
"85","SPG.N",20110504,NA,"End Of Day (from Real-Time)",115.83,116.39,115.12,115.59,497294
"86","SPG.N",20110505,NA,"End Of Day (from Real-Time)",114.64,116.1,114.55,115.24,495108
"87","SPG.N",20110506,NA,"End Of Day (from Real-Time)",116.34,116.34,114.38,114.91,679267
"88","SPG.N",20110509,NA,"End Of Day (from Real-Time)",115.04,116.2,114.61,115.75,330161
"89","SPG.N",20110510,NA,"End Of Day (from Real-Time)",116.13,117.45,115.89,117.4,496661
"90","SPG.N",20110511,NA,"End Of Day (from Real-Time)",117.03,117.47,116.64,116.7,701318
"91","SPG.N",20110512,NA,"End Of Day (from Real-Time)",116.12,117.01,115.43,116.95,507728
"92","SPG.N",20110513,NA,"End Of Day (from Real-Time)",116.44,116.69,115.23,115.27,629452
