"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","STT.N",20110103,NA,"End Of Day (from Real-Time)",46.94,48.19,46.85,47.62,1523427
"2","STT.N",20110104,NA,"End Of Day (from Real-Time)",47.87,47.87,46.39,46.68,1075835
"3","STT.N",20110105,NA,"End Of Day (from Real-Time)",46.76,47.3,46.51,47.28,1008433
"4","STT.N",20110106,NA,"End Of Day (from Real-Time)",47.34,47.66,47.01,47.32,1303396
"5","STT.N",20110107,NA,"End Of Day (from Real-Time)",47.39,47.61,46.08,46.62,1059615
"6","STT.N",20110110,NA,"End Of Day (from Real-Time)",46.32,46.59,45.94,46.4,856366
"7","STT.N",20110111,NA,"End Of Day (from Real-Time)",46.68,47.25,46.49,47.15,1035900
"8","STT.N",20110112,NA,"End Of Day (from Real-Time)",47.63,48.09,47.47,47.78,888650
"9","STT.N",20110113,NA,"End Of Day (from Real-Time)",47.78,48.57,47.49,48.57,1188221
"10","STT.N",20110114,NA,"End Of Day (from Real-Time)",48.41,49.99,48.38,49.99,1702671
"11","STT.N",20110118,NA,"End Of Day (from Real-Time)",49.95,50.26,49.46,50.06,1748988
"12","STT.N",20110119,NA,"End Of Day (from Real-Time)",48.74,49.17,47.72,48,2100703
"13","STT.N",20110120,NA,"End Of Day (from Real-Time)",47.68,47.93,47.03,47.56,1612784
"14","STT.N",20110121,NA,"End Of Day (from Real-Time)",48.14,48.28,47.81,48.25,1455711
"15","STT.N",20110124,NA,"End Of Day (from Real-Time)",48.25,48.43,47.55,47.81,985893
"16","STT.N",20110125,NA,"End Of Day (from Real-Time)",47.51,47.74,46.91,47.69,1098944
"17","STT.N",20110126,NA,"End Of Day (from Real-Time)",47.85,48.1,47.21,47.41,995927
"18","STT.N",20110127,NA,"End Of Day (from Real-Time)",47.46,47.81,47.13,47.58,649965
"19","STT.N",20110128,NA,"End Of Day (from Real-Time)",47.29,48.03,46.33,46.41,1087526
